date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,17393463.0,51.3629,51.11,51.36,51.69,51.0,1705467600000,113164
2024-01-18 05:00:00,15788149.0,50.9706,51.4501,51.11,51.58,50.51,1705554000000,111790
2024-01-19 05:00:00,18210995.0,51.3162,51.12,51.52,51.68,50.62,1705640400000,118479
2024-01-22 05:00:00,21573191.0,52.7741,51.985,52.84,53.095,51.95,1705899600000,149812
2024-01-23 05:00:00,12962518.0,53.0848,52.91,53.3,53.41,52.59,1705986000000,90047
2024-01-24 05:00:00,14402176.0,53.3111,53.54,53.26,53.65,52.99,1706072400000,98587
2024-01-25 05:00:00,15634027.0,53.5413,53.4,53.73,53.77,53.035,1706158800000,98836
2024-01-26 05:00:00,14041159.0,53.7618,53.86,53.67,53.99,53.61,1706245200000,82890
2024-01-29 05:00:00,12158309.0,53.9111,53.47,54.11,54.23,53.44,1706504400000,83558
2024-01-30 05:00:00,40086063.0,56.3342,55.04,57.09,57.2,55.01,1706590800000,227228
2024-01-31 05:00:00,28967819.0,56.9814,56.74,56.17,57.95,56.14,1706677200000,177770
2024-02-01 05:00:00,21178705.0,55.7744,56.015,56.06,56.59,54.845,1706763600000,144145
2024-02-02 05:00:00,19283056.0,55.5814,55.6,55.54,55.98,54.988,1706850000000,136900
2024-02-05 05:00:00,14040642.0,54.5739,54.94,54.5,55.14,54.11,1707109200000,104980
2024-02-06 05:00:00,14851511.0,54.3919,54.38,54.35,54.97,54.105,1707195600000,93397
2024-02-07 05:00:00,13383314.0,54.3322,54.5,54.54,54.7,53.77,1707282000000,105855
2024-02-08 05:00:00,15822231.0,54.1909,54.18,54.29,54.49,53.59,1707368400000,108947
2024-02-09 05:00:00,13843255.0,53.9872,54.29,53.99,54.44,53.5301,1707454800000,110459
2024-02-12 05:00:00,17162325.0,53.9333,53.57,53.92,54.54,53.0,1707714000000,130520
2024-02-13 05:00:00,17672137.0,52.5949,53.29,52.76,53.46,52.24,1707800400000,140174
2024-02-14 05:00:00,14891947.0,53.8531,53.64,53.98,54.1,53.59,1707886800000,125957
2024-02-15 05:00:00,16865018.0,55.0823,54.22,55.21,55.48,54.135,1707973200000,121805
