date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,3775937.0,69.7423,70.0,69.63,70.89,69.105,1705467600000,41763
2024-01-18 05:00:00,3797327.0,68.806,69.31,68.77,69.47,68.45,1705554000000,40728
2024-01-19 05:00:00,5003322.0,68.8642,68.91,68.95,69.33,68.45,1705640400000,45285
2024-01-22 05:00:00,3670714.0,68.6828,68.94,68.82,69.35,68.09,1705899600000,40341
2024-01-23 05:00:00,5660334.0,68.7437,68.76,68.83,68.95,68.465,1705986000000,42238
2024-01-24 05:00:00,6257728.0,68.2984,69.22,68.2,69.41,67.7,1706072400000,51883
2024-01-25 05:00:00,3897979.0,68.8903,68.84,69.24,69.259,68.285,1706158800000,47704
2024-01-26 05:00:00,5987633.0,68.9781,69.24,69.11,69.44,68.59,1706245200000,54834
2024-01-29 05:00:00,4673814.0,69.0611,69.15,69.19,69.29,68.6802,1706504400000,43987
2024-01-30 05:00:00,4578676.0,69.1343,69.11,69.25,69.58,68.705,1706590800000,49273
2024-01-31 05:00:00,8371572.0,69.6475,70.0,69.52,70.33,69.07,1706677200000,56421
2024-02-01 05:00:00,4554429.0,70.0962,69.1,70.5,70.53,68.798,1706763600000,48811
2024-02-02 05:00:00,5652105.0,68.7077,69.82,68.65,69.96,67.955,1706850000000,56903
2024-02-05 05:00:00,5015357.0,67.5449,68.3,67.18,68.34,67.07,1707109200000,48355
2024-02-06 05:00:00,3471650.0,67.3934,67.08,67.4,67.68,66.94,1707195600000,47204
2024-02-07 05:00:00,4406230.0,67.1167,67.54,66.95,67.765,66.8,1707282000000,41012
2024-02-08 05:00:00,3811257.0,66.7278,66.61,66.94,67.03,66.3563,1707368400000,42697
2024-02-09 05:00:00,3792780.0,66.837,66.63,66.91,67.2,66.505,1707454800000,40237
2024-02-12 05:00:00,4782779.0,67.786,66.94,68.31,68.33,66.63,1707714000000,46265
2024-02-13 05:00:00,5357510.0,67.2774,68.0,67.51,68.56,66.49,1707800400000,61545
2024-02-14 05:00:00,4146868.0,67.669,67.46,67.81,67.885,67.23,1707886800000,48786
2024-02-15 05:00:00,10332859.0,66.9923,67.05,66.83,68.2,66.08,1707973200000,92259
2024-02-16 05:00:00,8509100.0,66.338,65.99,66.48,66.639,65.8,1708059600000,68610
2024-02-20 05:00:00,6385835.0,67.4053,66.62,67.04,68.34,66.43,1708405200000,57758
2024-02-21 05:00:00,4256507.0,67.4952,67.44,67.73,67.85,67.11,1708491600000,47029
2024-02-22 05:00:00,3530365.0,67.1935,67.17,67.28,67.58,66.54,1708578000000,39773
2024-02-23 05:00:00,3222217.0,67.7436,67.32,67.69,68.06,67.22,1708664400000,34885
2024-02-26 05:00:00,4059987.0,66.5508,67.41,66.25,67.5,66.24,1708923600000,40691
2024-02-27 05:00:00,4146943.0,66.4211,66.4,66.46,66.74,66.08,1709010000000,43568
2024-02-28 05:00:00,5211714.0,66.5469,66.46,66.81,66.82,66.2,1709096400000,51753
2024-02-29 05:00:00,8578069.0,67.3439,67.12,67.25,67.64,66.8,1709182800000,59737
2024-03-01 05:00:00,4748338.0,66.6494,67.03,66.86,67.12,65.99,1709269200000,46850
2024-03-04 05:00:00,4285959.0,67.8147,66.87,68.2,68.29,66.62,1709528400000,45127
2024-03-05 05:00:00,4542809.0,68.2482,68.5,67.98,69.255,67.55,1709614800000,51729
