date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,47317433.0,181.9201,181.27,182.68,182.93,180.3,1705467600000,594632
2024-01-18 05:00:00,78005754.0,187.9375,186.09,188.63,189.14,185.83,1705554000000,787235
2024-01-19 05:00:00,68902985.0,190.6151,189.33,191.56,191.95,188.82,1705640400000,682664
2024-01-22 05:00:00,60133852.0,193.9891,192.3,193.89,195.33,192.26,1705899600000,718108
2024-01-23 05:00:00,42355590.0,194.8203,195.02,195.18,195.75,193.8299,1705986000000,533093
2024-01-24 05:00:00,53631316.0,195.2063,195.42,194.5,196.38,194.34,1706072400000,594714
2024-01-25 05:00:00,54822126.0,194.7337,195.22,194.17,196.2675,193.1125,1706158800000,644526
2024-01-26 05:00:00,44594011.0,193.1206,194.27,192.42,194.76,191.94,1706245200000,534166
2024-01-29 05:00:00,47145622.0,191.2954,192.01,191.73,192.2,189.58,1706504400000,599513
2024-01-30 05:00:00,55859370.0,188.7925,190.94,188.04,191.8,187.47,1706590800000,690707
2024-01-31 05:00:00,55467803.0,185.3525,187.04,184.4,187.095,184.35,1706677200000,679844
2024-02-01 05:00:00,64885408.0,185.5688,183.985,186.86,186.95,183.82,1706763600000,820977
2024-02-02 05:00:00,102551680.0,184.7435,179.86,185.85,187.33,179.25,1706850000000,1108466
2024-02-05 05:00:00,69668820.0,187.6826,188.15,187.68,189.25,185.84,1707109200000,804749
2024-02-06 05:00:00,43490759.0,188.4788,186.86,189.3,189.31,186.7695,1707195600000,530825
2024-02-07 05:00:00,53438955.0,189.3803,190.64,189.41,191.05,188.61,1707282000000,596088
2024-02-08 05:00:00,40962046.0,188.3032,189.385,188.32,189.535,187.35,1707368400000,521464
2024-02-09 05:00:00,45155216.0,189.0056,188.65,188.85,189.99,188.0,1707454800000,544714
2024-02-12 05:00:00,41781934.0,187.5914,188.415,187.15,188.67,186.79,1707714000000,585515
2024-02-13 05:00:00,56529529.0,185.0421,185.77,185.04,186.21,183.5128,1707800400000,644015
2024-02-14 05:00:00,54630517.0,183.6206,185.32,184.15,185.53,182.44,1707886800000,679073
2024-02-15 05:00:00,65434496.0,182.8487,183.55,183.86,184.49,181.35,1707973200000,756083
2024-02-16 05:00:00,49752465.0,182.7317,183.42,182.31,184.85,181.665,1708059600000,611770
2024-02-20 05:00:00,53665553.0,181.1,181.79,181.56,182.43,180.0,1708405200000,712338
2024-02-21 05:00:00,41529674.0,181.9945,181.94,182.32,182.8888,180.66,1708491600000,522493
2024-02-22 05:00:00,52292208.0,183.8373,183.48,184.37,184.955,182.46,1708578000000,613893
2024-02-23 05:00:00,45119677.0,182.9877,185.01,182.52,185.04,182.23,1708664400000,549251
2024-02-26 05:00:00,40867421.0,181.3213,182.24,181.16,182.76,180.65,1708923600000,615639
2024-02-27 05:00:00,54318851.0,181.8192,181.1,182.63,183.9225,179.56,1709010000000,669751
2024-02-28 05:00:00,48953939.0,181.1915,182.51,181.42,183.12,180.13,1709096400000,596443
2024-02-29 05:00:00,136682597.0,180.6781,181.27,180.75,182.57,179.53,1709182800000,813073
2024-03-01 05:00:00,73563082.0,179.033,179.55,179.66,180.53,177.38,1709269200000,911079
2024-03-04 05:00:00,81510101.0,174.8938,176.15,175.1,176.9,173.79,1709528400000,1167167
2024-03-05 05:00:00,95132355.0,170.3234,170.76,170.12,172.04,169.62,1709614800000,1108821
2024-03-06 05:00:00,68587707.0,169.5507,171.06,169.12,171.24,168.68,1709701200000,896300
2024-03-07 05:00:00,71765061.0,169.3619,169.15,169.0,170.73,168.49,1709787600000,825406
2024-03-08 05:00:00,76267041.0,171.5322,169.0,170.73,173.7,168.94,1709874000000,925213
2024-03-11 04:00:00,60139473.0,172.9273,172.94,172.75,174.38,172.05,1710129600000,793618
2024-03-12 04:00:00,59825372.0,172.8727,173.15,173.23,174.03,171.01,1710216000000,735067
2024-03-13 04:00:00,52488692.0,171.3457,172.77,171.13,173.185,170.76,1710302400000,647120
2024-03-14 04:00:00,72913507.0,173.0899,172.91,173.0,174.3078,172.05,1710388800000,806014
2024-03-15 04:00:00,121752699.0,171.8002,171.17,172.62,172.62,170.285,1710475200000,771387
2024-03-18 04:00:00,75604184.0,175.4587,175.57,173.72,177.71,173.52,1710734400000,866388
