date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,5098185.0,113.8882,114.2,114.02,114.57,113.405,1705554000000,53468
2024-01-19 05:00:00,6843279.0,114.365,113.63,114.69,114.86,113.46,1705640400000,61386
2024-01-22 05:00:00,5062485.0,114.5846,114.93,114.19,115.64,114.14,1705899600000,60133
2024-01-23 05:00:00,5037299.0,113.9592,114.45,114.0,115.5,112.87,1705986000000,61290
2024-01-24 05:00:00,8710759.0,110.8824,110.75,110.77,113.345,109.74,1706072400000,100398
2024-01-25 05:00:00,5648750.0,111.8804,111.41,112.45,112.57,110.785,1706158800000,68589
2024-01-26 05:00:00,5176697.0,112.0832,113.23,112.01,113.41,111.54,1706245200000,65694
2024-01-29 05:00:00,6480613.0,113.0495,112.15,113.45,113.47,112.03,1706504400000,73271
2024-01-30 05:00:00,4768366.0,113.3212,113.9,113.48,113.92,112.38,1706590800000,53371
2024-01-31 05:00:00,8325187.0,113.3626,114.0,113.15,114.535,112.62,1706677200000,84101
2024-02-01 05:00:00,4520542.0,113.9284,112.75,114.49,114.5374,111.995,1706763600000,61320
2024-02-02 05:00:00,7575685.0,112.5718,112.96,112.11,114.06,111.98,1706850000000,78178
2024-02-05 05:00:00,5670059.0,111.9137,112.02,111.65,112.455,111.15,1707109200000,65317
2024-02-06 05:00:00,4734844.0,113.5309,111.82,114.0,114.5099,111.72,1707195600000,61336
2024-02-07 05:00:00,4757532.0,113.4386,114.6,113.31,114.6,112.89,1707282000000,65280
2024-02-08 05:00:00,6980455.0,112.2055,113.35,112.43,113.35,111.52,1707368400000,69303
2024-02-09 05:00:00,5947680.0,111.731,112.25,111.81,112.63,111.19,1707454800000,67334
2024-02-12 05:00:00,4232159.0,112.0611,111.5,112.53,112.63,111.21,1707714000000,55758
2024-02-13 05:00:00,4263613.0,111.4074,112.47,111.34,113.11,110.58,1707800400000,56115
2024-02-14 05:00:00,3991233.0,111.8101,111.64,112.06,112.38,111.12,1707886800000,48480
2024-02-15 05:00:00,5450684.0,113.5419,112.27,113.64,114.27,112.27,1707973200000,65579
2024-02-16 05:00:00,7161109.0,114.5888,113.5,114.01,115.49,113.45,1708059600000,69754
2024-02-20 05:00:00,9601289.0,116.2891,114.33,116.64,117.19,113.96,1708405200000,107869
2024-02-21 05:00:00,6144814.0,117.3468,115.96,117.87,117.975,115.96,1708491600000,70345
2024-02-22 05:00:00,4916218.0,118.539,118.1,119.02,119.25,116.8,1708578000000,61677
2024-02-23 05:00:00,4261515.0,119.654,119.38,119.46,120.15,118.86,1708664400000,53272
2024-02-26 05:00:00,3483103.0,118.8442,119.5,118.69,119.95,118.39,1708923600000,46430
2024-02-27 05:00:00,3203311.0,119.0375,118.16,119.4,119.5,117.83,1709010000000,43320
2024-02-28 05:00:00,3383982.0,119.7646,119.49,120.05,120.11,119.27,1709096400000,44362
2024-02-29 05:00:00,6135244.0,118.9265,120.32,118.64,120.445,118.525,1709182800000,48703
2024-03-01 05:00:00,3899429.0,118.7124,118.57,118.62,119.455,117.83,1709269200000,56773
2024-03-04 05:00:00,3164070.0,119.671,118.3,120.04,120.28,118.17,1709528400000,46644
2024-03-05 05:00:00,3502340.0,118.8027,120.44,118.48,120.6,118.08,1709614800000,44475
2024-03-06 05:00:00,3388820.0,119.228,118.6,119.34,119.58,118.42,1709701200000,47730
2024-03-07 05:00:00,4200857.0,120.8199,120.095,120.92,121.5,119.9501,1709787600000,41493
2024-03-08 05:00:00,3357442.0,121.0232,120.97,120.96,121.64,120.605,1709874000000,44672
2024-03-11 04:00:00,3886029.0,120.1313,120.93,120.19,121.42,119.6157,1710129600000,51304
2024-03-12 04:00:00,3079726.0,120.6031,119.95,120.76,121.08,119.06,1710216000000,44701
2024-03-13 04:00:00,3421685.0,120.2323,120.52,120.16,120.93,119.62,1710302400000,43736
2024-03-14 04:00:00,4952259.0,118.664,120.01,118.85,120.34,117.85,1710388800000,65126
2024-03-15 04:00:00,22415678.0,114.4044,113.02,115.49,115.49,112.26,1710475200000,154578
2024-03-18 04:00:00,12991000.0,113.4358,115.35,112.44,115.76,112.29,1710734400000,122521
2024-03-19 04:00:00,8299307.0,113.3773,112.44,113.16,114.42,112.04,1710820800000,89369
2024-03-20 04:00:00,8317283.0,111.5276,113.0,111.5,113.24,110.73,1710907200000,95109
2024-03-21 04:00:00,9722663.0,111.5384,111.95,111.51,112.14,111.01,1710993600000,102205
2024-03-22 04:00:00,5387719.0,110.8911,111.52,110.57,111.98,110.5439,1711080000000,63121
2024-03-25 04:00:00,6622414.0,109.9492,110.45,110.01,110.8,109.11,1711339200000,72040
2024-03-26 04:00:00,7770829.0,111.3415,110.49,111.5,111.9,109.93,1711425600000,62383
2024-03-27 04:00:00,7533356.0,113.2638,112.0,113.48,113.7,111.94,1711512000000,75319
2024-03-28 04:00:00,5278215.0,113.5799,113.28,113.66,114.02,112.93,1711598400000,48496
2024-04-01 04:00:00,3963996.0,112.1899,113.66,112.09,113.66,111.82,1711944000000,50122
2024-04-02 04:00:00,4560740.0,111.9425,111.8903,112.02,112.42,111.18,1712030400000,53349
2024-04-03 04:00:00,4409909.0,111.5521,112.14,111.28,112.55,111.05,1712116800000,55753
2024-04-04 04:00:00,4799745.0,110.5055,111.84,110.11,112.0,109.8375,1712203200000,63813
2024-04-05 04:00:00,5591219.0,110.9149,109.7,111.2,111.26,109.54,1712289600000,58713
2024-04-08 04:00:00,5810480.0,110.559,111.3,110.52,111.48,110.14,1712548800000,61611
2024-04-09 04:00:00,4235804.0,111.9148,110.59,112.44,112.57,110.58,1712635200000,51047
2024-04-10 04:00:00,3965558.0,111.0216,111.22,111.17,111.67,110.35,1712721600000,56987
2024-04-11 04:00:00,4321456.0,111.2719,111.65,111.45,111.98,110.31,1712808000000,52816
2024-04-12 04:00:00,4041615.0,109.2486,110.27,109.11,110.5,108.4916,1712894400000,56477
2024-04-15 04:00:00,4595628.0,109.4977,110.09,108.89,110.89,108.831,1713153600000,60528
2024-04-16 04:00:00,7283867.0,109.4089,108.84,109.21,110.33,108.14,1713240000000,87486
2024-04-17 04:00:00,12002886.0,105.6582,107.53,105.9,108.72,104.25,1713326400000,144190
2024-04-18 04:00:00,7306449.0,105.2906,106.5,105.27,107.03,104.47,1713412800000,90647
2024-04-19 04:00:00,10533616.0,107.1126,105.98,107.28,107.77,105.38,1713499200000,93461
2024-04-22 04:00:00,4948315.0,107.1557,107.48,107.07,107.9,106.27,1713758400000,62350
2024-04-23 04:00:00,3849589.0,107.6415,107.67,107.59,108.11,107.3101,1713844800000,57353
2024-04-24 04:00:00,5052691.0,106.5452,106.71,106.89,107.11,105.56,1713931200000,76112
2024-04-25 04:00:00,3112495.0,106.7245,106.645,106.86,107.455,106.14,1714017600000,48186
2024-04-26 04:00:00,3575566.0,107.4668,106.51,107.53,107.8561,106.39,1714104000000,54594
2024-04-29 04:00:00,3307022.0,107.2249,107.39,107.27,108.19,106.6,1714363200000,45846
2024-04-30 04:00:00,5073971.0,106.1865,106.52,105.97,106.87,105.895,1714449600000,63230
2024-05-01 04:00:00,4097108.0,106.4829,105.93,106.29,107.16,105.91,1714536000000,56745
2024-05-02 04:00:00,3708515.0,105.7387,106.66,105.92,106.66,105.15,1714622400000,54390
2024-05-03 04:00:00,3610492.0,105.9268,106.11,105.9,106.64,105.475,1714708800000,51881
2024-05-06 04:00:00,3789737.0,105.5645,106.11,105.64,106.17,105.14,1714968000000,52395
2024-05-07 04:00:00,6556396.0,106.1428,106.52,106.17,106.6,105.79,1715054400000,71283
2024-05-08 04:00:00,6234711.0,104.8245,106.34,104.94,106.34,104.28,1715140800000,80030
2024-05-09 04:00:00,5902240.0,104.7183,104.73,104.67,105.01,104.5,1715227200000,65140
2024-05-10 04:00:00,7349729.0,104.8637,104.5,104.74,105.67,104.42,1715313600000,75104
2024-05-13 04:00:00,5459183.0,104.8105,104.99,104.77,105.5,104.4,1715572800000,63450
2024-05-14 04:00:00,7035128.0,103.9505,104.85,104.01,105.13,103.36,1715659200000,84500
2024-05-15 04:00:00,5443172.0,104.5298,104.1,104.59,104.83,104.1,1715745600000,66141
2024-05-16 04:00:00,8708267.0,104.8246,104.45,104.87,105.19,104.16,1715832000000,79846
2024-05-17 04:00:00,7004574.0,104.1562,104.41,104.09,104.8,103.94,1715918400000,66165
2024-05-20 04:00:00,7165905.0,103.3633,103.78,103.21,103.8,103.02,1716177600000,61312
2024-05-21 04:00:00,4391572.0,102.9641,103.52,102.96,103.86,102.4097,1716264000000,51418
2024-05-22 04:00:00,5933598.0,104.4529,102.95,104.82,105.14,102.94,1716350400000,70797
2024-05-23 04:00:00,5862199.0,104.2778,103.96,104.23,104.91,103.44,1716436800000,74614
2024-05-24 04:00:00,4455866.0,103.9832,104.15,103.95,104.369,103.58,1716523200000,53631
2024-05-28 04:00:00,4771127.0,102.0848,103.57,101.95,103.59,101.56,1716868800000,60531
2024-05-29 04:00:00,4961324.0,101.1145,101.09,100.73,101.77,100.64,1716955200000,65173
2024-05-30 04:00:00,5126729.0,101.924,101.28,101.74,102.61,100.86,1717041600000,68424
2024-05-31 04:00:00,7915676.0,101.9807,101.86,102.19,102.299,101.39,1717128000000,57553
2024-06-03 04:00:00,4915081.0,102.8907,102.17,102.87,104.13,101.92,1717387200000,56801
2024-06-04 04:00:00,3880402.0,103.2271,102.8,103.43,103.49,102.535,1717473600000,46057
2024-06-05 04:00:00,3302504.0,102.907,102.93,103.23,103.42,101.98,1717560000000,46526
2024-06-06 04:00:00,9835466.0,104.2346,103.29,104.27,105.0,102.81,1717646400000,66826
2024-06-07 04:00:00,8666641.0,106.8517,103.86,107.58,108.13,103.3701,1717732800000,98014
2024-06-10 04:00:00,8556495.0,107.7847,107.63,107.49,108.98,107.04,1717992000000,86191
2024-06-11 04:00:00,7536183.0,105.8924,107.32,105.81,107.32,105.53,1718078400000,57097
2024-06-12 04:00:00,4569029.0,104.6848,105.91,104.38,105.91,104.29,1718164800000,55291
2024-06-13 04:00:00,4719494.0,103.3196,103.635,103.45,103.7,102.6,1718251200000,54653
2024-06-14 04:00:00,3683145.0,103.4138,103.29,103.68,103.72,102.43,1718337600000,42147
2024-06-17 04:00:00,3936410.0,103.3492,102.91,103.45,103.94,102.54,1718596800000,47627
2024-06-18 04:00:00,4500985.0,103.8382,103.26,103.99,104.0908,103.25,1718683200000,45084
2024-06-20 04:00:00,9155091.0,106.0278,103.525,106.57,106.84,103.47,1718856000000,81643
2024-06-21 04:00:00,10329146.0,105.8187,106.66,105.72,106.93,105.24,1718942400000,62096
2024-06-24 04:00:00,5201278.0,105.4619,106.29,105.3,106.29,104.9401,1719201600000,48386
2024-06-25 04:00:00,4722596.0,105.5175,105.4,105.49,105.98,104.82,1719288000000,48980
2024-06-26 04:00:00,5406622.0,104.9354,105.09,104.88,105.65,104.32,1719374400000,52965
2024-06-27 04:00:00,4137597.0,104.6334,105.25,104.65,105.32,103.92,1719460800000,48648
2024-06-28 04:00:00,8283577.0,103.9812,104.7,103.91,105.16,103.53,1719547200000,55902
2024-07-01 04:00:00,4588863.0,103.4408,104.16,103.2,105.51,102.61,1719806400000,52498
2024-07-02 04:00:00,3650516.0,103.1052,102.7,103.2,103.39,102.7,1719892800000,40039
2024-07-03 04:00:00,2017846.0,102.5381,103.36,102.33,103.66,102.18,1719979200000,29474
2024-07-05 04:00:00,6582790.0,103.6186,102.03,104.02,104.07,101.76,1720152000000,48285
2024-07-08 04:00:00,4541958.0,102.3586,103.78,102.12,103.85,101.94,1720411200000,52286
2024-07-09 04:00:00,6269235.0,101.4224,102.39,101.64,102.59,100.75,1720497600000,60843
2024-07-10 04:00:00,6598954.0,102.3868,101.42,103.05,103.08,101.27,1720584000000,54749
2024-07-11 04:00:00,5025283.0,104.0672,103.38,104.18,104.64,103.06,1720670400000,54467
2024-07-12 04:00:00,4277742.0,104.3905,104.67,104.22,104.93,104.11,1720756800000,48618
2024-07-15 04:00:00,4970892.0,103.0962,103.93,102.96,104.16,102.58,1721016000000,50229
2024-07-16 04:00:00,7656931.0,102.842,102.915,102.72,103.87,102.51,1721102400000,82489
2024-07-17 04:00:00,13438345.0,104.5651,102.65,104.68,105.65,102.5,1721188800000,106823
2024-07-18 04:00:00,13078784.0,101.1584,102.39,100.07,104.145,99.71,1721275200000,128367
2024-07-19 04:00:00,11963581.0,101.7177,100.61,102.03,102.4,100.08,1721361600000,90325
2024-07-22 04:00:00,7880254.0,103.4971,102.5,103.72,103.83,102.31,1721620800000,62357
2024-07-23 04:00:00,5894651.0,103.954,104.01,103.92,104.33,103.37,1721707200000,57435
2024-07-24 04:00:00,8680899.0,106.2138,104.22,107.26,107.31,103.54,1721793600000,83837
2024-07-25 04:00:00,6356625.0,106.7845,107.02,105.96,108.71,105.92,1721880000000,82273
2024-07-26 04:00:00,8611560.0,105.5136,106.46,105.24,107.14,104.66,1721966400000,82544
2024-07-29 04:00:00,19452686.0,102.9437,100.59,104.77,105.175,99.92,1722225600000,173332
2024-07-30 04:00:00,9126323.0,104.9337,104.76,105.32,105.675,102.78,1722312000000,88571
2024-07-31 04:00:00,8238404.0,105.778,105.5,105.94,106.83,103.55,1722398400000,73020
2024-08-01 04:00:00,9069154.0,109.3489,106.65,110.15,110.68,106.33,1722484800000,100466
2024-08-02 04:00:00,9885690.0,110.5754,110.18,111.31,112.04,108.4,1722571200000,98305
2024-08-05 04:00:00,7121375.0,109.4681,111.34,108.63,112.0,108.37,1722830400000,93975
2024-08-06 04:00:00,5634812.0,109.7424,108.95,109.5,110.64,108.63,1722916800000,65116
2024-08-07 04:00:00,6365185.0,110.5397,109.61,109.94,112.35,109.4,1723003200000,79516
2024-08-08 04:00:00,5476552.0,109.8577,109.95,109.76,111.22,109.22,1723089600000,67910
2024-08-09 04:00:00,5435152.0,108.4042,109.28,108.71,109.28,107.69,1723176000000,65807
2024-08-12 04:00:00,4795946.0,107.7211,108.4,107.8,108.4,107.105,1723435200000,55032
2024-08-13 04:00:00,4920532.0,108.1857,107.8,108.24,108.56,107.6,1723521600000,59357
2024-08-14 04:00:00,5823137.0,109.4352,108.07,109.89,110.18,107.71,1723608000000,61654
2024-08-15 04:00:00,7458612.0,110.7062,110.47,110.94,111.33,109.76,1723694400000,68966
2024-08-16 04:00:00,4643293.0,110.9543,111.36,111.0,111.6,110.57,1723780800000,49388
2024-08-19 04:00:00,3495903.0,111.8256,111.0,111.9,112.25,110.84,1724040000000,43346
2024-08-20 04:00:00,5822390.0,110.9214,111.82,110.77,112.09,110.33,1724126400000,64182
2024-08-21 04:00:00,4081629.0,111.1799,110.97,111.39,111.45,110.68,1724212800000,51114
2024-08-22 04:00:00,3690427.0,111.797,111.79,112.1,112.15,111.05,1724299200000,45347
2024-08-23 04:00:00,4511637.0,112.518,112.4,112.69,112.78,111.89,1724385600000,42212
2024-08-26 04:00:00,3212704.0,112.7307,112.735,112.7,113.255,112.06,1724644800000,45239
2024-08-27 04:00:00,2705392.0,112.853,113.055,113.1,113.17,112.14,1724731200000,40177
2024-08-28 04:00:00,3836651.0,112.8876,113.1,112.9,113.42,112.37,1724817600000,45824
2024-08-29 04:00:00,3375767.0,112.8172,113.295,112.76,113.5,112.52,1724904000000,47393
2024-08-30 04:00:00,4320139.0,112.96,113.0,113.27,113.47,111.89,1724990400000,51493
2024-09-03 04:00:00,4436991.0,114.3672,113.36,114.66,114.83,113.36,1725336000000,68218
2024-09-04 04:00:00,3659202.0,114.5654,114.69,114.4,115.59,113.57,1725422400000,50075
2024-09-05 04:00:00,2928009.0,113.1686,114.26,113.1,114.48,112.52,1725508800000,44975
2024-09-06 04:00:00,3802320.0,113.7402,113.63,113.86,114.34,113.01,1725595200000,48411
2024-09-09 04:00:00,5100999.0,116.2112,114.46,116.43,116.73,114.32,1725854400000,66563
2024-09-10 04:00:00,4963751.0,116.6656,116.15,117.11,117.25,115.43,1725940800000,60151
2024-09-11 04:00:00,6535606.0,116.232,116.39,116.6,116.72,114.72,1726027200000,60573
2024-09-12 04:00:00,4349379.0,116.5621,116.495,116.83,117.305,115.59,1726113600000,56065
2024-09-13 04:00:00,3350075.0,116.5066,116.02,116.4,117.05,115.94,1726200000000,43715
2024-09-16 04:00:00,3637167.0,117.3898,117.0,117.63,117.68,116.42,1726459200000,54030
2024-09-17 04:00:00,4982543.0,117.9775,117.8,118.13,118.54,117.26,1726545600000,63496
2024-09-18 04:00:00,5990242.0,115.3762,117.5,114.88,117.5,114.5162,1726632000000,76831
2024-09-19 04:00:00,8144179.0,114.0901,115.49,114.15,115.66,113.25,1726718400000,92347
2024-09-20 04:00:00,8403387.0,113.6994,113.75,113.7,114.16,113.2,1726804800000,62878
2024-09-23 04:00:00,5005400.0,114.4749,113.79,114.81,114.9,112.96,1727064000000,53623
2024-09-24 04:00:00,5029820.0,113.5693,114.21,113.34,114.41,113.18,1727150400000,62964
2024-09-25 04:00:00,5159254.0,112.6104,113.82,112.61,114.19,111.85,1727236800000,56394
2024-09-26 04:00:00,3508932.0,112.5557,112.31,112.73,112.93,112.1,1727323200000,52608
2024-09-27 04:00:00,3566365.0,112.6057,112.93,112.43,113.38,112.32,1727409600000,46841
2024-09-30 04:00:00,5036278.0,113.3802,112.57,114.01,114.09,112.1,1727668800000,57160
2024-10-01 04:00:00,4263960.0,113.5786,114.21,113.56,114.22,112.8,1727755200000,46935
2024-10-02 04:00:00,3454010.0,113.4586,113.375,113.64,113.79,112.03,1727841600000,42700
