date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,1917067.0,354.3601,351.81,353.65,357.33,351.81,1705467600000,42564
2024-01-18 05:00:00,2064213.0,357.9248,356.02,359.55,359.78,355.165,1705554000000,42790
2024-01-19 05:00:00,2506516.0,363.237,361.53,363.9,364.82,360.12,1705640400000,45813
2024-01-22 05:00:00,2302481.0,367.2489,364.0,367.21,368.65,363.5,1705899600000,50586
2024-01-23 05:00:00,1693134.0,368.8499,367.36,369.86,370.0,365.64,1705986000000,42167
2024-01-24 05:00:00,2250111.0,369.645,371.0,368.9,372.24,367.8292,1706072400000,46304
2024-01-25 05:00:00,2227478.0,372.363,372.38,371.94,375.73,370.12,1706158800000,51747
2024-01-26 05:00:00,1404798.0,371.5991,371.92,371.07,374.14,369.81,1706245200000,34031
2024-01-29 05:00:00,1683157.0,372.4138,370.52,373.35,375.425,370.08,1706504400000,37104
2024-01-30 05:00:00,1849667.0,372.9635,374.0,371.3,375.245,370.98,1706590800000,38613
2024-01-31 05:00:00,2320257.0,365.7475,371.0,363.88,372.72,363.4434,1706677200000,46422
2024-02-01 05:00:00,1500135.0,368.6394,364.0,370.91,371.2125,363.45,1706763600000,40975
2024-02-02 05:00:00,1590488.0,372.8987,372.19,372.95,374.81,369.48,1706850000000,36642
2024-02-05 05:00:00,1787377.0,370.567,372.5,370.34,374.0,369.07,1707109200000,36199
2024-02-06 05:00:00,4012319.0,364.0192,370.52,364.7,371.71,362.4,1707195600000,45741
2024-02-07 05:00:00,2531941.0,367.146,365.0,366.65,369.92,364.115,1707282000000,46548
2024-02-08 05:00:00,1680009.0,368.0019,367.68,368.48,369.47,366.915,1707368400000,39546
2024-02-09 05:00:00,1482651.0,371.2133,369.25,371.67,372.48,367.95,1707454800000,37471
2024-02-12 05:00:00,1325023.0,368.2518,369.49,367.43,370.4,366.18,1707714000000,35160
2024-02-13 05:00:00,1697041.0,362.8612,361.41,362.81,365.76,360.0,1707800400000,42369
2024-02-14 05:00:00,2114618.0,369.6024,366.24,370.98,371.19,366.24,1707886800000,47448
2024-02-15 05:00:00,2358868.0,372.0488,372.59,371.51,374.56,370.14,1707973200000,47303
2024-02-16 05:00:00,2410212.0,371.2033,372.3,369.48,373.43,368.345,1708059600000,44281
2024-02-20 05:00:00,1631068.0,363.6239,369.88,362.95,370.0001,361.44,1708405200000,42760
2024-02-21 05:00:00,1758019.0,360.5363,360.34,360.91,362.38,358.97,1708491600000,41137
2024-02-22 05:00:00,1614699.0,370.787,369.72,371.31,372.19,368.4,1708578000000,46550
2024-02-23 05:00:00,1614704.0,376.5398,373.99,377.32,377.97,372.825,1708664400000,44097
2024-02-26 05:00:00,1454956.0,378.2757,376.86,377.48,380.3,376.86,1708923600000,36884
2024-02-27 05:00:00,1083367.0,376.992,377.0,377.91,379.75,374.9,1709010000000,33647
