date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1182820.0,235.6717,235.06,236.08,236.68,234.16,1705554000000,30025
2024-01-19 05:00:00,1822287.0,237.9643,236.7,238.24,239.22,234.64,1705640400000,35454
2024-01-22 05:00:00,1761180.0,239.403,238.08,239.4,240.26,237.92,1705899600000,36505
2024-01-23 05:00:00,1245157.0,239.6241,239.4,240.36,240.5,238.43,1705986000000,32942
2024-01-24 05:00:00,1744535.0,239.2526,241.41,238.44,241.59,238.175,1706072400000,35068
2024-01-25 05:00:00,1993315.0,237.2696,239.24,236.72,240.75,236.26,1706158800000,46049
2024-01-26 05:00:00,1677891.0,236.1684,237.76,236.1,237.76,235.495,1706245200000,38300
2024-01-29 05:00:00,2165144.0,236.4953,234.44,237.71,237.71,234.38,1706504400000,43897
2024-01-30 05:00:00,2024058.0,238.0411,235.93,238.59,238.84,235.11,1706590800000,40970
2024-01-31 05:00:00,4436278.0,247.0223,246.41,245.78,251.22,244.0,1706677200000,75597
2024-02-01 05:00:00,2008210.0,245.4323,245.0,247.08,247.25,241.97,1706763600000,47795
2024-02-02 05:00:00,2223044.0,248.5204,247.58,248.81,249.83,246.73,1706850000000,50064
2024-02-05 05:00:00,1733196.0,247.9196,248.59,248.28,248.84,246.09,1707109200000,39323
2024-02-06 05:00:00,1690542.0,250.2459,249.4,250.81,251.8,248.52,1707195600000,34709
2024-02-07 05:00:00,1460685.0,250.5322,251.83,250.27,252.37,249.7,1707282000000,31891
2024-02-08 05:00:00,1330892.0,250.4119,249.99,251.08,251.19,248.395,1707368400000,29930
2024-02-09 05:00:00,1243350.0,249.8398,250.89,249.99,251.0,248.87,1707454800000,29496
2024-02-12 05:00:00,1260530.0,250.1166,249.75,250.07,250.78,249.395,1707714000000,33437
2024-02-13 05:00:00,1827939.0,249.2717,250.45,249.59,250.5,247.87,1707800400000,45929
2024-02-14 05:00:00,1131497.0,250.404,250.1,250.9,251.26,249.06,1707886800000,33613
2024-02-15 05:00:00,1387583.0,252.1163,251.6,252.05,252.82,251.13,1707973200000,35703
2024-02-16 05:00:00,2099105.0,252.6842,251.75,252.97,254.355,250.635,1708059600000,36581
2024-02-20 05:00:00,1439426.0,253.2987,253.4,252.94,254.52,252.54,1708405200000,37397
2024-02-21 05:00:00,1146430.0,253.1905,253.56,253.92,254.02,251.53,1708491600000,30606
2024-02-22 05:00:00,1692891.0,254.5509,254.07,254.76,255.75,253.51,1708578000000,35098
2024-02-23 05:00:00,1306581.0,255.7361,255.24,255.87,256.205,254.96,1708664400000,25252
2024-02-26 05:00:00,1141319.0,254.0953,256.57,253.55,256.57,253.48,1708923600000,27944
2024-02-27 05:00:00,1241809.0,251.1055,253.15,251.31,253.3,250.21,1709010000000,32826
2024-02-28 05:00:00,1508241.0,251.3543,250.56,251.56,251.91,250.15,1709096400000,31245
2024-02-29 05:00:00,2796700.0,251.1142,253.7,251.13,253.81,250.16,1709182800000,42994
2024-03-01 05:00:00,2091034.0,249.6454,249.43,249.69,250.18,248.325,1709269200000,36505
2024-03-04 05:00:00,3661533.0,245.4843,247.01,246.2,249.4247,243.8,1709528400000,79765
2024-03-05 05:00:00,2433279.0,243.6137,246.35,244.0,246.655,242.575,1709614800000,52815
2024-03-06 05:00:00,2163688.0,244.3962,244.96,243.76,246.28,243.08,1709701200000,41703
2024-03-07 05:00:00,2445421.0,244.4618,243.76,244.25,245.97,243.25,1709787600000,43776
2024-03-08 05:00:00,1815867.0,242.5297,243.9,242.4,244.31,241.475,1709874000000,39055
2024-03-11 04:00:00,1477161.0,243.5731,243.23,244.09,244.53,241.7,1710129600000,35144
2024-03-12 04:00:00,1978830.0,244.721,244.09,244.67,245.66,242.61,1710216000000,35590
2024-03-13 04:00:00,1558996.0,244.2181,244.67,244.21,245.26,243.07,1710302400000,34553
2024-03-14 04:00:00,1867498.0,243.3913,244.71,243.25,244.99,242.23,1710388800000,38707
2024-03-15 04:00:00,11912115.0,241.8837,242.98,242.09,243.83,238.83,1710475200000,61602
2024-03-18 04:00:00,2002087.0,242.4874,243.61,241.85,244.28,241.68,1710734400000,30694
2024-03-19 04:00:00,1864214.0,243.6857,242.57,244.13,244.315,241.285,1710820800000,27075
2024-03-20 04:00:00,2105155.0,246.6535,245.01,247.72,247.87,244.115,1710907200000,30616
2024-03-21 04:00:00,1857956.0,249.4337,248.47,248.95,250.525,247.42,1710993600000,32877
2024-03-22 04:00:00,1612600.0,247.9665,251.23,247.61,251.23,246.96,1711080000000,23968
2024-03-25 04:00:00,1069608.0,244.6769,247.42,244.2,247.745,244.05,1711339200000,23212
2024-03-26 04:00:00,1072926.0,244.8546,243.56,245.07,245.25,243.395,1711425600000,25359
2024-03-27 04:00:00,1132583.0,248.22,246.95,248.33,249.43,246.8839,1711512000000,28187
2024-03-28 04:00:00,1302005.0,249.7401,249.63,249.74,251.06,249.03,1711598400000,25878
2024-04-01 04:00:00,1535471.0,245.7333,250.38,245.31,250.61,245.015,1711944000000,28159
2024-04-02 04:00:00,2297388.0,246.9925,240.11,247.66,248.725,239.72,1712030400000,40408
2024-04-03 04:00:00,2370064.0,245.4583,247.82,245.13,248.41,244.74,1712116800000,32723
2024-04-04 04:00:00,1690648.0,242.7968,247.57,241.49,247.62,241.4,1712203200000,35425
2024-04-05 04:00:00,1420080.0,244.7635,241.95,244.85,245.92,241.2725,1712289600000,29509
2024-04-08 04:00:00,905591.0,246.2109,244.37,246.64,247.0,244.27,1712548800000,22825
2024-04-09 04:00:00,1158725.0,248.9236,248.3,250.01,250.1,246.59,1712635200000,29144
2024-04-10 04:00:00,1263249.0,245.6922,248.335,245.79,248.79,244.33,1712721600000,28051
2024-04-11 04:00:00,1099177.0,244.6713,246.53,244.42,246.77,242.965,1712808000000,24455
2024-04-12 04:00:00,1226399.0,243.5592,242.93,243.85,244.195,242.19,1712894400000,24960
2024-04-15 04:00:00,1383647.0,244.5581,247.08,244.08,247.32,243.12,1713153600000,29842
2024-04-16 04:00:00,1457660.0,244.4201,245.01,244.21,245.53,243.43,1713240000000,32895
2024-04-17 04:00:00,1126134.0,243.2036,245.08,242.9,245.08,242.03,1713326400000,26335
2024-04-18 04:00:00,1454355.0,242.3662,244.5,241.99,245.0,241.665,1713412800000,27869
2024-04-19 04:00:00,1638705.0,243.2455,243.81,243.31,244.28,242.45,1713499200000,32174
2024-04-22 04:00:00,1329014.0,246.0684,245.1,246.31,247.58,243.92,1713758400000,26577
2024-04-23 04:00:00,1661848.0,246.9673,246.76,246.84,248.09,245.93,1713844800000,32960
2024-04-24 04:00:00,1455810.0,246.1711,244.64,246.61,246.86,244.32,1713931200000,25054
2024-04-25 04:00:00,1224550.0,246.3341,249.57,246.34,250.3,244.405,1714017600000,30562
2024-04-26 04:00:00,1555489.0,244.2373,244.1,243.07,246.71,242.96,1714104000000,31058
2024-04-29 04:00:00,1153482.0,243.8696,244.05,243.95,244.95,243.18,1714363200000,25602
2024-04-30 04:00:00,1945077.0,242.592,244.19,241.89,244.49,241.81,1714449600000,40418
2024-05-01 04:00:00,2782446.0,249.7503,249.69,247.33,253.7155,244.52,1714536000000,64603
