date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1459094.0,83.217,82.47,83.61,83.7,82.0,1705554000000,25635
2024-01-19 05:00:00,2250258.0,84.2386,84.24,84.37,84.45,83.39,1705640400000,26950
2024-01-22 05:00:00,1808758.0,84.5342,84.5,84.5,84.9899,84.32,1705899600000,22028
2024-01-23 05:00:00,1200962.0,84.5441,84.08,84.64,84.86,83.8,1705986000000,20078
2024-01-24 05:00:00,1559117.0,85.0861,85.17,85.0,85.49,84.71,1706072400000,24521
2024-01-25 05:00:00,1372664.0,84.8402,85.25,84.89,85.39,84.48,1706158800000,24052
2024-01-26 05:00:00,1167980.0,85.2172,85.08,85.31,85.38,84.45,1706245200000,19682
2024-01-29 05:00:00,1737617.0,84.5374,84.93,84.59,85.3,84.07,1706504400000,25817
2024-01-30 05:00:00,1663576.0,85.2448,84.62,85.73,85.75,84.21,1706590800000,28397
2024-01-31 05:00:00,2820008.0,84.7853,86.0,84.34,86.2,84.29,1706677200000,38925
2024-02-01 05:00:00,9777505.0,76.3734,78.87,76.2,79.8,75.075,1706763600000,118477
2024-02-02 05:00:00,4071306.0,76.702,76.91,76.82,77.62,76.2,1706850000000,53058
2024-02-05 05:00:00,3068663.0,76.2714,76.15,76.33,76.61,75.44,1707109200000,40750
2024-02-06 05:00:00,3157126.0,76.9257,76.2,76.92,77.3916,75.69,1707195600000,37092
2024-02-07 05:00:00,3192535.0,78.5667,77.37,78.83,79.02,77.25,1707282000000,35390
2024-02-08 05:00:00,1924930.0,77.9841,78.63,78.11,78.975,77.41,1707368400000,31058
2024-02-09 05:00:00,1950954.0,78.093,77.73,78.23,78.365,77.56,1707454800000,27477
2024-02-12 05:00:00,2333377.0,78.5108,78.1,78.51,78.91,78.1,1707714000000,33622
2024-02-13 05:00:00,2973836.0,77.8803,78.87,78.06,79.31,77.01,1707800400000,35387
2024-02-14 05:00:00,1927554.0,78.6939,78.23,78.92,79.07,78.2,1707886800000,27931
2024-02-15 05:00:00,1894926.0,80.0801,79.19,80.17,80.545,79.03,1707973200000,29326
2024-02-16 05:00:00,2185647.0,79.704,79.91,79.38,80.28,79.35,1708059600000,28062
2024-02-20 05:00:00,2173295.0,78.9319,78.43,78.78,79.42,78.38,1708405200000,26716
2024-02-21 05:00:00,2087929.0,79.1912,79.28,79.26,79.62,78.6,1708491600000,28490
2024-02-22 05:00:00,2073410.0,79.637,79.34,79.65,80.18,79.21,1708578000000,26345
2024-02-23 05:00:00,1870992.0,80.3251,79.71,80.41,80.56,79.54,1708664400000,26725
2024-02-26 05:00:00,2056205.0,79.8324,80.1,79.7,80.615,79.6,1708923600000,27240
2024-02-27 05:00:00,1662954.0,80.0679,79.57,80.21,80.3,79.405,1709010000000,25107
2024-02-28 05:00:00,1759550.0,80.5917,80.2,80.56,80.97,80.06,1709096400000,26582
2024-02-29 05:00:00,4337990.0,80.7018,80.97,80.74,81.255,80.34,1709182800000,33178
2024-03-01 05:00:00,2197398.0,80.4741,80.56,80.43,80.79,80.15,1709269200000,30186
2024-03-04 05:00:00,2540297.0,79.38,79.79,79.74,79.8,78.62,1709528400000,39323
2024-03-05 05:00:00,2033610.0,80.6441,79.61,80.83,80.925,79.2194,1709614800000,30083
