date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1573673.0,151.8703,151.78,152.92,153.3,150.17,1705554000000,28044
2024-01-19 05:00:00,1989714.0,155.2495,155.0,154.88,156.52,154.13,1705640400000,37486
2024-01-22 05:00:00,940568.0,155.5372,155.43,155.39,156.32,155.17,1705899600000,20825
2024-01-23 05:00:00,1140730.0,154.4573,155.39,154.11,156.79,153.84,1705986000000,23663
2024-01-24 05:00:00,2374686.0,158.3441,155.63,157.42,159.6,155.57,1706072400000,36832
2024-01-25 05:00:00,1253495.0,158.2962,158.39,159.06,159.36,156.9279,1706158800000,24256
2024-01-26 05:00:00,1034876.0,158.35,158.88,158.37,159.02,157.89,1706245200000,21772
2024-01-29 05:00:00,1277049.0,156.4597,157.28,156.06,158.12,155.73,1706504400000,23451
2024-01-30 05:00:00,1135526.0,156.268,155.96,156.49,156.855,154.97,1706590800000,22797
2024-01-31 05:00:00,1349751.0,155.7029,156.85,155.25,157.2899,154.99,1706677200000,24337
2024-02-01 05:00:00,1005083.0,155.6416,154.34,156.19,156.53,153.42,1706763600000,25032
2024-02-02 05:00:00,1088332.0,157.3285,156.99,157.37,158.2,156.615,1706850000000,22034
2024-02-05 05:00:00,1331467.0,156.6683,156.46,156.83,157.44,155.69,1707109200000,24847
2024-02-06 05:00:00,966156.0,157.1267,156.45,157.35,157.855,156.02,1707195600000,20493
2024-02-07 05:00:00,1871259.0,158.5695,157.7,158.6,159.33,157.535,1707282000000,32982
2024-02-08 05:00:00,3791930.0,162.7559,163.0,161.75,168.05,159.95,1707368400000,55432
2024-02-09 05:00:00,1563938.0,159.6259,160.35,160.03,160.59,158.53,1707454800000,31050
2024-02-12 05:00:00,1196332.0,159.5116,160.79,159.32,160.99,158.91,1707714000000,25305
2024-02-13 05:00:00,1383294.0,158.1773,160.83,158.58,160.83,157.13,1707800400000,28067
2024-02-14 05:00:00,1467584.0,161.0561,159.17,161.39,161.76,157.95,1707886800000,28438
2024-02-15 05:00:00,1757347.0,161.5302,162.23,161.89,162.61,160.14,1707973200000,31444
