date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,569864.0,80.4533,80.75,80.58,80.97,79.84,1705554000000,11929
2024-01-19 05:00:00,772269.0,81.0328,80.56,81.21,81.63,80.07,1705640400000,12672
2024-01-22 05:00:00,889104.0,82.0686,81.64,82.12,82.41,81.39,1705899600000,15621
2024-01-23 05:00:00,1234243.0,81.87,82.08,81.85,82.35,81.32,1705986000000,17933
2024-01-24 05:00:00,803882.0,80.7478,82.23,80.33,82.23,80.3,1706072400000,16250
2024-01-25 05:00:00,1034424.0,81.1411,80.9,81.27,81.46,80.805,1706158800000,19405
2024-01-26 05:00:00,846589.0,81.0251,81.34,80.92,81.7,80.58,1706245200000,15832
2024-01-29 05:00:00,962730.0,81.1541,80.95,81.65,81.8,80.6054,1706504400000,18781
2024-01-30 05:00:00,2496515.0,78.7901,78.76,79.72,80.35,76.93,1706590800000,35880
2024-01-31 05:00:00,2569372.0,77.8208,79.86,77.61,79.86,77.09,1706677200000,31162
2024-02-01 05:00:00,1199969.0,79.1671,78.3,79.57,79.7,77.9501,1706763600000,18127
2024-02-02 05:00:00,1058092.0,78.144,79.01,78.33,79.095,77.25,1706850000000,18106
2024-02-05 05:00:00,999950.0,77.1995,78.04,77.09,78.04,76.89,1707109200000,18776
2024-02-06 05:00:00,974224.0,78.0991,77.17,78.22,78.4591,77.095,1707195600000,14830
2024-02-07 05:00:00,878175.0,79.9197,79.02,79.84,80.41,78.92,1707282000000,14912
2024-02-08 05:00:00,835457.0,80.256,80.22,80.25,80.82,79.73,1707368400000,16064
2024-02-09 05:00:00,707610.0,80.4323,80.29,80.54,80.8,79.98,1707454800000,14643
2024-02-12 05:00:00,654047.0,81.2137,80.76,81.28,81.6133,80.43,1707714000000,14371
2024-02-13 05:00:00,1136023.0,79.3263,79.63,79.25,80.3,78.76,1707800400000,15977
2024-02-14 05:00:00,1050615.0,80.8468,80.0,81.17,81.47,79.73,1707886800000,17468
2024-02-15 05:00:00,906736.0,80.9158,81.8,81.0,82.16,80.05,1707973200000,19015
2024-02-16 05:00:00,752019.0,80.3946,80.74,80.09,81.36,80.0,1708059600000,13021
2024-02-20 05:00:00,1040523.0,79.4573,79.55,79.64,80.37,79.055,1708405200000,16430
2024-02-21 05:00:00,781395.0,80.0741,79.91,80.23,80.48,79.6,1708491600000,16615
2024-02-22 05:00:00,843011.0,80.526,80.82,80.61,80.95,79.91,1708578000000,16041
2024-02-23 05:00:00,788480.0,81.2304,80.96,81.4,81.51,80.61,1708664400000,12226
2024-02-26 05:00:00,681303.0,81.5882,81.4,81.59,81.9,81.1,1708923600000,14279
2024-02-27 05:00:00,751252.0,81.9938,81.92,82.3,82.4,81.45,1709010000000,15301
2024-02-28 05:00:00,870782.0,82.9466,82.34,82.89,83.425,82.03,1709096400000,16444
2024-02-29 05:00:00,1464836.0,82.8993,83.47,82.9,83.48,82.51,1709182800000,18001
2024-03-01 05:00:00,1221833.0,83.7734,82.54,83.94,84.0825,82.51,1709269200000,21115
2024-03-04 05:00:00,1016477.0,84.9732,84.0,85.1,85.64,83.97,1709528400000,21130
2024-03-05 05:00:00,989970.0,83.962,84.86,83.69,84.98,83.15,1709614800000,19302
2024-03-06 05:00:00,674659.0,84.5831,84.15,84.5,85.18,84.1,1709701200000,16191
2024-03-07 05:00:00,914317.0,86.314,85.15,86.65,86.81,84.88,1709787600000,16848
2024-03-08 05:00:00,627436.0,86.27,87.04,85.82,87.6,85.66,1709874000000,14543
2024-03-11 04:00:00,699401.0,85.1869,85.64,85.31,85.83,84.622,1710129600000,16343
2024-03-12 04:00:00,658704.0,85.7799,85.4,85.93,86.07,85.02,1710216000000,14560
2024-03-13 04:00:00,810347.0,86.1369,85.97,86.16,86.55,85.54,1710302400000,16358
2024-03-14 04:00:00,941323.0,86.4899,86.26,86.62,86.89,85.985,1710388800000,19254
2024-03-15 04:00:00,2636374.0,87.1268,86.04,87.09,87.905,86.04,1710475200000,21599
2024-03-18 04:00:00,1064332.0,86.1832,87.11,85.86,87.4785,85.675,1710734400000,16965
2024-03-19 04:00:00,773189.0,86.5457,85.97,86.78,86.82,85.7001,1710820800000,14062
2024-03-20 04:00:00,563958.0,87.303,86.93,87.64,87.72,86.4201,1710907200000,11848
2024-03-21 04:00:00,758264.0,89.5134,87.83,89.88,89.96,87.83,1710993600000,15264
2024-03-22 04:00:00,1008449.0,89.3248,89.54,89.28,89.82,88.94,1711080000000,15805
2024-03-25 04:00:00,747935.0,88.3589,89.38,88.04,89.86,88.01,1711339200000,14321
2024-03-26 04:00:00,892414.0,87.9854,88.02,87.88,88.7,87.61,1711425600000,15116
2024-03-27 04:00:00,776326.0,88.6317,88.42,88.85,88.87,88.0,1711512000000,13252
2024-03-28 04:00:00,1003654.0,89.3371,89.07,89.46,89.62,88.725,1711598400000,14288
2024-04-01 04:00:00,676209.0,89.0525,89.33,89.08,89.77,88.68,1711944000000,13602
2024-04-02 04:00:00,921105.0,88.4697,88.71,88.55,88.8999,87.89,1712030400000,16696
2024-04-03 04:00:00,899036.0,88.7675,88.55,88.65,89.415,88.29,1712116800000,17222
2024-04-04 04:00:00,1036566.0,87.8977,89.39,87.14,89.69,86.96,1712203200000,19439
2024-04-05 04:00:00,921497.0,87.4862,87.39,87.54,88.025,86.79,1712289600000,19535
2024-04-08 04:00:00,902744.0,87.3724,88.05,86.97,88.05,86.95,1712548800000,18169
2024-04-09 04:00:00,1251576.0,86.2355,87.1,86.47,87.1,85.18,1712635200000,24944
2024-04-10 04:00:00,1002803.0,85.4855,84.8,85.53,86.07,83.87,1712721600000,20912
2024-04-11 04:00:00,901751.0,85.9502,85.96,86.15,86.38,85.09,1712808000000,16724
2024-04-12 04:00:00,1178432.0,86.2073,85.33,86.5,86.58,85.33,1712894400000,23051
2024-04-15 04:00:00,770873.0,85.8501,87.94,85.15,87.9905,84.99,1713153600000,18297
2024-04-16 04:00:00,886859.0,85.287,84.98,85.4,85.75,84.61,1713240000000,21951
2024-04-17 04:00:00,1686718.0,86.1272,85.83,86.46,86.8,85.21,1713326400000,28679
2024-04-18 04:00:00,1199520.0,87.0736,87.0,86.69,87.93,86.505,1713412800000,24072
2024-04-19 04:00:00,1134607.0,86.3865,86.81,86.07,87.44,85.851,1713499200000,22033
2024-04-22 04:00:00,1268037.0,87.0737,86.25,86.9,87.9,85.7801,1713758400000,23449
2024-04-23 04:00:00,695190.0,87.8694,87.24,87.92,88.23,86.92,1713844800000,15339
2024-04-24 04:00:00,1267335.0,87.0312,87.77,87.0,88.77,86.3,1713931200000,23278
