date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1904904.0,96.1354,96.55,96.58,96.92,95.1405,1705554000000,30561
2024-01-19 05:00:00,2653862.0,97.9146,97.12,98.94,98.94,95.82,1705640400000,37346
2024-01-22 05:00:00,2062672.0,97.8467,99.33,97.45,99.63,97.37,1705899600000,22718
2024-01-23 05:00:00,2301950.0,95.6894,97.42,95.31,97.5,95.2,1705986000000,30391
2024-01-24 05:00:00,2279344.0,97.9035,96.12,98.08,98.795,95.85,1706072400000,34110
2024-01-25 05:00:00,2973440.0,99.6959,99.03,99.98,100.05,98.49,1706158800000,36810
2024-01-26 05:00:00,2053756.0,99.9495,100.29,100.31,100.5,99.325,1706245200000,26275
2024-01-29 05:00:00,2121891.0,100.707,100.11,101.21,101.33,99.5785,1706504400000,26537
2024-01-30 05:00:00,3104966.0,101.2612,101.54,101.6,101.9,100.18,1706590800000,34444
2024-01-31 05:00:00,3337036.0,101.1913,100.95,100.4,102.21,100.37,1706677200000,38521
2024-02-01 05:00:00,2817213.0,99.6436,100.78,100.55,101.66,98.0,1706763600000,36671
2024-02-02 05:00:00,2223262.0,103.0169,101.01,103.13,103.81,101.01,1706850000000,33346
2024-02-05 05:00:00,1701932.0,102.9257,102.72,103.0,103.41,102.03,1707109200000,27242
2024-02-06 05:00:00,2163868.0,103.9374,103.25,104.47,104.84,102.82,1707195600000,29531
2024-02-07 05:00:00,3283981.0,105.6406,105.0,105.9,106.525,104.17,1707282000000,39221
2024-02-08 05:00:00,3047268.0,107.3607,104.56,107.41,108.9599,103.81,1707368400000,44415
2024-02-09 05:00:00,4078170.0,109.0642,106.76,109.93,110.23,106.16,1707454800000,48488
2024-02-12 05:00:00,2929148.0,109.953,109.85,108.88,111.725,108.86,1707714000000,45382
2024-02-13 05:00:00,3421096.0,109.5216,106.9,109.87,111.15,106.9,1707800400000,47757
2024-02-14 05:00:00,2922096.0,112.0836,110.4,112.57,113.08,110.4,1707886800000,42115
2024-02-15 05:00:00,3145511.0,113.7546,112.97,114.05,114.29,112.825,1707973200000,32590
2024-02-16 05:00:00,3293089.0,113.7675,114.0,112.71,115.03,112.7,1708059600000,42863
2024-02-20 05:00:00,2653431.0,109.8933,111.25,109.6,112.0,109.09,1708405200000,33459
2024-02-21 05:00:00,2339932.0,109.245,108.81,109.28,110.1125,107.89,1708491600000,27105
2024-02-22 05:00:00,2359731.0,111.5238,111.5,111.51,112.42,110.06,1708578000000,32791
2024-02-23 05:00:00,2606328.0,111.5177,112.07,111.61,112.47,110.76,1708664400000,36654
2024-02-26 05:00:00,1958902.0,111.3921,112.0,110.88,112.375,110.85,1708923600000,27692
2024-02-27 05:00:00,1898697.0,110.7333,110.84,110.82,111.19,109.77,1709010000000,24796
2024-02-28 05:00:00,3512275.0,111.6668,110.61,111.79,112.47,110.5,1709096400000,29231
2024-02-29 05:00:00,2881202.0,111.4019,112.0,111.8,112.22,110.11,1709182800000,33709
2024-03-01 05:00:00,3255788.0,110.6812,111.56,111.01,113.62,109.852,1709269200000,47022
2024-03-04 05:00:00,3300828.0,111.2995,110.06,111.36,112.19,108.37,1709528400000,49316
2024-03-05 05:00:00,2132860.0,109.6565,111.21,109.41,111.62,109.01,1709614800000,34024
2024-03-06 05:00:00,2315936.0,109.201,110.12,108.8,110.88,108.44,1709701200000,33934
2024-03-07 05:00:00,1639648.0,110.4346,109.05,110.91,111.22,108.45,1709787600000,29891
2024-03-08 05:00:00,1757392.0,109.2446,111.0,108.75,111.11,107.92,1709874000000,25085
2024-03-11 04:00:00,2446514.0,108.2895,108.75,108.76,108.9,107.17,1710129600000,29160
2024-03-12 04:00:00,1545507.0,109.8482,109.0,109.94,110.37,108.3,1710216000000,22276
2024-03-13 04:00:00,1553807.0,110.3985,109.94,109.98,111.63,109.8104,1710302400000,25269
2024-03-14 04:00:00,1984156.0,109.6322,110.32,110.01,110.395,108.8,1710388800000,29918
2024-03-15 04:00:00,4125694.0,110.4327,109.22,110.41,110.99,109.06,1710475200000,36618
2024-03-18 04:00:00,2235861.0,110.7149,110.79,110.28,111.7492,110.1,1710734400000,27742
2024-03-19 04:00:00,2338018.0,110.699,110.0,110.74,111.46,109.6,1710820800000,24428
2024-03-20 04:00:00,3427562.0,111.6728,110.48,112.64,112.7,110.0,1710907200000,38379
2024-03-21 04:00:00,3599622.0,115.2786,113.99,114.53,116.55,113.69,1710993600000,43871
