date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,307518.0,195.9679,195.39,196.37,196.54,195.0,1705467600000,9866
2024-01-18 05:00:00,274187.0,197.5299,196.51,198.49,198.61,195.48,1705554000000,8585
2024-01-19 05:00:00,349982.0,199.8025,198.99,200.6,200.71,197.445,1705640400000,9020
2024-01-22 05:00:00,337411.0,201.8986,200.72,202.08,202.62,200.63,1705899600000,7761
2024-01-23 05:00:00,407682.0,201.5177,203.07,201.03,204.51,200.365,1705986000000,11155
2024-01-24 05:00:00,319079.0,199.2042,201.88,198.46,203.17,198.42,1706072400000,9630
2024-01-25 05:00:00,393666.0,200.2841,201.38,200.41,202.98,199.38,1706158800000,11451
2024-01-26 05:00:00,404380.0,200.7254,201.23,201.0,201.585,199.59,1706245200000,10171
2024-01-29 05:00:00,601414.0,199.2347,200.52,199.91,201.0,197.88,1706504400000,13609
2024-01-30 05:00:00,708725.0,201.0664,198.96,201.24,202.31,198.65,1706590800000,16687
2024-01-31 05:00:00,1177613.0,199.7,203.34,199.45,203.77,196.92,1706677200000,24164
2024-02-01 05:00:00,648339.0,198.2393,200.72,199.46,201.66,194.15,1706763600000,16652
2024-02-02 05:00:00,693249.0,198.2395,197.85,198.86,199.66,194.78,1706850000000,16208
2024-02-05 05:00:00,1091358.0,196.3478,196.76,195.94,198.85,195.56,1707109200000,16662
2024-02-06 05:00:00,573925.0,197.5127,195.71,198.44,199.07,194.71,1707195600000,13530
2024-02-07 05:00:00,494585.0,202.6163,199.8,203.07,203.25,198.775,1707282000000,12490
2024-02-08 05:00:00,354843.0,202.3275,203.92,202.97,204.52,200.42,1707368400000,10470
2024-02-09 05:00:00,450170.0,204.4216,202.53,204.77,205.15,202.005,1707454800000,11688
2024-02-12 05:00:00,441985.0,207.1781,205.42,206.81,208.46,204.75,1707714000000,12313
2024-02-13 05:00:00,345745.0,203.2774,203.74,203.85,204.71,201.92,1707800400000,11733
2024-02-14 05:00:00,333097.0,205.8009,204.75,206.39,206.46,204.25,1707886800000,10747
2024-02-15 05:00:00,259777.0,208.2847,206.94,208.67,208.93,206.68,1707973200000,9365
2024-02-16 05:00:00,306396.0,209.795,208.33,208.83,211.71,208.33,1708059600000,9163
2024-02-20 05:00:00,606785.0,209.9107,207.76,209.71,211.53,207.53,1708405200000,14645
2024-02-21 05:00:00,359949.0,210.2773,210.01,210.93,211.095,208.73,1708491600000,8376
2024-02-22 05:00:00,572428.0,215.0662,212.0,216.42,216.44,211.35,1708578000000,12883
2024-02-23 05:00:00,455602.0,214.9872,216.82,214.69,217.53,214.09,1708664400000,12036
2024-02-26 05:00:00,321963.0,214.1275,214.54,214.31,214.98,212.96,1708923600000,10025
2024-02-27 05:00:00,318108.0,214.1535,214.74,214.1,215.59,213.53,1709010000000,8612
2024-02-28 05:00:00,301991.0,214.1634,213.03,214.16,215.14,212.82,1709096400000,9562
2024-02-29 05:00:00,1083808.0,216.3686,214.66,216.53,216.92,214.15,1709182800000,12526
2024-03-01 05:00:00,255786.0,216.8997,216.0,216.72,217.84,215.05,1709269200000,8900
2024-03-04 05:00:00,375105.0,217.1952,217.41,216.13,219.57,216.04,1709528400000,9845
2024-03-05 05:00:00,419594.0,216.4779,215.13,216.17,217.75,215.13,1709614800000,11599
2024-03-06 05:00:00,345779.0,214.7374,216.26,214.02,216.985,213.99,1709701200000,10352
2024-03-07 05:00:00,285895.0,216.2033,215.69,216.14,216.8,215.23,1709787600000,7919
2024-03-08 05:00:00,391792.0,216.1768,216.41,215.73,218.39,215.401,1709874000000,9571
2024-03-11 04:00:00,309004.0,215.0734,215.29,215.97,216.63,212.08,1710129600000,10470
2024-03-12 04:00:00,281619.0,216.0219,216.28,216.79,217.01,214.37,1710216000000,9000
2024-03-13 04:00:00,453355.0,215.2825,217.38,214.83,217.815,214.5,1710302400000,12339
2024-03-14 04:00:00,462426.0,214.9498,214.08,215.97,216.47,212.77,1710388800000,13807
2024-03-15 04:00:00,643688.0,215.7103,214.16,215.68,217.92,214.16,1710475200000,10824
2024-03-18 04:00:00,355930.0,215.1205,215.89,214.47,217.155,214.32,1710734400000,8432
2024-03-19 04:00:00,368739.0,215.2508,214.89,215.21,216.22,214.25,1710820800000,8693
2024-03-20 04:00:00,308007.0,216.1245,215.43,216.47,217.27,214.2,1710907200000,8553
2024-03-21 04:00:00,284620.0,218.8094,217.0,218.63,219.76,216.13,1710993600000,8952
2024-03-22 04:00:00,343127.0,216.1085,219.2,215.58,219.2,215.11,1711080000000,11493
2024-03-25 04:00:00,339364.0,217.0012,215.89,217.31,217.61,215.6,1711339200000,9313
2024-03-26 04:00:00,648344.0,220.4653,217.44,219.41,223.07,217.44,1711425600000,16189
2024-03-27 04:00:00,470166.0,223.0957,220.06,224.24,224.24,219.09,1711512000000,12783
2024-03-28 04:00:00,316695.0,223.6413,224.35,223.25,225.255,223.07,1711598400000,9408
2024-04-01 04:00:00,256000.0,223.3184,223.41,223.57,224.38,222.2,1711944000000,9065
2024-04-02 04:00:00,402919.0,220.4008,222.56,220.37,222.645,219.71,1712030400000,11651
2024-04-03 04:00:00,358757.0,220.6977,220.39,221.14,221.58,219.515,1712116800000,10896
2024-04-04 04:00:00,385572.0,218.5929,222.76,217.14,223.92,216.83,1712203200000,10527
2024-04-05 04:00:00,361104.0,217.8404,216.85,218.11,218.69,215.88,1712289600000,9237
2024-04-08 04:00:00,322582.0,218.5609,218.62,218.2,220.31,217.29,1712548800000,10342
2024-04-09 04:00:00,293380.0,219.1161,218.44,219.52,219.72,217.42,1712635200000,8535
2024-04-10 04:00:00,389052.0,216.0782,216.68,215.52,217.98,215.34,1712721600000,8553
2024-04-11 04:00:00,325176.0,215.2472,215.7,215.0,216.54,214.52,1712808000000,9068
2024-04-12 04:00:00,460399.0,211.7251,212.75,211.23,214.8144,211.1,1712894400000,11437
2024-04-15 04:00:00,286354.0,211.9312,213.95,211.28,215.485,210.265,1713153600000,9988
2024-04-16 04:00:00,333589.0,210.9794,211.35,211.09,212.085,209.38,1713240000000,12008
2024-04-17 04:00:00,442694.0,209.8707,212.77,208.92,213.32,208.74,1713326400000,10803
2024-04-18 04:00:00,340648.0,209.5828,209.92,209.35,210.95,208.41,1713412800000,9386
2024-04-19 04:00:00,618567.0,211.2668,209.32,211.57,212.0,209.32,1713499200000,11855
2024-04-22 04:00:00,428356.0,211.9079,211.68,211.77,213.3499,210.65,1713758400000,11862
2024-04-23 04:00:00,852613.0,210.9583,211.14,211.33,212.24,209.92,1713844800000,19342
2024-04-24 04:00:00,798682.0,213.8464,217.64,212.42,224.6,210.535,1713931200000,23224
2024-04-25 04:00:00,672113.0,216.06,211.84,217.16,217.75,211.84,1714017600000,16358
2024-04-26 04:00:00,556567.0,219.0255,217.73,219.03,220.61,217.575,1714104000000,14739
2024-04-29 04:00:00,508662.0,218.9055,220.0,218.39,222.23,217.86,1714363200000,12440
2024-04-30 04:00:00,625100.0,217.1769,216.9,217.28,219.0,215.46,1714449600000,11779
2024-05-01 04:00:00,432899.0,218.4754,218.66,217.83,221.945,216.365,1714536000000,11738
2024-05-02 04:00:00,364537.0,219.2866,218.84,219.51,220.4999,217.28,1714622400000,12242
2024-05-03 04:00:00,319981.0,221.4927,220.78,221.55,222.615,220.5,1714708800000,11294
2024-05-06 04:00:00,499423.0,221.8425,222.0,222.14,223.62,220.83,1714968000000,14057
2024-05-07 04:00:00,295742.0,224.1389,223.18,223.9,225.26,223.095,1715054400000,9359
2024-05-08 04:00:00,423240.0,224.9066,223.62,225.1,225.5479,223.56,1715140800000,9235
2024-05-09 04:00:00,417001.0,226.9617,225.0,227.64,228.145,224.26,1715227200000,8757
