date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1083265.0,126.1307,127.99,125.83,128.11,125.41,1705554000000,22558
2024-01-19 05:00:00,1301186.0,125.3326,126.05,125.3,126.25,124.48,1705640400000,25064
2024-01-22 05:00:00,1137242.0,126.8781,125.42,126.86,127.64,125.3,1705899600000,22596
2024-01-23 05:00:00,1247760.0,126.291,127.45,126.26,128.02,125.65,1705986000000,22889
2024-01-24 05:00:00,1279615.0,122.4921,127.13,121.94,127.29,121.38,1706072400000,27861
2024-01-25 05:00:00,1196342.0,123.2181,123.04,123.98,123.99,122.23,1706158800000,26512
2024-01-26 05:00:00,748986.0,123.4385,124.6,123.16,124.99,122.94,1706245200000,17549
2024-01-29 05:00:00,1252053.0,125.0951,124.47,125.75,126.35,122.39,1706504400000,24168
2024-01-30 05:00:00,1056936.0,124.6095,125.03,124.4,125.48,123.96,1706590800000,20506
2024-01-31 05:00:00,1607733.0,124.3638,125.51,124.02,126.58,123.15,1706677200000,21160
2024-02-01 05:00:00,1148411.0,124.6601,123.86,125.24,125.36,122.92,1706763600000,23019
2024-02-02 05:00:00,1201212.0,123.5402,123.27,123.36,124.96,122.27,1706850000000,24709
2024-02-05 05:00:00,1205865.0,121.7515,121.95,121.52,122.52,121.18,1707109200000,23318
2024-02-06 05:00:00,1375825.0,122.3231,121.36,122.52,122.89,120.61,1707195600000,22804
2024-02-07 05:00:00,1372673.0,121.9995,122.36,121.95,123.0,121.365,1707282000000,22294
2024-02-08 05:00:00,1269170.0,121.4897,121.62,121.83,122.01,120.55,1707368400000,19381
2024-02-09 05:00:00,1231231.0,122.0617,121.42,122.2,122.62,121.05,1707454800000,18724
2024-02-12 05:00:00,1301881.0,123.1199,122.16,123.64,123.85,121.55,1707714000000,24727
2024-02-13 05:00:00,1789739.0,119.8147,121.72,119.78,122.3524,118.98,1707800400000,33103
2024-02-14 05:00:00,1462681.0,120.4119,120.0,120.48,120.97,119.24,1707886800000,29741
2024-02-15 05:00:00,1749524.0,123.42,122.32,124.26,124.34,120.61,1707973200000,32172
2024-02-16 05:00:00,2007924.0,122.6152,122.2,122.82,123.19,120.85,1708059600000,25489
2024-02-20 05:00:00,2187466.0,121.3949,122.09,121.16,123.225,120.49,1708405200000,36349
2024-02-21 05:00:00,2828396.0,121.4336,121.13,121.73,122.0,120.41,1708491600000,38690
2024-02-22 05:00:00,2401556.0,119.2302,121.43,119.68,121.68,117.81,1708578000000,36517
2024-02-23 05:00:00,1671990.0,119.0665,119.53,118.96,119.9,118.315,1708664400000,27947
2024-02-26 05:00:00,1944049.0,117.6119,118.83,117.43,118.83,116.7,1708923600000,27568
2024-02-27 05:00:00,1464378.0,117.7571,117.33,118.03,118.32,117.0291,1709010000000,23495
2024-02-28 05:00:00,1443675.0,118.1064,118.22,117.91,119.21,117.46,1709096400000,23639
2024-02-29 05:00:00,2159168.0,118.5117,118.79,118.54,119.41,117.45,1709182800000,23808
2024-03-01 05:00:00,1789503.0,119.208,118.18,119.68,120.37,116.8514,1709269200000,27751
2024-03-04 05:00:00,1274044.0,120.909,118.91,121.7,121.875,118.83,1709528400000,24660
2024-03-05 05:00:00,1479100.0,119.7443,121.87,119.26,122.41,118.57,1709614800000,25020
2024-03-06 05:00:00,1313759.0,120.0847,120.15,120.31,120.92,119.36,1709701200000,23240
2024-03-07 05:00:00,2097369.0,119.1644,119.56,118.61,120.42,118.08,1709787600000,31215
2024-03-08 05:00:00,2312660.0,118.4983,119.93,118.44,120.0,117.84,1709874000000,33740
2024-03-11 04:00:00,1574522.0,119.9957,118.06,120.33,121.07,118.06,1710129600000,26917
2024-03-12 04:00:00,1821090.0,119.3865,119.53,119.18,120.73,118.23,1710216000000,26346
2024-03-13 04:00:00,1293502.0,120.692,118.98,120.54,121.56,118.66,1710302400000,27081
2024-03-14 04:00:00,1354887.0,118.321,120.12,118.48,120.645,117.46,1710388800000,27823
2024-03-15 04:00:00,4764655.0,117.1599,117.02,117.14,118.4,116.65,1710475200000,34016
2024-03-18 04:00:00,1394511.0,117.273,117.15,117.23,118.21,116.38,1710734400000,24614
2024-03-19 04:00:00,1061055.0,117.6867,117.74,118.0,118.33,116.93,1710820800000,19043
2024-03-20 04:00:00,1134351.0,117.7531,117.76,118.09,118.16,116.7,1710907200000,21738
2024-03-21 04:00:00,1025956.0,118.7031,118.98,118.21,120.17,118.06,1710993600000,19640
2024-03-22 04:00:00,906071.0,117.816,119.06,117.75,119.06,117.34,1711080000000,19566
2024-03-25 04:00:00,1082988.0,117.2807,117.89,117.14,118.49,116.99,1711339200000,22273
2024-03-26 04:00:00,1739750.0,117.4432,116.98,117.84,117.91,116.585,1711425600000,29134
2024-03-27 04:00:00,1805146.0,121.0183,118.55,121.5,121.72,117.97,1711512000000,28202
2024-03-28 04:00:00,2004209.0,121.6579,121.69,122.21,122.375,120.435,1711598400000,30926
2024-04-01 04:00:00,913897.0,120.2305,122.44,120.3,122.5,119.54,1711944000000,17738
2024-04-02 04:00:00,1183148.0,119.7823,120.11,119.56,121.47,118.82,1712030400000,19304
2024-04-03 04:00:00,1101351.0,119.0729,119.19,118.93,119.775,118.2565,1712116800000,19668
2024-04-04 04:00:00,1272608.0,120.3246,120.1,120.38,120.96,119.255,1712203200000,26119
2024-04-05 04:00:00,1109007.0,118.5085,119.24,118.52,120.03,117.85,1712289600000,22391
2024-04-08 04:00:00,1217020.0,119.8312,118.84,120.02,120.46,118.64,1712548800000,20293
2024-04-09 04:00:00,1492928.0,121.5457,120.78,121.85,122.21,120.18,1712635200000,23536
2024-04-10 04:00:00,2354580.0,117.9418,118.99,118.31,119.33,117.03,1712721600000,33821
2024-04-11 04:00:00,1697256.0,117.8894,119.22,117.82,119.6,116.9,1712808000000,23576
2024-04-12 04:00:00,1072122.0,116.7322,117.87,116.57,117.87,115.97,1712894400000,22347
2024-04-15 04:00:00,1862849.0,115.9735,116.72,115.98,117.42,115.13,1713153600000,27003
2024-04-16 04:00:00,2331081.0,114.0799,115.45,113.82,115.45,113.34,1713240000000,33021
2024-04-17 04:00:00,1902807.0,114.8924,113.84,115.4,115.77,113.53,1713326400000,30017
2024-04-18 04:00:00,1399827.0,116.8157,116.12,117.35,117.57,115.0905,1713412800000,27478
2024-04-19 04:00:00,1874555.0,118.5744,117.94,118.52,119.39,117.65,1713499200000,27683
2024-04-22 04:00:00,1247628.0,119.1831,118.6,119.26,119.79,117.665,1713758400000,23776
2024-04-23 04:00:00,1255475.0,119.999,119.31,119.87,120.55,119.02,1713844800000,23160
2024-04-24 04:00:00,1297995.0,120.9943,118.79,121.36,121.66,118.15,1713931200000,25082
2024-04-25 04:00:00,1404208.0,121.477,121.37,121.55,122.37,119.925,1714017600000,25505
2024-04-26 04:00:00,1058519.0,121.2766,121.69,120.78,122.21,120.76,1714104000000,21502
2024-04-29 04:00:00,2486241.0,122.1828,121.73,122.28,122.5678,121.67,1714363200000,21361
2024-04-30 04:00:00,1325075.0,122.3417,121.51,122.32,123.0975,120.99,1714449600000,25110
2024-05-01 04:00:00,2712491.0,124.7342,122.12,125.12,125.85,122.09,1714536000000,37297
2024-05-02 04:00:00,2778751.0,125.2509,123.73,125.95,126.09,122.4,1714622400000,28791
2024-05-03 04:00:00,1735768.0,128.1819,127.82,128.75,128.85,127.215,1714708800000,33181
2024-05-06 04:00:00,1479489.0,129.8539,129.62,130.25,130.39,128.21,1714968000000,24319
2024-05-07 04:00:00,1597727.0,131.6937,131.3,131.82,132.46,130.09,1715054400000,28336
2024-05-08 04:00:00,1417915.0,132.4813,131.4,132.87,133.0,131.195,1715140800000,23173
2024-05-09 04:00:00,1308683.0,134.2108,132.87,134.38,134.78,132.18,1715227200000,21949
2024-05-10 04:00:00,1763571.0,135.2794,134.83,135.5,135.71,134.41,1715313600000,30739
2024-05-13 04:00:00,852532.0,133.9612,135.0,133.78,135.53,133.28,1715572800000,18836
2024-05-14 04:00:00,1060894.0,133.4764,134.83,133.13,135.0,132.86,1715659200000,21993
2024-05-15 04:00:00,1281741.0,133.7324,134.75,133.75,135.11,133.08,1715745600000,26933
2024-05-16 04:00:00,1248229.0,134.1272,133.41,134.27,134.61,133.0901,1715832000000,19397
2024-05-17 04:00:00,924165.0,133.6931,134.14,133.76,134.14,133.14,1715918400000,17446
2024-05-20 04:00:00,913972.0,133.6326,133.8,133.57,133.98,132.47,1716177600000,17774
2024-05-21 04:00:00,715990.0,133.9113,133.59,134.36,134.38,132.82,1716264000000,15658
2024-05-22 04:00:00,1495438.0,133.8469,134.11,133.75,134.59,133.16,1716350400000,21984
2024-05-23 04:00:00,1031845.0,129.2223,132.84,128.6,132.84,128.401,1716436800000,20559
2024-05-24 04:00:00,830758.0,128.0432,128.69,128.23,128.93,127.59,1716523200000,16620
2024-05-28 04:00:00,1164681.0,126.6812,128.05,126.24,128.9714,126.02,1716868800000,18455
2024-05-29 04:00:00,987799.0,124.1674,125.02,124.11,125.29,123.68,1716955200000,18808
2024-05-30 04:00:00,886781.0,125.7375,124.58,126.28,126.36,124.11,1717041600000,16286
2024-05-31 04:00:00,3003142.0,130.3614,126.87,130.77,130.94,126.63,1717128000000,29602
2024-06-03 04:00:00,1186025.0,130.8668,131.13,130.77,132.22,130.01,1717387200000,22187
2024-06-04 04:00:00,1134847.0,132.4166,130.77,132.82,133.16,130.24,1717473600000,23894
2024-06-05 04:00:00,861086.0,131.7081,132.62,131.68,132.62,131.11,1717560000000,21026
2024-06-06 04:00:00,797867.0,130.8711,131.1,130.62,132.16,130.1315,1717646400000,17639
2024-06-07 04:00:00,1096066.0,128.4666,129.27,128.25,129.56,128.15,1717732800000,19547
2024-06-10 04:00:00,1185307.0,128.322,128.0,128.56,128.85,127.33,1717992000000,20981
2024-06-11 04:00:00,1050547.0,127.975,127.52,127.92,128.865,127.1,1718078400000,17376
2024-06-12 04:00:00,846702.0,129.017,130.57,128.13,130.88,128.05,1718164800000,18146
2024-06-13 04:00:00,947213.0,129.0099,128.1,129.22,129.93,127.19,1718251200000,18802
2024-06-14 04:00:00,953785.0,129.0899,128.41,129.3,129.685,127.44,1718337600000,17011
2024-06-17 04:00:00,781879.0,128.8795,128.28,128.72,130.03,127.36,1718596800000,14848
2024-06-18 04:00:00,1085222.0,130.1748,128.19,130.47,130.65,128.13,1718683200000,20788
2024-06-20 04:00:00,1061582.0,130.2724,130.5,130.26,131.0,129.45,1718856000000,19395
2024-06-21 04:00:00,1960281.0,130.4559,130.28,130.54,131.69,129.46,1718942400000,19969
