date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3215221.0,179.2516,180.1,179.79,180.19,177.81,1705554000000,60616
2024-01-19 05:00:00,3388875.0,182.1395,181.0,183.17,183.38,179.41,1705640400000,60288
2024-01-22 05:00:00,3145306.0,185.1296,184.26,185.01,186.77,184.06,1705899600000,52374
2024-01-23 05:00:00,2327575.0,185.4308,185.68,185.47,186.02,184.81,1705986000000,47010
2024-01-24 05:00:00,3052485.0,186.8368,187.09,185.82,188.42,185.725,1706072400000,57203
2024-01-25 05:00:00,3472509.0,187.7855,186.44,188.07,188.33,186.43,1706158800000,67601
2024-01-26 05:00:00,13555402.0,200.7255,192.54,201.43,204.77,192.26,1706245200000,170149
2024-01-29 05:00:00,4935511.0,200.6108,201.91,200.86,202.9,199.07,1706504400000,86365
2024-01-30 05:00:00,4284584.0,203.2395,200.5,204.15,204.44,200.41,1706590800000,78060
2024-01-31 05:00:00,3495246.0,202.5043,202.4,200.74,205.32,200.66,1706677200000,63281
2024-02-01 05:00:00,3025286.0,202.3419,200.36,203.22,203.47,199.88,1706763600000,61538
2024-02-02 05:00:00,3393186.0,205.7731,203.39,206.41,206.97,203.0,1706850000000,63783
2024-02-05 05:00:00,3099394.0,205.4111,205.49,205.94,206.72,203.42,1707109200000,62746
2024-02-06 05:00:00,3255282.0,205.1207,205.44,205.65,207.08,204.0,1707195600000,54178
2024-02-07 05:00:00,3272239.0,208.2617,207.08,209.08,209.15,205.6,1707282000000,54617
2024-02-08 05:00:00,4136649.0,209.9012,208.25,211.21,211.34,207.95,1707368400000,66959
2024-02-09 05:00:00,4785303.0,212.2603,211.55,212.47,214.25,210.41,1707454800000,74234
2024-02-12 05:00:00,4041427.0,212.699,212.25,212.26,214.01,211.61,1707714000000,64492
2024-02-13 05:00:00,3381728.0,209.1433,210.22,209.67,210.97,207.61,1707800400000,66953
2024-02-14 05:00:00,2770792.0,210.2564,211.148,210.9,211.291,208.8243,1707886800000,53659
2024-02-15 05:00:00,2644546.0,212.1769,211.47,212.53,213.12,210.65,1707973200000,51410
2024-02-16 05:00:00,2831527.0,213.2814,212.53,212.56,214.29,211.87,1708059600000,50201
2024-02-20 05:00:00,3341695.0,212.3716,211.0,212.49,213.75,210.28,1708405200000,61716
2024-02-21 05:00:00,2600172.0,210.6181,211.6,210.89,212.69,209.1,1708491600000,50264
2024-02-22 05:00:00,3027833.0,214.4885,212.48,213.99,215.545,212.48,1708578000000,55334
2024-02-23 05:00:00,2617090.0,215.1508,215.0,214.56,216.315,214.255,1708664400000,50960
2024-02-26 05:00:00,2684535.0,216.6197,213.42,216.96,217.54,213.25,1708923600000,54564
2024-02-27 05:00:00,2428235.0,217.415,217.43,217.98,218.08,216.295,1709010000000,48749
2024-02-28 05:00:00,2459415.0,218.2046,217.18,218.03,219.2,216.76,1709096400000,47942
2024-02-29 05:00:00,5186513.0,219.2092,218.99,219.42,219.74,217.65,1709182800000,50847
2024-03-01 05:00:00,2342883.0,219.6575,219.31,219.66,220.38,218.43,1709269200000,48105
2024-03-04 05:00:00,2625426.0,218.4806,219.07,218.91,219.58,217.24,1709528400000,56451
2024-03-05 05:00:00,2672289.0,217.2593,217.44,217.2,218.9,216.1218,1709614800000,51821
2024-03-06 05:00:00,2727955.0,218.2134,217.62,218.45,219.29,217.27,1709701200000,51325
2024-03-07 05:00:00,2974124.0,223.0552,221.01,223.42,224.69,220.81,1709787600000,59071
2024-03-08 05:00:00,2242892.0,223.6731,223.04,223.37,224.895,222.8369,1709874000000,45017
2024-03-11 04:00:00,2808177.0,220.1685,221.92,220.19,222.36,218.2938,1710129600000,55891
2024-03-12 04:00:00,2067715.0,222.1926,221.24,222.65,223.4425,219.64,1710216000000,46504
2024-03-13 04:00:00,2693104.0,222.7994,223.14,222.81,223.49,221.87,1710302400000,46547
2024-03-14 04:00:00,2418002.0,220.8366,224.28,220.47,224.29,219.1,1710388800000,46900
2024-03-15 04:00:00,5267916.0,218.8353,220.98,218.46,221.595,217.217,1710475200000,54644
2024-03-18 04:00:00,1893106.0,220.8189,219.9,220.97,221.73,218.99,1710734400000,38609
2024-03-19 04:00:00,1817740.0,221.3446,221.05,221.69,221.95,219.37,1710820800000,32743
2024-03-20 04:00:00,2249652.0,226.1657,221.49,227.91,228.06,221.225,1710907200000,45111
2024-03-21 04:00:00,3523879.0,229.9885,229.11,229.12,231.69,228.99,1710993600000,60183
2024-03-22 04:00:00,2284653.0,227.1158,229.05,225.96,230.54,225.91,1711080000000,42980
2024-03-25 04:00:00,2119586.0,226.1522,225.34,226.03,226.99,225.23,1711339200000,44105
2024-03-26 04:00:00,2106373.0,225.306,226.62,224.46,226.87,224.32,1711425600000,37244
2024-03-27 04:00:00,2153112.0,226.8373,227.2,227.75,228.0,225.14,1711512000000,42555
2024-03-28 04:00:00,2295844.0,227.4953,228.46,227.69,228.46,226.34,1711598400000,44376
2024-04-01 04:00:00,1616807.0,227.5577,227.44,227.61,228.57,226.83,1711944000000,40350
2024-04-02 04:00:00,1984722.0,225.5803,226.37,225.53,226.97,224.5905,1712030400000,42244
2024-04-03 04:00:00,2070155.0,226.6322,225.81,226.63,227.255,225.25,1712116800000,47073
2024-04-04 04:00:00,3035326.0,222.3142,229.14,219.59,229.68,219.21,1712203200000,52591
2024-04-05 04:00:00,1827905.0,221.9412,220.0,222.46,223.12,219.52,1712289600000,42349
2024-04-08 04:00:00,1401323.0,224.1342,223.46,224.11,224.85,223.125,1712548800000,38836
2024-04-09 04:00:00,3503402.0,220.0072,222.99,219.84,223.93,217.97,1712635200000,58761
2024-04-10 04:00:00,3115019.0,217.5152,217.51,217.65,219.5,215.52,1712721600000,57489
2024-04-11 04:00:00,3139034.0,217.564,217.5,218.2,219.1701,214.5148,1712808000000,58482
2024-04-12 04:00:00,2441341.0,217.4958,217.0,218.2,218.275,216.115,1712894400000,45054
