date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2296548.0,70.9061,71.43,70.94,72.1,70.345,1705554000000,37283
2024-01-19 05:00:00,2219189.0,70.8073,71.0,71.0,71.43,69.66,1705640400000,35685
2024-01-22 05:00:00,3636600.0,73.1823,71.26,73.49,73.735,70.81,1705899600000,49516
2024-01-23 05:00:00,2492258.0,73.2261,74.25,73.07,74.94,72.7256,1705986000000,35452
2024-01-24 05:00:00,1917933.0,73.5492,73.72,73.33,74.76,72.85,1706072400000,31240
2024-01-25 05:00:00,3480462.0,75.0535,74.0,75.21,75.74,74.0,1706158800000,52485
2024-01-26 05:00:00,1973209.0,75.0468,75.5,74.82,76.3,74.58,1706245200000,27831
2024-01-29 05:00:00,3007842.0,73.4182,74.74,73.34,74.86,72.535,1706504400000,40189
2024-01-30 05:00:00,2442198.0,73.1041,72.67,73.32,73.84,71.595,1706590800000,37465
2024-01-31 05:00:00,9978894.0,72.5802,73.03,72.49,73.6,72.0507,1706677200000,53039
2024-02-01 05:00:00,2374540.0,74.3371,72.85,75.24,75.26,72.4,1706763600000,38694
2024-02-02 05:00:00,2399692.0,75.0546,74.54,75.69,76.17,73.25,1706850000000,37693
2024-02-05 05:00:00,1859737.0,74.066,74.61,74.21,74.7,73.4601,1707109200000,26879
2024-02-06 05:00:00,1683703.0,74.6863,74.0,74.84,75.18,73.56,1707195600000,23832
2024-02-07 05:00:00,2014542.0,75.2243,75.29,75.48,75.61,74.22,1707282000000,27548
2024-02-08 05:00:00,1877548.0,75.4166,75.56,75.49,75.94,75.04,1707368400000,33855
2024-02-09 05:00:00,1532922.0,75.3942,75.5,75.6,75.68,74.76,1707454800000,24227
2024-02-12 05:00:00,2578000.0,76.2816,75.79,75.92,77.15,74.67,1707714000000,35896
2024-02-13 05:00:00,2719718.0,73.1406,74.06,72.9,74.67,72.43,1707800400000,47425
2024-02-14 05:00:00,2427051.0,74.0912,73.04,74.6,74.64,72.71,1707886800000,35113
2024-02-15 05:00:00,1873775.0,75.0316,74.79,74.65,75.83,74.49,1707973200000,29556
2024-02-16 05:00:00,1919827.0,74.1594,74.3,73.75,74.92,73.545,1708059600000,30504
2024-02-20 05:00:00,3180286.0,73.1592,73.22,73.27,73.625,72.44,1708405200000,43255
2024-02-21 05:00:00,1821385.0,74.1926,73.0,74.12,74.82,72.88,1708491600000,31053
2024-02-22 05:00:00,1791427.0,75.1095,74.54,75.21,75.6,74.39,1708578000000,29706
