date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1210792.0,234.7483,234.18,235.0,236.33,233.28,1705554000000,24777
2024-01-19 05:00:00,1255513.0,235.3098,235.22,235.89,236.12,233.38,1705640400000,23767
2024-01-22 05:00:00,909712.0,236.6596,237.0,235.89,239.12,235.46,1705899600000,21579
2024-01-23 05:00:00,1219230.0,237.5408,236.18,238.3,238.33,235.9,1705986000000,25879
2024-01-24 05:00:00,1317917.0,235.3764,237.97,234.57,239.21,234.51,1706072400000,25817
2024-01-25 05:00:00,841044.0,235.6386,235.7,236.57,236.75,233.86,1706158800000,20883
2024-01-26 05:00:00,892235.0,236.4786,237.8,236.65,238.76,235.47,1706245200000,17959
2024-01-29 05:00:00,1084042.0,237.4086,236.32,237.85,237.98,235.81,1706504400000,20490
2024-01-30 05:00:00,1485734.0,237.1284,238.5,236.21,238.935,236.11,1706590800000,27455
2024-01-31 05:00:00,2355785.0,239.5163,237.96,238.81,241.15,236.8,1706677200000,37453
2024-02-01 05:00:00,3146506.0,239.5184,237.5,242.35,242.35,233.14,1706763600000,57942
2024-02-02 05:00:00,1724345.0,239.033,244.67,237.19,246.3,236.71,1706850000000,32923
2024-02-05 05:00:00,1688102.0,235.7691,236.98,235.07,238.59,234.74,1707109200000,27822
2024-02-06 05:00:00,1671165.0,238.3042,235.46,238.68,240.69,235.13,1707195600000,27997
2024-02-07 05:00:00,1612547.0,240.091,239.04,239.48,242.34,238.8,1707282000000,28629
2024-02-08 05:00:00,1643615.0,240.8455,238.47,240.71,243.69,238.47,1707368400000,29179
2024-02-09 05:00:00,2095532.0,242.7772,240.96,243.75,244.05,240.32,1707454800000,33112
2024-02-12 05:00:00,1453397.0,243.8137,243.36,243.37,246.0,241.31,1707714000000,27499
2024-02-13 05:00:00,1908562.0,239.3932,243.47,239.07,245.22,237.3627,1707800400000,27164
2024-02-14 05:00:00,1599887.0,238.4095,239.01,238.61,239.55,236.93,1707886800000,25613
2024-02-15 05:00:00,1226364.0,239.9421,238.88,239.96,242.3,238.481,1707973200000,23966
2024-02-16 05:00:00,1582401.0,241.4921,239.81,240.76,243.98,238.27,1708059600000,21750
2024-02-20 05:00:00,1193936.0,241.5485,240.76,240.66,243.4,239.5,1708405200000,22258
2024-02-21 05:00:00,1623811.0,243.8052,240.73,245.32,245.51,240.095,1708491600000,27531
2024-02-22 05:00:00,1305793.0,243.1063,245.2,243.62,245.52,240.755,1708578000000,24039
2024-02-23 05:00:00,992662.0,245.7147,243.95,246.2,246.6027,242.9,1708664400000,18093
2024-02-26 05:00:00,939382.0,243.0276,245.87,241.72,246.24,241.55,1708923600000,20308
2024-02-27 05:00:00,919002.0,241.4552,240.81,241.24,243.43,240.514,1709010000000,19751
2024-02-28 05:00:00,829240.0,239.9605,240.93,239.15,242.34,238.84,1709096400000,19746
2024-02-29 05:00:00,1812904.0,235.8763,239.58,235.55,239.58,235.06,1709182800000,27204
2024-03-01 05:00:00,1735037.0,235.1903,235.41,235.31,236.335,233.41,1709269200000,26458
2024-03-04 05:00:00,1930672.0,235.2375,234.37,235.65,236.53,233.55,1709528400000,33514
2024-03-05 05:00:00,1335717.0,234.7077,237.27,233.45,238.61,233.12,1709614800000,25272
2024-03-06 05:00:00,1335318.0,235.3265,233.36,235.6,236.672,233.06,1709701200000,23714
2024-03-07 05:00:00,1854815.0,237.5742,237.07,237.62,238.77,235.935,1709787600000,26547
