date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,5172274.0,27.4697,28.42,27.25,28.43,27.195,1705986000000,40552
2024-01-24 05:00:00,4063208.0,27.1174,27.58,26.88,27.58,26.87,1706072400000,34089
2024-01-25 05:00:00,4183084.0,27.3307,27.13,27.48,27.495,26.885,1706158800000,34758
2024-01-26 05:00:00,5037155.0,27.5104,27.52,27.59,27.63,27.34,1706245200000,34653
2024-01-29 05:00:00,9094355.0,27.2929,28.12,27.51,28.13,26.795,1706504400000,64860
2024-01-30 05:00:00,4879738.0,27.1459,27.26,27.13,27.37,26.93,1706590800000,33833
2024-01-31 05:00:00,5663437.0,26.8041,26.91,26.63,27.33,26.6,1706677200000,34865
2024-02-01 05:00:00,3641709.0,26.8563,26.75,27.05,27.05,26.235,1706763600000,28594
2024-02-02 05:00:00,2737755.0,26.8946,26.64,26.91,27.105,26.49,1706850000000,23505
2024-02-05 05:00:00,3257753.0,26.3986,26.57,26.33,26.605,26.2,1707109200000,26325
2024-02-06 05:00:00,2423532.0,26.5495,26.25,26.63,26.63,26.25,1707195600000,27716
2024-02-07 05:00:00,2646083.0,26.6576,26.68,26.72,26.91,26.22,1707282000000,23488
2024-02-08 05:00:00,2301399.0,26.7451,26.77,26.83,26.93,26.48,1707368400000,23837
2024-02-09 05:00:00,2687752.0,26.9519,26.87,27.1,27.13,26.58,1707454800000,23304
2024-02-12 05:00:00,4671416.0,28.1242,27.11,28.11,28.51,27.1,1707714000000,38616
2024-02-13 05:00:00,5787259.0,26.4914,27.3,26.31,27.325,26.07,1707800400000,46386
2024-02-14 05:00:00,3265541.0,26.7025,26.66,26.77,26.89,26.45,1707886800000,34579
2024-02-15 05:00:00,2825732.0,27.2728,26.99,27.37,27.44,26.92,1707973200000,29168
2024-02-16 05:00:00,2635660.0,27.264,27.07,27.27,27.4,26.92,1708059600000,28196
2024-02-20 05:00:00,2395475.0,27.1284,26.92,27.1,27.315,26.82,1708405200000,24833
2024-02-21 05:00:00,1626280.0,26.9961,26.94,27.06,27.09,26.79,1708491600000,17949
2024-02-22 05:00:00,1793555.0,27.1417,27.22,27.12,27.34,27.03,1708578000000,20871
2024-02-23 05:00:00,2319040.0,27.087,27.15,27.01,27.32,26.985,1708664400000,24694
2024-02-26 05:00:00,2539576.0,26.7633,26.84,26.73,27.115,26.545,1708923600000,23296
2024-02-27 05:00:00,2285795.0,27.0032,26.8,27.09,27.14,26.755,1709010000000,23312
2024-02-28 05:00:00,2518395.0,27.0537,26.86,27.01,27.27,26.8398,1709096400000,22689
2024-02-29 05:00:00,3868924.0,27.4504,27.26,27.45,27.61,27.15,1709182800000,24556
2024-03-01 05:00:00,2760860.0,27.3829,27.41,27.42,27.555,27.15,1709269200000,22850
2024-03-04 05:00:00,2006170.0,27.8225,27.52,27.73,28.115,27.5,1709528400000,20736
