date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1006910.0,93.8747,94.39,94.1,94.8099,93.18,1705554000000,17183
2024-01-19 05:00:00,1802370.0,92.9309,94.14,92.68,94.25,92.62,1705640400000,28753
2024-01-22 05:00:00,4338451.0,89.4543,90.67,88.76,92.19,88.41,1705899600000,60033
2024-01-23 05:00:00,2004620.0,90.0382,89.28,90.18,90.71,88.961,1705986000000,30965
2024-01-24 05:00:00,1744766.0,89.3655,90.42,89.11,90.9,88.84,1706072400000,25126
2024-01-25 05:00:00,1517661.0,88.5608,89.8,88.45,90.22,88.05,1706158800000,29212
2024-01-26 05:00:00,1468544.0,88.2709,88.99,88.3,89.375,87.86,1706245200000,25074
2024-01-29 05:00:00,1603197.0,88.7956,88.65,89.01,89.22,87.99,1706504400000,26023
2024-01-30 05:00:00,1712808.0,89.8628,89.05,90.3,90.52,87.88,1706590800000,27349
2024-01-31 05:00:00,1317846.0,88.6169,89.8,88.09,90.01,88.07,1706677200000,23756
2024-02-01 05:00:00,1448547.0,89.9321,89.17,90.4,90.5,89.02,1706763600000,27235
2024-02-02 05:00:00,1370830.0,90.4417,90.19,90.47,90.97,89.43,1706850000000,25847
2024-02-05 05:00:00,1854322.0,89.3829,89.7,89.0,90.44,88.79,1707109200000,28268
2024-02-06 05:00:00,2198151.0,90.0008,89.4,90.03,90.77,89.23,1707195600000,31330
2024-02-07 05:00:00,3610209.0,88.4569,87.28,87.95,91.29,86.1,1707282000000,53046
2024-02-08 05:00:00,2291589.0,86.7622,88.03,86.5,88.28,86.11,1707368400000,33266
2024-02-09 05:00:00,2690192.0,88.1945,87.45,88.54,88.665,86.81,1707454800000,34146
2024-02-12 05:00:00,2264432.0,90.341,88.47,90.68,91.0096,88.47,1707714000000,33989
2024-02-13 05:00:00,2218162.0,88.9471,89.85,88.63,90.905,88.22,1707800400000,34706
2024-02-14 05:00:00,1849591.0,89.3213,88.68,89.52,89.74,88.51,1707886800000,27815
2024-02-15 05:00:00,2385742.0,90.0063,88.71,90.66,90.69,88.35,1707973200000,34039
2024-02-16 05:00:00,1659498.0,91.3297,90.61,91.68,91.79,90.21,1708059600000,31138
2024-02-20 05:00:00,2055396.0,91.6049,91.14,91.67,92.15,90.82,1708405200000,29413
2024-02-21 05:00:00,1843050.0,92.8593,91.9,93.06,93.18,91.3,1708491600000,27759
2024-02-22 05:00:00,2263240.0,93.826,92.63,94.23,94.56,91.85,1708578000000,29485
2024-02-23 05:00:00,1816916.0,94.046,93.88,93.65,94.83,93.6,1708664400000,27044
2024-02-26 05:00:00,1072603.0,92.99,93.84,93.2,93.84,92.455,1708923600000,21277
2024-02-27 05:00:00,1265515.0,93.3469,93.62,93.12,94.13,92.96,1709010000000,20824
2024-02-28 05:00:00,1195881.0,93.4748,93.06,93.74,93.91,92.36,1709096400000,20943
2024-02-29 05:00:00,2301403.0,94.032,94.22,94.37,94.5,92.62,1709182800000,28620
2024-03-01 05:00:00,1799051.0,93.4762,94.42,93.11,94.5,92.865,1709269200000,33509
2024-03-04 05:00:00,2013839.0,90.1534,92.42,90.09,92.98,89.34,1709528400000,36144
2024-03-05 05:00:00,1651228.0,91.2894,90.28,91.44,92.5,90.07,1709614800000,32485
2024-03-06 05:00:00,1507304.0,92.1059,91.45,91.88,92.92,91.15,1709701200000,27523
2024-03-07 05:00:00,1824281.0,92.384,92.39,92.49,93.28,91.83,1709787600000,28529
2024-03-08 05:00:00,1224383.0,92.3209,92.51,92.2,93.74,91.42,1709874000000,22294
2024-03-11 04:00:00,1491645.0,93.8135,92.26,93.81,94.49,92.2,1710129600000,26780
2024-03-12 04:00:00,1381121.0,93.6921,94.15,93.67,94.53,93.215,1710216000000,24095
2024-03-13 04:00:00,2427990.0,94.7216,94.21,94.77,95.84,93.6,1710302400000,33607
2024-03-14 04:00:00,1912893.0,93.9609,94.51,94.21,94.64,92.99,1710388800000,26879
2024-03-15 04:00:00,6291071.0,95.5311,94.0,95.56,95.99,94.0,1710475200000,35285
2024-03-18 04:00:00,1820045.0,96.5258,94.77,96.69,97.03,94.44,1710734400000,26086
