date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,5717988.0,30.8214,30.73,30.87,30.98,30.51,1705554000000,49198
2024-01-19 05:00:00,9750351.0,30.7359,30.99,30.7,31.01,30.58,1705640400000,63362
2024-01-22 05:00:00,7177228.0,30.9514,30.6,30.98,31.145,30.45,1705899600000,57112
2024-01-23 05:00:00,14531557.0,31.3938,30.76,31.53,31.66,30.76,1705986000000,79241
2024-01-24 05:00:00,20069643.0,30.1658,30.25,30.04,31.1,29.66,1706072400000,139563
2024-01-25 05:00:00,21034724.0,30.1474,30.46,30.3,30.6,29.7148,1706158800000,123071
2024-01-26 05:00:00,12352559.0,30.2913,30.26,30.48,30.59,29.85,1706245200000,70353
2024-01-29 05:00:00,11490277.0,29.9891,30.22,30.0,30.315,29.825,1706504400000,67583
2024-01-30 05:00:00,23727219.0,29.0038,28.74,29.34,29.525,28.34,1706590800000,156566
2024-01-31 05:00:00,10664414.0,28.6534,29.43,28.5,29.49,28.43,1706677200000,74941
2024-02-01 05:00:00,11208701.0,28.6233,28.66,28.63,28.88,28.37,1706763600000,73982
2024-02-02 05:00:00,12945970.0,28.9565,28.7,28.99,29.14,28.5807,1706850000000,103515
2024-02-05 05:00:00,11840641.0,28.7567,28.68,28.8,28.94,28.32,1707109200000,71885
2024-02-06 05:00:00,13403822.0,29.2889,28.86,29.39,29.62,28.79,1707195600000,75879
2024-02-07 05:00:00,9040030.0,29.2149,29.47,29.12,29.69,29.09,1707282000000,67145
2024-02-08 05:00:00,9029122.0,29.2595,28.99,29.32,29.455,28.91,1707368400000,67008
2024-02-09 05:00:00,7661366.0,29.0891,29.31,29.06,29.46,28.83,1707454800000,62407
2024-02-12 05:00:00,9720445.0,29.4556,28.98,29.5,29.595,28.95,1707714000000,60107
2024-02-13 05:00:00,9740465.0,28.9875,29.43,29.01,29.55,28.7,1707800400000,58756
2024-02-14 05:00:00,8118986.0,28.8444,29.2,28.85,29.215,28.63,1707886800000,52089
2024-02-15 05:00:00,10899064.0,29.0984,28.91,29.2,29.39,28.79,1707973200000,85827
2024-02-16 05:00:00,7398691.0,29.1224,29.2,29.15,29.32,28.94,1708059600000,50366
