date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,617255.0,783.4083,774.37,787.43,787.93,768.3469,1705467600000,27782
2024-01-18 05:00:00,506794.0,792.4958,794.56,795.26,795.99,785.0646,1705554000000,25107
2024-01-19 05:00:00,681544.0,803.1497,797.75,805.44,808.825,794.045,1705640400000,28306
2024-01-22 05:00:00,760478.0,798.1218,806.405,794.02,807.3,793.51,1705899600000,31873
2024-01-23 05:00:00,718291.0,791.8206,793.27,792.56,795.5899,788.48,1705986000000,27281
2024-01-24 05:00:00,659788.0,790.3262,797.86,785.75,797.86,785.19,1706072400000,25086
2024-01-25 05:00:00,723803.0,791.0023,790.92,790.46,794.9,787.49,1706158800000,29877
2024-01-26 05:00:00,687911.0,788.0472,791.33,787.3,793.28,785.485,1706245200000,30415
2024-01-29 05:00:00,622286.0,786.3845,787.31,788.7,792.4827,781.14,1706504400000,29482
2024-01-30 05:00:00,936712.0,781.6018,782.98,781.73,784.82,779.065,1706590800000,38953
2024-01-31 05:00:00,730828.0,778.0217,779.47,774.31,785.4077,772.35,1706677200000,27655
2024-02-01 05:00:00,626656.0,779.2514,776.49,784.93,785.55,765.63,1706763600000,27791
2024-02-02 05:00:00,509886.0,787.19,780.65,788.0,792.34,777.2608,1706850000000,22707
2024-02-05 05:00:00,501130.0,782.8386,782.21,783.17,787.24,777.15,1707109200000,24462
2024-02-06 05:00:00,666342.0,784.948,784.93,787.98,788.0,778.76,1707195600000,22177
2024-02-07 05:00:00,700684.0,794.092,790.0,794.7,799.445,786.53,1707282000000,25677
2024-02-08 05:00:00,545532.0,793.1206,794.06,793.2,798.9399,787.5,1707368400000,21539
2024-02-09 05:00:00,536637.0,797.2253,794.23,797.21,800.805,791.77,1707454800000,23630
2024-02-12 05:00:00,499402.0,802.9355,798.33,801.76,808.49,797.64,1707714000000,24123
2024-02-13 05:00:00,637435.0,778.4399,785.25,778.07,791.225,770.0,1707800400000,31933
2024-02-14 05:00:00,420967.0,784.7182,785.1,785.4,788.28,779.16,1707886800000,21540
2024-02-15 05:00:00,508239.0,797.754,788.4,798.05,802.48,788.4,1707973200000,26018
2024-02-16 05:00:00,393776.0,794.6691,795.09,794.0,798.0,791.13,1708059600000,20006
2024-02-20 05:00:00,582338.0,797.7198,789.28,798.11,801.53,787.57,1708405200000,26627
2024-02-21 05:00:00,419372.0,802.8346,798.81,805.45,806.0599,795.42,1708491600000,22995
2024-02-22 05:00:00,549649.0,812.1389,811.04,813.44,816.33,808.08,1708578000000,26267
2024-02-23 05:00:00,492606.0,816.4657,817.06,813.59,823.71,812.0,1708664400000,25160
2024-02-26 05:00:00,577808.0,806.93,810.95,806.03,814.8245,803.35,1708923600000,25410
2024-02-27 05:00:00,555973.0,800.7521,807.33,800.54,809.87,795.27,1709010000000,28013
2024-02-28 05:00:00,513080.0,809.2317,798.78,809.66,813.12,797.32,1709096400000,25226
2024-02-29 05:00:00,758799.0,810.5517,813.4,811.34,814.96,807.39,1709182800000,25572
2024-03-01 05:00:00,431336.0,811.9094,811.34,814.83,815.35,805.214,1709269200000,22643
2024-03-04 05:00:00,858869.0,833.8236,815.97,834.47,841.955,815.97,1709528400000,40424
2024-03-05 05:00:00,497598.0,829.4514,832.29,826.94,839.8,823.37,1709614800000,28139
2024-03-06 05:00:00,538055.0,828.6285,825.85,830.4,832.39,820.44,1709701200000,27531
2024-03-07 05:00:00,384701.0,833.2469,837.99,831.7,839.22,829.63,1709787600000,20520
2024-03-08 05:00:00,396217.0,838.6401,835.85,836.12,845.0,833.7201,1709874000000,24271
2024-03-11 04:00:00,428843.0,826.392,835.65,825.16,836.065,822.27,1710129600000,26834
2024-03-12 04:00:00,438668.0,829.0297,830.12,829.59,834.27,822.25,1710216000000,21045
2024-03-13 04:00:00,510896.0,827.0153,829.17,825.99,831.615,823.21,1710302400000,23184
2024-03-14 04:00:00,859047.0,808.2685,825.0,808.8,825.29,800.62,1710388800000,36060
2024-03-15 04:00:00,1576934.0,803.748,801.59,802.52,813.7975,798.34,1710475200000,32764
2024-03-18 04:00:00,634805.0,800.0287,806.2,800.25,806.27,793.83,1710734400000,25190
2024-03-19 04:00:00,593932.0,800.7542,796.31,802.3,803.87,792.82,1710820800000,19493
2024-03-20 04:00:00,451403.0,812.3952,804.11,817.89,819.24,800.685,1710907200000,23344
2024-03-21 04:00:00,643470.0,840.2862,823.53,842.06,844.64,822.22,1710993600000,31497
2024-03-22 04:00:00,615249.0,826.98,840.82,824.83,842.315,822.46,1711080000000,25362
2024-03-25 04:00:00,378197.0,818.8889,820.44,816.21,826.99,815.17,1711339200000,22522
2024-03-26 04:00:00,374110.0,820.5348,819.47,820.2,823.8763,817.93,1711425600000,19418
2024-03-27 04:00:00,466671.0,829.7883,826.8,835.12,835.51,822.49,1711512000000,25056
2024-03-28 04:00:00,532198.0,834.477,836.22,833.7,838.68,831.02,1711598400000,24602
2024-04-01 04:00:00,395890.0,828.2414,834.98,826.77,835.12,825.24,1711944000000,23785
2024-04-02 04:00:00,530683.0,814.9304,825.5,816.59,825.91,810.0,1712030400000,26632
2024-04-03 04:00:00,369663.0,816.8722,815.45,814.8,826.08,813.56,1712116800000,23731
2024-04-04 04:00:00,1189423.0,804.14,822.38,792.09,826.52,790.18,1712203200000,39253
2024-04-05 04:00:00,687330.0,798.0577,793.63,797.56,804.2699,790.12,1712289600000,28927
2024-04-08 04:00:00,760238.0,803.2292,801.52,803.32,807.5399,796.8315,1712548800000,30381
2024-04-09 04:00:00,802095.0,800.9074,806.23,803.9,806.23,794.18,1712635200000,29387
2024-04-10 04:00:00,654397.0,786.3067,793.79,783.65,795.125,780.92,1712721600000,33320
2024-04-11 04:00:00,812037.0,785.1493,785.5,785.96,789.32,778.8,1712808000000,33654
2024-04-12 04:00:00,1453625.0,772.8163,785.56,763.4,803.0,762.06,1712894400000,51707
2024-04-15 04:00:00,935305.0,765.5276,770.79,762.99,778.22,756.31,1713153600000,37007
2024-04-16 04:00:00,663071.0,755.204,764.6,749.67,766.845,748.79,1713240000000,29164
2024-04-17 04:00:00,585789.0,753.7645,753.04,753.79,758.9,748.08,1713326400000,25398
2024-04-18 04:00:00,615103.0,752.5434,754.74,747.3,761.42,746.78,1713412800000,26996
2024-04-19 04:00:00,867880.0,749.6579,751.39,749.98,755.43,745.5514,1713499200000,29631
2024-04-22 04:00:00,617165.0,758.4831,756.75,760.11,766.3,750.55,1713758400000,29559
2024-04-23 04:00:00,460957.0,766.3897,763.26,766.62,769.42,760.94,1713844800000,23739
2024-04-24 04:00:00,751258.0,762.9075,762.8,762.8,767.6375,759.435,1713931200000,26951
2024-04-25 04:00:00,510302.0,755.3635,754.31,757.65,760.64,748.02,1714017600000,26113
2024-04-26 04:00:00,447939.0,763.7842,759.77,762.88,767.4799,757.75,1714104000000,21810
2024-04-29 04:00:00,495122.0,761.3076,763.36,761.28,769.4,755.85,1714363200000,23405
2024-04-30 04:00:00,418734.0,756.5037,758.04,754.64,761.45,753.8,1714449600000,20082
2024-05-01 04:00:00,614845.0,756.9032,755.0,751.58,765.83,750.92,1714536000000,26333
2024-05-02 04:00:00,632595.0,756.2306,758.16,757.0,761.0574,748.78,1714622400000,26134
2024-05-03 04:00:00,558283.0,765.7158,765.7,763.91,771.55,762.7,1714708800000,24886
2024-05-06 04:00:00,450092.0,770.7772,768.73,774.64,775.16,765.83,1714968000000,23811
2024-05-07 04:00:00,777419.0,782.2331,780.47,780.92,786.27,776.68,1715054400000,29020
2024-05-08 04:00:00,665672.0,777.277,778.0,778.33,779.25,773.88,1715140800000,26769
2024-05-09 04:00:00,654816.0,788.5583,777.9,789.13,791.5135,777.9,1715227200000,22909
2024-05-10 04:00:00,607147.0,796.4145,792.53,796.67,799.23,792.075,1715313600000,23831
2024-05-13 04:00:00,416812.0,793.202,799.0,790.33,800.49,789.805,1715572800000,20315
2024-05-14 04:00:00,492227.0,800.3825,792.52,802.96,803.31,792.1722,1715659200000,23592
2024-05-15 04:00:00,667340.0,815.4796,809.12,815.7,818.18,807.68,1715745600000,29672
2024-05-16 04:00:00,486278.0,809.8672,811.39,807.71,815.0,807.66,1715832000000,22665
2024-05-17 04:00:00,394388.0,810.73,810.43,812.22,813.45,806.31,1715918400000,18717
2024-05-20 04:00:00,366351.0,807.5555,808.98,805.19,812.8055,804.2,1716177600000,17916
2024-05-21 04:00:00,461858.0,803.3447,804.62,804.93,806.67,800.23,1716264000000,22463
2024-05-22 04:00:00,391642.0,800.4874,803.54,799.61,808.87,795.55,1716350400000,19880
2024-05-23 04:00:00,538309.0,787.3869,798.44,784.55,798.44,781.81,1716436800000,26992
2024-05-24 04:00:00,429047.0,784.1157,787.38,781.9,789.3927,780.92,1716523200000,21024
2024-05-28 04:00:00,636215.0,772.1269,781.9,771.41,783.64,765.475,1716868800000,28655
2024-05-29 04:00:00,574948.0,759.3078,763.29,756.58,765.93,756.33,1716955200000,28137
2024-05-30 04:00:00,649985.0,760.8966,754.96,761.86,762.4148,753.83,1717041600000,23336
2024-05-31 04:00:00,1616051.0,770.9016,763.06,772.03,774.29,762.08,1717128000000,34646
2024-06-03 04:00:00,570972.0,774.8716,779.49,777.37,779.7,768.715,1717387200000,28284
2024-06-04 04:00:00,666466.0,783.3859,777.37,785.29,786.87,774.6201,1717473600000,27258
2024-06-05 04:00:00,539842.0,785.8327,788.75,788.88,789.08,779.4367,1717560000000,23041
2024-06-06 04:00:00,406332.0,779.6898,787.69,778.53,787.69,776.53,1717646400000,22104
2024-06-07 04:00:00,468160.0,770.0817,767.69,768.69,774.01,763.21,1717732800000,20592
2024-06-10 04:00:00,588940.0,765.2092,766.74,766.17,768.86,760.245,1717992000000,22045
2024-06-11 04:00:00,498980.0,757.147,762.01,757.63,763.365,752.295,1718078400000,25654
2024-06-12 04:00:00,833246.0,773.2781,769.35,770.11,782.56,766.09,1718164800000,28806
2024-06-13 04:00:00,462480.0,768.0135,766.96,769.71,772.75,758.2,1718251200000,20351
2024-06-14 04:00:00,376815.0,767.21,764.5,769.33,769.97,759.99,1718337600000,18499
2024-06-17 04:00:00,541652.0,778.7328,767.21,781.08,783.94,766.05,1718596800000,22772
2024-06-18 04:00:00,479732.0,782.4711,778.94,783.65,784.12,777.02,1718683200000,20053
2024-06-20 04:00:00,496885.0,781.8427,782.02,782.83,784.05,777.52,1718856000000,22937
2024-06-21 04:00:00,872955.0,786.7866,783.72,787.6,791.15,779.8927,1718942400000,24972
2024-06-24 04:00:00,528676.0,799.8417,788.58,798.95,806.47,788.58,1719201600000,28359
2024-06-25 04:00:00,394046.0,792.6099,794.46,794.39,795.26,788.575,1719288000000,20047
2024-06-26 04:00:00,529002.0,787.7738,789.28,787.45,791.12,784.52,1719374400000,22757
2024-06-27 04:00:00,428580.0,782.569,784.65,781.13,787.05,780.34,1719460800000,22122
2024-06-28 04:00:00,769459.0,787.2079,784.49,787.32,792.325,781.2,1719547200000,25448
2024-07-01 04:00:00,543517.0,783.2854,790.83,782.27,794.1,777.63,1719806400000,23288
2024-07-02 04:00:00,367332.0,787.0359,782.67,789.13,789.66,782.67,1719892800000,19251
2024-07-03 04:00:00,250799.0,788.8992,789.13,789.12,790.63,786.0,1719979200000,13350
2024-07-05 04:00:00,341478.0,789.2116,791.14,790.6,791.18,782.9,1720152000000,18411
2024-07-08 04:00:00,529582.0,789.7998,790.6,790.19,793.28,785.76,1720411200000,20644
2024-07-09 04:00:00,629528.0,799.4195,793.51,802.28,803.39,791.52,1720497600000,23844
2024-07-10 04:00:00,519073.0,809.4009,801.76,812.0,812.29,801.76,1720584000000,21920
2024-07-11 04:00:00,634133.0,823.2436,817.97,824.87,825.93,815.805,1720670400000,27289
2024-07-12 04:00:00,677070.0,831.3281,829.39,827.97,837.54,825.4,1720756800000,30369
2024-07-15 04:00:00,888305.0,827.3363,829.98,822.96,836.21,818.44,1721016000000,37214
2024-07-16 04:00:00,744760.0,837.8313,824.5,843.94,845.53,820.9502,1721102400000,34129
2024-07-17 04:00:00,692007.0,841.3269,846.31,841.09,848.6228,835.89,1721188800000,30352
2024-07-18 04:00:00,718023.0,836.8799,835.17,829.0,851.876,828.79,1721275200000,29729
2024-07-19 04:00:00,1036152.0,830.0175,833.67,830.7,833.67,825.055,1721361600000,23710
2024-07-22 04:00:00,573228.0,842.1487,836.55,843.24,845.5,835.04,1721620800000,25068
2024-07-23 04:00:00,701557.0,844.5589,841.81,844.69,850.99,839.02,1721707200000,26023
2024-07-24 04:00:00,660358.0,832.5335,844.08,827.65,846.2433,826.11,1721793600000,22829
2024-07-25 04:00:00,587524.0,838.327,824.96,836.54,848.58,822.43,1721880000000,24821
2024-07-26 04:00:00,555814.0,854.2065,841.97,856.2,857.65,841.1,1721966400000,25041
2024-07-29 04:00:00,612694.0,860.2971,858.0,862.15,865.17,852.37,1722225600000,24096
2024-07-30 04:00:00,539579.0,870.6873,868.13,872.59,873.8929,865.1772,1722312000000,25528
2024-07-31 04:00:00,656942.0,877.0525,875.32,876.5,885.1,871.9,1722398400000,25911
2024-08-01 04:00:00,586568.0,867.0614,880.0,865.35,884.67,860.32,1722484800000,27853
2024-08-02 04:00:00,479910.0,845.9486,855.0,846.02,858.2,839.29,1722571200000,26174
2024-08-05 04:00:00,1328900.0,834.9712,824.69,830.76,848.92,813.18,1722830400000,51230
2024-08-06 04:00:00,525216.0,843.1328,834.52,840.96,852.23,829.5,1722916800000,24180
2024-08-07 04:00:00,750874.0,844.9579,852.26,839.84,856.4,838.47,1723003200000,27391
2024-08-08 04:00:00,381506.0,853.0524,846.2,854.83,855.79,843.6194,1723089600000,22295
2024-08-09 04:00:00,290379.0,856.0128,853.42,856.21,862.21,849.8045,1723176000000,18127
2024-08-12 04:00:00,510339.0,841.4636,854.14,838.27,857.0,835.45,1723435200000,23866
2024-08-13 04:00:00,385850.0,851.856,844.48,854.59,856.21,843.7,1723521600000,20150
2024-08-14 04:00:00,325149.0,856.7842,856.03,857.52,859.62,851.375,1723608000000,16548
2024-08-15 04:00:00,520789.0,870.6973,864.52,872.06,875.83,863.03,1723694400000,23320
2024-08-16 04:00:00,395236.0,871.847,872.25,872.49,874.87,868.7,1723780800000,17229
2024-08-19 04:00:00,456067.0,869.7395,873.59,870.21,877.0199,866.31,1724040000000,17522
2024-08-20 04:00:00,348724.0,862.3919,869.45,860.97,871.99,859.7314,1724126400000,18699
2024-08-21 04:00:00,453730.0,861.8002,861.88,863.09,864.92,853.76,1724212800000,17352
2024-08-22 04:00:00,327417.0,863.7423,863.09,865.24,868.74,858.98,1724299200000,18290
