date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,18463797.0,49.4385,49.62,50.09,50.17,48.63,1705554000000,140987
2024-01-19 05:00:00,23285777.0,49.9916,50.11,50.11,50.21,49.425,1705640400000,104691
2024-01-22 05:00:00,13818614.0,49.7751,50.26,49.57,50.32,49.5,1705899600000,90861
2024-01-23 05:00:00,12555683.0,49.9815,49.68,50.12,50.42,49.4888,1705986000000,84227
2024-01-24 05:00:00,11838307.0,50.3639,50.2,50.24,50.62,50.07,1706072400000,81611
2024-01-25 05:00:00,17639641.0,49.6388,50.26,49.61,50.34,49.435,1706158800000,103354
2024-01-26 05:00:00,10855482.0,49.7885,49.96,49.7,50.2,49.65,1706245200000,81094
2024-01-29 05:00:00,11746625.0,49.6542,49.62,49.87,49.88,49.45,1706504400000,86646
2024-01-30 05:00:00,11605552.0,49.4757,50.05,49.39,50.18,49.25,1706590800000,92832
2024-01-31 05:00:00,18997583.0,49.2252,49.71,48.87,50.02,48.84,1706677200000,128125
2024-02-01 05:00:00,20416268.0,48.502,48.85,48.67,48.85,48.125,1706763600000,154756
2024-02-02 05:00:00,27991627.0,48.8418,49.27,48.71,50.01,48.08,1706850000000,179290
2024-02-05 05:00:00,15535583.0,48.0414,48.52,47.98,48.56,47.68,1707109200000,112736
2024-02-06 05:00:00,22697982.0,49.1439,47.95,49.26,49.98,47.58,1707195600000,144511
2024-02-07 05:00:00,17973120.0,48.5467,49.19,48.64,49.36,48.02,1707282000000,122025
2024-02-08 05:00:00,13577868.0,48.4926,48.44,48.71,48.77,48.11,1707368400000,88347
2024-02-09 05:00:00,15413408.0,49.4031,48.7,49.81,49.83,48.49,1707454800000,115975
2024-02-12 05:00:00,14973578.0,49.6612,49.82,49.75,50.05,49.21,1707714000000,98844
2024-02-13 05:00:00,15828107.0,48.6635,49.66,48.71,49.9,48.31,1707800400000,116793
2024-02-14 05:00:00,10866859.0,48.784,48.82,48.89,49.035,48.45,1707886800000,74122
2024-02-15 05:00:00,13425812.0,49.5145,49.01,49.44,50.28,48.83,1707973200000,73839
2024-02-16 05:00:00,13176540.0,49.6681,49.31,49.86,49.87,48.93,1708059600000,84824
2024-02-20 05:00:00,13778750.0,49.9687,49.89,49.86,50.45,49.665,1708405200000,90587
2024-02-21 05:00:00,12286920.0,50.3195,49.93,50.91,50.93,49.535,1708491600000,83252
2024-02-22 05:00:00,12862869.0,51.023,50.58,51.33,51.405,50.33,1708578000000,98105
2024-02-23 05:00:00,11052457.0,51.5727,51.4,51.66,51.92,50.73,1708664400000,94549
2024-02-26 05:00:00,9690431.0,50.8486,51.56,50.52,51.68,50.47,1708923600000,75241
2024-02-27 05:00:00,8145286.0,50.4178,50.57,50.51,50.72,50.15,1709010000000,71123
2024-02-28 05:00:00,7968568.0,50.7587,50.51,50.92,50.97,50.37,1709096400000,68199
2024-02-29 05:00:00,14655689.0,50.7018,50.96,50.75,51.17,50.275,1709182800000,82660
2024-03-01 05:00:00,10892290.0,50.7825,50.94,50.89,51.08,50.44,1709269200000,89095
2024-03-04 05:00:00,19033412.0,51.3248,51.28,50.92,52.195,50.72,1709528400000,157807
2024-03-05 05:00:00,15110725.0,51.7848,51.01,51.82,52.11,50.99,1709614800000,112101
2024-03-06 05:00:00,21692324.0,53.1735,52.34,53.38,53.81,52.25,1709701200000,140861
2024-03-07 05:00:00,17233062.0,53.31,53.57,53.28,53.75,52.98,1709787600000,114755
2024-03-08 05:00:00,17479616.0,53.8501,53.48,53.79,54.26,53.33,1709874000000,131253
2024-03-11 04:00:00,15646376.0,54.217,53.9,54.36,54.56,53.74,1710129600000,123839
2024-03-12 04:00:00,14269120.0,54.3459,54.33,54.4,54.6,53.82,1710216000000,107232
2024-03-13 04:00:00,26855196.0,53.4332,54.33,52.65,55.035,52.595,1710302400000,145006
2024-03-14 04:00:00,14430168.0,52.2845,52.57,52.49,52.68,51.805,1710388800000,119920
2024-03-15 04:00:00,123585283.0,52.3699,52.32,52.34,53.195,51.95,1710475200000,156424
2024-03-18 04:00:00,19738671.0,51.7547,52.58,51.59,52.7,51.53,1710734400000,94282
2024-03-19 04:00:00,14593246.0,51.7948,51.76,51.8,51.93,51.39,1710820800000,79866
2024-03-20 04:00:00,10436323.0,51.8596,51.63,51.88,52.155,51.27,1710907200000,73224
2024-03-21 04:00:00,12625067.0,51.7417,51.91,51.59,52.65,51.56,1710993600000,79321
2024-03-22 04:00:00,11727720.0,52.0421,51.65,51.93,52.4478,51.5208,1711080000000,84547
2024-03-25 04:00:00,12348068.0,52.2058,52.08,52.25,52.74,51.91,1711339200000,81846
2024-03-26 04:00:00,9951952.0,52.4659,52.39,52.55,52.65,52.035,1711425600000,77891
2024-03-27 04:00:00,13077608.0,53.1614,53.0,53.25,53.69,52.85,1711512000000,91309
2024-03-28 04:00:00,14348196.0,54.1545,53.39,54.23,54.475,53.39,1711598400000,99612
2024-04-01 04:00:00,9520366.0,53.2406,54.17,52.99,54.23,52.96,1711944000000,89781
2024-04-02 04:00:00,10234303.0,52.7972,53.1,52.74,53.35,52.53,1712030400000,89462
2024-04-03 04:00:00,10434586.0,52.329,52.75,52.18,52.87,52.1,1712116800000,84223
2024-04-04 04:00:00,10993708.0,51.5389,51.94,51.4,52.085,51.2,1712203200000,80317
2024-04-05 04:00:00,9095546.0,51.2355,51.19,51.32,51.45,50.77,1712289600000,77354
2024-04-08 04:00:00,12258519.0,51.1082,51.28,51.1,51.3,50.855,1712548800000,71332
2024-04-09 04:00:00,9487714.0,51.4872,51.13,51.6,51.68,51.07,1712635200000,69462
2024-04-10 04:00:00,11492824.0,50.5784,51.04,50.29,51.285,50.275,1712721600000,101900
2024-04-11 04:00:00,11781039.0,49.4596,50.46,49.12,50.575,49.11,1712808000000,93689
2024-04-12 04:00:00,12459210.0,48.5996,49.04,48.28,49.09,48.26,1712894400000,104191
2024-04-15 04:00:00,11943603.0,48.6572,48.36,48.51,49.1,48.12,1713153600000,102418
2024-04-16 04:00:00,11931277.0,48.3931,48.45,48.26,48.6,48.24,1713240000000,97579
2024-04-17 04:00:00,11763053.0,47.9909,48.44,47.84,48.55,47.7,1713326400000,93903
2024-04-18 04:00:00,10917581.0,48.1401,47.93,48.3,48.405,47.615,1713412800000,93266
2024-04-19 04:00:00,10303913.0,48.7357,48.21,48.93,49.05,48.12,1713499200000,80339
2024-04-22 04:00:00,7929534.0,49.2143,49.0,49.14,49.56,48.87,1713758400000,73099
2024-04-23 04:00:00,9153290.0,49.1388,49.16,48.99,49.47,48.955,1713844800000,74536
2024-04-24 04:00:00,16057141.0,48.8009,49.0,48.86,49.045,48.55,1713931200000,105644
2024-04-25 04:00:00,45069042.0,45.0932,47.39,44.7,47.5,44.37,1714017600000,316809
2024-04-26 04:00:00,21281927.0,44.9984,44.68,44.85,45.37,44.34,1714104000000,136843
2024-04-29 04:00:00,16429196.0,44.7628,45.09,44.64,45.38,44.53,1714363200000,106278
2024-04-30 04:00:00,17715997.0,44.2187,44.4,43.94,44.76,43.93,1714449600000,120231
2024-05-01 04:00:00,13247159.0,44.1417,43.97,44.21,44.47,43.728,1714536000000,110611
2024-05-02 04:00:00,15962587.0,43.7824,44.36,43.7,44.42,43.333,1714622400000,123429
2024-05-03 04:00:00,12104489.0,43.9453,43.9,43.99,44.33,43.685,1714708800000,88479
2024-05-06 04:00:00,9127651.0,44.022,44.16,43.9,44.62,43.78,1714968000000,84683
2024-05-07 04:00:00,11026912.0,44.0286,43.98,44.04,44.26,43.835,1715054400000,85488
2024-05-08 04:00:00,11928339.0,43.7378,44.0,43.67,44.22,43.555,1715140800000,95005
2024-05-09 04:00:00,10776314.0,44.3292,43.56,44.74,44.81,43.495,1715227200000,76535
2024-05-10 04:00:00,8699595.0,44.7925,44.75,44.94,44.97,44.3,1715313600000,79505
2024-05-13 04:00:00,12642469.0,45.0549,44.88,45.06,45.315,44.83,1715572800000,88728
2024-05-14 04:00:00,14536549.0,44.8091,45.38,44.71,45.715,44.525,1715659200000,82537
2024-05-15 04:00:00,14179383.0,44.6395,45.0,44.55,45.17,44.4828,1715745600000,85076
2024-05-16 04:00:00,15765711.0,44.0425,44.47,44.11,44.53,43.68,1715832000000,107391
2024-05-17 04:00:00,15787957.0,43.9843,44.3,44.03,44.3,43.73,1715918400000,93150
2024-05-20 04:00:00,10376852.0,43.6133,44.0,43.36,44.045,43.31,1716177600000,82311
2024-05-21 04:00:00,17576788.0,42.5563,43.14,42.27,43.43,42.25,1716264000000,118033
2024-05-22 04:00:00,16786014.0,42.4571,42.22,42.34,42.99,41.9103,1716350400000,105352
2024-05-23 04:00:00,12437959.0,41.7059,41.92,41.54,42.27,41.46,1716436800000,105326
2024-05-24 04:00:00,17425597.0,41.3107,41.41,41.24,41.675,41.07,1716523200000,114919
