date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,450110.0,201.3035,202.08,201.23,203.18,200.3,1705554000000,12765
2024-01-19 05:00:00,442629.0,204.1028,201.89,204.89,205.01,201.15,1705640400000,13221
2024-01-22 05:00:00,367400.0,206.3931,205.31,206.38,206.89,205.31,1705899600000,12033
2024-01-23 05:00:00,342985.0,206.3667,206.36,206.32,207.42,205.65,1705986000000,11456
2024-01-24 05:00:00,443589.0,206.511,206.56,206.07,207.78,205.475,1706072400000,12971
2024-01-25 05:00:00,539563.0,207.6698,206.51,208.25,208.48,206.51,1706158800000,17224
2024-01-26 05:00:00,690421.0,208.2026,208.02,207.88,209.605,207.53,1706245200000,15214
2024-01-29 05:00:00,1036232.0,208.0079,207.25,208.16,208.52,206.8548,1706504400000,19338
2024-01-30 05:00:00,1146077.0,209.2074,208.0,208.96,210.24,208.0,1706590800000,24139
2024-01-31 05:00:00,1191822.0,205.8104,209.24,204.2,209.24,203.91,1706677200000,23679
2024-02-01 05:00:00,1168969.0,199.0127,202.92,201.63,203.34,191.865,1706763600000,26834
2024-02-02 05:00:00,713659.0,201.1129,201.03,201.74,202.27,197.86,1706850000000,17902
2024-02-05 05:00:00,840478.0,197.9519,200.82,198.23,201.035,196.09,1707109200000,17381
2024-02-06 05:00:00,594097.0,198.5201,198.43,198.85,199.245,196.805,1707195600000,13449
2024-02-07 05:00:00,863243.0,198.4864,199.24,198.25,200.1232,197.23,1707282000000,16937
2024-02-08 05:00:00,583452.0,199.1778,199.79,199.0,200.0,198.15,1707368400000,13730
2024-02-09 05:00:00,622480.0,199.2347,199.03,198.98,199.8583,198.5,1707454800000,14022
2024-02-12 05:00:00,554755.0,198.0717,199.45,197.63,199.56,197.59,1707714000000,14573
2024-02-13 05:00:00,530887.0,193.988,195.58,193.56,195.75,192.597,1707800400000,14788
2024-02-14 05:00:00,1092487.0,196.0736,194.66,196.47,196.945,194.47,1707886800000,20919
2024-02-15 05:00:00,721488.0,197.8786,196.7,198.3,198.6,196.5,1707973200000,15553
2024-02-16 05:00:00,1212798.0,198.0199,197.9,197.92,199.23,196.95,1708059600000,13283
2024-02-20 05:00:00,527153.0,195.5417,197.67,195.16,197.67,194.66,1708405200000,12354
2024-02-21 05:00:00,538269.0,195.8975,195.43,196.58,196.76,194.42,1708491600000,14309
2024-02-22 05:00:00,490406.0,199.6159,197.93,199.84,200.06,197.93,1708578000000,13106
2024-02-23 05:00:00,325227.0,201.3033,200.9,201.49,201.93,199.89,1708664400000,10349
2024-02-26 05:00:00,362140.0,201.6324,201.24,201.4,202.42,200.72,1708923600000,7934
2024-02-27 05:00:00,354429.0,199.7045,200.95,200.01,201.29,198.835,1709010000000,10477
2024-02-28 05:00:00,314261.0,201.3339,200.2,201.45,202.56,199.3001,1709096400000,10497
2024-02-29 05:00:00,1120582.0,203.4819,201.58,203.58,204.12,201.57,1709182800000,13399
2024-03-01 05:00:00,442380.0,203.1997,203.11,203.74,203.93,201.7281,1709269200000,12849
2024-03-04 05:00:00,461048.0,205.107,203.23,205.56,205.62,203.23,1709528400000,13131
2024-03-05 05:00:00,416691.0,201.3413,205.28,201.2,205.28,199.7636,1709614800000,11589
2024-03-06 05:00:00,465498.0,203.0887,202.52,203.02,204.79,201.65,1709701200000,9128
2024-03-07 05:00:00,519364.0,204.9846,204.38,204.9,205.932,203.5785,1709787600000,11007
2024-03-08 05:00:00,446872.0,204.0672,204.91,203.55,205.64,202.75,1709874000000,11380
2024-03-11 04:00:00,296706.0,202.1808,203.06,202.36,203.7,201.155,1710129600000,8886
2024-03-12 04:00:00,362273.0,203.9846,202.17,204.01,204.94,201.618,1710216000000,8496
2024-03-13 04:00:00,349631.0,203.3127,204.13,202.98,204.95,202.58,1710302400000,10655
2024-03-14 04:00:00,355119.0,199.9178,202.49,199.73,203.12,198.78,1710388800000,10617
2024-03-15 04:00:00,856894.0,199.8277,197.95,200.2,200.31,197.95,1710475200000,10281
2024-03-18 04:00:00,462989.0,199.6178,200.9,199.48,201.2,199.262,1710734400000,8649
2024-03-19 04:00:00,363891.0,201.7972,199.85,202.25,202.36,199.7158,1710820800000,8722
2024-03-20 04:00:00,323176.0,203.7549,202.5,204.16,204.265,202.5,1710907200000,8257
2024-03-21 04:00:00,340129.0,205.8069,204.59,206.05,206.595,203.865,1710993600000,8598
2024-03-22 04:00:00,325733.0,203.6405,206.15,203.51,206.15,202.76,1711080000000,8371
2024-03-25 04:00:00,312264.0,202.4121,203.5,202.34,203.785,202.01,1711339200000,9080
2024-03-26 04:00:00,326979.0,201.8585,202.27,201.71,202.9299,200.82,1711425600000,9769
2024-03-27 04:00:00,362248.0,203.4307,203.25,203.84,203.98,201.9401,1711512000000,9226
2024-03-28 04:00:00,368236.0,204.8918,204.43,204.86,205.61,204.04,1711598400000,8649
2024-04-01 04:00:00,188157.0,203.3517,204.26,203.23,204.475,203.01,1711944000000,6717
2024-04-02 04:00:00,317810.0,202.4437,202.05,202.58,203.02,201.05,1712030400000,10109
2024-04-03 04:00:00,465440.0,199.9204,202.0,199.48,202.025,198.72,1712116800000,13187
2024-04-04 04:00:00,300961.0,200.0401,201.1,198.59,202.82,198.53,1712203200000,10491
2024-04-05 04:00:00,471826.0,202.1107,199.0,202.75,203.55,199.0,1712289600000,11899
2024-04-08 04:00:00,588031.0,204.3641,202.86,204.87,205.19,202.625,1712548800000,11393
2024-04-09 04:00:00,576902.0,206.5289,206.12,207.24,207.55,204.95,1712635200000,12766
2024-04-10 04:00:00,414255.0,203.6497,204.68,203.57,204.81,202.765,1712721600000,11317
2024-04-11 04:00:00,434095.0,201.6371,204.27,200.75,204.9,200.67,1712808000000,10568
