date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3485082.0,28.6734,28.71,28.71,28.85,28.51,1705554000000,35489
2024-01-19 05:00:00,4688745.0,28.6272,28.73,28.62,28.85,28.295,1705640400000,39146
2024-01-22 05:00:00,5679863.0,28.6936,28.5,28.73,28.82,28.325,1705899600000,40300
2024-01-23 05:00:00,4271778.0,29.294,28.9,29.41,29.52,28.85,1705986000000,38125
2024-01-24 05:00:00,5364139.0,29.4768,29.38,29.41,29.64,29.23,1706072400000,43749
2024-01-25 05:00:00,4154869.0,29.588,29.59,29.68,29.83,29.28,1706158800000,42747
2024-01-26 05:00:00,10474381.0,29.5963,29.82,29.62,29.875,29.5,1706245200000,43333
2024-01-29 05:00:00,4427410.0,29.2428,29.35,29.2,29.37,29.16,1706504400000,34171
2024-01-30 05:00:00,5497254.0,29.3011,29.15,29.44,29.45,28.975,1706590800000,38874
2024-01-31 05:00:00,4882620.0,29.2594,29.45,29.15,29.61,29.07,1706677200000,42783
2024-02-01 05:00:00,3648985.0,29.5038,29.02,29.65,29.69,28.87,1706763600000,33221
2024-02-02 05:00:00,3680659.0,29.4303,29.66,29.46,29.89,29.18,1706850000000,33930
2024-02-05 05:00:00,4476437.0,28.683,29.35,28.56,29.38,28.54,1707109200000,37650
2024-02-06 05:00:00,4871882.0,28.6189,28.49,28.62,28.9,28.35,1707195600000,39509
2024-02-07 05:00:00,3819184.0,28.3718,28.74,28.36,28.79,28.23,1707282000000,30095
2024-02-08 05:00:00,4042149.0,28.1764,28.31,28.1,28.45,28.0025,1707368400000,32747
2024-02-09 05:00:00,6069943.0,27.3774,27.98,27.4,27.99,27.075,1707454800000,50995
2024-02-12 05:00:00,3015290.0,27.6639,27.35,27.78,27.85,27.27,1707714000000,30874
2024-02-13 05:00:00,3780571.0,27.2744,27.76,27.29,27.94,26.995,1707800400000,39652
2024-02-14 05:00:00,4628884.0,26.7739,27.17,26.73,27.27,26.62,1707886800000,47787
2024-02-15 05:00:00,3777909.0,27.0898,26.8,27.17,27.27,26.8,1707973200000,38302
2024-02-16 05:00:00,3746428.0,27.1933,27.07,27.21,27.31,26.88,1708059600000,32710
2024-02-20 05:00:00,5821402.0,28.3659,27.3,28.48,28.595,27.19,1708405200000,51639
2024-02-21 05:00:00,3545430.0,28.3564,28.5,28.41,28.69,28.21,1708491600000,32535
2024-02-22 05:00:00,3379593.0,28.1552,28.18,28.28,28.305,27.69,1708578000000,32682
2024-02-23 05:00:00,2375523.0,28.3337,28.22,28.3,28.51,28.065,1708664400000,26250
2024-02-26 05:00:00,5351576.0,28.0505,28.23,28.01,28.29,27.94,1708923600000,34355
2024-02-27 05:00:00,3016079.0,27.9807,28.09,27.97,28.37,27.805,1709010000000,29807
2024-02-28 05:00:00,2691842.0,28.0315,28.02,28.13,28.14,27.86,1709096400000,26148
2024-02-29 05:00:00,6967623.0,28.0533,28.27,28.08,28.325,27.91,1709182800000,36243
2024-03-01 05:00:00,3662802.0,27.8336,28.07,27.78,28.07,27.76,1709269200000,37415
2024-03-04 05:00:00,4565161.0,27.6375,27.69,27.7,27.81,27.46,1709528400000,40424
2024-03-05 05:00:00,4347408.0,27.7632,27.84,27.7,28.045,27.57,1709614800000,37722
2024-03-06 05:00:00,3417063.0,27.9565,27.91,27.95,28.175,27.79,1709701200000,33112
2024-03-07 05:00:00,3266100.0,27.751,28.04,27.8,28.09,27.54,1709787600000,31253
2024-03-08 05:00:00,3609988.0,28.0662,27.83,28.13,28.225,27.72,1709874000000,34896
2024-03-11 04:00:00,2404759.0,28.4975,28.15,28.53,28.595,28.13,1710129600000,26735
2024-03-12 04:00:00,2724601.0,28.4541,28.53,28.44,28.68,28.31,1710216000000,30671
2024-03-13 04:00:00,2722777.0,28.3615,28.59,28.35,28.7,28.2,1710302400000,29805
2024-03-14 04:00:00,4341443.0,27.9201,28.18,27.9,28.31,27.77,1710388800000,38349
2024-03-15 04:00:00,11697724.0,28.0654,27.74,28.07,28.265,27.74,1710475200000,36597
2024-03-18 04:00:00,4735403.0,28.1476,28.05,28.22,28.24,27.97,1710734400000,40052
2024-03-19 04:00:00,4900396.0,28.6805,28.32,28.86,28.86,28.11,1710820800000,36068
2024-03-20 04:00:00,5875924.0,29.0054,29.1,28.84,29.38,28.7,1710907200000,42795
2024-03-21 04:00:00,4767555.0,28.9033,28.8,28.95,29.0,28.64,1710993600000,34686
2024-03-22 04:00:00,4681213.0,29.0115,29.0,28.99,29.11,28.89,1711080000000,31333
2024-03-25 04:00:00,2865484.0,29.0235,29.05,29.09,29.14,28.8245,1711339200000,22965
2024-03-26 04:00:00,4060627.0,29.0424,29.12,28.91,29.265,28.91,1711425600000,33603
2024-03-27 04:00:00,3848033.0,29.3819,28.95,29.49,29.52,28.92,1711512000000,36041
2024-03-28 04:00:00,4605043.0,29.6273,29.63,29.64,29.76,29.5,1711598400000,35049
2024-04-01 04:00:00,5404476.0,29.6593,29.71,29.68,29.75,29.42,1711944000000,48601
2024-04-02 04:00:00,5715933.0,29.6513,29.79,29.55,29.9,29.53,1712030400000,38363
2024-04-03 04:00:00,6181741.0,29.1221,29.47,29.06,29.47,29.0,1712116800000,50582
2024-04-04 04:00:00,12621821.0,30.5226,31.08,30.64,31.39,30.11,1712203200000,93826
2024-04-05 04:00:00,10132587.0,31.1821,30.71,31.09,31.57,30.65,1712289600000,80132
2024-04-08 04:00:00,6327848.0,31.239,31.14,31.28,31.485,31.0719,1712548800000,54725
2024-04-09 04:00:00,4320513.0,31.1747,31.38,31.28,31.38,30.8925,1712635200000,37231
2024-04-10 04:00:00,5423830.0,30.6704,31.14,30.6,31.25,30.515,1712721600000,53665
2024-04-11 04:00:00,5352009.0,30.0778,30.67,30.0,30.7332,29.95,1712808000000,53031
2024-04-12 04:00:00,3791112.0,29.422,30.02,29.31,30.02,29.27,1712894400000,39371
2024-04-15 04:00:00,5658004.0,29.6847,29.44,29.76,29.88,29.36,1713153600000,44077
2024-04-16 04:00:00,5528358.0,29.8601,29.88,30.01,30.07,29.585,1713240000000,44619
2024-04-17 04:00:00,5147458.0,30.2255,30.21,30.24,30.39,30.065,1713326400000,44043
2024-04-18 04:00:00,3371583.0,30.2308,30.35,30.36,30.41,29.85,1713412800000,34122
2024-04-19 04:00:00,4850813.0,30.6224,30.42,30.62,30.815,30.31,1713499200000,40932
2024-04-22 04:00:00,4168258.0,31.016,30.7,31.1,31.16,30.68,1713758400000,37918
2024-04-23 04:00:00,5357306.0,31.2945,31.07,31.27,31.52,31.03,1713844800000,45092
2024-04-24 04:00:00,6866601.0,31.5397,30.95,31.57,31.71,30.85,1713931200000,47119
2024-04-25 04:00:00,4277708.0,31.3164,31.48,31.27,31.82,31.18,1714017600000,41851
2024-04-26 04:00:00,3322417.0,31.2244,31.27,31.08,31.495,31.06,1714104000000,33436
2024-04-29 04:00:00,3625224.0,30.8969,30.86,30.94,31.035,30.78,1714363200000,28999
2024-04-30 04:00:00,6131454.0,30.8013,30.91,30.78,31.04,30.7,1714449600000,43005
2024-05-01 04:00:00,5616362.0,30.7382,30.67,30.74,31.02,30.565,1714536000000,45253
2024-05-02 04:00:00,3534752.0,30.8645,30.8,30.85,31.1,30.705,1714622400000,38669
2024-05-03 04:00:00,4112423.0,30.6672,30.87,30.59,30.9,30.555,1714708800000,34903
2024-05-06 04:00:00,4045845.0,30.2179,30.61,30.19,30.71,30.09,1714968000000,35607
2024-05-07 04:00:00,2764119.0,30.6412,30.34,30.72,30.76,30.3,1715054400000,28618
2024-05-08 04:00:00,4296354.0,30.8263,30.76,30.83,30.935,30.68,1715140800000,34548
2024-05-09 04:00:00,1960264.0,30.7899,30.83,30.78,30.8675,30.46,1715227200000,22660
2024-05-10 04:00:00,2848718.0,31.0603,30.8,31.13,31.19,30.755,1715313600000,24752
2024-05-13 04:00:00,2713094.0,30.9324,31.17,30.95,31.27,30.74,1715572800000,25551
2024-05-14 04:00:00,2733381.0,30.9903,31.02,31.0,31.16,30.87,1715659200000,29267
2024-05-15 04:00:00,2882640.0,30.5382,31.03,30.42,31.07,30.365,1715745600000,29319
2024-05-16 04:00:00,2665106.0,30.9112,30.52,30.99,31.05,30.4501,1715832000000,26141
