date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,762873.0,186.2171,187.4,186.93,187.6,184.68,1705554000000,19059
2024-01-19 05:00:00,495565.0,186.1099,186.67,185.38,187.55,185.38,1705640400000,14194
2024-01-22 05:00:00,596388.0,186.1051,186.0,185.86,187.1708,184.742,1705899600000,13977
2024-01-23 05:00:00,927530.0,187.5621,186.15,188.87,188.95,184.4,1705986000000,21234
2024-01-24 05:00:00,620569.0,189.229,189.41,188.8,190.16,188.51,1706072400000,15041
2024-01-25 05:00:00,672456.0,188.1939,188.9,188.69,189.72,187.22,1706158800000,17207
2024-01-26 05:00:00,549232.0,186.9425,188.11,186.43,188.88,186.37,1706245200000,13172
2024-01-29 05:00:00,953743.0,183.9038,185.51,183.5,186.2328,182.57,1706504400000,19096
2024-01-30 05:00:00,777311.0,183.1921,184.41,183.26,185.33,181.67,1706590800000,21283
2024-01-31 05:00:00,968225.0,184.3807,183.78,183.85,185.98,183.46,1706677200000,19298
2024-02-01 05:00:00,1217406.0,184.3218,183.85,184.73,185.17,181.06,1706763600000,18844
2024-02-02 05:00:00,1178059.0,182.6109,180.97,182.78,187.015,180.8,1706850000000,28877
2024-02-05 05:00:00,801951.0,181.4539,180.32,181.75,182.8311,180.08,1707109200000,17013
2024-02-06 05:00:00,510009.0,180.4302,182.98,180.41,182.98,178.52,1707195600000,13371
2024-02-07 05:00:00,743065.0,184.1302,182.35,184.46,185.84,182.095,1707282000000,16879
2024-02-08 05:00:00,547280.0,184.7518,186.18,184.16,186.27,183.58,1707368400000,12471
2024-02-09 05:00:00,577063.0,183.7845,183.88,183.5,185.92,182.72,1707454800000,13349
2024-02-12 05:00:00,522126.0,183.9176,184.19,184.44,184.63,182.17,1707714000000,13330
2024-02-13 05:00:00,578063.0,185.3929,185.65,185.2,187.0,183.52,1707800400000,15457
2024-02-14 05:00:00,591670.0,184.9612,186.74,184.76,187.04,183.68,1707886800000,16192
2024-02-15 05:00:00,491401.0,185.5573,185.44,186.06,186.06,184.285,1707973200000,11569
2024-02-16 05:00:00,434766.0,186.931,186.7,186.69,187.98,186.22,1708059600000,10366
2024-02-20 05:00:00,1393741.0,190.4587,186.96,191.72,192.16,186.74,1708405200000,22725
2024-02-21 05:00:00,1039580.0,191.5072,192.61,189.91,195.68,189.4024,1708491600000,19603
2024-02-22 05:00:00,1681961.0,194.8578,195.66,195.52,196.83,191.515,1708578000000,21189
2024-02-23 05:00:00,1121809.0,197.1655,196.8,197.15,197.88,196.335,1708664400000,16099
2024-02-26 05:00:00,639029.0,197.3536,197.98,196.57,199.0,196.43,1708923600000,11990
2024-02-27 05:00:00,722992.0,195.3436,197.5,194.86,197.655,193.23,1709010000000,17121
2024-02-28 05:00:00,529085.0,195.1416,195.51,195.78,195.96,193.945,1709096400000,10590
