date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1115028.0,84.0157,83.84,84.32,84.77,83.05,1705554000000,16629
2024-01-19 05:00:00,1509701.0,85.1033,84.81,85.51,85.735,83.55,1705640400000,23876
2024-01-22 05:00:00,1323960.0,87.4144,86.11,87.41,87.82,85.3,1705899600000,19462
2024-01-23 05:00:00,990613.0,86.7227,88.29,86.42,88.83,86.37,1705986000000,14379
2024-01-24 05:00:00,887248.0,86.1731,87.56,85.85,87.68,85.7,1706072400000,16735
2024-01-25 05:00:00,1194788.0,86.6141,87.12,86.75,87.21,86.04,1706158800000,22477
2024-01-26 05:00:00,1330900.0,86.6883,86.87,86.27,87.25,86.22,1706245200000,20234
2024-01-29 05:00:00,1478369.0,87.0529,86.1,87.87,87.91,85.615,1706504400000,20553
2024-01-30 05:00:00,965187.0,86.8266,86.74,86.69,87.66,86.49,1706590800000,17297
2024-01-31 05:00:00,1476206.0,86.7566,86.62,86.31,88.2979,86.02,1706677200000,23091
2024-02-01 05:00:00,2176644.0,85.6779,86.08,86.19,86.94,84.3,1706763600000,32595
2024-02-02 05:00:00,1803048.0,84.686,84.88,85.0,85.59,83.36,1706850000000,24756
2024-02-05 05:00:00,1279972.0,83.4782,83.76,83.34,83.96,82.75,1707109200000,18618
2024-02-06 05:00:00,1376187.0,84.0509,83.26,84.19,84.655,83.22,1707195600000,20963
2024-02-07 05:00:00,1639415.0,84.0368,84.77,83.94,84.77,83.305,1707282000000,19789
2024-02-08 05:00:00,1712251.0,85.3363,83.98,85.96,86.1,83.42,1707368400000,23325
2024-02-09 05:00:00,1392047.0,86.1744,85.9,86.55,86.64,84.76,1707454800000,21587
2024-02-12 05:00:00,1713136.0,88.0392,86.86,88.28,88.42,86.59,1707714000000,23148
2024-02-13 05:00:00,1613002.0,84.9196,85.54,85.14,85.69,84.205,1707800400000,23891
2024-02-14 05:00:00,1771029.0,86.6343,86.08,86.89,87.37,85.09,1707886800000,27582
2024-02-15 05:00:00,5906995.0,94.0021,92.51,94.3,95.995,92.44,1707973200000,56261
2024-02-16 05:00:00,2666884.0,93.2443,93.66,93.13,94.68,92.49,1708059600000,34763
2024-02-20 05:00:00,2486991.0,91.2945,92.24,90.97,92.825,90.72,1708405200000,32817
2024-02-21 05:00:00,1751029.0,90.289,90.92,90.46,91.295,89.72,1708491600000,27314
2024-02-22 05:00:00,3786193.0,91.9128,90.83,91.53,93.18,90.58,1708578000000,32094
2024-02-23 05:00:00,1686323.0,90.4756,91.38,90.11,91.51,89.84,1708664400000,26544
2024-02-26 05:00:00,1340673.0,89.9018,89.55,89.95,90.66,89.13,1708923600000,17352
2024-02-27 05:00:00,1371403.0,90.8789,90.83,90.88,91.36,90.19,1709010000000,18899
2024-02-28 05:00:00,1222379.0,91.2392,89.93,91.2,91.65,89.88,1709096400000,19524
2024-02-29 05:00:00,3579032.0,91.8056,92.42,91.89,92.64,90.86,1709182800000,27253
2024-03-01 05:00:00,1561081.0,92.6426,91.44,92.98,93.255,90.97,1709269200000,23135
