date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,31558378.0,17.2345,17.12,17.28,17.65,16.84,1705554000000,108873
2024-01-19 05:00:00,21539355.0,17.1538,17.22,17.33,17.35,16.82,1705640400000,80886
2024-01-22 05:00:00,54154951.0,16.8098,17.5,16.64,17.55,16.385,1705899600000,179790
2024-01-23 05:00:00,40097229.0,16.3731,16.51,16.25,16.78,16.21,1705986000000,146148
2024-01-24 05:00:00,35602629.0,16.2788,16.5,16.08,16.75,16.0601,1706072400000,120729
2024-01-25 05:00:00,40046692.0,16.3871,16.28,16.47,16.5,16.21,1706158800000,121363
2024-01-26 05:00:00,39896553.0,16.059,16.5,15.83,16.51,15.81,1706245200000,130790
2024-01-29 05:00:00,37138349.0,16.2676,15.7,16.55,16.55,15.69,1706504400000,134301
2024-01-30 05:00:00,42567929.0,16.5883,16.805,16.47,17.2,16.39,1706590800000,153084
2024-01-31 05:00:00,37512810.0,16.828,16.4,16.58,17.18,16.35,1706677200000,148350
2024-02-01 05:00:00,41876583.0,16.6709,17.09,16.8,17.24,16.22,1706763600000,153281
2024-02-02 05:00:00,32332122.0,16.3984,16.63,16.44,16.66,16.14,1706850000000,114041
2024-02-05 05:00:00,32575513.0,15.8161,16.21,15.83,16.25,15.64,1707109200000,114129
2024-02-06 05:00:00,22673048.0,15.9635,15.76,15.97,16.13,15.555,1707195600000,82938
2024-02-07 05:00:00,27082349.0,15.7507,16.0,15.72,16.03,15.61,1707282000000,86211
2024-02-08 05:00:00,25544971.0,15.6183,15.64,15.69,15.79,15.4246,1707368400000,84573
2024-02-09 05:00:00,45686609.0,15.2456,15.68,15.31,15.74,14.96,1707454800000,175672
2024-02-12 05:00:00,28026383.0,15.4989,15.33,15.49,15.635,15.275,1707714000000,118299
2024-02-13 05:00:00,26733653.0,15.0571,15.03,15.12,15.24,14.9,1707800400000,100280
2024-02-14 05:00:00,25927063.0,15.11,15.26,15.27,15.36,14.84,1707886800000,104878
