date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3001087.0,56.3787,56.83,56.34,56.84,56.14,1705554000000,30389
2024-01-19 05:00:00,1950853.0,56.3474,56.54,56.44,56.58,55.96,1705640400000,23458
2024-01-22 05:00:00,3195929.0,56.5972,56.46,56.59,57.02,56.245,1705899600000,29328
2024-01-23 05:00:00,2350873.0,56.7451,56.58,56.81,56.94,56.37,1705986000000,26679
2024-01-24 05:00:00,2136141.0,55.8229,57.22,55.61,57.25,55.525,1706072400000,24617
2024-01-25 05:00:00,2436201.0,56.2334,56.2,56.46,56.52,55.71,1706158800000,30016
2024-01-26 05:00:00,1865832.0,56.4305,56.66,56.39,56.78,56.22,1706245200000,21528
2024-01-29 05:00:00,1546644.0,56.9265,56.36,57.13,57.235,56.03,1706504400000,19728
2024-01-30 05:00:00,1916124.0,57.1851,57.04,57.28,57.605,56.591,1706590800000,22917
2024-01-31 05:00:00,2891901.0,57.4133,57.89,57.16,58.09,56.9548,1706677200000,32015
2024-02-01 05:00:00,4020942.0,58.4962,57.25,58.84,58.945,56.72,1706763600000,36756
2024-02-02 05:00:00,3221124.0,57.9549,58.72,57.77,58.79,57.335,1706850000000,34353
2024-02-05 05:00:00,2323043.0,56.7231,57.04,56.58,57.145,56.48,1707109200000,27026
2024-02-06 05:00:00,2505597.0,56.5383,56.34,56.47,56.78,56.27,1707195600000,24822
2024-02-07 05:00:00,1907703.0,56.4184,56.75,56.41,56.77,56.23,1707282000000,21809
2024-02-08 05:00:00,2128060.0,56.0699,56.16,56.27,56.34,55.71,1707368400000,24874
2024-02-09 05:00:00,1604884.0,55.9108,55.73,56.08,56.11,55.6,1707454800000,20285
2024-02-12 05:00:00,1706315.0,56.7407,56.17,56.95,56.97,56.01,1707714000000,22116
2024-02-13 05:00:00,2487267.0,55.8073,56.76,56.14,56.92,55.1,1707800400000,27729
2024-02-14 05:00:00,1833923.0,56.3385,56.13,56.42,56.575,55.82,1707886800000,23732
2024-02-15 05:00:00,1900399.0,57.1494,56.69,57.22,57.52,56.69,1707973200000,18526
2024-02-16 05:00:00,2081473.0,57.2609,57.0,57.27,57.4965,56.73,1708059600000,21850
2024-02-20 05:00:00,3457470.0,57.1856,57.36,57.03,58.01,56.92,1708405200000,26468
2024-02-21 05:00:00,2883923.0,57.639,57.31,57.73,57.82,56.94,1708491600000,25270
2024-02-22 05:00:00,1762437.0,57.0807,57.13,57.14,57.335,56.69,1708578000000,23628
2024-02-23 05:00:00,2084759.0,57.7131,57.3,57.7,57.96,57.085,1708664400000,27422
2024-02-26 05:00:00,2207254.0,56.6169,57.44,56.6,57.44,56.31,1708923600000,21631
2024-02-27 05:00:00,1815768.0,57.1623,56.91,57.33,57.38,56.54,1709010000000,20922
2024-02-28 05:00:00,2614232.0,57.2794,57.29,57.02,57.71,56.955,1709096400000,26648
2024-02-29 05:00:00,3940644.0,57.3855,57.31,57.37,57.79,57.085,1709182800000,27854
2024-03-01 05:00:00,4294064.0,57.7523,57.37,58.14,58.205,56.75,1709269200000,37116
2024-03-04 05:00:00,2857829.0,58.6765,57.69,58.97,59.01,57.69,1709528400000,29629
2024-03-05 05:00:00,3849025.0,59.4383,59.27,59.3,60.24,59.01,1709614800000,35418
2024-03-06 05:00:00,2809834.0,60.228,59.75,60.3,60.54,59.51,1709701200000,33589
2024-03-07 05:00:00,2298063.0,60.1557,60.75,60.08,60.87,59.88,1709787600000,25273
2024-03-08 05:00:00,1959683.0,60.2152,60.33,60.26,60.49,59.74,1709874000000,26278
2024-03-11 04:00:00,1596097.0,60.2835,60.31,60.47,60.79,59.815,1710129600000,19839
2024-03-12 04:00:00,2015462.0,59.5837,60.06,59.42,60.335,59.18,1710216000000,23124
2024-03-13 04:00:00,3042771.0,59.0079,59.68,58.8,59.98,58.695,1710302400000,32316
2024-03-14 04:00:00,3025457.0,58.097,58.42,58.29,58.74,57.745,1710388800000,29072
2024-03-15 04:00:00,4804003.0,57.9373,57.92,57.82,58.6,57.78,1710475200000,30102
2024-03-18 04:00:00,3269101.0,58.2115,57.8,58.3,58.505,57.75,1710734400000,30559
2024-03-19 04:00:00,2297576.0,58.4533,58.49,58.41,58.92,58.08,1710820800000,26073
2024-03-20 04:00:00,2252370.0,58.5437,58.3,58.53,58.975,58.1,1710907200000,25889
2024-03-21 04:00:00,3123129.0,58.9484,58.55,58.89,59.26,58.4,1710993600000,31081
2024-03-22 04:00:00,2726724.0,59.0117,59.33,58.97,59.35,58.83,1711080000000,27063
2024-03-25 04:00:00,1845947.0,58.5831,59.08,58.61,59.255,58.355,1711339200000,19112
2024-03-26 04:00:00,2277477.0,58.3306,58.63,58.25,58.84,58.1025,1711425600000,24163
2024-03-27 04:00:00,3561399.0,59.7741,58.63,59.92,59.96,58.61,1711512000000,26279
2024-03-28 04:00:00,2363553.0,60.2192,59.95,60.34,60.39,59.73,1711598400000,24171
2024-04-01 04:00:00,1619118.0,59.999,60.39,59.98,60.42,59.72,1711944000000,21479
2024-04-02 04:00:00,2343173.0,60.3685,59.97,60.19,60.765,59.88,1712030400000,25433
2024-04-03 04:00:00,2166831.0,59.5674,60.17,59.32,60.28,59.305,1712116800000,29281
2024-04-04 04:00:00,4842961.0,58.9469,59.25,59.27,59.53,58.38,1712203200000,50047
2024-04-05 04:00:00,2713179.0,58.7045,58.77,58.65,59.03,58.3511,1712289600000,27523
2024-04-08 04:00:00,2154710.0,59.0785,58.74,59.09,59.395,58.61,1712548800000,26468
2024-04-09 04:00:00,1927018.0,59.1484,59.36,59.24,59.51,58.85,1712635200000,21735
2024-04-10 04:00:00,2466241.0,58.083,58.2,58.14,58.58,57.73,1712721600000,29375
2024-04-11 04:00:00,1425115.0,57.9733,58.44,57.88,58.48,57.635,1712808000000,18991
2024-04-12 04:00:00,1361135.0,57.7607,57.89,57.66,58.25,57.4,1712894400000,22242
2024-04-15 04:00:00,2248717.0,57.5198,57.96,57.61,58.12,57.16,1713153600000,30753
2024-04-16 04:00:00,2046158.0,56.9177,57.42,56.89,57.62,56.61,1713240000000,29186
2024-04-17 04:00:00,2023328.0,57.9507,57.33,58.25,58.33,57.17,1713326400000,24330
2024-04-18 04:00:00,2283152.0,58.3275,58.39,58.48,58.6,57.815,1713412800000,23322
2024-04-19 04:00:00,1743911.0,59.3609,58.68,59.55,59.68,58.68,1713499200000,21249
