date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3081453.0,75.9106,74.61,76.6,76.71,74.27,1705554000000,40216
2024-01-19 05:00:00,4026208.0,74.8643,76.72,74.15,76.76,74.12,1705640400000,43394
2024-01-22 05:00:00,3179646.0,74.9024,74.535,75.17,75.345,73.82,1705899600000,37433
2024-01-23 05:00:00,2195224.0,75.6722,75.19,75.56,76.14,75.18,1705986000000,30445
2024-01-24 05:00:00,3155535.0,75.6537,76.31,75.48,77.29,75.26,1706072400000,38509
2024-01-25 05:00:00,5121187.0,73.1991,72.95,73.55,74.67,71.81,1706158800000,58425
2024-01-26 05:00:00,2979251.0,73.6357,73.8,73.77,74.14,73.18,1706245200000,37187
2024-01-29 05:00:00,2072453.0,73.9616,73.51,74.06,74.2475,73.28,1706504400000,25938
2024-01-30 05:00:00,2265501.0,74.6259,74.21,74.86,74.93,73.9,1706590800000,27429
2024-01-31 05:00:00,3095434.0,75.3799,75.46,75.31,75.755,75.04,1706677200000,30477
2024-02-01 05:00:00,2548194.0,75.374,75.16,75.3,75.88,74.195,1706763600000,33236
2024-02-02 05:00:00,2265459.0,75.2445,75.51,75.41,75.7325,74.63,1706850000000,30414
2024-02-05 05:00:00,3352199.0,74.3854,75.3,74.07,75.3,74.05,1707109200000,37806
2024-02-06 05:00:00,4652462.0,74.8712,73.755,74.92,76.39,71.48,1707195600000,51403
2024-02-07 05:00:00,4649699.0,74.9645,75.02,74.92,75.87,74.33,1707282000000,50645
2024-02-08 05:00:00,3281524.0,75.9515,75.29,76.5,76.58,74.68,1707368400000,38677
2024-02-09 05:00:00,2508555.0,76.9405,76.31,77.33,77.36,75.89,1707454800000,31236
2024-02-12 05:00:00,2416516.0,77.7466,77.19,77.91,78.07,76.6,1707714000000,32069
2024-02-13 05:00:00,2379930.0,76.9954,77.82,76.7,78.395,76.49,1707800400000,34240
2024-02-14 05:00:00,2017350.0,77.2651,76.9,77.49,77.54,76.66,1707886800000,27211
