date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,6150889.0,106.6242,107.34,106.93,107.34,105.7701,1705554000000,78953
2024-01-19 05:00:00,5702183.0,107.1634,106.05,107.87,107.92,105.92,1705640400000,70445
2024-01-22 05:00:00,5740242.0,107.8555,107.5,108.06,108.39,107.0,1705899600000,77439
2024-01-23 05:00:00,3969624.0,108.1604,107.82,107.99,109.42,107.65,1705986000000,50159
2024-01-24 05:00:00,5331984.0,109.4529,108.92,109.67,110.02,108.42,1706072400000,58997
2024-01-25 05:00:00,5958806.0,110.8177,109.8,112.05,112.08,109.26,1706158800000,75759
2024-01-26 05:00:00,4155987.0,111.7835,112.04,112.23,112.45,110.44,1706245200000,55794
2024-01-29 05:00:00,4705884.0,111.2441,112.04,111.6,112.1,110.49,1706504400000,63347
2024-01-30 05:00:00,6206541.0,113.156,111.21,114.05,114.33,110.76,1706590800000,69671
2024-01-31 05:00:00,5501432.0,112.2734,113.97,111.87,114.1,111.79,1706677200000,65352
2024-02-01 05:00:00,5255188.0,111.7948,112.34,111.38,113.22,110.8,1706763600000,67109
2024-02-02 05:00:00,4610163.0,110.8893,111.66,110.63,111.95,109.6946,1706850000000,69102
2024-02-05 05:00:00,4520460.0,110.1814,110.25,109.97,110.86,109.29,1707109200000,67885
2024-02-06 05:00:00,4777831.0,111.5439,110.88,111.52,112.45,110.195,1707195600000,66350
2024-02-07 05:00:00,6100714.0,112.2444,111.72,112.32,112.97,111.45,1707282000000,78072
2024-02-08 05:00:00,7715527.0,113.9913,113.11,113.9,115.29,112.585,1707368400000,101511
2024-02-09 05:00:00,5974069.0,111.8307,113.99,111.16,114.3,111.0216,1707454800000,73843
2024-02-12 05:00:00,5802121.0,111.1653,111.27,111.1,112.14,110.53,1707714000000,77611
2024-02-13 05:00:00,6321089.0,110.1602,111.1,109.77,111.93,108.84,1707800400000,85370
2024-02-14 05:00:00,7248447.0,110.2791,110.2,110.12,111.04,109.52,1707886800000,76047
2024-02-15 05:00:00,9421885.0,110.9653,109.04,111.0,111.7,108.84,1707973200000,99383
2024-02-16 05:00:00,6967785.0,111.0287,111.48,110.57,111.8,110.395,1708059600000,71704
2024-02-20 05:00:00,6458274.0,110.131,110.55,109.54,111.63,109.36,1708405200000,80232
2024-02-21 05:00:00,6927935.0,112.5413,110.0,112.87,113.665,109.7,1708491600000,77138
2024-02-22 05:00:00,5104996.0,112.1133,112.06,112.22,112.91,111.31,1708578000000,67546
2024-02-23 05:00:00,5206217.0,111.4007,111.09,111.51,112.26,110.1,1708664400000,59934
2024-02-26 05:00:00,5751167.0,112.1809,111.2,112.42,112.52,110.61,1708923600000,52123
2024-02-27 05:00:00,5060027.0,111.5854,113.03,111.61,113.33,111.058,1709010000000,67146
2024-02-28 05:00:00,4578996.0,112.1005,111.9,112.04,113.32,111.15,1709096400000,60239
2024-02-29 05:00:00,6623961.0,112.5424,112.51,112.54,113.16,111.85,1709182800000,58091
2024-03-01 05:00:00,5094400.0,114.6169,113.8,114.24,115.5287,113.63,1709269200000,69869
2024-03-04 05:00:00,5877361.0,112.2481,114.04,111.64,114.3924,111.58,1709528400000,70759
2024-03-05 05:00:00,6246956.0,111.7293,111.21,111.22,112.8,110.85,1709614800000,75965
2024-03-06 05:00:00,4888748.0,112.1821,112.3,111.99,112.9,111.479,1709701200000,62247
2024-03-07 05:00:00,5097325.0,112.7856,111.73,112.74,113.43,111.69,1709787600000,58667
