date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1045557.0,220.2706,218.61,220.79,221.1,216.9,1705554000000,21374
2024-01-19 05:00:00,1401084.0,219.1758,221.01,218.28,221.31,218.055,1705640400000,25000
2024-01-22 05:00:00,1175106.0,218.4821,218.28,218.16,219.865,217.96,1705899600000,22861
2024-01-23 05:00:00,890942.0,217.3339,217.21,217.85,218.74,216.46,1705986000000,21372
2024-01-24 05:00:00,977074.0,217.7381,218.48,217.38,218.82,217.12,1706072400000,21201
2024-01-25 05:00:00,1063911.0,218.0423,218.12,218.84,218.9,215.3,1706158800000,24129
2024-01-26 05:00:00,972841.0,217.7868,219.18,217.68,219.8,217.17,1706245200000,21263
2024-01-29 05:00:00,916353.0,217.9294,217.96,218.44,218.45,216.81,1706504400000,21342
2024-01-30 05:00:00,1530076.0,219.9158,219.99,220.53,220.81,217.94,1706590800000,31196
2024-01-31 05:00:00,3511661.0,231.3682,228.0,232.68,235.06,228.0,1706677200000,63147
2024-02-01 05:00:00,2071948.0,235.5089,232.65,236.92,237.03,228.6137,1706763600000,45099
2024-02-02 05:00:00,1267256.0,235.0991,237.23,234.99,237.465,234.17,1706850000000,32346
2024-02-05 05:00:00,1209756.0,234.7057,237.33,234.21,237.67,233.55,1707109200000,25469
2024-02-06 05:00:00,2251032.0,235.0606,236.35,235.01,237.43,233.24,1707195600000,36970
2024-02-07 05:00:00,1662272.0,238.2127,235.92,237.67,239.38,235.64,1707282000000,32527
2024-02-08 05:00:00,2744902.0,230.509,233.5,230.32,233.95,228.32,1707368400000,47784
2024-02-09 05:00:00,1590542.0,230.1022,230.68,230.69,231.645,228.77,1707454800000,31839
2024-02-12 05:00:00,1282851.0,230.0305,229.88,229.98,231.15,228.41,1707714000000,26193
2024-02-13 05:00:00,1462654.0,230.9302,231.91,231.19,232.04,229.39,1707800400000,34882
2024-02-14 05:00:00,1197418.0,231.2276,231.19,231.58,231.97,229.65,1707886800000,27788
2024-02-15 05:00:00,1119852.0,233.4142,232.0,233.08,234.635,231.835,1707973200000,27220
2024-02-16 05:00:00,1076499.0,232.1234,233.8,231.72,234.16,231.12,1708059600000,23049
2024-02-20 05:00:00,1547647.0,233.18,231.72,232.36,234.46,231.24,1708405200000,32388
2024-02-21 05:00:00,1109765.0,233.1872,233.92,233.47,234.35,232.09,1708491600000,25023
2024-02-22 05:00:00,1269210.0,234.9614,233.21,234.4,236.52,232.83,1708578000000,25618
2024-02-23 05:00:00,975186.0,237.1564,235.34,237.27,238.07,234.49,1708664400000,24080
2024-02-26 05:00:00,1553466.0,238.4531,239.04,238.34,239.855,237.61,1708923600000,28390
2024-02-27 05:00:00,1222103.0,236.1337,237.26,236.51,237.77,234.78,1709010000000,27055
2024-02-28 05:00:00,1065420.0,235.2605,236.94,236.13,236.94,233.88,1709096400000,23400
2024-02-29 05:00:00,1646211.0,235.5894,236.08,235.6,236.61,234.72,1709182800000,21847
2024-03-01 05:00:00,1190010.0,237.3725,236.76,237.03,238.605,235.325,1709269200000,27045
2024-03-04 05:00:00,1326046.0,236.6896,237.48,235.8,240.44,235.68,1709528400000,30929
2024-03-05 05:00:00,1422497.0,235.4341,236.22,235.31,236.445,234.44,1709614800000,29640
2024-03-06 05:00:00,1209006.0,235.2086,235.54,234.68,236.54,234.54,1709701200000,25979
2024-03-07 05:00:00,1341572.0,236.7741,236.11,237.63,238.31,234.69,1709787600000,26622
2024-03-08 05:00:00,877375.0,237.6061,237.29,237.47,238.42,236.695,1709874000000,18200
2024-03-11 04:00:00,849035.0,237.5641,236.64,237.68,238.2,236.565,1710129600000,21554
2024-03-12 04:00:00,666627.0,237.3609,237.66,237.44,238.2,236.18,1710216000000,18609
2024-03-13 04:00:00,1447420.0,235.1633,238.49,234.77,239.035,234.23,1710302400000,34471
2024-03-14 04:00:00,1280193.0,237.1384,235.93,237.68,237.9,234.99,1710388800000,26774
2024-03-15 04:00:00,2150197.0,237.7346,235.26,238.23,238.34,234.39,1710475200000,23744
2024-03-18 04:00:00,1122380.0,239.4594,238.12,239.31,240.86,237.34,1710734400000,23574
2024-03-19 04:00:00,1165746.0,241.9323,240.21,242.35,242.6,239.245,1710820800000,25825
2024-03-20 04:00:00,967358.0,242.6793,242.52,241.87,243.83,241.76,1710907200000,23731
2024-03-21 04:00:00,801294.0,242.4039,241.9,242.33,243.64,240.33,1710993600000,21410
2024-03-22 04:00:00,720762.0,242.5733,242.92,242.5,243.59,241.98,1711080000000,16927
2024-03-25 04:00:00,703339.0,242.3003,242.5,242.06,243.305,241.625,1711339200000,16302
2024-03-26 04:00:00,829209.0,243.2242,242.06,242.8,244.06,241.595,1711425600000,19265
2024-03-27 04:00:00,674294.0,244.1443,243.98,244.64,244.68,242.86,1711512000000,20437
2024-03-28 04:00:00,1574357.0,241.9829,244.64,242.99,244.64,239.785,1711598400000,31066
2024-04-01 04:00:00,635008.0,242.5381,242.38,243.0,243.34,240.25,1711944000000,16949
2024-04-02 04:00:00,961404.0,242.8326,242.5,243.09,244.52,241.67,1712030400000,24845
2024-04-03 04:00:00,1125211.0,245.889,243.74,245.8,246.75,242.411,1712116800000,27355
2024-04-04 04:00:00,1026949.0,243.5935,246.65,242.04,246.65,241.9,1712203200000,26632
2024-04-05 04:00:00,744596.0,243.23,242.72,243.22,243.82,241.88,1712289600000,18573
2024-04-08 04:00:00,813158.0,241.0285,242.2,240.36,242.745,240.35,1712548800000,20184
2024-04-09 04:00:00,807596.0,238.2266,241.22,238.57,241.22,236.81,1712635200000,20200
2024-04-10 04:00:00,712151.0,238.413,238.29,237.8,240.43,237.62,1712721600000,21568
2024-04-11 04:00:00,810744.0,236.0688,238.44,235.64,238.44,235.27,1712808000000,22058
2024-04-12 04:00:00,822327.0,234.1665,235.0,234.0,236.24,233.095,1712894400000,21761
2024-04-15 04:00:00,986035.0,234.9763,236.35,234.21,236.82,234.17,1713153600000,24512
2024-04-16 04:00:00,1981544.0,238.3749,237.48,238.26,239.77,236.62,1713240000000,43629
2024-04-17 04:00:00,1028618.0,238.007,239.22,238.62,239.26,236.24,1713326400000,25746
2024-04-18 04:00:00,1443314.0,237.114,239.4,237.3,239.4,235.39,1713412800000,30984
2024-04-19 04:00:00,1411190.0,239.0178,238.68,239.13,239.91,236.98,1713499200000,25964
2024-04-22 04:00:00,2287125.0,236.9979,236.0,236.85,239.01,234.73,1713758400000,40563
2024-04-23 04:00:00,1430856.0,237.6967,237.43,237.69,238.72,236.245,1713844800000,30289
2024-04-24 04:00:00,926754.0,237.5336,237.59,237.95,238.79,235.84,1713931200000,23347
2024-04-25 04:00:00,831205.0,239.8879,239.03,239.76,241.05,238.25,1714017600000,22900
2024-04-26 04:00:00,972783.0,240.2892,240.04,240.88,241.36,238.095,1714104000000,22845
2024-04-29 04:00:00,912088.0,239.5232,240.0,239.93,240.86,238.21,1714363200000,21329
2024-04-30 04:00:00,1589325.0,238.933,239.78,239.05,240.26,238.0,1714449600000,29622
2024-05-01 04:00:00,3291636.0,228.8783,229.15,229.2,231.55,224.8,1714536000000,56025
2024-05-02 04:00:00,2042140.0,225.6494,228.49,224.74,228.792,224.32,1714622400000,47827
2024-05-03 04:00:00,2222046.0,223.3138,223.63,223.95,224.86,222.2,1714708800000,43478
2024-05-06 04:00:00,1582709.0,223.9211,225.43,224.04,226.09,223.19,1714968000000,31450
2024-05-07 04:00:00,1899150.0,225.8715,224.31,226.74,226.89,224.31,1715054400000,31600
2024-05-08 04:00:00,2401794.0,224.3995,227.72,224.11,228.25,223.62,1715140800000,36124
2024-05-09 04:00:00,927628.0,224.2466,223.95,224.09,225.5,223.78,1715227200000,23120
2024-05-10 04:00:00,943908.0,224.912,224.42,224.6,225.67,224.02,1715313600000,24152
2024-05-13 04:00:00,1060591.0,223.533,224.73,222.92,226.18,222.58,1715572800000,23915
2024-05-14 04:00:00,1522222.0,221.7062,223.18,221.94,223.71,220.68,1715659200000,29203
2024-05-15 04:00:00,898850.0,222.156,221.69,221.81,223.535,221.23,1715745600000,26064
2024-05-16 04:00:00,1045188.0,221.7085,222.51,221.85,223.32,220.87,1715832000000,23572
2024-05-17 04:00:00,1001923.0,221.9754,222.74,222.12,222.8,221.029,1715918400000,24254
2024-05-20 04:00:00,888229.0,220.8666,222.38,221.0,222.54,219.775,1716177600000,21533
2024-05-21 04:00:00,1420200.0,217.5206,221.3,217.08,221.3,216.46,1716264000000,33168
2024-05-22 04:00:00,1179960.0,216.9186,216.85,216.75,217.8175,216.2,1716350400000,23967
2024-05-23 04:00:00,1555482.0,219.8478,218.5,219.82,220.83,218.5,1716436800000,37874
2024-05-24 04:00:00,1029855.0,219.0481,219.94,218.89,220.67,217.86,1716523200000,24270
2024-05-28 04:00:00,1400875.0,216.049,218.06,216.21,218.06,215.11,1716868800000,27504
2024-05-29 04:00:00,1773984.0,218.0185,215.83,219.06,219.26,214.7686,1716955200000,30860
2024-05-30 04:00:00,2127897.0,220.8192,219.91,220.53,222.45,218.32,1717041600000,34280
2024-05-31 04:00:00,3835641.0,225.8917,220.72,226.57,226.64,220.72,1717128000000,32023
2024-06-03 04:00:00,2028348.0,229.5699,224.72,230.51,230.98,224.72,1717387200000,39493
2024-06-04 04:00:00,1000959.0,230.2946,230.14,230.67,231.25,228.11,1717473600000,22964
2024-06-05 04:00:00,1781993.0,231.3782,231.73,231.77,232.36,230.11,1717560000000,25085
2024-06-06 04:00:00,2246451.0,235.0193,231.72,236.67,236.71,230.76,1717646400000,31873
