date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3551305.0,47.9842,47.78,48.17,48.2,47.51,1705554000000,32826
2024-01-19 05:00:00,4068729.0,48.6213,48.29,48.7,48.85,48.215,1705640400000,33280
2024-01-22 05:00:00,3601001.0,49.4151,49.005,49.49,49.549,49.0,1705899600000,37072
2024-01-23 05:00:00,3703389.0,49.3658,49.41,49.53,49.59,49.0045,1705986000000,33397
2024-01-24 05:00:00,4684482.0,49.0489,49.8,48.65,49.88,48.55,1706072400000,45769
2024-01-25 05:00:00,3505080.0,48.8552,48.96,48.99,49.14,48.45,1706158800000,37306
2024-01-26 05:00:00,6238964.0,48.1324,49.0,48.06,49.03,47.74,1706245200000,50856
2024-01-29 05:00:00,3513073.0,48.4947,47.84,48.66,48.665,47.73,1706504400000,29654
2024-01-30 05:00:00,3275170.0,48.8315,48.43,48.95,48.99,48.38,1706590800000,33106
2024-01-31 05:00:00,4018865.0,48.2308,48.75,48.04,49.0147,47.92,1706677200000,41978
2024-02-01 05:00:00,3162544.0,48.8434,48.29,49.2,49.225,48.06,1706763600000,36396
2024-02-02 05:00:00,4074209.0,49.8037,49.2,50.03,50.24,48.92,1706850000000,40899
2024-02-05 05:00:00,4520421.0,49.9122,49.998,49.99,50.1475,49.4,1707109200000,31398
2024-02-06 05:00:00,3132224.0,50.2178,50.12,50.48,50.5,49.76,1707195600000,34625
2024-02-07 05:00:00,3795368.0,50.9906,50.85,50.85,51.265,50.58,1707282000000,38379
2024-02-08 05:00:00,2219474.0,50.8822,50.8,50.96,51.07,50.59,1707368400000,26894
2024-02-09 05:00:00,3139133.0,50.9373,50.97,50.91,51.145,50.65,1707454800000,37845
2024-02-12 05:00:00,2710570.0,50.5365,50.74,50.48,50.86,50.29,1707714000000,34664
2024-02-13 05:00:00,4968454.0,49.3101,49.744,49.23,49.915,48.795,1707800400000,56506
2024-02-14 05:00:00,3770572.0,49.1045,49.54,49.22,49.745,48.71,1707886800000,43298
2024-02-15 05:00:00,3618430.0,49.5841,49.34,49.73,49.87,49.04,1707973200000,38247
2024-02-16 05:00:00,3927250.0,49.2711,49.64,48.96,49.77,48.925,1708059600000,41719
2024-02-20 05:00:00,4557860.0,48.6096,49.03,48.52,49.24,48.475,1708405200000,42754
2024-02-21 05:00:00,3072323.0,48.7723,48.33,48.89,49.02,48.22,1708491600000,33778
2024-02-22 05:00:00,5448413.0,49.4453,49.62,49.41,49.895,49.27,1708578000000,46165
2024-02-23 05:00:00,13718464.0,50.5872,48.94,51.38,51.535,48.5775,1708664400000,115525
2024-02-26 05:00:00,9658580.0,52.3178,51.06,52.5,52.81,50.9695,1708923600000,72407
2024-02-27 05:00:00,5576341.0,52.7082,52.43,52.92,52.995,51.92,1709010000000,63256
2024-02-28 05:00:00,4917879.0,52.937,52.65,53.08,53.145,52.3,1709096400000,47895
2024-02-29 05:00:00,8278884.0,53.0905,53.32,53.15,53.38,52.58,1709182800000,54835
2024-03-01 05:00:00,4814500.0,53.3523,53.03,53.58,53.7,52.67,1709269200000,42219
2024-03-04 05:00:00,4883397.0,54.0631,53.68,54.1,54.35,53.57,1709528400000,44454
2024-03-05 05:00:00,6521642.0,53.8107,54.09,53.86,54.1,53.575,1709614800000,60704
2024-03-06 05:00:00,5377733.0,54.5723,54.19,54.62,54.84,53.93,1709701200000,50462
2024-03-07 05:00:00,4261471.0,55.2277,55.14,55.21,55.38,54.94,1709787600000,40484
2024-03-08 05:00:00,4094668.0,55.1569,55.19,54.96,55.83,54.72,1709874000000,45640
2024-03-11 04:00:00,5446224.0,54.2978,54.96,54.53,54.96,53.71,1710129600000,52276
2024-03-12 04:00:00,5398991.0,55.0666,54.77,55.19,55.41,54.35,1710216000000,58936
2024-03-13 04:00:00,9044944.0,56.0114,55.1,56.25,56.455,54.98,1710302400000,75855
2024-03-14 04:00:00,8977663.0,56.5058,56.64,56.42,56.96,56.27,1710388800000,76008
2024-03-15 04:00:00,10434765.0,56.2709,56.45,56.13,56.75,56.0,1710475200000,59662
2024-03-18 04:00:00,3588948.0,56.277,56.56,56.09,56.77,56.04,1710734400000,35667
2024-03-19 04:00:00,3694592.0,56.2699,56.37,56.27,56.5,56.01,1710820800000,32395
2024-03-20 04:00:00,3890011.0,56.6917,56.42,56.9,56.945,56.28,1710907200000,37620
2024-03-21 04:00:00,5824396.0,57.4331,57.325,57.21,57.855,57.19,1710993600000,54822
2024-03-22 04:00:00,4501606.0,57.4134,57.41,57.41,57.59,57.18,1711080000000,36927
2024-03-25 04:00:00,3667728.0,57.2172,57.41,57.18,57.55,57.015,1711339200000,36375
2024-03-26 04:00:00,4302299.0,57.2522,57.32,57.22,57.4,57.03,1711425600000,38038
2024-03-27 04:00:00,3713630.0,57.2427,57.74,57.24,57.905,56.805,1711512000000,40205
2024-03-28 04:00:00,5084249.0,57.8631,57.88,57.92,58.15,57.44,1711598400000,42943
2024-04-01 04:00:00,4161110.0,58.0151,58.13,58.07,58.58,57.72,1711944000000,45695
2024-04-02 04:00:00,3900332.0,57.154,57.515,57.25,57.515,56.765,1712030400000,42122
2024-04-03 04:00:00,3866556.0,57.5877,57.13,57.37,57.97,57.02,1712116800000,44226
2024-04-04 04:00:00,4284954.0,56.4585,58.06,55.74,58.35,55.7,1712203200000,49195
2024-04-05 04:00:00,3387869.0,56.6427,56.56,56.55,56.95,55.81,1712289600000,44259
2024-04-08 04:00:00,3953106.0,56.4495,56.59,56.28,56.84,56.195,1712548800000,37798
2024-04-09 04:00:00,3374534.0,56.335,56.55,56.69,56.75,55.61,1712635200000,42282
2024-04-10 04:00:00,3767638.0,56.0349,55.85,56.03,56.31,55.53,1712721600000,46142
2024-04-11 04:00:00,3368608.0,55.9558,55.98,56.0,56.2,55.5,1712808000000,40420
2024-04-12 04:00:00,3610042.0,55.3966,55.41,55.38,55.76,55.07,1712894400000,42054
