date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,17670855.0,34.4547,34.37,34.45,34.59,34.21,1705554000000,99509
2024-01-19 05:00:00,18313443.0,34.5049,34.42,34.55,34.77,34.315,1705640400000,96455
2024-01-22 05:00:00,15175193.0,34.7624,34.69,34.75,34.98,34.505,1705899600000,92908
2024-01-23 05:00:00,10098700.0,34.8186,34.77,34.89,34.94,34.595,1705986000000,72401
2024-01-24 05:00:00,17803435.0,34.539,35.0,34.39,35.0,34.33,1706072400000,107858
2024-01-25 05:00:00,19979356.0,34.5874,34.52,35.0,35.01,33.45,1706158800000,130911
2024-01-26 05:00:00,21484732.0,35.2271,35.07,35.39,35.4975,34.815,1706245200000,116306
2024-01-29 05:00:00,11223900.0,35.4418,35.18,35.59,35.63,35.05,1706504400000,64810
2024-01-30 05:00:00,13619159.0,35.7395,35.3,35.85,35.995,35.27,1706590800000,80100
2024-01-31 05:00:00,15551050.0,35.8031,35.96,35.7,36.12,35.655,1706677200000,78433
2024-02-01 05:00:00,13146720.0,36.0768,35.75,36.28,36.28,35.64,1706763600000,80946
2024-02-02 05:00:00,13400783.0,36.4917,36.24,36.53,36.75,36.07,1706850000000,90983
2024-02-05 05:00:00,11621724.0,36.714,36.23,36.73,36.93,36.2,1707109200000,83710
2024-02-06 05:00:00,9139148.0,37.0017,36.83,37.02,37.15,36.65,1707195600000,63049
2024-02-07 05:00:00,9536072.0,37.0983,37.2,36.99,37.37,36.99,1707282000000,64065
2024-02-08 05:00:00,8489062.0,36.9605,37.06,37.07,37.145,36.72,1707368400000,59734
2024-02-09 05:00:00,9439225.0,36.8855,37.12,36.89,37.22,36.74,1707454800000,63596
2024-02-12 05:00:00,11684724.0,36.6919,36.79,36.87,36.93,36.42,1707714000000,61605
2024-02-13 05:00:00,11241596.0,36.5711,36.77,36.61,36.835,36.345,1707800400000,61068
2024-02-14 05:00:00,8318356.0,36.8862,36.63,37.0,37.06,36.5875,1707886800000,57723
2024-02-15 05:00:00,9581408.0,37.0342,37.178,37.0,37.39,36.885,1707973200000,65238
2024-02-16 05:00:00,12668427.0,36.7749,36.89,36.72,37.02,36.645,1708059600000,56539
2024-02-20 05:00:00,14300465.0,36.7986,36.76,36.86,36.92,36.45,1708405200000,66908
2024-02-21 05:00:00,10010096.0,36.9991,37.0,37.1,37.155,36.83,1708491600000,50467
2024-02-22 05:00:00,17846503.0,37.7125,37.21,37.89,38.03,37.09,1708578000000,81973
2024-02-23 05:00:00,26652715.0,38.2825,37.94,38.33,40.12,37.86,1708664400000,88863
2024-02-26 05:00:00,13371168.0,38.3535,38.27,38.18,38.7,38.15,1708923600000,73989
