date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4693541.0,75.6684,75.85,75.66,76.68,75.2,1705554000000,43085
2024-01-19 05:00:00,7178358.0,76.7718,75.71,76.88,77.17,75.6,1705640400000,45493
2024-01-22 05:00:00,2452820.0,77.3306,77.18,77.27,77.71,77.08,1705899600000,34626
2024-01-23 05:00:00,2263181.0,77.1383,77.52,77.11,77.6499,76.835,1705986000000,31436
2024-01-24 05:00:00,3473450.0,77.0215,77.55,76.95,77.55,76.73,1706072400000,33645
2024-01-25 05:00:00,5396738.0,78.2532,77.79,78.3,78.68,77.79,1706158800000,52641
2024-01-26 05:00:00,2481166.0,77.6431,78.56,77.28,78.89,77.04,1706245200000,34892
2024-01-29 05:00:00,3223525.0,77.787,76.92,77.87,78.13,76.92,1706504400000,26272
2024-01-30 05:00:00,3377883.0,77.6725,77.3,77.6,77.935,77.2,1706590800000,33133
2024-01-31 05:00:00,3316034.0,77.4932,77.65,77.12,78.7,76.97,1706677200000,47460
2024-02-01 05:00:00,2530656.0,77.5079,77.35,77.88,77.95,76.54,1706763600000,34689
2024-02-02 05:00:00,4500620.0,77.8118,77.48,77.89,78.2,77.15,1706850000000,37566
2024-02-05 05:00:00,2472472.0,77.465,77.27,77.59,77.75,76.63,1707109200000,31374
2024-02-06 05:00:00,6513053.0,78.5755,77.83,78.73,78.93,77.76,1707195600000,68311
2024-02-07 05:00:00,5302314.0,77.7383,75.64,78.0,78.88,75.42,1707282000000,61028
2024-02-08 05:00:00,3173887.0,78.2006,78.13,78.3,78.66,77.355,1707368400000,39475
2024-02-09 05:00:00,5330044.0,77.2722,78.57,77.1,78.575,76.87,1707454800000,48887
2024-02-12 05:00:00,5249758.0,76.2819,76.74,76.53,76.88,75.54,1707714000000,54644
2024-02-13 05:00:00,3214905.0,75.3415,75.54,75.5,76.07,74.79,1707800400000,41603
2024-02-14 05:00:00,2729580.0,76.422,75.91,76.74,76.83,75.79,1707886800000,38132
2024-02-15 05:00:00,4396265.0,77.8574,77.14,78.02,78.04,77.09,1707973200000,35833
2024-02-16 05:00:00,2125913.0,77.2097,77.52,77.0,77.78,76.86,1708059600000,25907
2024-02-20 05:00:00,4622046.0,76.7527,76.91,76.74,77.39,76.36,1708405200000,30121
2024-02-21 05:00:00,3507726.0,77.09,76.25,77.47,77.53,76.12,1708491600000,36653
2024-02-22 05:00:00,3771510.0,79.2805,78.4,79.46,79.68,78.12,1708578000000,50940
2024-02-23 05:00:00,3858286.0,79.7981,79.6,79.82,80.09,79.425,1708664400000,31329
2024-02-26 05:00:00,3442513.0,79.519,79.58,79.51,79.935,78.95,1708923600000,27409
2024-02-27 05:00:00,1779672.0,79.1292,79.6,79.14,79.79,78.75,1709010000000,24796
2024-02-28 05:00:00,3095938.0,78.4859,78.94,78.48,79.0781,78.23,1709096400000,31976
2024-02-29 05:00:00,6272449.0,79.0276,79.38,79.02,79.7,78.4401,1709182800000,29467
2024-03-01 05:00:00,4516472.0,78.7324,78.9,78.61,79.52,78.53,1709269200000,31552
2024-03-04 05:00:00,7359988.0,79.0606,78.51,79.08,79.68,78.48,1709528400000,52493
2024-03-05 05:00:00,4556137.0,77.9497,78.63,77.78,78.98,77.54,1709614800000,34986
2024-03-06 05:00:00,6748864.0,76.9818,78.55,76.69,78.95,76.38,1709701200000,52573
2024-03-07 05:00:00,4783778.0,77.2844,77.05,77.46,77.959,77.05,1709787600000,39917
2024-03-08 05:00:00,5061531.0,76.9133,77.19,76.77,77.525,76.59,1709874000000,37559
2024-03-11 04:00:00,3015575.0,76.9795,76.85,76.96,77.31,76.46,1710129600000,33539
2024-03-12 04:00:00,2575871.0,77.0699,76.9,77.09,77.42,76.73,1710216000000,35600
2024-03-13 04:00:00,4120929.0,77.053,77.14,77.02,77.37,76.76,1710302400000,37144
2024-03-14 04:00:00,3635541.0,76.35,76.95,76.35,77.14,75.88,1710388800000,31695
2024-03-15 04:00:00,6883398.0,75.4743,76.25,75.33,76.57,75.13,1710475200000,37121
2024-03-18 04:00:00,11544246.0,75.1401,75.87,75.09,76.07,75.01,1710734400000,49686
2024-03-19 04:00:00,7622527.0,74.6777,74.83,74.65,75.37,74.53,1710820800000,35698
2024-03-20 04:00:00,6438605.0,74.8733,74.47,75.15,75.4,73.93,1710907200000,47158
2024-03-21 04:00:00,7625115.0,73.5392,73.48,72.58,75.7,72.41,1710993600000,80381
2024-03-22 04:00:00,5802299.0,71.8984,72.61,71.9,72.62,71.595,1711080000000,43225
2024-03-25 04:00:00,4257488.0,72.0698,72.0,72.01,72.555,71.79,1711339200000,31676
2024-03-26 04:00:00,5329761.0,72.3304,72.25,72.4,72.55,71.91,1711425600000,35777
2024-03-27 04:00:00,2880997.0,73.4776,72.91,73.62,73.65,72.91,1711512000000,35080
2024-03-28 04:00:00,11104797.0,73.3209,73.4,73.29,74.07,73.14,1711598400000,38410
2024-04-01 04:00:00,5095285.0,71.8296,72.73,71.75,72.74,71.56,1711944000000,34954
2024-04-02 04:00:00,5553306.0,71.7094,71.52,71.68,72.06,71.405,1712030400000,28485
