date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4040154.0,44.389,44.69,44.41,44.74,44.07,1705554000000,36022
2024-01-19 05:00:00,5115285.0,45.0867,44.17,45.6,45.64,44.01,1705640400000,36563
2024-01-22 05:00:00,4708172.0,45.1201,45.165,44.97,45.56,44.8,1705899600000,38688
2024-01-23 05:00:00,2634617.0,45.3803,45.48,45.43,45.88,45.055,1705986000000,31929
2024-01-24 05:00:00,2454386.0,45.3871,45.61,45.41,45.665,44.9101,1706072400000,26296
2024-01-25 05:00:00,3958084.0,45.1914,45.75,45.24,45.83,45.01,1706158800000,38243
2024-01-26 05:00:00,3226219.0,45.7978,45.66,45.86,45.94,45.25,1706245200000,26760
2024-01-29 05:00:00,2123174.0,45.6981,45.74,45.93,45.94,45.3,1706504400000,24063
2024-01-30 05:00:00,2948235.0,45.8496,45.62,45.83,46.1464,45.58,1706590800000,27433
2024-01-31 05:00:00,5825326.0,45.7888,46.01,45.48,46.35,45.46,1706677200000,54902
2024-02-01 05:00:00,12192919.0,53.6122,56.49,54.06,57.76,52.36,1706763600000,106489
2024-02-02 05:00:00,5601552.0,53.2275,54.3,53.04,54.5,52.89,1706850000000,53412
2024-02-05 05:00:00,5824337.0,51.9175,52.5,51.8,52.5,51.655,1707109200000,44733
2024-02-06 05:00:00,4725646.0,52.0855,51.75,52.09,52.415,51.31,1707195600000,42118
2024-02-07 05:00:00,7010021.0,53.6636,52.34,54.07,54.19,52.34,1707282000000,61508
2024-02-08 05:00:00,6199800.0,53.3035,53.99,53.24,54.33,52.65,1707368400000,43412
2024-02-09 05:00:00,2929850.0,53.5074,53.04,53.6,53.911,52.88,1707454800000,33437
2024-02-12 05:00:00,3274524.0,54.9792,54.63,55.04,55.31,54.46,1707714000000,31599
2024-02-13 05:00:00,3525696.0,53.7386,54.58,53.63,54.99,53.3501,1707800400000,39143
2024-02-14 05:00:00,3260546.0,54.0346,54.11,54.08,54.305,53.555,1707886800000,34674
2024-02-15 05:00:00,3048066.0,54.9355,54.29,54.68,55.4101,54.29,1707973200000,34560
2024-02-16 05:00:00,3892686.0,54.8006,54.77,54.8,55.28,54.52,1708059600000,34315
2024-02-20 05:00:00,3113440.0,54.3215,54.38,54.36,54.7,53.95,1708405200000,31686
2024-02-21 05:00:00,2325951.0,54.2694,54.22,54.22,54.54,53.96,1708491600000,27228
