date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1125947.0,379.4267,379.1,381.39,381.76,376.22,1705554000000,30926
2024-01-19 05:00:00,1223122.0,381.7796,382.61,382.72,384.38,377.33,1705640400000,32134
2024-01-22 05:00:00,1113633.0,385.1231,381.96,384.59,387.13,381.59,1705899600000,31232
2024-01-23 05:00:00,954977.0,387.2906,387.18,387.46,389.88,384.6229,1705986000000,27198
2024-01-24 05:00:00,1447765.0,389.4365,389.94,388.41,393.17,386.4,1706072400000,34010
2024-01-25 05:00:00,1103528.0,391.3538,393.14,393.01,395.0,388.6001,1706158800000,32312
2024-01-26 05:00:00,884867.0,394.0449,393.78,393.62,396.72,393.0722,1706245200000,25594
2024-01-29 05:00:00,969505.0,395.7613,393.95,397.68,398.19,392.73,1706504400000,28476
2024-01-30 05:00:00,1098288.0,396.3318,395.14,396.93,398.77,394.41,1706590800000,31785
2024-01-31 05:00:00,1342451.0,394.532,397.32,393.58,398.0,392.7456,1706677200000,32402
2024-02-01 05:00:00,1485631.0,393.1148,395.08,393.68,397.2,389.52,1706763600000,37260
2024-02-02 05:00:00,1666920.0,392.1565,390.24,392.6,395.08,386.625,1706850000000,41720
2024-02-05 05:00:00,2164068.0,386.4915,392.0,386.03,393.64,383.155,1707109200000,46297
2024-02-06 05:00:00,1740712.0,390.1069,389.21,388.9,394.165,388.14,1707195600000,40301
2024-02-07 05:00:00,1671472.0,386.9753,390.43,385.95,391.83,385.62,1707282000000,40004
2024-02-08 05:00:00,1141987.0,385.9804,385.88,385.83,387.5667,384.27,1707368400000,32712
2024-02-09 05:00:00,1426496.0,381.8629,384.17,381.29,385.67,380.45,1707454800000,37493
2024-02-12 05:00:00,1698168.0,388.5127,384.33,389.39,391.51,384.33,1707714000000,42940
2024-02-13 05:00:00,1765241.0,379.0485,384.63,379.27,385.4,375.51,1707800400000,51016
2024-02-14 05:00:00,2409036.0,382.5818,383.0,384.78,385.56,377.13,1707886800000,58641
2024-02-15 05:00:00,4933780.0,364.9656,367.1,364.66,372.0,360.7701,1707973200000,104728
2024-02-16 05:00:00,2274348.0,361.1401,360.99,360.68,364.0,358.26,1708059600000,62706
2024-02-20 05:00:00,1973770.0,357.2794,359.5,357.38,360.69,355.075,1708405200000,51630
2024-02-21 05:00:00,1364519.0,356.3112,356.59,357.29,358.6,354.46,1708491600000,41111
2024-02-22 05:00:00,2198080.0,356.0817,354.13,356.78,358.14,353.15,1708578000000,53827
2024-02-23 05:00:00,1704312.0,363.7122,357.98,364.66,365.46,357.4,1708664400000,43095
2024-02-26 05:00:00,1592507.0,364.0206,364.02,363.21,366.35,361.62,1708923600000,38787
2024-02-27 05:00:00,1559821.0,360.139,363.13,360.66,364.105,358.24,1709010000000,42283
2024-02-28 05:00:00,1673139.0,364.0425,361.41,364.81,365.33,361.13,1709096400000,40602
2024-02-29 05:00:00,2491371.0,364.9451,366.37,365.05,367.85,362.85,1709182800000,42590
2024-03-01 05:00:00,1967262.0,365.6569,365.01,367.85,368.82,361.33,1709269200000,46927
2024-03-04 05:00:00,1334967.0,364.7796,368.6,364.42,369.98,362.93,1709528400000,37032
2024-03-05 05:00:00,1710194.0,366.8127,363.94,366.73,369.6899,363.57,1709614800000,39865
2024-03-06 05:00:00,1068836.0,366.3628,366.04,366.63,367.83,364.36,1709701200000,28715
2024-03-07 05:00:00,1844639.0,374.503,367.42,375.32,376.19,367.255,1709787600000,40962
2024-03-08 05:00:00,1064814.0,374.5075,376.14,374.1,376.67,372.2,1709874000000,32070
2024-03-11 04:00:00,855848.0,373.7432,373.4,375.05,375.42,370.615,1710129600000,25775
2024-03-12 04:00:00,1140931.0,374.0434,376.15,372.65,377.84,372.6,1710216000000,29633
2024-03-13 04:00:00,1250718.0,378.4168,373.34,378.85,380.52,372.77,1710302400000,34440
2024-03-14 04:00:00,1436371.0,379.3461,380.5,380.23,382.45,376.95,1710388800000,40126
2024-03-15 04:00:00,3448456.0,382.6927,378.0,383.39,383.9799,378.0,1710475200000,36213
2024-03-18 04:00:00,1145226.0,385.1702,383.0,385.31,387.39,381.49,1710734400000,32244
