date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2135463.0,152.3288,153.78,152.53,154.24,150.79,1705554000000,36452
2024-01-19 05:00:00,2175885.0,154.1568,153.13,155.3,155.44,152.32,1705640400000,37191
2024-01-22 05:00:00,3323493.0,157.0788,155.65,157.7,157.925,155.0101,1705899600000,53925
2024-01-23 05:00:00,11109925.0,144.1219,148.5,143.13,151.0,141.51,1705986000000,149569
2024-01-24 05:00:00,4937926.0,141.0323,144.67,139.21,145.23,138.83,1706072400000,83972
2024-01-25 05:00:00,3909904.0,140.839,140.13,141.57,141.7,139.01,1706158800000,60935
2024-01-26 05:00:00,3806898.0,140.554,140.65,140.5,141.595,139.7072,1706245200000,49894
2024-01-29 05:00:00,4557182.0,140.4199,141.0,140.2,141.1,139.81,1706504400000,61007
2024-01-30 05:00:00,3536988.0,142.6134,140.9,143.26,143.97,140.63,1706590800000,51182
2024-01-31 05:00:00,3234288.0,144.0648,142.61,142.91,145.53,142.13,1706677200000,45611
2024-02-01 05:00:00,3159221.0,146.2124,145.09,147.33,147.42,143.91,1706763600000,56243
2024-02-02 05:00:00,2438090.0,146.4078,144.64,146.89,148.32,143.5,1706850000000,40148
2024-02-05 05:00:00,1932631.0,144.88,144.0,145.23,145.8025,143.4663,1707109200000,33542
2024-02-06 05:00:00,2345927.0,142.945,145.33,143.03,145.63,141.445,1707195600000,37933
2024-02-07 05:00:00,1635356.0,144.9605,143.9,144.64,146.45,143.9,1707282000000,26727
2024-02-08 05:00:00,1963522.0,144.2403,145.03,144.58,145.89,142.99,1707368400000,28010
2024-02-09 05:00:00,1875295.0,144.4649,144.1,144.91,145.31,142.94,1707454800000,28083
2024-02-12 05:00:00,1988620.0,147.9215,145.48,148.28,149.375,144.88,1707714000000,34557
2024-02-13 05:00:00,2771222.0,142.3493,141.91,142.37,144.22,140.25,1707800400000,43792
2024-02-14 05:00:00,1802991.0,144.8196,144.21,145.5,146.31,142.93,1707886800000,34279
2024-02-15 05:00:00,1696500.0,145.4411,146.25,145.38,146.45,144.445,1707973200000,27936
2024-02-16 05:00:00,1815297.0,142.3431,143.31,141.27,144.015,141.2,1708059600000,32913
