date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,1107567.0,12.8517,13.03,12.83,13.15,12.76,1705986000000,8965
2024-01-24 05:00:00,1435851.0,12.7401,13.03,12.67,13.03,12.63,1706072400000,13892
2024-01-25 05:00:00,1926665.0,12.8058,12.9,12.84,12.93,12.67,1706158800000,13116
2024-01-26 05:00:00,1297024.0,12.8231,12.91,12.85,12.99,12.75,1706245200000,11333
2024-01-29 05:00:00,2083121.0,12.7295,12.83,12.74,12.83,12.58,1706504400000,14255
2024-01-30 05:00:00,2035948.0,12.4759,12.7,12.36,12.7,12.33,1706590800000,14136
2024-01-31 05:00:00,3147194.0,12.3195,12.43,12.24,12.535,12.11,1706677200000,21927
2024-02-01 05:00:00,2130346.0,12.2987,12.2,12.44,12.465,12.055,1706763600000,15840
2024-02-02 05:00:00,3547619.0,12.0964,12.18,12.1,12.29,11.97,1706850000000,24648
2024-02-05 05:00:00,3273148.0,11.8474,11.88,11.77,11.94,11.75,1707109200000,21833
2024-02-06 05:00:00,1843862.0,11.9357,11.75,11.97,12.02,11.7,1707195600000,13628
2024-02-07 05:00:00,1993197.0,11.8798,11.95,11.82,12.0,11.79,1707282000000,14672
2024-02-08 05:00:00,2708457.0,11.8782,11.76,11.9,11.9799,11.755,1707368400000,19587
2024-02-09 05:00:00,8122639.0,11.5544,11.8,11.64,11.82,11.31,1707454800000,52635
2024-02-12 05:00:00,3038672.0,11.7724,11.71,11.75,11.91,11.66,1707714000000,21027
2024-02-13 05:00:00,2655043.0,11.2717,11.38,11.32,11.43,11.14,1707800400000,18537
2024-02-14 05:00:00,2075876.0,11.3818,11.39,11.36,11.495,11.22,1707886800000,12693
2024-02-15 05:00:00,2302561.0,11.7205,11.45,11.78,11.8,11.44,1707973200000,14992
2024-02-16 05:00:00,4155683.0,11.5849,11.6,11.58,11.66,11.42,1708059600000,15553
2024-02-20 05:00:00,3058319.0,11.4171,11.44,11.35,11.58,11.31,1708405200000,19180
2024-02-21 05:00:00,8928252.0,11.3327,11.37,11.31,11.53,11.3,1708491600000,27715
2024-02-22 05:00:00,4270243.0,11.3122,11.15,11.33,11.405,11.15,1708578000000,21121
2024-02-23 05:00:00,2172298.0,11.271,11.31,11.22,11.35,11.18,1708664400000,13822
2024-02-26 05:00:00,3571392.0,10.9488,11.17,10.91,11.19,10.85,1708923600000,22673
2024-02-27 05:00:00,4049695.0,10.9233,11.01,10.93,11.07,10.845,1709010000000,24071
2024-02-28 05:00:00,6047806.0,11.1143,10.85,11.14,11.315,10.78,1709096400000,27351
2024-02-29 05:00:00,90351651.0,11.2376,11.26,11.23,11.44,11.14,1709182800000,46181
2024-03-04 05:00:00,12337088.0,16.8073,16.89,16.85,16.995,16.6,1709528400000,50315
2024-03-05 05:00:00,13550101.0,16.9956,16.76,17.04,17.145,16.7,1709614800000,62804
2024-03-06 05:00:00,10036512.0,17.5654,17.18,17.57,17.8,17.13,1709701200000,53099
2024-03-07 05:00:00,8759062.0,17.5952,17.68,17.54,17.8,17.475,1709787600000,43347
2024-03-08 05:00:00,6320180.0,17.7615,17.75,17.74,17.99,17.61,1709874000000,37633
2024-03-11 04:00:00,5687036.0,17.6078,17.74,17.61,17.9,17.43,1710129600000,34644
2024-03-12 04:00:00,5918528.0,17.4706,17.6,17.39,17.73,17.37,1710216000000,35453
2024-03-13 04:00:00,5827457.0,17.2875,17.33,17.24,17.51,17.17,1710302400000,31010
2024-03-14 04:00:00,11201570.0,16.9038,17.11,16.91,17.23,16.755,1710388800000,40227
2024-03-15 04:00:00,17060037.0,17.1198,16.68,17.24,17.36,16.66,1710475200000,40514
2024-03-18 04:00:00,5804074.0,17.2942,17.18,17.32,17.39,17.05,1710734400000,31296
2024-03-19 04:00:00,5575621.0,17.4091,17.29,17.5,17.53,17.21,1710820800000,26683
