date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1774662.0,68.6449,69.05,68.6,69.26,68.32,1705554000000,26698
2024-01-19 05:00:00,1807793.0,68.3089,69.08,68.29,69.08,67.88,1705640400000,26568
2024-01-22 05:00:00,2985622.0,67.6896,68.28,67.65,68.49,67.25,1705899600000,35288
2024-01-23 05:00:00,2694898.0,66.9007,67.57,67.01,67.875,66.25,1705986000000,35475
2024-01-24 05:00:00,4461074.0,65.4905,67.34,65.18,67.34,64.96,1706072400000,54084
2024-01-25 05:00:00,5967240.0,66.7192,66.14,67.04,67.495,65.85,1706158800000,63593
2024-01-26 05:00:00,2284696.0,67.4039,67.32,67.5,67.79,66.99,1706245200000,27493
2024-01-29 05:00:00,2155782.0,67.6854,67.44,67.7,67.995,67.27,1706504400000,27054
2024-01-30 05:00:00,2186690.0,67.4062,67.54,67.31,67.93,66.97,1706590800000,34348
2024-01-31 05:00:00,15490273.0,67.4723,67.91,67.48,68.0,66.58,1706677200000,51808
2024-02-01 05:00:00,2821277.0,67.5577,67.22,68.29,68.38,66.06,1706763600000,35454
2024-02-02 05:00:00,2000621.0,66.9416,67.75,66.87,67.8,66.16,1706850000000,27967
2024-02-05 05:00:00,2401418.0,65.6803,66.15,65.56,66.26,65.48,1707109200000,31479
2024-02-06 05:00:00,2394981.0,65.261,65.45,65.13,65.56,65.06,1707195600000,30410
2024-02-07 05:00:00,2106603.0,65.3063,65.26,65.44,65.63,64.62,1707282000000,28743
2024-02-08 05:00:00,2574184.0,64.281,65.07,64.72,65.38,63.63,1707368400000,35439
2024-02-09 05:00:00,1761071.0,64.6928,64.46,64.7,64.96,64.34,1707454800000,23808
2024-02-12 05:00:00,1658984.0,65.1426,64.79,65.38,65.44,64.56,1707714000000,25072
2024-02-13 05:00:00,1679012.0,64.0612,65.06,64.41,65.43,63.15,1707800400000,26903
2024-02-14 05:00:00,2308830.0,64.8564,64.54,65.03,65.12,64.2275,1707886800000,30824
2024-02-15 05:00:00,1813043.0,66.2101,65.39,66.46,66.49,65.3,1707973200000,26432
2024-02-16 05:00:00,2538038.0,66.2744,66.14,66.31,66.6,65.53,1708059600000,26744
2024-02-20 05:00:00,1922875.0,66.7013,66.2,66.54,67.15,66.02,1708405200000,23279
2024-02-21 05:00:00,2136146.0,67.7367,66.95,67.95,68.01,66.68,1708491600000,29094
2024-02-22 05:00:00,4509678.0,67.6348,67.5,67.42,68.2,67.05,1708578000000,43930
2024-02-23 05:00:00,3213647.0,68.4789,68.17,68.26,69.33,67.58,1708664400000,38485
2024-02-26 05:00:00,2287962.0,66.8722,68.05,66.55,68.11,66.53,1708923600000,27458
2024-02-27 05:00:00,1774650.0,67.4836,66.76,67.71,67.8,66.67,1709010000000,27555
2024-02-28 05:00:00,2113681.0,67.7605,67.61,67.85,67.97,67.1,1709096400000,30156
2024-02-29 05:00:00,4415957.0,68.0353,68.045,68.02,68.92,67.66,1709182800000,26658
2024-03-01 05:00:00,2057343.0,66.6767,67.78,66.55,67.83,66.37,1709269200000,30982
2024-03-04 05:00:00,1353300.0,67.2156,66.32,67.46,67.57,66.26,1709528400000,22695
2024-03-05 05:00:00,1361765.0,67.4764,67.72,67.11,68.66,66.82,1709614800000,23374
2024-03-06 05:00:00,1292898.0,68.1588,67.75,68.25,68.56,67.445,1709701200000,23399
2024-03-07 05:00:00,1193455.0,68.9309,68.91,68.96,69.2,68.54,1709787600000,19476
2024-03-08 05:00:00,920295.0,69.2125,69.02,69.27,69.48,68.6701,1709874000000,17206
2024-03-11 04:00:00,1273492.0,69.365,69.11,69.39,69.8597,69.0,1710129600000,19859
2024-03-12 04:00:00,1387637.0,69.2363,68.97,69.46,69.52,68.705,1710216000000,21519
2024-03-13 04:00:00,1607581.0,69.6946,69.73,69.65,70.3,69.38,1710302400000,20911
2024-03-14 04:00:00,1784573.0,68.4043,69.3,68.45,69.68,67.99,1710388800000,23384
2024-03-15 04:00:00,4035561.0,68.6363,68.14,68.8,69.19,68.14,1710475200000,21739
2024-03-18 04:00:00,1282752.0,68.9111,68.86,68.96,69.32,68.46,1710734400000,17822
2024-03-19 04:00:00,1225518.0,69.412,69.09,69.5,69.64,68.75,1710820800000,15612
2024-03-20 04:00:00,1637670.0,69.4717,69.38,69.5,69.94,68.7944,1710907200000,19430
2024-03-21 04:00:00,1823417.0,70.4575,69.57,70.17,71.09,69.515,1710993600000,25229
2024-03-22 04:00:00,1401408.0,69.717,70.59,69.56,70.59,69.37,1711080000000,19927
2024-03-25 04:00:00,1161237.0,69.277,69.82,69.23,69.92,69.04,1711339200000,16926
2024-03-26 04:00:00,1813408.0,68.3504,69.24,68.23,69.325,68.185,1711425600000,21381
2024-03-27 04:00:00,1639008.0,69.0288,67.99,69.4,69.455,67.945,1711512000000,22571
2024-03-28 04:00:00,1898511.0,70.5397,69.48,70.73,70.84,69.39,1711598400000,23796
2024-04-01 04:00:00,1306647.0,70.1967,70.58,70.44,70.58,69.475,1711944000000,22990
2024-04-02 04:00:00,1326972.0,70.2035,70.22,70.13,70.81,69.96,1712030400000,17399
2024-04-03 04:00:00,1302839.0,70.0525,70.22,69.9,70.49,69.86,1712116800000,17428
2024-04-04 04:00:00,1375672.0,69.8967,70.67,69.85,70.705,69.18,1712203200000,18866
2024-04-05 04:00:00,2881448.0,70.7835,69.43,70.82,71.26,69.22,1712289600000,35061
2024-04-08 04:00:00,1898606.0,70.7604,70.85,70.68,71.33,70.29,1712548800000,28113
2024-04-09 04:00:00,1552116.0,70.8889,70.98,70.89,71.21,70.54,1712635200000,21361
2024-04-10 04:00:00,1642244.0,68.886,69.39,68.92,69.39,68.43,1712721600000,25195
2024-04-11 04:00:00,1517668.0,68.9322,69.26,68.84,69.429,68.44,1712808000000,23590
2024-04-12 04:00:00,1311356.0,68.6669,68.85,68.63,69.36,68.14,1712894400000,21703
2024-04-15 04:00:00,1158202.0,67.9607,69.16,67.88,69.215,67.53,1713153600000,20936
2024-04-16 04:00:00,1425907.0,66.9149,67.76,66.81,67.8,66.56,1713240000000,21072
2024-04-17 04:00:00,1719144.0,67.7736,67.37,68.04,68.12,67.0,1713326400000,24670
2024-04-18 04:00:00,1359813.0,68.0824,68.37,68.13,68.52,67.73,1713412800000,21789
2024-04-19 04:00:00,1342609.0,69.6916,68.28,69.93,70.1,68.28,1713499200000,22526
2024-04-22 04:00:00,1438511.0,70.6715,69.95,70.66,71.2,69.62,1713758400000,25238
2024-04-23 04:00:00,1713546.0,71.0163,70.7,70.85,71.49,70.48,1713844800000,25790
2024-04-24 04:00:00,3702536.0,70.7598,70.19,70.82,71.15,69.83,1713931200000,40030
2024-04-25 04:00:00,2164368.0,70.8181,70.7,71.13,71.27,69.76,1714017600000,30983
2024-04-26 04:00:00,2624971.0,70.4178,71.16,70.14,71.53,70.0,1714104000000,30712
2024-04-29 04:00:00,2480502.0,71.0302,70.48,71.33,71.34,70.44,1714363200000,28895
2024-04-30 04:00:00,3091438.0,71.1542,71.0,71.06,71.83,70.13,1714449600000,30722
2024-05-01 04:00:00,2646513.0,70.8288,70.56,71.28,71.9,69.31,1714536000000,37119
2024-05-02 04:00:00,2007241.0,71.7721,71.37,71.97,72.08,71.13,1714622400000,29502
2024-05-03 04:00:00,1476177.0,72.1878,72.5,72.34,72.68,71.77,1714708800000,22304
2024-05-06 04:00:00,1289890.0,72.8373,72.6,73.02,73.04,72.14,1714968000000,22445
2024-05-07 04:00:00,1687340.0,73.6379,73.5,73.89,73.985,73.0,1715054400000,24645
2024-05-08 04:00:00,1580040.0,73.803,73.73,73.85,73.97,73.35,1715140800000,24189
2024-05-09 04:00:00,2206987.0,74.4708,73.81,74.76,74.88,73.62,1715227200000,29318
2024-05-10 04:00:00,2189216.0,74.8534,75.0,74.89,75.09,74.08,1715313600000,29410
2024-05-13 04:00:00,1262547.0,74.5629,74.95,74.44,75.34,74.32,1715572800000,22569
2024-05-14 04:00:00,1339763.0,74.9465,75.5,74.92,75.66,74.6,1715659200000,21531
2024-05-15 04:00:00,1896718.0,75.6121,75.88,75.72,75.99,75.15,1715745600000,26219
2024-05-16 04:00:00,1334078.0,76.0004,75.81,75.86,76.35,75.76,1715832000000,22289
2024-05-17 04:00:00,1294343.0,76.2168,76.16,76.3,76.39,75.7001,1715918400000,21175
2024-05-20 04:00:00,1128524.0,76.0889,76.4,76.1,76.48,75.83,1716177600000,19500
2024-05-21 04:00:00,1321792.0,76.4471,76.13,76.77,76.83,75.88,1716264000000,19266
2024-05-22 04:00:00,1202577.0,75.7362,76.44,75.55,76.5915,75.38,1716350400000,22595
2024-05-23 04:00:00,1884471.0,74.4316,75.2,74.25,75.2,74.17,1716436800000,28596
2024-05-24 04:00:00,1496297.0,74.5195,74.49,74.57,74.9,74.28,1716523200000,23646
2024-05-28 04:00:00,2086309.0,74.2834,74.5,74.14,75.14,74.08,1716868800000,21538
2024-05-29 04:00:00,2244802.0,73.477,73.52,73.35,73.88,73.14,1716955200000,22598
2024-05-30 04:00:00,1598283.0,74.4096,73.61,74.67,74.7,73.575,1717041600000,25556
2024-05-31 04:00:00,5116585.0,76.6038,74.97,76.85,77.02,74.74,1717128000000,31495
2024-06-03 04:00:00,2351663.0,76.3378,76.58,76.28,77.04,75.96,1717387200000,28181
2024-06-04 04:00:00,1619298.0,76.3349,75.98,76.52,76.811,75.6,1717473600000,24193
2024-06-05 04:00:00,1307213.0,75.5737,76.41,75.43,76.48,75.16,1717560000000,21031
2024-06-06 04:00:00,1278418.0,74.7011,75.13,74.5,75.97,74.33,1717646400000,20561
2024-06-07 04:00:00,1386903.0,74.1391,73.97,73.98,74.61,73.55,1717732800000,21952
2024-06-10 04:00:00,1649559.0,73.9928,74.05,73.85,74.7,73.72,1717992000000,26249
2024-06-11 04:00:00,2303154.0,73.5329,73.24,73.61,73.96,72.85,1718078400000,22396
2024-06-12 04:00:00,2007488.0,73.6369,74.51,73.55,74.7,73.32,1718164800000,21657
2024-06-13 04:00:00,1150146.0,73.3795,73.62,73.45,74.549,72.72,1718251200000,18832
2024-06-14 04:00:00,1336071.0,73.0933,73.03,73.21,73.33,72.48,1718337600000,17906
2024-06-17 04:00:00,1982539.0,71.7636,72.62,71.53,72.62,71.49,1718596800000,24175
2024-06-18 04:00:00,1365730.0,71.4982,71.29,71.48,71.79,71.17,1718683200000,24493
2024-06-20 04:00:00,1751594.0,71.7995,71.39,71.88,72.19,71.27,1718856000000,22622
2024-06-21 04:00:00,3311123.0,71.7918,72.01,71.64,72.8,71.5,1718942400000,25448
2024-06-24 04:00:00,1515195.0,72.6509,71.67,72.76,72.95,71.425,1719201600000,21331
2024-06-25 04:00:00,1184456.0,71.9012,72.7,71.86,72.7,71.6,1719288000000,20161
2024-06-26 04:00:00,1202860.0,71.6947,71.45,71.85,71.97,70.98,1719374400000,16997
2024-06-27 04:00:00,1039859.0,71.924,71.87,72.04,72.07,71.53,1719460800000,17011
2024-06-28 04:00:00,2647118.0,71.7206,72.28,71.81,72.45,71.235,1719547200000,25471
2024-07-01 04:00:00,1554758.0,71.2487,72.4,71.19,72.4,70.905,1719806400000,18629
2024-07-02 04:00:00,2484161.0,71.6914,71.34,71.63,72.34,71.17,1719892800000,24115
2024-07-03 04:00:00,875262.0,72.0704,71.75,71.82,72.66,71.64,1719979200000,15080
2024-07-05 04:00:00,2022324.0,72.3764,71.97,72.4,72.74,71.73,1720152000000,20990
2024-07-08 04:00:00,2380434.0,71.6183,71.59,71.57,72.06,71.335,1720411200000,21100
2024-07-09 04:00:00,1498765.0,71.5948,71.55,71.53,72.0,71.31,1720497600000,21007
