date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2232409.0,127.6858,126.82,127.66,128.72,126.04,1705554000000,39278
2024-01-19 05:00:00,2766179.0,125.8357,128.08,125.83,128.08,124.9,1705640400000,46206
2024-01-22 05:00:00,2910034.0,125.7575,126.25,125.2,127.1758,124.82,1705899600000,46022
2024-01-23 05:00:00,3663884.0,129.029,127.33,128.15,132.8,127.33,1705986000000,52452
2024-01-24 05:00:00,2277004.0,127.5487,129.82,126.16,129.87,126.16,1706072400000,43368
2024-01-25 05:00:00,3084179.0,128.0094,127.5,128.66,129.54,125.54,1706158800000,52135
2024-01-26 05:00:00,3077513.0,132.1452,132.23,130.8,134.9,130.79,1706245200000,50032
2024-01-29 05:00:00,3201505.0,133.7186,130.77,135.51,135.55,129.835,1706504400000,44695
2024-01-30 05:00:00,2177173.0,134.0058,133.86,134.18,136.53,132.25,1706590800000,39337
2024-01-31 05:00:00,2383642.0,132.8657,134.2,131.99,135.0,131.45,1706677200000,41434
2024-02-01 05:00:00,2451331.0,133.7445,133.19,134.7,134.91,131.26,1706763600000,38817
2024-02-02 05:00:00,6052690.0,133.2548,131.0,134.12,135.82,130.18,1706850000000,78782
2024-02-05 05:00:00,12224587.0,152.596,159.46,150.28,159.75,149.8596,1707109200000,154546
2024-02-06 05:00:00,6008684.0,147.0353,150.0,146.21,151.43,145.13,1707195600000,76761
2024-02-07 05:00:00,4119919.0,142.8569,146.7,141.93,147.54,141.25,1707282000000,67779
2024-02-08 05:00:00,4338579.0,140.6185,141.93,140.77,142.67,138.02,1707368400000,61489
2024-02-09 05:00:00,2578768.0,143.472,141.59,143.34,145.23,140.61,1707454800000,44356
2024-02-12 05:00:00,2677352.0,146.0368,143.92,145.91,147.455,143.755,1707714000000,43183
2024-02-13 05:00:00,1981537.0,141.8034,142.3,142.16,144.73,140.2,1707800400000,39451
2024-02-14 05:00:00,1943493.0,143.101,143.37,142.65,145.3,142.05,1707886800000,34572
2024-02-15 05:00:00,3147988.0,145.4036,144.23,145.32,147.61,143.2434,1707973200000,42323
2024-02-16 05:00:00,2419615.0,146.1609,145.69,146.37,147.64,144.77,1708059600000,42893
2024-02-20 05:00:00,1934664.0,144.5617,144.0,145.11,145.2743,143.06,1708405200000,34932
2024-02-21 05:00:00,2394878.0,146.7528,144.76,147.48,147.6,144.36,1708491600000,36975
2024-02-22 05:00:00,2421583.0,148.4806,148.28,148.67,151.16,146.6721,1708578000000,36405
2024-02-23 05:00:00,2234631.0,150.39,149.42,149.99,151.73,148.25,1708664400000,36598
2024-02-26 05:00:00,1658733.0,146.3844,149.0,145.02,150.82,144.45,1708923600000,30809
2024-02-27 05:00:00,1831612.0,148.1091,146.07,148.51,149.46,144.85,1709010000000,33314
2024-02-28 05:00:00,1582282.0,147.1729,146.04,147.38,148.4,145.87,1709096400000,24290
2024-02-29 05:00:00,2913127.0,149.0759,148.25,148.58,150.5,148.25,1709182800000,41909
2024-03-01 05:00:00,2156685.0,148.3675,146.36,148.83,150.25,144.35,1709269200000,36182
2024-03-04 05:00:00,1934160.0,147.7578,148.55,147.78,149.75,146.29,1709528400000,33885
2024-03-05 05:00:00,1734086.0,147.2477,146.1,147.32,148.4981,146.1,1709614800000,33252
2024-03-06 05:00:00,2847301.0,144.9177,145.99,145.41,147.48,143.055,1709701200000,44451
2024-03-07 05:00:00,1483175.0,147.7863,145.18,148.17,148.89,145.0,1709787600000,31385
2024-03-08 05:00:00,1750631.0,149.3895,149.22,149.5,150.41,148.1,1709874000000,31982
2024-03-11 04:00:00,2213119.0,153.2611,150.08,153.92,155.38,149.78,1710129600000,43453
2024-03-12 04:00:00,1846453.0,151.93,154.47,152.08,155.13,149.62,1710216000000,36648
2024-03-13 04:00:00,3541191.0,157.836,153.54,157.94,159.54,153.375,1710302400000,57756
2024-03-14 04:00:00,2391331.0,153.3786,156.76,152.84,157.49,151.47,1710388800000,47674
2024-03-15 04:00:00,4432236.0,150.1983,151.17,149.75,152.87,149.45,1710475200000,43955
2024-03-18 04:00:00,1613295.0,148.2467,149.28,147.82,150.065,147.14,1710734400000,31548
2024-03-19 04:00:00,1498967.0,146.5606,147.23,146.19,148.12,146.06,1710820800000,26546
2024-03-20 04:00:00,2204802.0,145.6013,145.13,146.76,147.23,143.74,1710907200000,36123
2024-03-21 04:00:00,1461984.0,146.8283,147.5,146.25,148.32,145.86,1710993600000,27334
2024-03-22 04:00:00,2003330.0,142.9137,145.53,143.18,145.76,141.03,1711080000000,34801
2024-03-25 04:00:00,2241096.0,140.0518,143.82,139.17,143.82,138.375,1711339200000,35127
2024-03-26 04:00:00,2305461.0,139.9685,140.12,139.31,141.57,138.995,1711425600000,31868
2024-03-27 04:00:00,1838434.0,143.4022,140.71,145.04,145.06,140.45,1711512000000,33126
2024-03-28 04:00:00,4845648.0,153.3122,152.28,154.15,155.05,148.54,1711598400000,67027
2024-04-01 04:00:00,1829000.0,152.0034,154.18,152.03,155.21,150.36,1711944000000,34046
2024-04-02 04:00:00,2470828.0,152.4349,154.29,152.77,155.73,150.38,1712030400000,42320
2024-04-03 04:00:00,3396146.0,146.892,151.26,146.48,152.04,145.33,1712116800000,57403
2024-04-04 04:00:00,2064791.0,146.0635,148.0,144.31,150.04,144.25,1712203200000,35522
2024-04-05 04:00:00,1442472.0,144.6656,144.55,144.43,146.68,143.94,1712289600000,30487
2024-04-08 04:00:00,1680215.0,145.9691,144.76,145.43,147.605,144.76,1712548800000,28175
2024-04-09 04:00:00,1349272.0,147.8199,146.26,148.55,148.64,145.88,1712635200000,30983
2024-04-10 04:00:00,1675791.0,144.8037,143.78,144.87,145.775,143.24,1712721600000,36154
2024-04-11 04:00:00,1370030.0,144.7318,145.99,145.43,146.04,142.71,1712808000000,29167
2024-04-12 04:00:00,2167030.0,139.4452,143.27,138.8,144.12,138.12,1712894400000,39263
2024-04-15 04:00:00,1778141.0,138.0918,140.64,137.24,141.77,136.37,1713153600000,31967
2024-04-16 04:00:00,2178576.0,136.4933,136.37,136.93,137.99,134.76,1713240000000,40317
2024-04-17 04:00:00,2200942.0,138.2626,139.09,138.04,139.65,137.38,1713326400000,39912
2024-04-18 04:00:00,3921226.0,143.5446,139.33,144.81,146.63,138.18,1713412800000,64686
2024-04-19 04:00:00,2324673.0,144.3905,144.0,144.41,145.17,143.77,1713499200000,40107
2024-04-22 04:00:00,1777452.0,146.418,145.37,147.42,147.8,143.315,1713758400000,34641
2024-04-23 04:00:00,1884900.0,148.8108,147.0,148.98,149.91,146.4,1713844800000,33725
2024-04-24 04:00:00,1840565.0,147.1625,147.26,147.36,148.4499,145.42,1713931200000,36654
2024-04-25 04:00:00,2969490.0,144.9522,147.0,144.99,147.82,143.36,1714017600000,40034
2024-04-26 04:00:00,2435850.0,146.0604,145.76,147.45,147.71,143.71,1714104000000,42233
2024-04-29 04:00:00,2179337.0,146.7735,148.22,146.79,149.06,145.665,1714363200000,40445
2024-04-30 04:00:00,3755344.0,146.9196,146.25,146.71,148.71,145.44,1714449600000,56205
2024-05-01 04:00:00,11761205.0,130.7692,140.41,127.37,141.0,124.03,1714536000000,145779
2024-05-02 04:00:00,4842591.0,132.8682,130.58,134.94,134.97,129.65,1714622400000,72887
2024-05-03 04:00:00,3791987.0,132.7798,135.01,132.94,136.18,130.47,1714708800000,54943
2024-05-06 04:00:00,3473786.0,130.216,133.0,130.08,133.495,128.85,1714968000000,56137
2024-05-07 04:00:00,3269636.0,129.6269,130.0,129.49,130.615,128.51,1715054400000,49893
2024-05-08 04:00:00,2981397.0,128.5175,128.68,129.53,129.64,126.61,1715140800000,42110
2024-05-09 04:00:00,1591737.0,131.2145,130.3,131.66,132.05,128.59,1715227200000,29889
2024-05-10 04:00:00,1772576.0,132.0958,131.71,132.0,132.66,129.5,1715313600000,31238
2024-05-13 04:00:00,1836924.0,133.7487,132.99,134.71,134.78,132.31,1715572800000,32720
2024-05-14 04:00:00,3701541.0,134.5286,135.9,134.06,136.93,133.64,1715659200000,44066
2024-05-15 04:00:00,1801951.0,135.7772,135.34,136.0,136.61,134.9,1715745600000,31711
2024-05-16 04:00:00,2618794.0,138.3125,136.03,138.24,139.34,135.3638,1715832000000,42114
2024-05-17 04:00:00,2907976.0,135.2231,138.09,134.75,138.17,134.47,1715918400000,41316
2024-05-20 04:00:00,3543818.0,131.8795,134.45,131.14,134.63,130.98,1716177600000,45183
2024-05-21 04:00:00,2690918.0,131.7048,130.5,132.72,133.14,130.01,1716264000000,39928
2024-05-22 04:00:00,2268933.0,131.0785,132.0,130.77,133.14,130.22,1716350400000,39119
2024-05-23 04:00:00,4541813.0,127.1104,131.0,126.13,131.0,125.93,1716436800000,59754
2024-05-24 04:00:00,2203049.0,126.312,126.31,126.06,127.27,125.805,1716523200000,31117
2024-05-28 04:00:00,2787613.0,126.0633,126.02,126.06,127.05,124.7509,1716868800000,41070
2024-05-29 04:00:00,3322073.0,122.2773,124.18,121.55,124.67,121.53,1716955200000,50422
2024-05-30 04:00:00,2903302.0,121.1861,121.28,121.39,121.82,119.9602,1717041600000,41189
2024-05-31 04:00:00,2969244.0,123.0009,121.72,123.36,123.46,121.06,1717128000000,38415
2024-06-03 04:00:00,1702423.0,124.2158,124.83,124.22,125.9,122.74,1717387200000,31913
2024-06-04 04:00:00,2603489.0,123.7053,123.6,123.54,124.92,122.96,1717473600000,23183
2024-06-05 04:00:00,3054818.0,122.9034,122.87,122.96,123.69,122.1,1717560000000,25268
2024-06-06 04:00:00,1333487.0,123.6862,122.88,123.51,124.73,122.6,1717646400000,24244
2024-06-07 04:00:00,2187014.0,120.9273,122.4,120.47,122.4,120.2,1717732800000,29965
2024-06-10 04:00:00,2409138.0,119.2816,120.1,118.81,120.19,118.64,1717992000000,40383
2024-06-11 04:00:00,2487755.0,117.4554,118.34,117.6,118.34,116.04,1718078400000,42083
2024-06-12 04:00:00,3112589.0,115.4852,119.0,114.02,119.58,113.895,1718164800000,48818
2024-06-13 04:00:00,3297654.0,114.5035,114.39,114.09,115.9,113.56,1718251200000,41929
