date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3378653.0,109.918,110.48,110.09,110.8,109.1283,1705554000000,47505
2024-01-19 05:00:00,2838373.0,109.8933,110.0,110.17,110.18,108.94,1705640400000,41452
2024-01-22 05:00:00,2482856.0,110.3054,109.6,110.64,110.94,109.04,1705899600000,37196
2024-01-23 05:00:00,2367815.0,110.5742,110.52,110.37,111.91,110.07,1705986000000,38180
2024-01-24 05:00:00,3527905.0,111.8233,111.1,112.09,112.67,110.5,1706072400000,48058
2024-01-25 05:00:00,2962508.0,113.8005,112.49,114.85,114.86,112.0,1706158800000,45602
2024-01-26 05:00:00,2683840.0,114.8194,114.96,115.54,115.58,113.17,1706245200000,42913
2024-01-29 05:00:00,2648511.0,114.685,115.37,114.96,115.42,113.7626,1706504400000,39145
2024-01-30 05:00:00,2947447.0,115.9608,114.32,116.78,116.88,113.7784,1706590800000,41392
2024-01-31 05:00:00,3281858.0,114.5567,116.64,113.79,116.675,113.73,1706677200000,47167
2024-02-01 05:00:00,2569554.0,113.1423,114.2,112.6,115.0175,111.745,1706763600000,45079
2024-02-02 05:00:00,2927413.0,111.1718,112.66,110.85,113.0,110.38,1706850000000,46678
2024-02-05 05:00:00,2957160.0,109.8339,110.17,109.65,110.6061,108.94,1707109200000,49945
2024-02-06 05:00:00,3506508.0,111.6679,110.0,111.88,112.98,109.675,1707195600000,51766
2024-02-07 05:00:00,2986437.0,112.4746,111.92,112.52,113.23,111.12,1707282000000,43609
2024-02-08 05:00:00,3159700.0,112.8238,112.9,113.06,113.957,111.8044,1707368400000,42549
2024-02-09 05:00:00,2607522.0,111.6625,113.06,111.05,113.75,110.67,1707454800000,38582
2024-02-12 05:00:00,3786870.0,112.4024,111.68,112.85,113.13,111.19,1707714000000,54410
2024-02-13 05:00:00,3933578.0,111.3059,113.0,111.03,113.39,109.88,1707800400000,59508
2024-02-14 05:00:00,2567982.0,110.9506,111.83,111.01,112.58,110.2,1707886800000,40418
2024-02-15 05:00:00,3082441.0,113.9118,110.95,114.25,114.87,110.72,1707973200000,45050
2024-02-16 05:00:00,4151067.0,113.9796,114.79,113.56,115.25,113.44,1708059600000,50868
2024-02-20 05:00:00,3674656.0,113.2481,113.86,113.13,114.29,112.78,1708405200000,47973
2024-02-21 05:00:00,3111877.0,116.1864,114.3,116.36,117.09,113.89,1708491600000,46940
2024-02-22 05:00:00,4753383.0,116.2389,115.68,116.4,117.07,115.26,1708578000000,65257
2024-02-23 05:00:00,6200636.0,111.716,109.86,111.86,112.88,109.06,1708664400000,87587
2024-02-26 05:00:00,4035303.0,112.1434,111.53,112.05,113.19,111.13,1708923600000,50082
2024-02-27 05:00:00,4337085.0,113.5862,113.0,113.94,114.17,112.11,1709010000000,53860
2024-02-28 05:00:00,3162450.0,114.0709,113.99,114.17,115.29,112.86,1709096400000,45978
2024-02-29 05:00:00,4341394.0,114.4781,114.76,114.46,115.39,113.83,1709182800000,51233
2024-03-01 05:00:00,2998396.0,116.2194,115.7,116.1,116.73,115.29,1709269200000,48590
