date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2619903.0,59.7813,60.04,59.72,60.43,59.42,1705554000000,29132
2024-01-19 05:00:00,3195231.0,60.1555,59.99,60.56,60.56,59.28,1705640400000,32142
2024-01-22 05:00:00,2120888.0,60.3976,60.77,60.3,61.01,60.14,1705899600000,24631
2024-01-23 05:00:00,3109636.0,59.6342,60.32,59.53,60.63,59.365,1705986000000,35033
2024-01-24 05:00:00,3223751.0,58.9442,60.02,58.76,60.17,58.605,1706072400000,35981
2024-01-25 05:00:00,3087527.0,58.964,59.36,58.86,59.69,58.6,1706158800000,39601
2024-01-26 05:00:00,1930033.0,58.979,58.95,59.16,59.18,58.46,1706245200000,28444
2024-01-29 05:00:00,2093129.0,59.4322,58.93,59.48,59.8,58.89,1706504400000,24087
2024-01-30 05:00:00,2836290.0,59.3298,59.06,59.3,59.75,58.88,1706590800000,30177
2024-01-31 05:00:00,5436776.0,60.6365,61.18,60.19,61.8008,59.76,1706677200000,46664
2024-02-01 05:00:00,4260848.0,60.2483,59.6,60.96,60.99,59.11,1706763600000,45160
2024-02-02 05:00:00,3127711.0,59.9359,60.27,60.17,60.68,59.3,1706850000000,31357
2024-02-05 05:00:00,2666657.0,58.7303,59.5,58.51,59.55,58.4,1707109200000,30487
2024-02-06 05:00:00,1909644.0,59.0996,58.47,59.18,59.32,58.3,1707195600000,19258
2024-02-07 05:00:00,1625862.0,58.8338,59.3,58.82,59.37,58.46,1707282000000,19450
2024-02-08 05:00:00,1502603.0,59.0562,58.7,59.2,59.23,58.565,1707368400000,17402
2024-02-09 05:00:00,1557277.0,58.8225,59.09,58.86,59.28,58.645,1707454800000,19142
2024-02-12 05:00:00,1620842.0,59.0886,59.0,59.2,59.47,58.64,1707714000000,22644
2024-02-13 05:00:00,1964405.0,57.7685,58.09,58.13,58.285,57.33,1707800400000,30462
2024-02-14 05:00:00,1556989.0,58.6391,58.27,58.65,59.055,58.1,1707886800000,22205
2024-02-15 05:00:00,1528999.0,60.1444,59.05,60.35,60.37,58.865,1707973200000,23058
2024-02-16 05:00:00,2659542.0,60.1253,59.87,60.03,60.43,59.5,1708059600000,31449
2024-02-20 05:00:00,1798110.0,60.1778,59.73,60.12,60.5,59.32,1708405200000,20047
2024-02-21 05:00:00,1756363.0,61.0238,60.31,61.23,61.29,60.075,1708491600000,23914
2024-02-22 05:00:00,1799191.0,60.6433,61.4,60.44,61.4,60.38,1708578000000,21278
2024-02-23 05:00:00,1406124.0,60.2855,60.34,60.2,60.67,60.1,1708664400000,17640
2024-02-26 05:00:00,2631885.0,59.0423,60.1,58.82,60.35,58.81,1708923600000,23488
2024-02-27 05:00:00,1849152.0,59.3464,59.2,59.47,59.76,58.9257,1709010000000,21441
2024-02-28 05:00:00,1877463.0,59.7816,59.12,59.72,60.32,59.02,1709096400000,21763
2024-02-29 05:00:00,3415162.0,60.1765,60.19,60.21,60.63,59.795,1709182800000,26629
2024-03-01 05:00:00,3094753.0,60.5434,59.92,60.74,60.77,59.19,1709269200000,23737
2024-03-04 05:00:00,1997817.0,62.1597,60.8,62.86,62.9,60.335,1709528400000,27270
