date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,6872628.0,35.1776,35.9,35.21,36.02,34.84,1705554000000,70650
2024-01-19 05:00:00,6086337.0,35.0394,35.05,35.33,35.35,34.64,1705640400000,60157
2024-01-22 05:00:00,7055568.0,35.3527,34.89,35.38,35.67,34.77,1705899600000,55247
2024-01-23 05:00:00,3559800.0,35.2545,35.44,35.26,35.68,35.005,1705986000000,36238
2024-01-24 05:00:00,4359369.0,35.8108,35.56,35.66,36.245,35.47,1706072400000,43921
2024-01-25 05:00:00,3800104.0,35.7748,35.99,36.06,36.07,35.27,1706158800000,38023
2024-01-26 05:00:00,4477758.0,35.6547,35.97,35.88,36.05,35.195,1706245200000,44893
2024-01-29 05:00:00,3882346.0,35.5931,35.77,35.82,35.85,35.155,1706504400000,39136
2024-01-30 05:00:00,3431102.0,36.0405,35.44,36.15,36.5,35.37,1706590800000,34965
2024-01-31 05:00:00,4259783.0,35.6971,36.22,35.4,36.25,35.37,1706677200000,42281
2024-02-01 05:00:00,3652986.0,35.2024,35.58,35.06,35.76,34.87,1706763600000,42163
2024-02-02 05:00:00,3834266.0,35.064,35.01,35.04,35.39,34.58,1706850000000,44522
2024-02-05 05:00:00,4790032.0,34.364,34.78,34.18,34.88,34.14,1707109200000,50287
2024-02-06 05:00:00,3247537.0,34.2883,34.12,34.23,34.62,33.91,1707195600000,34245
2024-02-07 05:00:00,4576687.0,34.2087,34.37,34.23,34.51,33.842,1707282000000,42633
2024-02-08 05:00:00,4380419.0,34.6553,34.0,34.75,34.85,33.87,1707368400000,44639
2024-02-09 05:00:00,3616765.0,34.4615,34.5,34.33,34.82,34.21,1707454800000,39740
2024-02-12 05:00:00,5205470.0,35.0569,34.66,34.93,35.36,34.385,1707714000000,50502
2024-02-13 05:00:00,6480697.0,34.1395,34.42,34.1,34.66,33.72,1707800400000,64810
2024-02-14 05:00:00,13748764.0,32.9701,32.73,32.96,33.6,32.07,1707886800000,100929
2024-02-15 05:00:00,7970939.0,34.3306,33.44,34.49,34.745,33.19,1707973200000,65887
2024-02-16 05:00:00,4934614.0,34.7646,34.5,34.7,35.06,34.04,1708059600000,46124
2024-02-20 05:00:00,6013601.0,33.845,34.6,33.73,34.6,33.545,1708405200000,50183
2024-02-21 05:00:00,12919204.0,37.2505,35.32,37.3,38.24,35.3,1708491600000,117139
2024-02-22 05:00:00,6677741.0,37.134,36.48,37.32,37.555,36.13,1708578000000,64393
2024-02-23 05:00:00,5777625.0,36.9964,36.76,37.01,37.315,36.325,1708664400000,59631
2024-02-26 05:00:00,4569679.0,36.8731,37.43,36.74,37.7,36.47,1708923600000,43152
2024-02-27 05:00:00,3174319.0,36.6407,37.15,36.52,37.28,36.39,1709010000000,33122
2024-02-28 05:00:00,3375615.0,36.653,36.67,36.58,36.995,36.39,1709096400000,34696
2024-02-29 05:00:00,5415198.0,37.1109,36.68,37.15,37.31,36.6,1709182800000,44542
2024-03-01 05:00:00,9281710.0,37.0095,37.17,37.01,37.41,36.82,1709269200000,40621
2024-03-04 05:00:00,4843454.0,37.7575,37.85,37.54,38.19,37.4,1709528400000,52621
2024-03-05 05:00:00,2898954.0,37.9664,37.48,37.99,38.31,37.32,1709614800000,36017
2024-03-06 05:00:00,4344389.0,37.5975,38.22,37.59,38.23,37.265,1709701200000,37203
2024-03-07 05:00:00,3106450.0,37.3978,37.71,37.26,37.84,37.17,1709787600000,33377
2024-03-08 05:00:00,2788376.0,37.4363,37.4,37.52,37.73,37.095,1709874000000,31841
2024-03-11 04:00:00,28488733.0,34.4098,34.9,34.61,35.47,33.63,1710129600000,201926
2024-03-12 04:00:00,12828563.0,34.2729,34.78,34.52,34.89,33.82,1710216000000,105745
2024-03-13 04:00:00,11279980.0,34.1984,34.38,34.01,34.525,33.995,1710302400000,117148
2024-03-14 04:00:00,11838379.0,33.6176,34.3,33.78,34.3,33.205,1710388800000,105770
2024-03-15 04:00:00,23927094.0,33.4162,33.89,33.43,34.06,32.99,1710475200000,126869
2024-03-18 04:00:00,5769870.0,33.5116,33.68,33.4,33.87,33.31,1710734400000,78005
2024-03-19 04:00:00,7376470.0,33.5665,33.28,33.56,33.805,33.2,1710820800000,78531
2024-03-20 04:00:00,7017321.0,33.7544,33.23,33.82,34.0,33.17,1710907200000,57491
2024-03-21 04:00:00,5584975.0,34.2144,33.95,34.36,34.41,33.78,1710993600000,55391
2024-03-22 04:00:00,4897494.0,34.2756,34.3,34.36,34.4,34.135,1711080000000,44530
2024-03-25 04:00:00,6541877.0,34.7792,34.48,34.82,34.975,34.43,1711339200000,64350
2024-03-26 04:00:00,6988749.0,34.9514,35.04,34.95,35.29,34.75,1711425600000,61126
2024-03-27 04:00:00,7136418.0,35.5662,34.69,36.07,36.07,34.62,1711512000000,70685
2024-03-28 04:00:00,9857438.0,36.9796,36.3,37.07,37.4,36.12,1711598400000,91584
2024-04-01 04:00:00,6531933.0,37.1511,37.33,37.11,37.5,36.605,1711944000000,54390
2024-04-02 04:00:00,4541346.0,36.7907,37.0,36.87,37.08,36.53,1712030400000,44101
2024-04-03 04:00:00,5626853.0,37.0763,36.98,37.19,37.255,36.68,1712116800000,50759
2024-04-04 04:00:00,5666994.0,37.0238,37.76,36.76,37.84,36.66,1712203200000,54958
2024-04-05 04:00:00,3684323.0,36.5111,36.54,36.48,36.72,36.09,1712289600000,39427
2024-04-08 04:00:00,4993821.0,36.7772,36.64,36.84,37.025,36.45,1712548800000,42015
2024-04-09 04:00:00,6560867.0,37.5508,36.94,37.95,37.95,36.94,1712635200000,65643
2024-04-10 04:00:00,6232579.0,37.8377,37.97,37.71,38.245,37.545,1712721600000,61090
2024-04-11 04:00:00,6009203.0,37.3717,37.95,37.49,37.98,36.94,1712808000000,54597
2024-04-12 04:00:00,5580607.0,37.509,37.73,37.25,38.41,37.13,1712894400000,50227
2024-04-15 04:00:00,5710990.0,36.7948,37.3,36.52,37.635,36.43,1713153600000,58142
2024-04-16 04:00:00,4914894.0,35.948,36.28,36.2,36.52,35.24,1713240000000,52751
2024-04-17 04:00:00,5246753.0,36.3933,35.95,36.04,36.77,35.91,1713326400000,57130
2024-04-18 04:00:00,6788452.0,36.3934,36.2,36.22,36.785,36.12,1713412800000,69831
2024-04-19 04:00:00,4957492.0,36.5318,36.0,36.65,36.695,35.91,1713499200000,52284
2024-04-22 04:00:00,10531573.0,37.7431,36.49,37.97,38.15,36.45,1713758400000,77890
2024-04-23 04:00:00,7640337.0,38.2039,37.8,37.98,38.525,37.55,1713844800000,74784
2024-04-24 04:00:00,11735099.0,39.3328,38.58,39.43,39.8505,37.88,1713931200000,101788
2024-04-25 04:00:00,9380080.0,40.04,39.4,40.41,41.04,39.21,1714017600000,83564
2024-04-26 04:00:00,7059896.0,40.2753,40.2,40.61,40.73,39.55,1714104000000,61301
2024-04-29 04:00:00,5849486.0,41.0271,40.52,41.05,41.25,40.52,1714363200000,63272
2024-04-30 04:00:00,7630648.0,40.5985,41.4,40.09,41.47,40.06,1714449600000,67960
2024-05-01 04:00:00,8342501.0,38.7103,39.8,38.66,39.81,38.295,1714536000000,85410
2024-05-02 04:00:00,5026287.0,39.3666,39.04,39.48,39.67,38.81,1714622400000,60512
2024-05-03 04:00:00,5993122.0,40.1543,39.93,40.27,40.405,39.66,1714708800000,59119
2024-05-06 04:00:00,6081006.0,41.0287,40.83,41.04,41.47,40.56,1714968000000,64431
2024-05-07 04:00:00,5961244.0,40.8661,40.82,40.51,41.37,40.49,1715054400000,57967
2024-05-08 04:00:00,4432029.0,40.0702,40.15,39.91,40.41,39.78,1715140800000,46842
2024-05-09 04:00:00,3978545.0,40.0626,40.18,40.02,40.325,39.76,1715227200000,42737
2024-05-10 04:00:00,5645034.0,39.086,40.13,38.93,40.215,38.74,1715313600000,53586
2024-05-13 04:00:00,6086552.0,39.5992,39.17,39.79,39.8175,38.785,1715572800000,53910
2024-05-14 04:00:00,4554079.0,40.37,40.0,40.71,40.74,39.805,1715659200000,51020
2024-05-15 04:00:00,3742937.0,40.7563,40.92,40.93,40.96,40.16,1715745600000,50019
2024-05-16 04:00:00,6355211.0,41.2069,40.98,40.51,42.13,40.49,1715832000000,58069
2024-05-17 04:00:00,5199633.0,41.0918,40.97,41.17,41.485,40.58,1715918400000,47998
2024-05-20 04:00:00,5553783.0,42.0339,41.43,41.92,42.445,41.39,1716177600000,51021
2024-05-21 04:00:00,4063943.0,41.4992,41.62,41.19,42.08,41.18,1716264000000,44916
2024-05-22 04:00:00,5188030.0,40.9655,40.84,41.21,41.33,40.21,1716350400000,54239
2024-05-23 04:00:00,16515713.0,40.686,41.53,39.91,42.12,39.73,1716436800000,108504
2024-05-24 04:00:00,6920313.0,40.3117,40.05,40.15,40.84,39.95,1716523200000,70274
2024-05-28 04:00:00,6194747.0,41.2988,40.52,41.24,41.7,40.34,1716868800000,64359
2024-05-29 04:00:00,4903960.0,40.6845,40.97,40.69,41.07,40.465,1716955200000,57497
2024-05-30 04:00:00,5073567.0,41.2345,40.69,41.2,41.555,40.66,1717041600000,51975
2024-05-31 04:00:00,9975478.0,41.1495,41.32,41.09,41.7,40.965,1717128000000,59511
2024-06-03 04:00:00,6901646.0,40.9934,41.9,40.98,42.08,40.52,1717387200000,68945
2024-06-04 04:00:00,5297796.0,40.4914,40.71,40.62,40.84,40.11,1717473600000,55616
2024-06-05 04:00:00,6537088.0,40.8781,40.64,40.94,41.205,40.44,1717560000000,60690
2024-06-06 04:00:00,3578971.0,40.659,40.87,40.66,41.12,40.255,1717646400000,46836
2024-06-07 04:00:00,2879055.0,40.5266,40.3,40.54,40.815,40.04,1717732800000,39122
2024-06-10 04:00:00,7348731.0,41.1522,40.84,41.13,41.58,40.61,1717992000000,67267
2024-06-11 04:00:00,8933228.0,41.1279,41.0,41.17,41.418,40.6,1718078400000,60063
2024-06-12 04:00:00,9574057.0,40.8864,41.66,40.77,41.775,40.53,1718164800000,71062
2024-06-13 04:00:00,5369427.0,40.2889,40.49,40.3,40.83,39.875,1718251200000,57310
2024-06-14 04:00:00,5897956.0,39.6612,40.22,39.34,40.28,39.295,1718337600000,48604
2024-06-17 04:00:00,7236597.0,38.6443,39.15,38.57,39.48,38.01,1718596800000,75721
2024-06-18 04:00:00,6687641.0,38.4728,38.71,38.2,38.88,38.14,1718683200000,70708
2024-06-20 04:00:00,6158305.0,37.9898,38.11,37.76,38.64,37.725,1718856000000,60577
2024-06-21 04:00:00,17253655.0,37.0598,37.76,36.97,37.84,36.91,1718942400000,58380
2024-06-24 04:00:00,7641653.0,38.3017,37.25,38.52,38.56,37.245,1719201600000,63093
2024-06-25 04:00:00,5830056.0,38.3895,38.16,38.55,38.6,38.03,1719288000000,56953
2024-06-26 04:00:00,6202575.0,37.722,38.63,37.76,38.67,37.275,1719374400000,57304
2024-06-27 04:00:00,4984897.0,37.3697,38.15,37.28,38.42,36.865,1719460800000,50260
2024-06-28 04:00:00,9817030.0,37.0166,37.5,36.98,37.62,36.8,1719547200000,52684
2024-07-01 04:00:00,4633135.0,36.6669,36.9,36.69,37.09,36.24,1719806400000,50495
2024-07-02 04:00:00,6241921.0,36.9123,36.97,36.96,37.43,36.59,1719892800000,48340
2024-07-03 04:00:00,2643384.0,37.148,36.91,37.04,37.635,36.855,1719979200000,27233
2024-07-05 04:00:00,7089330.0,36.3814,36.78,36.32,37.025,36.03,1720152000000,46043
2024-07-08 04:00:00,3571247.0,36.4572,36.7,36.38,36.905,36.265,1720411200000,35672
2024-07-09 04:00:00,5905893.0,36.3594,36.11,36.54,36.66,35.67,1720497600000,50314
2024-07-10 04:00:00,3776878.0,36.452,36.55,36.64,36.71,36.03,1720584000000,32849
2024-07-11 04:00:00,3456428.0,37.0737,36.83,37.19,37.26,36.645,1720670400000,33577
2024-07-12 04:00:00,3692407.0,37.1458,37.55,37.21,37.565,36.91,1720756800000,37541
2024-07-15 04:00:00,6411389.0,36.9232,37.25,36.83,37.39,36.52,1721016000000,50945
2024-07-16 04:00:00,8664125.0,36.0379,37.03,35.88,37.03,35.77,1721102400000,71513
2024-07-17 04:00:00,10959004.0,35.8359,35.87,35.6,36.785,35.345,1721188800000,99373
2024-07-18 04:00:00,9161269.0,35.6633,36.08,35.35,36.24,35.255,1721275200000,88125
2024-07-19 04:00:00,66340092.0,35.7936,35.04,35.88,35.92,34.95,1721361600000,169823
2024-07-22 04:00:00,13474265.0,35.7861,36.29,35.67,36.67,35.52,1721620800000,80149
2024-07-23 04:00:00,13451849.0,35.3302,35.85,35.05,35.87,35.01,1721707200000,102718
2024-07-24 04:00:00,15384819.0,35.5255,35.6,35.1,36.28,35.04,1721793600000,104764
2024-07-25 04:00:00,11098283.0,34.7382,34.88,34.38,35.47,34.145,1721880000000,78417
2024-07-26 04:00:00,7690909.0,34.2326,34.29,34.31,34.6,33.665,1721966400000,60605
2024-07-29 04:00:00,7386144.0,34.0288,34.49,34.07,34.6,33.81,1722225600000,59060
2024-07-30 04:00:00,8323766.0,34.4367,33.9,34.81,34.86,33.75,1722312000000,59243
2024-07-31 04:00:00,8432044.0,34.7089,35.0,34.51,35.35,34.34,1722398400000,65068
2024-08-01 04:00:00,8194668.0,33.7482,34.43,33.59,34.52,33.46,1722484800000,65875
2024-08-02 04:00:00,9078198.0,31.7216,33.22,31.57,33.23,31.405,1722571200000,74592
2024-08-05 04:00:00,8526547.0,30.422,30.85,30.21,30.89,30.02,1722830400000,74365
2024-08-06 04:00:00,7245824.0,30.8583,30.49,30.81,31.195,30.21,1722916800000,67772
2024-08-07 04:00:00,10023327.0,30.6297,31.22,30.22,31.665,30.17,1723003200000,75934
2024-08-08 04:00:00,7107582.0,30.7495,30.28,30.96,31.18,30.25,1723089600000,59079
2024-08-09 04:00:00,5845419.0,31.0935,30.93,31.1,31.415,30.59,1723176000000,42200
2024-08-12 04:00:00,8768025.0,32.0968,31.46,32.26,32.33,31.36,1723435200000,67119
