date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1295292.0,238.8382,237.3,240.12,240.6799,236.2,1705554000000,30177
2024-01-19 05:00:00,1500477.0,243.2801,241.77,244.6,244.62,240.05,1705640400000,29733
2024-01-22 05:00:00,1727434.0,244.5286,245.76,243.9,246.95,243.66,1705899600000,32883
2024-01-23 05:00:00,1959271.0,241.9382,244.0,243.25,244.0,239.17,1705986000000,38880
2024-01-24 05:00:00,1541938.0,242.6242,244.93,241.57,244.99,241.45,1706072400000,33550
2024-01-25 05:00:00,1678461.0,245.1462,243.73,245.82,246.285,241.8725,1706158800000,36156
2024-01-26 05:00:00,1138692.0,246.1202,246.0,245.89,247.55,245.005,1706245200000,26348
2024-01-29 05:00:00,1464781.0,247.0705,244.41,248.72,248.81,244.35,1706504400000,33473
2024-01-30 05:00:00,1827962.0,250.2812,248.81,250.27,251.14,248.06,1706590800000,35479
2024-01-31 05:00:00,2301039.0,247.1354,248.76,246.08,250.64,245.655,1706677200000,43357
2024-02-01 05:00:00,3663843.0,261.956,255.63,264.57,264.75,255.46,1706763600000,73097
2024-02-02 05:00:00,3172824.0,269.6321,266.13,270.1,271.779,265.26,1706850000000,61531
2024-02-05 05:00:00,1990092.0,268.7742,269.36,269.42,270.7,266.56,1707109200000,35393
2024-02-06 05:00:00,1919656.0,270.4876,270.3,271.12,272.315,267.96,1707195600000,40268
2024-02-07 05:00:00,1377657.0,273.0444,272.88,272.85,274.01,271.145,1707282000000,32188
2024-02-08 05:00:00,1581042.0,273.1649,273.0,273.21,274.7,272.39,1707368400000,34308
2024-02-09 05:00:00,1557586.0,277.1015,273.54,277.96,278.58,273.0,1707454800000,38893
2024-02-12 05:00:00,1331703.0,274.2205,276.93,274.05,277.51,272.51,1707714000000,32752
2024-02-13 05:00:00,2512428.0,270.8455,268.41,272.38,273.06,266.0,1707800400000,56166
2024-02-14 05:00:00,1430988.0,275.5354,274.27,275.62,277.15,272.605,1707886800000,32808
2024-02-15 05:00:00,1398168.0,274.983,275.62,275.79,277.04,272.78,1707973200000,34736
2024-02-16 05:00:00,1650973.0,277.5272,276.07,277.52,278.94,273.8,1708059600000,32494
2024-02-20 05:00:00,1263612.0,275.9865,276.23,276.09,277.86,274.21,1708405200000,31026
2024-02-21 05:00:00,1315192.0,276.8748,275.3,277.16,278.04,274.15,1708491600000,26598
2024-02-22 05:00:00,2496318.0,284.8606,282.8,284.58,286.37,282.16,1708578000000,41847
2024-02-23 05:00:00,1230856.0,285.3106,285.45,284.93,288.46,283.0,1708664400000,25492
2024-02-26 05:00:00,1960372.0,285.641,286.0,284.3,287.55,284.18,1708923600000,35914
2024-02-27 05:00:00,1678204.0,283.8323,284.52,283.57,285.4,282.24,1709010000000,31085
2024-02-28 05:00:00,1278912.0,286.4485,283.57,286.96,287.64,282.67,1709096400000,31322
2024-02-29 05:00:00,2534517.0,288.7014,287.0,289.0,289.86,285.93,1709182800000,37026
2024-03-01 05:00:00,2314713.0,292.9836,289.36,293.7,294.435,288.81,1709269200000,44236
2024-03-04 05:00:00,1943458.0,296.6521,295.89,296.58,298.1326,294.5304,1709528400000,43716
2024-03-05 05:00:00,2263499.0,292.0295,294.35,291.93,295.07,289.37,1709614800000,48311
2024-03-06 05:00:00,1723870.0,296.591,295.32,296.74,298.39,294.8824,1709701200000,34716
2024-03-07 05:00:00,1869296.0,299.479,298.73,301.13,301.53,296.9,1709787600000,39024
2024-03-08 05:00:00,1894395.0,299.0933,299.76,297.49,303.4,295.5642,1709874000000,41775
2024-03-11 04:00:00,1656689.0,291.8808,295.5,292.7,295.79,289.6,1710129600000,40795
2024-03-12 04:00:00,2063392.0,296.2125,293.42,297.74,298.31,291.94,1710216000000,42618
