date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,6258190.0,35.1855,35.36,35.3,35.435,34.88,1705554000000,51684
2024-01-19 05:00:00,9295210.0,35.0443,35.19,35.04,35.385,34.805,1705640400000,65836
2024-01-22 05:00:00,5031603.0,34.8756,34.94,34.86,35.38,34.66,1705899600000,48197
2024-01-23 05:00:00,6110327.0,34.7123,34.91,34.75,35.12,34.51,1705986000000,49232
2024-01-24 05:00:00,7287593.0,34.2044,34.85,34.08,34.99,34.03,1706072400000,54343
2024-01-25 05:00:00,12960439.0,34.568,34.43,34.9,34.9,34.0833,1706158800000,66913
2024-01-26 05:00:00,6182280.0,34.9234,34.905,35.01,35.025,34.655,1706245200000,49154
2024-01-29 05:00:00,5454521.0,35.093,34.97,35.29,35.3,34.66,1706504400000,38664
2024-01-30 05:00:00,6400527.0,34.9818,35.01,35.05,35.15,34.65,1706590800000,46078
2024-01-31 05:00:00,13440811.0,34.8694,35.225,34.81,35.3,34.525,1706677200000,56987
2024-02-01 05:00:00,5605729.0,34.9085,34.81,35.02,35.06,34.46,1706763600000,48773
2024-02-02 05:00:00,5819726.0,34.3339,34.7,34.35,34.7,33.94,1706850000000,46334
2024-02-05 05:00:00,6336293.0,33.7982,33.94,33.62,34.23,33.575,1707109200000,43103
2024-02-06 05:00:00,6444677.0,33.8865,33.62,33.91,34.15,33.46,1707195600000,47662
2024-02-07 05:00:00,6946774.0,34.058,34.11,34.1,34.26,33.66,1707282000000,48393
2024-02-08 05:00:00,5935435.0,33.6913,33.98,33.75,33.98,33.53,1707368400000,49299
2024-02-09 05:00:00,6520357.0,33.659,33.64,33.84,33.9,33.345,1707454800000,51944
2024-02-12 05:00:00,7862484.0,34.2272,33.79,34.38,34.5,33.58,1707714000000,51117
2024-02-13 05:00:00,9168844.0,34.0363,34.42,34.19,34.655,33.5,1707800400000,63172
2024-02-14 05:00:00,6822225.0,34.2342,34.25,34.12,34.49,34.04,1707886800000,53768
2024-02-15 05:00:00,5052482.0,34.7449,34.31,34.86,34.94,34.295,1707973200000,51117
2024-02-16 05:00:00,7830957.0,34.9148,34.76,34.91,35.14,34.43,1708059600000,47606
2024-02-20 05:00:00,6695058.0,34.8808,34.9,34.73,35.335,34.68,1708405200000,49612
2024-02-21 05:00:00,12107183.0,36.1392,35.68,36.21,36.455,35.5,1708491600000,79531
2024-02-22 05:00:00,7518336.0,35.9604,36.03,36.03,36.195,35.375,1708578000000,51831
2024-02-23 05:00:00,4552311.0,36.1758,35.88,36.13,36.41,35.86,1708664400000,40379
2024-02-26 05:00:00,6997440.0,35.5469,36.07,35.63,36.07,35.29,1708923600000,46750
2024-02-27 05:00:00,6158573.0,36.1421,35.88,36.21,36.4,35.73,1709010000000,49765
2024-02-28 05:00:00,5618792.0,35.8811,36.05,35.8,36.33,35.67,1709096400000,47414
2024-02-29 05:00:00,11354086.0,35.869,35.94,35.84,36.28,35.62,1709182800000,48841
2024-03-01 05:00:00,4949033.0,35.3798,35.22,35.49,35.62,34.98,1709269200000,42803
2024-03-04 05:00:00,5248712.0,35.9367,35.34,36.2,36.285,35.27,1709528400000,56067
2024-03-05 05:00:00,9773767.0,36.4983,36.25,36.27,36.985,36.13,1709614800000,65177
2024-03-06 05:00:00,5743356.0,36.5829,36.32,36.67,36.725,36.32,1709701200000,51255
2024-03-07 05:00:00,5659323.0,36.8956,37.0,36.83,37.26,36.7,1709787600000,48860
2024-03-08 05:00:00,6904790.0,36.8723,37.0,36.96,37.08,36.53,1709874000000,48414
2024-03-11 04:00:00,5064168.0,37.0624,37.09,37.19,37.39,36.735,1710129600000,44579
2024-03-12 04:00:00,11600324.0,36.9796,37.0,37.01,37.11,36.775,1710216000000,60328
2024-03-13 04:00:00,8789112.0,37.0414,37.21,36.99,37.42,36.95,1710302400000,43916
2024-03-14 04:00:00,9924918.0,36.5718,36.95,36.57,37.08,36.37,1710388800000,50597
2024-03-15 04:00:00,17634847.0,36.4961,36.55,36.48,36.93,36.205,1710475200000,59710
2024-03-18 04:00:00,7371138.0,36.6304,36.54,36.6,36.98,36.38,1710734400000,31321
2024-03-19 04:00:00,6947259.0,36.7771,36.51,36.81,37.0,36.5,1710820800000,30689
2024-03-20 04:00:00,5654620.0,36.643,36.63,36.56,37.125,36.345,1710907200000,47805
2024-03-21 04:00:00,6612841.0,36.9045,36.64,37.03,37.18,36.53,1710993600000,40829
2024-03-22 04:00:00,5160949.0,36.8356,37.28,36.7,37.28,36.68,1711080000000,40484
2024-03-25 04:00:00,5381642.0,36.8395,36.75,36.85,36.96,36.565,1711339200000,41393
2024-03-26 04:00:00,5882968.0,36.6315,36.77,36.56,36.955,36.52,1711425600000,35138
2024-03-27 04:00:00,7988293.0,37.2496,36.85,37.31,37.32,36.77,1711512000000,50816
2024-03-28 04:00:00,5855367.0,37.5235,37.23,37.57,37.7,37.18,1711598400000,38872
2024-04-01 04:00:00,4857012.0,37.2546,37.7,37.23,37.7,37.06,1711944000000,37754
2024-04-02 04:00:00,7306977.0,37.56,37.07,37.58,37.68,37.05,1712030400000,41961
2024-04-03 04:00:00,4792225.0,37.3242,37.62,37.21,37.69,37.2,1712116800000,40832
2024-04-04 04:00:00,4348795.0,37.2686,37.56,37.22,37.65,36.95,1712203200000,43951
2024-04-05 04:00:00,3957547.0,37.1821,36.98,37.34,37.445,36.51,1712289600000,41513
2024-04-08 04:00:00,5059243.0,37.657,37.35,37.78,37.81,37.24,1712548800000,36802
2024-04-09 04:00:00,3782777.0,37.8336,37.9,37.87,37.99,37.695,1712635200000,35752
2024-04-10 04:00:00,5370234.0,36.8804,37.21,36.91,37.21,36.625,1712721600000,53504
2024-04-11 04:00:00,4696981.0,36.8777,37.11,36.8,37.29,36.575,1712808000000,36495
2024-04-12 04:00:00,4985001.0,36.4824,36.8,36.48,36.96,36.19,1712894400000,44606
2024-04-15 04:00:00,3752482.0,36.3063,36.78,36.27,36.83,36.065,1713153600000,35298
2024-04-16 04:00:00,5114405.0,35.8795,36.3,35.75,36.35,35.75,1713240000000,47216
2024-04-17 04:00:00,4716914.0,36.259,35.9,36.42,36.515,35.9,1713326400000,33628
2024-04-18 04:00:00,4395547.0,36.5503,36.62,36.68,36.745,36.285,1713412800000,37474
2024-04-19 04:00:00,6126503.0,37.3251,36.77,37.55,37.645,36.5,1713499200000,52229
2024-04-22 04:00:00,5174426.0,37.7042,37.61,37.67,37.945,37.215,1713758400000,49684
2024-04-23 04:00:00,5700331.0,37.6389,37.44,37.56,37.95,37.32,1713844800000,48624
2024-04-24 04:00:00,5061364.0,37.6372,36.85,37.77,37.895,36.8,1713931200000,42535
2024-04-25 04:00:00,3958519.0,37.6479,37.97,37.66,38.04,37.21,1714017600000,37719
2024-04-26 04:00:00,5439450.0,37.3888,37.42,37.32,37.6,37.26,1714104000000,40284
2024-04-29 04:00:00,3301766.0,37.6663,37.56,37.72,37.75,37.43,1714363200000,32758
2024-04-30 04:00:00,6200162.0,37.563,37.46,37.58,37.795,37.035,1714449600000,49151
2024-05-01 04:00:00,7489074.0,37.8613,37.29,37.84,38.2,37.26,1714536000000,53629
2024-05-02 04:00:00,5575258.0,37.7494,38.45,37.89,38.45,37.33,1714622400000,49754
2024-05-03 04:00:00,6774456.0,37.3916,38.09,37.41,38.15,36.955,1714708800000,55610
2024-05-06 04:00:00,5850338.0,37.454,37.47,37.55,37.595,37.08,1714968000000,49596
2024-05-07 04:00:00,9499803.0,37.6883,37.68,37.91,37.93,37.29,1715054400000,57992
2024-05-08 04:00:00,7411669.0,37.8108,37.84,37.82,38.01,37.565,1715140800000,56445
2024-05-09 04:00:00,5308566.0,38.2215,37.8,38.33,38.35,37.7201,1715227200000,45311
2024-05-10 04:00:00,8898470.0,37.7621,37.95,37.67,38.09,37.54,1715313600000,63788
2024-05-13 04:00:00,8883431.0,38.0507,37.88,38.13,38.29,37.82,1715572800000,57760
