date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1439544.0,146.3429,148.31,146.44,148.79,144.65,1705554000000,21769
2024-01-19 05:00:00,1143343.0,146.7339,147.0,146.76,147.73,145.02,1705640400000,19417
2024-01-22 05:00:00,794334.0,148.7537,147.36,148.69,150.22,147.36,1705899600000,14942
2024-01-23 05:00:00,858715.0,147.5492,149.17,147.24,149.8,146.65,1705986000000,18176
2024-01-24 05:00:00,874806.0,147.5763,149.05,146.91,149.789,146.43,1706072400000,16480
2024-01-25 05:00:00,881793.0,148.7979,149.16,148.83,149.99,147.645,1706158800000,18981
2024-01-26 05:00:00,547550.0,147.8311,149.67,147.47,149.96,147.28,1706245200000,12894
2024-01-29 05:00:00,706211.0,147.3979,147.43,148.05,148.42,146.11,1706504400000,16813
2024-01-30 05:00:00,743219.0,145.9988,146.42,145.56,147.81,144.55,1706590800000,15408
2024-01-31 05:00:00,1752670.0,145.0617,146.25,144.44,148.29,143.58,1706677200000,20927
2024-02-01 05:00:00,1393642.0,145.2825,144.12,146.07,146.35,143.19,1706763600000,23098
2024-02-02 05:00:00,944213.0,143.2442,143.92,143.53,144.55,141.43,1706850000000,20364
2024-02-05 05:00:00,1101622.0,140.294,141.37,139.68,141.95,139.42,1707109200000,18317
2024-02-06 05:00:00,974094.0,142.1526,140.03,142.73,143.21,139.5607,1707195600000,17623
2024-02-07 05:00:00,947100.0,143.2284,142.77,142.41,144.93,142.07,1707282000000,15203
2024-02-08 05:00:00,807995.0,143.7454,143.38,143.47,144.37,142.68,1707368400000,14152
2024-02-09 05:00:00,756915.0,143.0701,143.15,143.38,144.18,142.39,1707454800000,16742
2024-02-12 05:00:00,866212.0,142.3138,143.71,142.02,144.33,141.65,1707714000000,17476
2024-02-13 05:00:00,1190074.0,138.1882,138.27,138.55,139.1846,136.06,1707800400000,23746
2024-02-14 05:00:00,1219576.0,139.4753,139.14,139.6,140.38,137.57,1707886800000,18236
2024-02-15 05:00:00,1550058.0,141.5296,141.91,141.77,142.76,140.38,1707973200000,20457
2024-02-16 05:00:00,1788118.0,141.2654,139.81,141.57,141.95,139.71,1708059600000,22339
2024-02-20 05:00:00,1043248.0,141.0643,140.9,141.42,141.55,139.69,1708405200000,18614
2024-02-21 05:00:00,1237913.0,143.3899,145.85,143.11,146.45,141.5,1708491600000,22872
2024-02-22 05:00:00,1032645.0,141.7582,142.85,141.39,143.258,141.25,1708578000000,17549
2024-02-23 05:00:00,986794.0,140.7254,141.15,140.06,141.48,140.05,1708664400000,19516
2024-02-26 05:00:00,1362488.0,139.2639,139.54,139.2,141.54,138.45,1708923600000,15299
2024-02-27 05:00:00,1310887.0,140.9184,140.49,140.22,141.795,140.13,1709010000000,24576
2024-02-28 05:00:00,2506978.0,137.5566,135.49,138.29,139.57,132.2201,1709096400000,38199
2024-02-29 05:00:00,1788916.0,140.6231,139.78,140.97,141.775,137.425,1709182800000,28798
2024-03-01 05:00:00,1165594.0,142.12,140.63,143.36,143.57,138.63,1709269200000,24100
2024-03-04 05:00:00,1492976.0,146.2225,142.68,147.48,147.585,142.19,1709528400000,27150
2024-03-05 05:00:00,932987.0,143.9245,146.62,142.58,147.525,141.815,1709614800000,19105
2024-03-06 05:00:00,815688.0,143.7584,145.09,144.03,145.09,142.585,1709701200000,17266
2024-03-07 05:00:00,1123730.0,145.3051,144.56,146.46,146.65,143.36,1709787600000,17630
2024-03-08 05:00:00,1126948.0,149.7745,147.67,150.6,151.23,147.47,1709874000000,21017
2024-03-11 04:00:00,1248683.0,149.5615,151.39,149.41,152.33,147.69,1710129600000,21439
2024-03-12 04:00:00,1161422.0,149.536,148.4,150.6,151.15,147.03,1710216000000,20722
2024-03-13 04:00:00,1173205.0,148.4788,150.5,147.84,151.57,147.2,1710302400000,22080
2024-03-14 04:00:00,1208631.0,142.5872,145.0,142.31,146.22,140.765,1710388800000,20350
2024-03-15 04:00:00,2428626.0,139.7689,140.31,139.33,142.53,139.02,1710475200000,20968
2024-03-18 04:00:00,938003.0,138.6413,139.28,138.07,140.07,137.92,1710734400000,18386
2024-03-19 04:00:00,839141.0,138.5528,137.15,138.4,139.67,137.15,1710820800000,13799
2024-03-20 04:00:00,1828452.0,140.2187,137.67,140.5,141.64,137.25,1710907200000,16002
2024-03-21 04:00:00,1376324.0,142.157,141.54,142.35,143.6,140.34,1710993600000,23920
2024-03-22 04:00:00,1200935.0,141.527,142.81,141.36,142.83,140.34,1711080000000,17588
2024-03-25 04:00:00,922756.0,140.9533,141.6,140.5,142.535,140.275,1711339200000,14426
2024-03-26 04:00:00,798106.0,141.016,140.6,140.46,141.99,140.46,1711425600000,14333
2024-03-27 04:00:00,1116715.0,145.9116,142.16,146.75,147.36,141.83,1711512000000,20301
2024-03-28 04:00:00,1214485.0,147.0799,147.21,147.0,148.62,146.1426,1711598400000,16775
2024-04-01 04:00:00,843816.0,146.7614,147.01,146.74,147.73,145.83,1711944000000,18708
2024-04-02 04:00:00,1231303.0,145.0097,145.24,145.49,146.145,143.85,1712030400000,23503
2024-04-03 04:00:00,1091408.0,144.4001,145.42,145.06,145.75,142.6491,1712116800000,20163
2024-04-04 04:00:00,1033514.0,145.9358,146.0,144.52,149.36,143.72,1712203200000,20355
2024-04-05 04:00:00,946136.0,145.874,144.53,146.32,146.55,143.67,1712289600000,14545
2024-04-08 04:00:00,932328.0,148.1397,147.39,149.07,149.19,146.51,1712548800000,18635
2024-04-09 04:00:00,963728.0,151.9502,150.0,152.39,152.56,149.83,1712635200000,21071
2024-04-10 04:00:00,1295980.0,142.8302,148.1,142.5,148.1,141.205,1712721600000,23241
2024-04-11 04:00:00,827283.0,142.4194,143.45,143.2,144.07,140.04,1712808000000,18292
2024-04-12 04:00:00,687262.0,140.9031,142.29,140.69,142.6116,140.01,1712894400000,14757
2024-04-15 04:00:00,1490549.0,137.909,140.5,137.73,141.18,136.31,1713153600000,22193
2024-04-16 04:00:00,1171077.0,135.6585,137.19,135.81,137.43,134.37,1713240000000,20095
2024-04-17 04:00:00,891769.0,136.6783,136.09,136.1,138.25,135.935,1713326400000,17686
2024-04-18 04:00:00,1013495.0,134.6984,136.28,134.2,136.86,133.64,1713412800000,16303
2024-04-19 04:00:00,1481536.0,132.9576,134.48,132.46,134.8,131.88,1713499200000,27825
2024-04-22 04:00:00,1220955.0,132.9305,133.19,132.74,134.05,131.84,1713758400000,23910
2024-04-23 04:00:00,1162800.0,133.8427,132.75,133.28,135.08,132.6,1713844800000,20701
2024-04-24 04:00:00,1147468.0,134.6974,132.4,134.64,136.0,131.02,1713931200000,20405
2024-04-25 04:00:00,998685.0,133.4666,132.75,133.83,134.32,131.79,1714017600000,21613
