date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1995349.0,243.7087,244.92,244.07,244.92,242.0,1705554000000,39175
2024-01-19 05:00:00,2430484.0,244.8779,244.79,246.53,246.65,242.015,1705640400000,43743
2024-01-22 05:00:00,2300042.0,250.3401,247.4,250.69,251.73,247.4,1705899600000,45626
2024-01-23 05:00:00,1633893.0,250.9082,251.18,250.85,251.84,249.3,1705986000000,34106
2024-01-24 05:00:00,2466739.0,250.868,252.17,249.73,253.52,248.79,1706072400000,39040
2024-01-25 05:00:00,1714542.0,253.0136,251.85,253.13,254.845,251.459,1706158800000,37938
2024-01-26 05:00:00,1755791.0,251.9762,253.42,251.55,254.4399,250.78,1706245200000,35497
2024-01-29 05:00:00,2612201.0,247.7727,250.86,248.03,251.01,246.01,1706504400000,45781
2024-01-30 05:00:00,3961508.0,243.5531,243.32,243.77,247.045,241.35,1706590800000,61942
2024-01-31 05:00:00,2990634.0,242.2452,243.41,241.29,244.45,240.54,1706677200000,49851
2024-02-01 05:00:00,2417149.0,241.1623,241.39,241.95,242.59,239.18,1706763600000,44922
2024-02-02 05:00:00,1999383.0,242.0593,241.5,242.36,243.8199,239.34,1706850000000,39032
2024-02-05 05:00:00,2624882.0,238.9068,240.79,238.31,241.6,237.95,1707109200000,48807
2024-02-06 05:00:00,2625108.0,241.7077,238.9,241.32,243.78,238.71,1707195600000,43346
2024-02-07 05:00:00,2155680.0,241.6552,242.02,242.13,243.28,240.325,1707282000000,39130
2024-02-08 05:00:00,1847276.0,241.4947,241.9,241.75,243.34,240.41,1707368400000,32131
2024-02-09 05:00:00,1786278.0,241.7541,242.06,242.62,242.82,240.13,1707454800000,31358
2024-02-12 05:00:00,1773250.0,243.8507,242.71,244.44,244.6,241.86,1707714000000,29691
2024-02-13 05:00:00,2513560.0,236.8821,240.75,236.39,240.841,235.05,1707800400000,50253
2024-02-14 05:00:00,1454009.0,236.8307,237.42,236.83,237.7,235.31,1707886800000,30065
2024-02-15 05:00:00,1520410.0,236.6958,236.27,236.52,238.32,235.74,1707973200000,32103
2024-02-16 05:00:00,2113042.0,236.74,235.81,237.59,238.19,234.45,1708059600000,35472
2024-02-20 05:00:00,1671562.0,238.7313,236.52,239.54,239.66,235.32,1708405200000,31301
2024-02-21 05:00:00,1497131.0,240.5225,239.72,241.41,241.54,238.21,1708491600000,29185
2024-02-22 05:00:00,1344913.0,243.4285,242.14,244.16,244.3,241.58,1708578000000,30230
2024-02-23 05:00:00,1128793.0,243.5828,244.23,243.46,244.95,242.52,1708664400000,24049
2024-02-26 05:00:00,1294706.0,241.8101,241.62,241.12,243.89,240.515,1708923600000,29372
2024-02-27 05:00:00,1030014.0,241.6257,241.32,241.4,242.5999,240.9,1709010000000,25137
2024-02-28 05:00:00,1442629.0,243.4304,239.33,244.37,244.52,239.07,1709096400000,30773
2024-02-29 05:00:00,2789271.0,248.1829,245.78,248.97,249.46,245.205,1709182800000,43018
2024-03-01 05:00:00,1682698.0,247.3186,248.04,246.6,249.18,245.57,1709269200000,34115
2024-03-04 05:00:00,1594813.0,246.9772,245.04,246.77,248.1,244.5253,1709528400000,35055
2024-03-05 05:00:00,1381096.0,248.0411,245.58,248.72,248.79,245.16,1709614800000,30127
2024-03-06 05:00:00,1649922.0,249.1809,249.81,248.4,251.65,247.43,1709701200000,29695
2024-03-07 05:00:00,1536610.0,250.1511,249.71,250.24,251.17,248.99,1709787600000,31688
