date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,9704262.0,33.2346,33.92,33.24,33.92,32.84,1705554000000,85782
2024-01-19 05:00:00,8770069.0,33.8934,34.23,34.21,34.31,33.26,1705640400000,76644
2024-01-22 05:00:00,7660084.0,34.4848,34.2,34.56,34.82,34.17,1705899600000,65357
2024-01-23 05:00:00,5993696.0,34.2593,34.74,34.1,34.84,34.09,1705986000000,54834
2024-01-24 05:00:00,5182678.0,34.7255,34.62,34.7,34.95,34.2199,1706072400000,51203
2024-01-25 05:00:00,4770863.0,34.6896,35.06,34.9,35.17,34.31,1706158800000,52682
2024-01-26 05:00:00,4424158.0,34.9467,35.02,34.86,35.24,34.81,1706245200000,44051
2024-01-29 05:00:00,4684549.0,35.2442,34.72,35.53,35.565,34.685,1706504400000,46758
2024-01-30 05:00:00,4960149.0,35.4414,35.72,35.37,35.725,35.35,1706590800000,45177
2024-01-31 05:00:00,7499259.0,34.5639,34.37,34.24,35.18,34.15,1706677200000,65618
2024-02-01 05:00:00,6436610.0,33.5652,34.3,33.78,34.44,32.78,1706763600000,68387
2024-02-02 05:00:00,6420401.0,33.7915,33.35,33.85,34.07,33.05,1706850000000,59477
2024-02-05 05:00:00,4925183.0,33.2856,33.37,33.31,33.555,33.0,1707109200000,49670
2024-02-06 05:00:00,5680444.0,33.4225,33.37,33.47,33.63,33.19,1707195600000,51925
2024-02-07 05:00:00,5601305.0,33.1277,33.62,33.36,33.62,32.54,1707282000000,50983
2024-02-08 05:00:00,3268048.0,33.3377,33.22,33.39,33.585,32.91,1707368400000,36788
2024-02-09 05:00:00,4090957.0,33.4734,33.43,33.65,33.745,33.02,1707454800000,43619
2024-02-12 05:00:00,4582257.0,34.231,33.7,34.11,34.5758,33.68,1707714000000,44379
2024-02-13 05:00:00,7362554.0,32.8462,33.31,32.82,33.46,32.29,1707800400000,75916
2024-02-14 05:00:00,7382086.0,33.4246,33.24,33.51,33.585,33.04,1707886800000,55356
2024-02-15 05:00:00,4477163.0,33.8728,33.61,33.9,34.27,33.525,1707973200000,56278
2024-02-16 05:00:00,3847063.0,33.9038,33.5,33.93,34.14,33.36,1708059600000,40293
2024-02-20 05:00:00,3340941.0,33.8273,33.64,33.8,34.0,33.445,1708405200000,35936
2024-02-21 05:00:00,4300637.0,33.5055,33.69,33.49,33.76,33.18,1708491600000,44661
2024-02-22 05:00:00,6993531.0,33.5048,33.54,33.4,33.96,33.19,1708578000000,51861
2024-02-23 05:00:00,3223499.0,33.5778,33.47,33.52,33.8,33.225,1708664400000,36834
2024-02-26 05:00:00,3203315.0,33.3369,33.41,33.27,33.78,33.035,1708923600000,33533
2024-02-27 05:00:00,3680929.0,33.8279,33.32,33.97,33.98,33.32,1709010000000,39180
2024-02-28 05:00:00,3445028.0,33.7875,33.75,33.58,34.15,33.56,1709096400000,33319
2024-02-29 05:00:00,5614485.0,34.283,33.92,34.34,34.5,33.92,1709182800000,45036
2024-03-01 05:00:00,4668845.0,34.1918,34.08,34.37,34.4,33.48,1709269200000,42006
2024-03-04 05:00:00,7090342.0,35.4977,34.8,35.48,35.8422,34.61,1709528400000,69355
2024-03-05 05:00:00,4939302.0,36.3181,35.44,36.35,36.655,35.385,1709614800000,54041
