date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,678725.0,29.1142,29.14,29.18,29.37,28.925,1705986000000,8815
2024-01-24 05:00:00,796719.0,29.1026,29.37,29.06,29.37,28.97,1706072400000,8675
2024-01-25 05:00:00,1149127.0,29.6421,29.25,29.71,29.815,29.25,1706158800000,12305
2024-01-26 05:00:00,731511.0,29.7487,29.74,29.74,29.885,29.655,1706245200000,7997
2024-01-29 05:00:00,738062.0,29.8282,29.75,29.92,29.94,29.61,1706504400000,9581
2024-01-30 05:00:00,641853.0,29.8618,29.89,29.8,29.995,29.75,1706590800000,8978
2024-01-31 05:00:00,1813045.0,30.1088,29.91,30.01,30.405,29.702,1706677200000,18921
2024-02-01 05:00:00,927854.0,29.9496,30.01,30.12,30.16,29.58,1706763600000,12619
2024-02-02 05:00:00,1050607.0,29.6139,29.86,29.56,30.01,29.43,1706850000000,12463
2024-02-05 05:00:00,1004058.0,29.2591,29.29,29.18,29.46,29.16,1707109200000,11204
2024-02-06 05:00:00,1037733.0,29.3638,29.24,29.34,29.55,29.03,1707195600000,10476
2024-02-07 05:00:00,2547114.0,27.7617,30.5,27.44,30.5,27.3086,1707282000000,27753
2024-02-08 05:00:00,2124970.0,26.7432,27.37,26.62,27.72,26.41,1707368400000,26385
2024-02-09 05:00:00,1916505.0,27.3524,26.72,27.45,27.58,26.61,1707454800000,24819
2024-02-12 05:00:00,1363817.0,27.9309,27.46,28.01,28.16,27.43,1707714000000,18036
2024-02-13 05:00:00,1381351.0,27.3126,27.83,27.36,27.83,26.97,1707800400000,16917
2024-02-14 05:00:00,1097753.0,27.6492,27.43,27.74,27.86,27.275,1707886800000,15121
2024-02-15 05:00:00,1478466.0,28.1335,27.81,28.14,28.295,27.75,1707973200000,17393
2024-02-16 05:00:00,1131163.0,27.9795,28.15,27.95,28.16,27.78,1708059600000,10147
2024-02-20 05:00:00,1216888.0,27.6778,27.84,27.63,28.01,27.59,1708405200000,11591
2024-02-21 05:00:00,1048726.0,27.3602,27.61,27.46,27.66,27.14,1708491600000,13310
2024-02-22 05:00:00,957776.0,27.4325,27.46,27.41,27.62,27.22,1708578000000,11210
2024-02-23 05:00:00,1525128.0,27.6869,27.63,27.68,27.93,27.25,1708664400000,15606
2024-02-26 05:00:00,2275284.0,27.3983,27.68,27.22,27.79,27.16,1708923600000,15498
2024-02-27 05:00:00,1372459.0,27.1372,27.29,27.11,27.41,27.04,1709010000000,11499
2024-02-28 05:00:00,1629500.0,26.9825,27.01,26.96,27.13,26.87,1709096400000,15809
2024-02-29 05:00:00,3000177.0,27.3588,27.16,27.38,27.52,27.05,1709182800000,15920
2024-03-01 05:00:00,1286291.0,26.9993,27.43,26.99,27.52,26.845,1709269200000,15450
2024-03-04 05:00:00,1595468.0,26.459,26.95,26.57,26.95,26.04,1709528400000,20628
2024-03-05 05:00:00,2031649.0,26.3952,26.19,26.33,26.78,26.01,1709614800000,17740
2024-03-06 05:00:00,1577727.0,26.0066,26.34,25.9,26.5305,25.815,1709701200000,17944
2024-03-07 05:00:00,1239480.0,26.0427,25.9,26.11,26.17,25.8675,1709787600000,14962
2024-03-08 05:00:00,1386237.0,26.3087,26.16,26.32,26.42,26.1,1709874000000,14504
2024-03-11 04:00:00,1197772.0,27.0601,26.45,27.23,27.42,26.42,1710129600000,15362
2024-03-12 04:00:00,1216655.0,26.8991,27.34,26.83,27.34,26.735,1710216000000,16123
2024-03-13 04:00:00,1786078.0,27.096,26.85,27.09,27.32,26.85,1710302400000,16835
2024-03-14 04:00:00,1548011.0,26.7329,27.04,26.71,27.06,26.56,1710388800000,15807
2024-03-15 04:00:00,3017915.0,26.8665,26.73,26.89,27.19,26.61,1710475200000,11952
2024-03-18 04:00:00,1771353.0,27.0123,26.95,27.0,27.22,26.73,1710734400000,14666
2024-03-19 04:00:00,1730086.0,27.1067,27.04,27.1,27.34,26.955,1710820800000,13651
2024-03-20 04:00:00,1371168.0,27.3895,27.1,27.58,27.72,26.92,1710907200000,16841
2024-03-21 04:00:00,1051866.0,27.7113,27.71,27.79,27.83,27.39,1710993600000,12453
2024-03-22 04:00:00,846939.0,27.3663,27.84,27.32,27.97,27.205,1711080000000,9404
2024-03-25 04:00:00,1105568.0,27.4997,27.48,27.54,27.69,27.31,1711339200000,11949
