date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,71667170.0,11.0332,11.25,10.99,11.31,10.96,1705554000000,145694
2024-01-19 05:00:00,61143347.0,11.0725,10.94,11.2,11.22,10.825,1705640400000,131884
2024-01-22 05:00:00,45479614.0,11.2423,11.23,11.2,11.4,11.14,1705899600000,110127
2024-01-23 05:00:00,45465174.0,11.3446,11.36,11.37,11.46,11.24,1705986000000,102350
2024-01-24 05:00:00,59064619.0,11.1364,11.435,11.03,11.45,11.0,1706072400000,125860
2024-01-25 05:00:00,49356728.0,11.2223,11.09,11.34,11.36,11.025,1706158800000,121366
2024-01-26 05:00:00,35837036.0,11.399,11.4,11.39,11.5,11.3,1706245200000,92860
2024-01-29 05:00:00,58249574.0,11.4824,11.38,11.55,11.56,11.3,1706504400000,120201
2024-01-30 05:00:00,70213343.0,11.7757,11.77,11.78,11.87,11.62,1706590800000,160056
2024-01-31 05:00:00,74558853.0,11.8318,11.76,11.72,11.9864,11.72,1706677200000,146850
2024-02-01 05:00:00,81065811.0,11.9041,11.82,12.1,12.14,11.62,1706763600000,162823
2024-02-02 05:00:00,73130933.0,12.0801,12.03,12.14,12.19,11.94,1706850000000,174382
2024-02-05 05:00:00,81026752.0,11.7484,12.01,11.59,12.08,11.54,1707109200000,195981
2024-02-06 05:00:00,99263928.0,12.0964,11.64,12.07,12.1,11.62,1707195600000,223062
2024-02-07 05:00:00,137224000.0,12.609,12.73,12.8,12.98,12.2,1707282000000,326179
2024-02-08 05:00:00,68653945.0,12.7527,12.87,12.83,12.9,12.54,1707368400000,151625
2024-02-09 05:00:00,47649648.0,12.7187,12.81,12.68,12.92,12.64,1707454800000,115765
2024-02-12 05:00:00,54036501.0,12.9638,12.68,12.98,13.07,12.64,1707714000000,141683
2024-02-13 05:00:00,67907704.0,12.6156,12.77,12.68,12.9,12.48,1707800400000,152488
2024-02-14 05:00:00,52978755.0,12.6043,12.72,12.56,12.7898,12.52,1707886800000,134265
2024-02-15 05:00:00,57811774.0,12.4478,12.35,12.52,12.55,12.31,1707973200000,136549
2024-02-16 05:00:00,43228567.0,12.3636,12.42,12.3,12.51,12.26,1708059600000,112013
2024-02-20 05:00:00,44591049.0,12.222,12.185,12.25,12.33,12.1,1708405200000,115818
2024-02-21 05:00:00,41910263.0,12.1429,12.21,12.14,12.32,12.05,1708491600000,103972
2024-02-22 05:00:00,36980470.0,12.1544,12.13,12.12,12.24,12.05,1708578000000,98472
2024-02-23 05:00:00,32152064.0,12.1649,12.1,12.14,12.26,12.09,1708664400000,88838
2024-02-26 05:00:00,40241300.0,12.0452,12.13,11.95,12.27,11.95,1708923600000,104746
2024-02-27 05:00:00,36508807.0,12.0307,12.02,12.0,12.17,11.96,1709010000000,96149
2024-02-28 05:00:00,51447900.0,12.2762,11.97,12.3,12.4,11.955,1709096400000,130535
2024-02-29 05:00:00,43098490.0,12.415,12.37,12.44,12.47,12.32,1709182800000,97367
2024-03-01 05:00:00,48761436.0,12.4661,12.53,12.45,12.64,12.32,1709269200000,128090
2024-03-04 05:00:00,81871730.0,12.8423,12.57,12.74,13.03,12.57,1709528400000,198360
2024-03-05 05:00:00,47896213.0,12.5905,12.65,12.58,12.7377,12.5,1709614800000,125421
2024-03-06 05:00:00,48834461.0,12.4154,12.52,12.38,12.57,12.33,1709701200000,115627
2024-03-07 05:00:00,38971016.0,12.367,12.41,12.41,12.47,12.26,1709787600000,97041
2024-03-08 05:00:00,54723777.0,12.2514,12.43,12.18,12.515,12.14,1709874000000,114307
2024-03-11 04:00:00,35135363.0,12.1484,12.13,12.11,12.24,12.075,1710129600000,91503
2024-03-12 04:00:00,31245242.0,12.1113,12.14,12.11,12.16,12.03,1710216000000,84371
2024-03-13 04:00:00,50595276.0,12.3789,12.12,12.37,12.48,12.11,1710302400000,102033
2024-03-14 04:00:00,52619863.0,12.1226,12.34,12.08,12.37,12.01,1710388800000,109813
2024-03-15 04:00:00,88254036.0,12.0847,12.05,12.06,12.27,12.02,1710475200000,114209
2024-03-18 04:00:00,36599219.0,12.1239,12.14,12.18,12.19,11.98,1710734400000,95819
2024-03-19 04:00:00,32668658.0,12.2809,12.11,12.3,12.35,12.11,1710820800000,86981
2024-03-20 04:00:00,67721511.0,12.7144,12.26,12.9,12.92,12.255,1710907200000,143147
2024-03-21 04:00:00,55822521.0,12.896,12.92,12.92,13.06,12.79,1710993600000,128034
2024-03-22 04:00:00,33137467.0,12.9056,12.87,12.91,12.96,12.85,1711080000000,81749
2024-03-25 04:00:00,39063514.0,12.9015,12.92,12.9,13.06,12.74,1711339200000,105486
2024-03-26 04:00:00,67140228.0,12.6455,12.96,12.44,12.96,12.43,1711425600000,153903
2024-03-27 04:00:00,53555794.0,12.907,12.53,13.06,13.07,12.52,1711512000000,118283
2024-03-28 04:00:00,61846366.0,13.2326,13.07,13.28,13.3,13.05,1711598400000,132023
2024-04-01 04:00:00,35898334.0,13.2462,13.33,13.29,13.38,13.14,1711944000000,90490
2024-04-02 04:00:00,42653403.0,13.2769,13.16,13.28,13.37,13.09,1712030400000,102103
2024-04-03 04:00:00,57498871.0,13.5751,13.25,13.65,13.68,13.23,1712116800000,141690
2024-04-04 04:00:00,67812379.0,13.5812,13.9,13.21,13.95,13.17,1712203200000,157288
2024-04-05 04:00:00,46937362.0,13.2507,13.27,13.28,13.395,13.09,1712289600000,118521
2024-04-08 04:00:00,29900547.0,13.4478,13.345,13.41,13.54,13.345,1712548800000,81676
2024-04-09 04:00:00,35542699.0,13.4928,13.47,13.54,13.59,13.34,1712635200000,81634
