date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,2139621.0,107.9848,108.53,107.7,108.6699,107.65,1705986000000,21380
2024-01-24 05:00:00,1579854.0,108.6793,108.78,108.35,109.3855,108.18,1706072400000,20628
2024-01-25 05:00:00,1052470.0,107.6044,108.75,107.45,109.18,107.025,1706158800000,17528
2024-01-26 05:00:00,887059.0,107.5857,107.47,107.75,107.99,106.985,1706245200000,14910
2024-01-29 05:00:00,1206694.0,107.8835,107.75,108.05,108.2,107.07,1706504400000,18412
2024-01-30 05:00:00,1530746.0,108.961,108.65,109.0,109.32,108.36,1706590800000,20558
2024-01-31 05:00:00,1582869.0,107.0765,108.55,106.66,108.94,106.42,1706677200000,19093
2024-02-01 05:00:00,1334417.0,108.0464,107.2,108.44,108.44,106.77,1706763600000,20437
2024-02-02 05:00:00,822439.0,107.7177,108.52,107.67,108.52,107.08,1706850000000,14378
2024-02-05 05:00:00,2313051.0,109.068,107.5,109.5,110.085,107.47,1707109200000,28833
2024-02-06 05:00:00,1480175.0,109.5067,109.32,109.5,110.51,108.49,1707195600000,21274
2024-02-07 05:00:00,1471638.0,111.6976,109.94,112.38,112.49,109.62,1707282000000,20960
2024-02-08 05:00:00,1104330.0,112.436,112.56,112.59,112.965,111.32,1707368400000,19476
2024-02-09 05:00:00,1405111.0,113.117,113.25,112.92,113.7,112.015,1707454800000,20409
2024-02-12 05:00:00,1980057.0,112.5758,112.53,112.31,113.635,111.96,1707714000000,26665
2024-02-13 05:00:00,2915083.0,112.3625,109.29,113.03,113.18,107.92,1707800400000,44955
2024-02-14 05:00:00,3124228.0,110.1922,112.21,111.57,113.25,108.0,1707886800000,46930
2024-02-15 05:00:00,2958656.0,111.1233,112.09,111.35,112.315,109.935,1707973200000,31158
2024-02-16 05:00:00,1016477.0,110.1172,110.95,109.98,111.33,109.615,1708059600000,17363
2024-02-20 05:00:00,1591013.0,108.9066,110.08,108.9,110.795,108.39,1708405200000,21995
2024-02-21 05:00:00,1246513.0,109.1811,108.21,109.65,109.65,108.0237,1708491600000,19486
2024-02-22 05:00:00,2048346.0,112.3605,111.28,113.0,113.4,109.92,1708578000000,26895
2024-02-23 05:00:00,1566133.0,114.6439,114.21,114.91,115.07,113.8201,1708664400000,24215
2024-02-26 05:00:00,1028814.0,114.5437,115.0,114.06,115.28,114.05,1708923600000,19984
2024-02-27 05:00:00,786208.0,113.5576,114.03,113.37,114.225,113.225,1709010000000,14938
2024-02-28 05:00:00,980627.0,113.1505,113.35,113.01,113.71,112.71,1709096400000,15174
2024-02-29 05:00:00,2838372.0,114.2668,113.88,114.15,116.31,112.29,1709182800000,31444
2024-03-01 05:00:00,1076457.0,113.813,114.11,113.72,115.19,113.18,1709269200000,21790
2024-03-04 05:00:00,2092125.0,110.7585,113.31,111.26,113.5,108.51,1709528400000,35478
2024-03-05 05:00:00,2076649.0,109.064,109.57,108.96,110.62,108.38,1709614800000,28707
2024-03-06 05:00:00,2411997.0,110.7718,110.54,109.57,114.66,109.16,1709701200000,33756
2024-03-07 05:00:00,2380741.0,113.5274,110.92,113.82,114.5,110.59,1709787600000,32503
2024-03-08 05:00:00,1442247.0,113.578,113.82,113.47,114.78,112.49,1709874000000,21094
2024-03-11 04:00:00,1102218.0,114.3191,113.1,114.58,114.893,113.01,1710129600000,20514
2024-03-12 04:00:00,1692676.0,117.3197,115.11,117.54,118.3,115.11,1710216000000,26673
2024-03-13 04:00:00,1025752.0,117.6755,117.57,117.71,118.39,116.28,1710302400000,20314
2024-03-14 04:00:00,905415.0,117.0001,117.94,117.14,118.14,116.32,1710388800000,14168
2024-03-15 04:00:00,2206650.0,117.1954,116.44,117.19,118.15,115.1915,1710475200000,17622
2024-03-18 04:00:00,1392948.0,119.1917,117.33,119.42,119.75,117.33,1710734400000,22782
2024-03-19 04:00:00,1186729.0,118.9691,119.07,119.19,119.391,118.14,1710820800000,16241
2024-03-20 04:00:00,911475.0,119.0278,119.33,119.15,119.54,118.49,1710907200000,15233
2024-03-21 04:00:00,929011.0,120.7282,119.89,120.36,121.57,119.26,1710993600000,17313
2024-03-22 04:00:00,1060012.0,121.5441,120.47,121.62,121.77,120.4,1711080000000,17389
2024-03-25 04:00:00,1014086.0,121.4225,121.46,120.93,122.6522,120.61,1711339200000,20800
2024-03-26 04:00:00,707390.0,121.1033,120.88,120.94,121.68,120.24,1711425600000,14864
2024-03-27 04:00:00,809177.0,121.7271,122.42,122.08,122.83,120.93,1711512000000,14201
2024-03-28 04:00:00,1973701.0,119.4796,122.23,118.68,122.275,118.64,1711598400000,28654
2024-04-01 04:00:00,1060400.0,120.5173,118.39,121.11,121.22,118.39,1711944000000,20800
2024-04-02 04:00:00,1418223.0,121.7874,121.59,122.23,122.402,120.0,1712030400000,27104
2024-04-03 04:00:00,1277263.0,123.5084,122.08,123.91,123.92,121.66,1712116800000,27529
2024-04-04 04:00:00,1747866.0,124.2143,123.6,123.93,125.55,123.25,1712203200000,25700
2024-04-05 04:00:00,1369898.0,125.6031,124.0,125.94,126.13,123.71,1712289600000,23054
2024-04-08 04:00:00,1355664.0,126.5628,125.84,126.8,127.15,125.21,1712548800000,22286
2024-04-09 04:00:00,1414715.0,125.5034,126.8,125.9,126.8,124.21,1712635200000,24880
2024-04-10 04:00:00,986017.0,125.4636,124.79,125.21,126.765,124.12,1712721600000,19435
2024-04-11 04:00:00,844414.0,126.2417,125.78,126.61,126.98,125.05,1712808000000,19029
2024-04-12 04:00:00,1349315.0,123.9186,125.43,123.3,126.195,123.04,1712894400000,23335
2024-04-15 04:00:00,1038343.0,122.493,124.04,121.42,125.03,121.16,1713153600000,19822
2024-04-16 04:00:00,1085826.0,123.2706,121.67,123.25,124.25,121.622,1713240000000,19313
2024-04-17 04:00:00,1089838.0,122.8442,123.83,122.36,124.58,122.22,1713326400000,20119
2024-04-18 04:00:00,1153702.0,121.9476,122.11,121.35,123.8,121.18,1713412800000,20765
2024-04-19 04:00:00,1146502.0,120.7663,121.53,120.12,122.6,119.76,1713499200000,20501
2024-04-22 04:00:00,932893.0,121.2923,121.31,121.41,122.44,120.23,1713758400000,20837
2024-04-23 04:00:00,998402.0,123.3561,122.22,123.4,123.89,121.78,1713844800000,18308
2024-04-24 04:00:00,993934.0,123.75,124.0,123.83,124.69,122.66,1713931200000,20749
2024-04-25 04:00:00,1299651.0,123.879,122.3,124.14,124.4,121.81,1714017600000,20076
2024-04-26 04:00:00,995756.0,125.6249,125.0,125.01,126.68,123.7313,1714104000000,22170
2024-04-29 04:00:00,1242070.0,124.8374,125.0,125.01,126.5,123.97,1714363200000,19776
2024-04-30 04:00:00,1294357.0,123.3684,124.62,122.38,125.06,122.37,1714449600000,24759
2024-05-01 04:00:00,1733303.0,123.1393,122.56,122.29,125.39,121.92,1714536000000,29148
2024-05-02 04:00:00,2028390.0,123.3498,123.16,124.33,124.41,120.59,1714622400000,34164
2024-05-03 04:00:00,2261279.0,123.4952,126.15,123.64,127.9899,122.04,1714708800000,40035
2024-05-06 04:00:00,1653992.0,127.7178,124.98,128.34,128.6,124.83,1714968000000,34088
2024-05-07 04:00:00,1892308.0,131.2012,128.53,131.35,131.895,128.53,1715054400000,28775
2024-05-08 04:00:00,995809.0,131.1547,130.88,131.47,132.0,130.31,1715140800000,22571
2024-05-09 04:00:00,971801.0,132.0291,131.58,131.93,132.9,131.27,1715227200000,19648
2024-05-10 04:00:00,1077491.0,133.4156,132.29,133.92,133.98,132.235,1715313600000,19251
2024-05-13 04:00:00,855667.0,133.7878,134.16,133.57,135.43,133.1601,1715572800000,16181
2024-05-14 04:00:00,984312.0,132.7666,133.51,132.82,133.98,131.84,1715659200000,25752
2024-05-15 04:00:00,1026977.0,136.2572,133.66,136.45,136.76,133.66,1715745600000,22699
2024-05-16 04:00:00,811084.0,135.2449,136.46,135.01,136.9,134.87,1715832000000,18166
2024-05-17 04:00:00,795736.0,135.3104,135.4,135.7,136.0,134.625,1715918400000,17134
2024-05-20 04:00:00,779116.0,137.3552,136.25,137.96,137.99,135.03,1716177600000,18530
2024-05-21 04:00:00,630759.0,138.6066,137.5,138.87,139.21,137.3,1716264000000,16274
2024-05-22 04:00:00,1102147.0,138.9307,139.25,139.28,139.67,137.94,1716350400000,19670
2024-05-23 04:00:00,735584.0,138.8538,140.0,138.56,140.0,138.07,1716436800000,18114
2024-05-24 04:00:00,948030.0,140.2788,138.78,140.14,141.27,138.52,1716523200000,20635
2024-05-28 04:00:00,1272276.0,139.0438,139.67,138.49,141.05,137.8501,1716868800000,24803
2024-05-29 04:00:00,1466228.0,139.7287,138.38,139.36,140.82,138.38,1716955200000,22042
2024-05-30 04:00:00,1323711.0,138.3747,138.3,138.21,139.3,137.55,1717041600000,23296
2024-05-31 04:00:00,3967233.0,139.2563,138.7,139.63,139.8,136.87,1717128000000,30212
2024-06-03 04:00:00,1023610.0,139.813,138.84,140.29,140.63,138.39,1717387200000,20297
2024-06-04 04:00:00,1357145.0,138.3446,139.41,138.8,139.55,137.06,1717473600000,25005
2024-06-05 04:00:00,1160594.0,139.8186,139.34,139.63,140.57,138.72,1717560000000,22271
2024-06-06 04:00:00,1153708.0,139.3241,139.84,138.66,140.7,138.63,1717646400000,23872
2024-06-07 04:00:00,1196610.0,139.4807,138.92,139.36,139.9,138.1,1717732800000,24261
2024-06-10 04:00:00,2228698.0,142.0856,141.05,142.04,142.95,140.02,1717992000000,40302
2024-06-11 04:00:00,1333613.0,139.9079,141.55,140.1,141.65,138.54,1718078400000,26007
2024-06-12 04:00:00,1432380.0,138.4567,141.51,138.07,142.0,137.15,1718164800000,31406
2024-06-13 04:00:00,1425884.0,138.2204,137.84,138.18,140.185,137.275,1718251200000,24879
2024-06-14 04:00:00,912915.0,137.1906,137.71,137.53,137.71,136.246,1718337600000,21989
2024-06-17 04:00:00,1426332.0,138.122,137.39,138.04,139.24,137.045,1718596800000,25716
2024-06-18 04:00:00,1526139.0,137.5991,138.24,137.04,139.74,137.01,1718683200000,19633
2024-06-20 04:00:00,1480124.0,137.357,137.45,137.91,138.1,135.725,1718856000000,28764
2024-06-21 04:00:00,33009862.0,137.6251,138.2,137.66,138.5,136.0,1718942400000,33694
2024-06-24 04:00:00,1942939.0,138.4496,137.02,138.41,139.58,136.745,1719201600000,28266
2024-06-25 04:00:00,2344718.0,140.7312,138.98,141.18,141.2499,138.22,1719288000000,29720
2024-06-26 04:00:00,1782409.0,139.7451,140.8,139.82,141.04,138.76,1719374400000,22877
2024-06-27 04:00:00,1074370.0,140.2825,139.4,140.24,140.91,139.0,1719460800000,22647
2024-06-28 04:00:00,3401523.0,139.6496,140.33,139.71,141.04,138.63,1719547200000,28149
2024-07-01 04:00:00,1512178.0,141.0501,139.79,141.5,142.27,138.48,1719806400000,28997
2024-07-02 04:00:00,1737522.0,142.6022,141.18,142.94,143.37,141.14,1719892800000,28417
2024-07-03 04:00:00,1439136.0,144.2874,143.1,143.69,145.36,143.1,1719979200000,20957
2024-07-05 04:00:00,1091368.0,143.7892,143.83,143.98,144.725,142.98,1720152000000,22574
2024-07-08 04:00:00,1087012.0,144.0206,144.24,143.65,145.13,143.005,1720411200000,21367
2024-07-09 04:00:00,1190589.0,144.5019,144.13,144.38,145.03,143.74,1720497600000,18995
2024-07-10 04:00:00,1334407.0,142.0716,142.3,142.46,143.105,140.43,1720584000000,25242
2024-07-11 04:00:00,1043183.0,142.1797,142.5,142.12,143.43,141.1,1720670400000,23332
2024-07-12 04:00:00,1307722.0,145.2202,142.7,145.33,146.08,142.22,1720756800000,25396
2024-07-15 04:00:00,980592.0,146.9262,146.2,146.79,147.79,146.2,1721016000000,22058
2024-07-16 04:00:00,1016734.0,147.742,147.51,147.64,148.71,146.58,1721102400000,19667
2024-07-17 04:00:00,829900.0,144.9649,146.69,144.27,146.86,144.27,1721188800000,19831
2024-07-18 04:00:00,1240801.0,144.1189,144.55,144.43,145.27,142.97,1721275200000,26407
2024-07-19 04:00:00,879757.0,145.2249,145.06,145.19,146.14,144.54,1721361600000,20694
2024-07-22 04:00:00,905115.0,146.9054,145.92,147.18,147.53,145.38,1721620800000,18494
2024-07-23 04:00:00,877538.0,147.9251,148.02,147.67,148.7,147.14,1721707200000,17273
2024-07-24 04:00:00,1160373.0,144.2304,145.91,143.21,147.69,142.98,1721793600000,22705
2024-07-25 04:00:00,1292734.0,143.3281,143.7,143.29,144.61,140.11,1721880000000,25826
2024-07-26 04:00:00,1395497.0,143.7528,144.08,143.65,145.43,142.91,1721966400000,21044
2024-07-29 04:00:00,1307186.0,144.32,144.5,143.84,145.155,143.74,1722225600000,21134
2024-07-30 04:00:00,825543.0,144.0088,144.31,143.8,145.54,143.09,1722312000000,19029
2024-07-31 04:00:00,1415372.0,145.3197,145.18,145.45,146.195,144.59,1722398400000,24302
2024-08-01 04:00:00,2009304.0,142.3314,146.07,141.41,146.94,140.51,1722484800000,33307
2024-08-02 04:00:00,2407777.0,150.1511,146.91,151.25,152.09,145.85,1722571200000,42871
2024-08-05 04:00:00,1434627.0,146.8322,145.64,146.88,149.16,144.72,1722830400000,34068
