date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,371083.0,122.3555,122.68,122.29,123.14,122.08,1705986000000,9294
2024-01-24 05:00:00,444486.0,122.1694,122.74,122.04,123.015,121.85,1706072400000,10650
2024-01-25 05:00:00,413923.0,122.9688,122.5,123.5,123.52,122.01,1706158800000,13461
2024-01-26 05:00:00,609753.0,123.7745,123.75,123.76,124.1983,123.35,1706245200000,11185
2024-01-29 05:00:00,360253.0,122.7686,123.2,122.99,123.43,122.24,1706504400000,9159
2024-01-30 05:00:00,383999.0,124.1143,123.02,124.36,124.56,122.76,1706590800000,10687
2024-01-31 05:00:00,548474.0,123.325,124.84,122.82,125.175,122.72,1706677200000,13574
2024-02-01 05:00:00,598863.0,119.7535,121.65,120.05,122.23,118.27,1706763600000,16355
2024-02-02 05:00:00,448193.0,120.9551,120.92,120.86,121.37,120.025,1706850000000,12818
2024-02-05 05:00:00,549138.0,120.3965,120.27,120.27,120.95,119.58,1707109200000,14071
2024-02-06 05:00:00,393957.0,121.1439,119.87,121.19,121.445,119.44,1707195600000,12138
2024-02-07 05:00:00,674908.0,122.3163,121.56,122.47,122.68,121.56,1707282000000,15941
2024-02-08 05:00:00,794140.0,124.1832,123.52,124.95,125.11,122.48,1707368400000,18841
2024-02-09 05:00:00,616668.0,125.4393,124.6,125.94,125.98,123.985,1707454800000,16327
2024-02-12 05:00:00,514158.0,126.5187,125.98,126.33,127.36,125.765,1707714000000,13249
2024-02-13 05:00:00,668336.0,125.5553,126.58,125.47,127.3034,124.54,1707800400000,14187
2024-02-14 05:00:00,671048.0,125.5378,125.78,125.35,126.43,125.16,1707886800000,13867
2024-02-15 05:00:00,634871.0,126.0709,125.7,125.81,126.68,125.64,1707973200000,15470
2024-02-16 05:00:00,524284.0,125.7531,125.6,125.53,126.64,125.21,1708059600000,10074
2024-02-20 05:00:00,507978.0,125.8927,125.08,125.85,126.79,124.9412,1708405200000,12358
2024-02-21 05:00:00,405018.0,126.2135,126.25,126.59,126.62,125.565,1708491600000,10323
2024-02-22 05:00:00,541645.0,127.5072,127.12,127.36,132.0,126.31,1708578000000,11814
2024-02-23 05:00:00,460647.0,127.0609,126.7,126.9,127.72,126.45,1708664400000,11502
2024-02-26 05:00:00,465780.0,126.9508,126.48,127.09,127.34,126.28,1708923600000,9982
2024-02-27 05:00:00,415046.0,127.7213,126.92,128.2,128.28,126.55,1709010000000,11766
2024-02-28 05:00:00,419665.0,128.5579,128.0,128.4,129.18,128.0,1709096400000,10119
2024-02-29 05:00:00,701975.0,126.9796,128.73,126.93,129.055,126.37,1709182800000,12672
2024-03-01 05:00:00,363511.0,126.1937,126.87,126.17,127.37,125.69,1709269200000,9942
2024-03-04 05:00:00,357580.0,126.4222,125.77,126.3,127.01,125.5752,1709528400000,10128
2024-03-05 05:00:00,360936.0,126.5444,125.87,126.31,127.65,125.87,1709614800000,9594
2024-03-06 05:00:00,464532.0,127.7048,126.75,128.1,128.18,126.0,1709701200000,11684
2024-03-07 05:00:00,591633.0,127.5019,128.0,127.19,128.61,127.17,1709787600000,10745
2024-03-08 05:00:00,1238386.0,124.2271,127.13,123.62,127.81,123.075,1709874000000,21547
2024-03-11 04:00:00,825182.0,123.884,123.19,123.89,124.65,123.0,1710129600000,17856
2024-03-12 04:00:00,621160.0,124.2219,123.93,124.35,124.8,123.465,1710216000000,13998
2024-03-13 04:00:00,1924145.0,120.4766,124.5,119.08,124.72,117.64,1710302400000,34323
2024-03-14 04:00:00,1628038.0,116.2245,119.0,115.99,120.95,113.83,1710388800000,31306
2024-03-15 04:00:00,2247721.0,116.0798,114.32,116.03,117.28,114.32,1710475200000,26452
2024-03-18 04:00:00,961736.0,116.9403,116.43,116.62,117.79,115.53,1710734400000,17257
2024-03-19 04:00:00,1152890.0,117.9776,116.94,117.95,118.5746,116.63,1710820800000,17271
2024-03-20 04:00:00,831376.0,118.0583,117.55,117.89,118.63,117.55,1710907200000,12369
2024-03-21 04:00:00,1157460.0,116.001,117.95,115.84,117.96,115.0,1710993600000,21336
2024-03-22 04:00:00,1215791.0,116.0431,116.24,115.47,117.22,115.366,1711080000000,16347
2024-03-25 04:00:00,926112.0,116.5143,115.47,116.42,117.1999,115.47,1711339200000,14842
2024-03-26 04:00:00,1064612.0,116.7609,116.24,116.48,117.45,116.03,1711425600000,17079
2024-03-27 04:00:00,1234231.0,116.2003,116.31,116.6,117.04,115.49,1711512000000,19181
2024-03-28 04:00:00,1033765.0,116.3081,116.91,116.37,117.25,115.7,1711598400000,16046
2024-04-01 04:00:00,807517.0,114.6613,116.03,114.13,116.03,114.1,1711944000000,15317
2024-04-02 04:00:00,1739706.0,112.3443,114.39,111.64,114.63,111.55,1712030400000,27617
2024-04-03 04:00:00,2654175.0,110.4277,111.59,110.9,112.63,108.415,1712116800000,37294
2024-04-04 04:00:00,1442544.0,110.6194,111.2,110.11,112.24,109.36,1712203200000,21261
2024-04-05 04:00:00,1252011.0,108.8618,110.05,108.45,110.05,108.37,1712289600000,19686
2024-04-08 04:00:00,1701938.0,107.8577,108.32,107.85,108.3799,106.02,1712548800000,22677
2024-04-09 04:00:00,1309081.0,107.6712,108.35,107.61,108.89,107.27,1712635200000,20126
2024-04-10 04:00:00,1784058.0,105.498,107.11,104.93,107.6199,104.59,1712721600000,28203
2024-04-11 04:00:00,36577524.0,65.9541,98.48,49.17,98.58,38.95,1712808000000,353946
2024-04-12 04:00:00,25735285.0,56.4472,59.75,59.09,61.45,52.1658,1712894400000,257049
2024-04-15 04:00:00,6651876.0,57.3357,59.06,55.81,60.98,55.51,1713153600000,77942
2024-04-16 04:00:00,5219166.0,58.2917,55.61,59.97,60.88,54.66,1713240000000,62197
2024-04-17 04:00:00,5376346.0,62.9473,60.16,63.23,64.36,60.16,1713326400000,57423
2024-04-18 04:00:00,5595165.0,65.9133,63.27,65.0,69.42,63.27,1713412800000,63660
2024-04-19 04:00:00,3216779.0,66.1904,65.46,66.74,67.66,64.5001,1713499200000,39737
2024-04-22 04:00:00,4118275.0,67.4873,68.03,66.39,69.96,66.316,1713758400000,49826
2024-04-23 04:00:00,9397872.0,73.332,67.5,75.76,76.8695,66.25,1713844800000,96121
2024-04-24 04:00:00,6469889.0,79.5513,76.23,78.6,82.4785,75.85,1713931200000,70986
2024-04-25 04:00:00,4167645.0,76.1308,77.3,75.54,78.6,74.0,1714017600000,49510
2024-04-26 04:00:00,5993318.0,75.2396,75.25,75.75,76.98,73.78,1714104000000,55131
2024-04-29 04:00:00,4999163.0,78.5062,77.0,78.09,79.74,75.8,1714363200000,50641
2024-04-30 04:00:00,5119928.0,76.2787,72.38,76.17,78.88,71.5,1714449600000,57788
2024-05-01 04:00:00,2468982.0,78.5953,75.5,79.48,80.18,75.48,1714536000000,37476
2024-05-02 04:00:00,1751505.0,79.4701,79.61,79.28,80.94,78.305,1714622400000,27459
2024-05-03 04:00:00,1782004.0,77.6994,79.3,77.55,80.0,76.67,1714708800000,23883
2024-05-06 04:00:00,2320177.0,80.692,78.19,80.84,82.5,78.19,1714968000000,26113
2024-05-07 04:00:00,3400788.0,83.7841,80.75,85.16,85.4,79.93,1715054400000,44221
2024-05-08 04:00:00,2917600.0,88.5229,84.54,89.49,89.89,83.39,1715140800000,39802
2024-05-09 04:00:00,3093547.0,88.4424,89.03,86.88,91.39,86.85,1715227200000,40687
2024-05-10 04:00:00,2007639.0,86.9658,87.37,86.5,88.04,85.49,1715313600000,29572
2024-05-13 04:00:00,1632716.0,85.635,86.93,85.14,87.63,84.71,1715572800000,30314
2024-05-14 04:00:00,2005689.0,88.4336,84.3,88.56,89.92,84.07,1715659200000,32652
2024-05-15 04:00:00,1542700.0,87.6689,88.62,87.78,88.62,86.97,1715745600000,29911
2024-05-16 04:00:00,2370111.0,84.4983,88.35,83.94,88.65,82.82,1715832000000,34057
2024-05-17 04:00:00,2300674.0,85.7721,84.94,86.07,86.445,83.43,1715918400000,20542
2024-05-20 04:00:00,1274118.0,85.657,86.31,86.01,86.91,84.59,1716177600000,21453
2024-05-21 04:00:00,1924470.0,82.5499,84.49,83.33,84.59,80.8701,1716264000000,31488
2024-05-22 04:00:00,2031062.0,84.8834,83.33,85.6,86.03,82.47,1716350400000,28841
2024-05-23 04:00:00,1982771.0,81.4786,84.87,80.55,84.87,80.4,1716436800000,32696
2024-05-24 04:00:00,1410898.0,81.306,80.76,81.74,81.99,80.31,1716523200000,25849
2024-05-28 04:00:00,1674152.0,83.4265,81.34,83.96,84.35,80.61,1716868800000,22914
2024-05-29 04:00:00,1255935.0,81.8765,83.17,82.37,83.49,80.52,1716955200000,27423
2024-05-30 04:00:00,1253805.0,82.6291,82.99,82.27,83.75,82.17,1717041600000,22823
2024-05-31 04:00:00,8264301.0,82.8067,82.5,82.76,83.49,81.32,1717128000000,37657
2024-06-03 04:00:00,1482243.0,82.8193,83.21,82.48,84.36,82.1025,1717387200000,22638
2024-06-04 04:00:00,1700873.0,81.9034,82.07,81.81,83.22,81.07,1717473600000,20153
2024-06-05 04:00:00,1202422.0,83.3717,82.0,83.55,83.96,81.35,1717560000000,22889
2024-06-06 04:00:00,1959279.0,81.4185,83.47,81.24,83.83,80.25,1717646400000,29784
2024-06-07 04:00:00,1190078.0,81.2558,80.89,81.33,82.0,79.78,1717732800000,22118
2024-06-10 04:00:00,1201656.0,81.3235,80.92,81.62,82.0,80.27,1717992000000,21093
2024-06-11 04:00:00,1477459.0,80.4934,80.72,80.63,81.285,79.74,1718078400000,16924
2024-06-12 04:00:00,1720789.0,81.6005,80.97,81.11,82.49,80.345,1718164800000,24174
2024-06-13 04:00:00,1244566.0,79.6521,80.42,79.71,80.52,78.88,1718251200000,18823
2024-06-14 04:00:00,1466160.0,77.7452,78.74,77.89,79.78,76.5506,1718337600000,22643
2024-06-17 04:00:00,1047511.0,79.6839,78.32,79.92,80.575,77.935,1718596800000,19672
2024-06-18 04:00:00,1204868.0,80.1703,79.55,80.4,80.5,79.38,1718683200000,16649
2024-06-20 04:00:00,1262628.0,82.4233,80.39,82.57,82.97,80.01,1718856000000,18398
2024-06-21 04:00:00,3054585.0,83.1217,82.24,83.06,84.1,81.885,1718942400000,21596
2024-06-24 04:00:00,1344397.0,83.9419,83.29,83.69,84.65,83.29,1719201600000,16953
2024-06-25 04:00:00,1302637.0,83.5879,83.4,83.51,84.04,82.87,1719288000000,16006
2024-06-26 04:00:00,676679.0,82.6975,83.04,83.21,83.26,81.635,1719374400000,16429
2024-06-27 04:00:00,923753.0,82.1883,82.82,82.24,83.01,81.25,1719460800000,16297
2024-06-28 04:00:00,2087413.0,82.3814,82.65,82.28,83.65,81.77,1719547200000,20479
2024-07-01 04:00:00,953138.0,83.071,83.1,82.83,84.46,82.75,1719806400000,13606
2024-07-02 04:00:00,914132.0,83.0531,82.54,83.08,83.47,82.54,1719892800000,13454
2024-07-03 04:00:00,658457.0,82.9463,83.4,82.44,84.29,82.33,1719979200000,10079
2024-07-05 04:00:00,1661615.0,81.3959,81.62,81.48,82.41,80.5,1720152000000,17558
2024-07-08 04:00:00,661858.0,81.0684,81.93,80.92,82.39,80.58,1720411200000,11592
2024-07-09 04:00:00,618705.0,81.9202,81.06,81.91,82.6299,80.36,1720497600000,10568
2024-07-10 04:00:00,701201.0,82.8357,82.04,83.13,83.32,81.64,1720584000000,12159
2024-07-11 04:00:00,746082.0,85.1273,83.49,85.23,85.8,83.375,1720670400000,14666
2024-07-12 04:00:00,636365.0,86.2104,85.82,86.04,86.78,85.15,1720756800000,12104
2024-07-15 04:00:00,579338.0,86.945,86.02,86.81,87.44,85.86,1721016000000,11476
2024-07-16 04:00:00,1077148.0,88.5298,87.11,88.51,89.21,87.11,1721102400000,18502
2024-07-17 04:00:00,1400877.0,89.1115,88.61,88.93,90.2,88.44,1721188800000,18979
2024-07-18 04:00:00,943278.0,89.0782,88.86,88.2,90.82,88.12,1721275200000,15524
2024-07-19 04:00:00,639441.0,88.301,88.23,88.26,89.2,87.33,1721361600000,13428
2024-07-22 04:00:00,1207631.0,89.7237,90.15,88.98,91.08,88.76,1721620800000,18336
2024-07-23 04:00:00,578573.0,89.5266,88.75,89.56,90.11,88.75,1721707200000,11530
2024-07-24 04:00:00,958552.0,88.8079,89.69,88.28,90.38,88.17,1721793600000,14943
2024-07-25 04:00:00,1206858.0,89.7837,94.01,89.08,94.01,87.585,1721880000000,21781
2024-07-26 04:00:00,998446.0,90.2957,90.31,90.69,90.83,89.17,1721966400000,16238
2024-07-29 04:00:00,1027130.0,92.5927,91.35,92.07,93.63,91.35,1722225600000,17406
2024-07-30 04:00:00,1094481.0,93.8356,92.36,94.46,94.82,92.25,1722312000000,17625
2024-07-31 04:00:00,815159.0,93.327,94.19,92.74,94.59,92.74,1722398400000,13747
2024-08-01 04:00:00,759914.0,93.0695,93.4,92.95,94.755,92.33,1722484800000,15059
2024-08-02 04:00:00,937317.0,90.6875,91.44,90.91,91.5199,89.3,1722571200000,18912
2024-08-05 04:00:00,968757.0,88.5151,88.7,88.63,89.3,86.1,1722830400000,19583
