date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,808891.0,117.172,119.23,117.34,121.27,115.63,1705986000000,18062
2024-01-24 05:00:00,905911.0,114.4166,118.53,113.17,118.682,113.15,1706072400000,20816
2024-01-25 05:00:00,697430.0,114.081,114.78,114.64,115.25,112.765,1706158800000,18746
2024-01-26 05:00:00,531920.0,115.09,114.91,114.69,116.1825,114.53,1706245200000,14564
2024-01-29 05:00:00,859152.0,115.6527,114.56,116.09,116.47,114.27,1706504400000,15742
2024-01-30 05:00:00,582772.0,116.1847,115.37,115.84,117.5,114.7001,1706590800000,14412
2024-01-31 05:00:00,744503.0,115.6908,115.35,113.67,118.25,113.545,1706677200000,16353
2024-02-01 05:00:00,742744.0,115.3145,115.22,115.33,117.095,113.655,1706763600000,18489
2024-02-02 05:00:00,506376.0,115.066,113.63,116.14,116.6,112.18,1706850000000,14535
2024-02-05 05:00:00,651881.0,114.1668,114.17,113.99,115.355,112.25,1707109200000,14538
2024-02-06 05:00:00,752050.0,116.8947,113.88,117.35,117.56,113.21,1707195600000,17864
2024-02-07 05:00:00,1638159.0,125.246,119.98,125.8,127.97,119.2201,1707282000000,35735
2024-02-08 05:00:00,773459.0,126.8766,125.21,127.14,127.74,124.26,1707368400000,19043
2024-02-09 05:00:00,1101485.0,126.7308,127.53,126.91,128.39,125.16,1707454800000,23736
2024-02-12 05:00:00,1694186.0,130.8344,126.34,130.47,132.5,126.18,1707714000000,27730
2024-02-13 05:00:00,1729085.0,124.4505,124.21,123.79,127.12,122.4443,1707800400000,33133
2024-02-14 05:00:00,5071376.0,120.1871,113.17,123.44,126.8,112.34,1707886800000,80148
2024-02-15 05:00:00,2242465.0,119.448,118.84,120.68,122.87,116.635,1707973200000,44104
2024-02-16 05:00:00,1270132.0,117.8933,119.0,117.28,119.675,116.41,1708059600000,26640
2024-02-20 05:00:00,1339070.0,114.4961,115.97,114.39,116.75,113.64,1708405200000,26650
