date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,910348.0,143.1009,144.38,143.02,144.9299,142.22,1705986000000,18421
2024-01-24 05:00:00,701416.0,142.0749,143.53,141.67,143.57,141.22,1706072400000,16512
2024-01-25 05:00:00,640825.0,142.2992,142.52,142.52,143.005,141.61,1706158800000,17336
2024-01-26 05:00:00,648578.0,142.7944,143.37,142.63,143.37,142.45,1706245200000,15081
2024-01-29 05:00:00,710564.0,142.5098,142.9,142.74,143.68,141.71,1706504400000,17580
2024-01-30 05:00:00,719795.0,143.0106,142.55,143.25,143.44,141.6,1706590800000,17077
2024-01-31 05:00:00,1154526.0,140.6643,143.88,140.23,144.22,139.7,1706677200000,20998
2024-02-01 05:00:00,804582.0,141.5238,140.34,142.67,142.69,139.37,1706763600000,19711
2024-02-02 05:00:00,945797.0,142.563,142.35,142.38,143.62,140.95,1706850000000,19272
2024-02-05 05:00:00,880377.0,140.2613,141.08,140.14,142.055,139.39,1707109200000,20819
2024-02-06 05:00:00,846121.0,140.6626,139.19,141.32,141.38,138.91,1707195600000,17903
2024-02-07 05:00:00,963027.0,142.4607,141.74,142.78,142.93,141.24,1707282000000,18455
2024-02-08 05:00:00,1255262.0,142.0522,141.31,142.31,142.36,141.2,1707368400000,21916
2024-02-09 05:00:00,867127.0,142.5148,142.35,143.18,143.21,141.43,1707454800000,23277
2024-02-12 05:00:00,1113429.0,145.1385,143.54,145.14,145.88,143.435,1707714000000,22212
2024-02-13 05:00:00,1218437.0,142.4968,143.01,142.41,143.6,141.77,1707800400000,27569
2024-02-14 05:00:00,1481662.0,143.5169,143.04,144.04,144.155,142.32,1707886800000,31349
2024-02-15 05:00:00,2619876.0,141.3706,135.0,143.71,143.9,135.0,1707973200000,47845
2024-02-16 05:00:00,1161509.0,143.4669,143.09,142.93,144.5,142.64,1708059600000,25706
2024-02-20 05:00:00,1146869.0,144.0226,142.11,144.28,145.0,141.22,1708405200000,25219
2024-02-21 05:00:00,1426932.0,144.5439,144.63,144.46,145.975,143.3,1708491600000,24070
2024-02-22 05:00:00,1125151.0,146.0598,144.67,146.12,146.69,144.09,1708578000000,22806
2024-02-23 05:00:00,1332346.0,147.3457,146.28,147.88,148.1,146.1,1708664400000,19036
2024-02-26 05:00:00,1051662.0,148.7347,148.83,148.42,149.57,148.245,1708923600000,22837
2024-02-27 05:00:00,820766.0,150.3948,149.58,150.57,150.84,148.85,1709010000000,20290
2024-02-28 05:00:00,1154695.0,151.9164,151.05,151.75,152.6376,150.92,1709096400000,23566
2024-02-29 05:00:00,2080740.0,149.6428,151.4,149.26,151.74,148.615,1709182800000,34238
2024-03-01 05:00:00,1141023.0,148.976,148.84,149.21,149.49,147.79,1709269200000,23647
2024-03-04 05:00:00,820721.0,150.0615,149.3,149.97,150.59,149.21,1709528400000,19672
2024-03-05 05:00:00,1079496.0,150.1356,149.93,149.94,151.085,149.14,1709614800000,22347
2024-03-06 05:00:00,776001.0,150.1001,150.7,149.83,151.39,149.49,1709701200000,14485
2024-03-07 05:00:00,1080811.0,151.1524,150.84,150.82,152.62,150.474,1709787600000,20039
2024-03-08 05:00:00,1021346.0,150.93,150.64,150.96,151.36,150.06,1709874000000,18496
2024-03-11 04:00:00,1279965.0,151.7848,151.15,152.45,152.58,150.86,1710129600000,27257
2024-03-12 04:00:00,870517.0,153.7116,152.9,154.01,154.4,152.18,1710216000000,19541
2024-03-13 04:00:00,1200176.0,153.8384,154.48,153.49,154.91,153.42,1710302400000,18175
2024-03-14 04:00:00,829240.0,151.8597,153.5,151.87,153.67,151.465,1710388800000,19550
2024-03-15 04:00:00,1693630.0,153.6529,151.06,153.66,154.79,151.06,1710475200000,21716
2024-03-18 04:00:00,988580.0,154.0112,154.01,153.47,154.94,153.25,1710734400000,22565
2024-03-19 04:00:00,804440.0,154.9242,153.77,155.07,155.27,153.535,1710820800000,18441
2024-03-20 04:00:00,895003.0,155.0431,155.54,155.31,155.815,154.19,1710907200000,18710
2024-03-21 04:00:00,624069.0,157.1524,155.63,157.38,157.7,155.3395,1710993600000,15887
2024-03-22 04:00:00,588695.0,156.1674,157.45,155.88,157.77,155.74,1711080000000,14931
2024-03-25 04:00:00,844716.0,153.9792,155.88,153.61,156.04,153.46,1711339200000,19688
2024-03-26 04:00:00,945952.0,152.8158,153.56,152.53,153.78,152.06,1711425600000,20545
2024-03-27 04:00:00,754901.0,154.7815,153.21,155.19,155.26,152.95,1711512000000,17562
2024-03-28 04:00:00,954290.0,155.0467,155.48,154.93,155.91,154.54,1711598400000,18146
2024-04-01 04:00:00,733388.0,154.1611,154.84,154.28,155.62,153.42,1711944000000,19752
2024-04-02 04:00:00,847222.0,153.8513,154.45,153.79,155.48,153.23,1712030400000,23248
2024-04-03 04:00:00,703009.0,153.3176,153.42,153.12,154.355,152.81,1712116800000,21435
2024-04-04 04:00:00,806577.0,150.0665,154.06,148.85,154.06,148.79,1712203200000,24556
2024-04-05 04:00:00,613198.0,149.725,149.23,149.99,150.58,148.97,1712289600000,21402
2024-04-08 04:00:00,582331.0,150.5714,150.32,150.41,151.345,150.23,1712548800000,17611
2024-04-09 04:00:00,610191.0,150.2456,150.56,150.49,151.425,148.96,1712635200000,17517
2024-04-10 04:00:00,738451.0,148.4689,148.92,148.28,149.57,147.84,1712721600000,22186
2024-04-11 04:00:00,884036.0,146.3722,148.57,146.11,149.12,145.61,1712808000000,24616
2024-04-12 04:00:00,924762.0,145.2621,144.87,145.38,145.99,144.48,1712894400000,22751
2024-04-15 04:00:00,1177596.0,145.2623,147.53,144.75,147.81,144.3,1713153600000,28701
2024-04-16 04:00:00,1100381.0,145.0548,144.67,144.55,145.88,144.3,1713240000000,28412
2024-04-17 04:00:00,1763211.0,144.3783,145.31,144.07,145.85,143.71,1713326400000,36348
2024-04-18 04:00:00,3914741.0,160.4545,155.88,160.23,164.45,155.88,1713412800000,67797
2024-04-19 04:00:00,3396404.0,162.2285,161.0,162.39,162.93,160.26,1713499200000,45408
2024-04-22 04:00:00,1447214.0,162.6249,162.81,163.09,163.54,160.95,1713758400000,33412
2024-04-23 04:00:00,1113160.0,163.025,162.61,163.38,163.86,160.92,1713844800000,30804
2024-04-24 04:00:00,1161661.0,161.9726,163.07,161.8,163.73,161.22,1713931200000,29275
2024-04-25 04:00:00,1452078.0,160.5885,161.11,161.07,161.6,158.95,1714017600000,26479
2024-04-26 04:00:00,1003681.0,160.391,160.62,159.93,162.14,159.82,1714104000000,22200
2024-04-29 04:00:00,1055693.0,161.4398,160.49,161.37,162.06,160.49,1714363200000,24035
2024-04-30 04:00:00,1558983.0,157.505,160.34,157.21,160.37,156.915,1714449600000,26733
2024-05-01 04:00:00,838678.0,157.1046,156.87,156.77,159.15,156.28,1714536000000,21186
2024-05-02 04:00:00,752562.0,156.5839,157.73,156.32,157.73,155.99,1714622400000,18339
2024-05-03 04:00:00,670520.0,157.5486,157.08,157.41,158.29,157.0,1714708800000,17266
2024-05-06 04:00:00,913789.0,156.422,158.7,156.69,159.77,155.44,1714968000000,21698
2024-05-07 04:00:00,1181664.0,155.521,157.22,154.92,157.75,154.85,1715054400000,24316
2024-05-08 04:00:00,928733.0,154.2149,154.04,154.35,155.0,153.52,1715140800000,18707
2024-05-09 04:00:00,704339.0,155.1728,154.84,155.34,155.64,154.35,1715227200000,18106
2024-05-10 04:00:00,753486.0,155.1299,155.98,155.27,155.98,154.08,1715313600000,16756
2024-05-13 04:00:00,876963.0,157.2268,155.82,157.53,157.61,155.635,1715572800000,21536
2024-05-14 04:00:00,678786.0,155.9679,158.65,155.58,158.65,154.93,1715659200000,19213
2024-05-15 04:00:00,557504.0,155.2548,156.0,155.01,157.17,154.63,1715745600000,15315
2024-05-16 04:00:00,602327.0,154.3493,154.74,154.1,155.215,153.575,1715832000000,14100
2024-05-17 04:00:00,581812.0,152.9517,154.84,152.89,154.84,152.2,1715918400000,15459
2024-05-20 04:00:00,561799.0,152.4284,152.84,151.93,153.44,151.76,1716177600000,17141
2024-05-21 04:00:00,845189.0,151.107,151.83,151.51,152.12,150.13,1716264000000,18609
2024-05-22 04:00:00,895122.0,149.8284,151.16,149.59,151.97,149.01,1716350400000,19696
2024-05-23 04:00:00,731119.0,146.173,149.01,145.65,149.01,145.56,1716436800000,17127
2024-05-24 04:00:00,468616.0,145.3941,146.28,145.22,146.6699,144.93,1716523200000,14551
2024-05-28 04:00:00,709605.0,142.6167,144.96,141.77,145.75,141.62,1716868800000,19729
2024-05-29 04:00:00,815241.0,139.5369,140.47,139.24,141.555,139.15,1716955200000,20425
2024-05-30 04:00:00,651649.0,140.4938,139.68,140.68,141.1,139.32,1717041600000,15933
2024-05-31 04:00:00,1500320.0,143.6432,140.71,144.14,144.43,140.48,1717128000000,21794
2024-06-03 04:00:00,812384.0,144.0569,144.94,144.11,145.45,142.93,1717387200000,18084
2024-06-04 04:00:00,860605.0,144.3817,143.52,144.77,144.78,143.52,1717473600000,17032
2024-06-05 04:00:00,696655.0,143.3746,144.92,142.99,145.16,142.6,1717560000000,18162
