date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,15096866.0,35.1454,34.48,35.3,35.69,33.94,1705986000000,113317
2024-01-24 05:00:00,14417386.0,36.5348,35.68,36.83,36.95,35.4838,1706072400000,106896
2024-01-25 05:00:00,11492073.0,36.6436,37.08,37.0,37.2481,35.9997,1706158800000,89951
2024-01-26 05:00:00,8835549.0,37.474,36.87,37.53,37.86,36.76,1706245200000,76063
2024-01-29 05:00:00,5857570.0,37.1079,37.25,37.19,37.36,36.77,1706504400000,47717
2024-01-30 05:00:00,18937096.0,36.2029,35.95,36.81,37.01,35.1412,1706590800000,124249
2024-01-31 05:00:00,12417824.0,35.9738,36.91,35.65,36.93,35.62,1706677200000,89530
2024-02-01 05:00:00,7803815.0,35.4016,35.87,35.43,36.1399,34.9,1706763600000,67312
2024-02-02 05:00:00,7243700.0,35.0247,35.41,34.77,35.46,34.75,1706850000000,63960
2024-02-05 05:00:00,7251327.0,34.5026,34.52,34.53,34.8,34.075,1707109200000,59593
2024-02-06 05:00:00,5298271.0,34.8008,34.83,34.82,35.085,34.55,1707195600000,49208
2024-02-07 05:00:00,7588027.0,34.6088,34.94,34.74,35.14,34.33,1707282000000,55314
2024-02-08 05:00:00,5445540.0,34.9762,34.74,35.03,35.235,34.68,1707368400000,45661
2024-02-09 05:00:00,4668390.0,34.6041,35.03,34.51,35.15,34.43,1707454800000,43716
2024-02-12 05:00:00,8691214.0,34.7537,34.78,34.53,35.15,34.435,1707714000000,63945
2024-02-13 05:00:00,7038017.0,34.1575,34.5,34.06,34.629,33.7902,1707800400000,61945
2024-02-14 05:00:00,6578701.0,34.2417,34.35,34.2,34.61,34.04,1707886800000,56393
2024-02-15 05:00:00,9206747.0,35.1545,34.24,35.34,35.595,34.1952,1707973200000,75939
2024-02-16 05:00:00,7266737.0,35.298,35.44,35.31,35.7,34.91,1708059600000,53640
2024-02-20 05:00:00,7906374.0,35.2253,35.16,35.13,35.58,34.955,1708405200000,49278
2024-02-21 05:00:00,6194194.0,35.1844,35.27,35.13,35.57,34.765,1708491600000,52901
2024-02-22 05:00:00,6449599.0,35.28,34.93,35.3,35.585,34.85,1708578000000,59623
2024-02-23 05:00:00,6490075.0,35.0697,34.9,35.21,35.3,34.5,1708664400000,54847
2024-02-26 05:00:00,5076487.0,34.9646,35.0,34.91,35.31,34.655,1708923600000,39770
2024-02-27 05:00:00,5954580.0,34.9947,35.33,34.96,35.44,34.8,1709010000000,51362
2024-02-28 05:00:00,5558011.0,34.9473,34.9,34.95,35.325,34.62,1709096400000,49920
2024-02-29 05:00:00,9270334.0,35.0353,35.12,35.07,35.34,34.67,1709182800000,52988
2024-03-01 05:00:00,5703504.0,35.7711,35.48,35.64,36.2492,35.45,1709269200000,47034
2024-03-04 05:00:00,5974374.0,35.2985,35.57,35.18,35.78,35.15,1709528400000,55781
2024-03-05 05:00:00,4846662.0,35.198,34.99,35.18,35.4199,34.87,1709614800000,41059
2024-03-06 05:00:00,7840764.0,35.4218,35.74,35.35,35.87,35.11,1709701200000,42368
2024-03-07 05:00:00,6568200.0,36.1637,35.42,36.19,36.365,35.38,1709787600000,58070
2024-03-08 05:00:00,5601761.0,36.1022,36.19,36.21,36.44,35.785,1709874000000,44621
2024-03-11 04:00:00,6561162.0,36.3897,36.02,36.66,36.765,35.62,1710129600000,46053
2024-03-12 04:00:00,6193885.0,36.7703,36.83,36.75,37.02,36.505,1710216000000,50026
2024-03-13 04:00:00,13037227.0,36.4943,37.18,36.53,37.69,35.64,1710302400000,99875
2024-03-14 04:00:00,10038090.0,37.3796,36.7,37.61,37.66,36.65,1710388800000,80113
