date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,1992005.0,285.5714,288.75,284.91,291.36,283.67,1705986000000,38843
2024-01-24 05:00:00,1435665.0,280.7302,285.15,278.93,286.49,278.68,1706072400000,31773
2024-01-25 05:00:00,1438826.0,283.9314,280.29,286.02,286.21,279.93,1706158800000,28679
2024-01-26 05:00:00,929871.0,284.2165,287.49,283.43,288.195,281.94,1706245200000,24138
2024-01-29 05:00:00,1742821.0,284.9125,282.42,286.73,287.19,281.61,1706504400000,36228
2024-01-30 05:00:00,2483214.0,301.0495,300.0,301.59,304.95,296.12,1706590800000,47427
2024-01-31 05:00:00,2555880.0,306.0635,303.42,304.9,309.33,302.39,1706677200000,46902
2024-02-01 05:00:00,1739760.0,311.8785,303.35,314.66,314.82,303.35,1706763600000,38653
2024-02-02 05:00:00,1280094.0,310.3313,313.0,309.42,313.0,307.15,1706850000000,29594
2024-02-05 05:00:00,861939.0,310.7326,308.79,310.62,312.5091,308.09,1707109200000,20746
2024-02-06 05:00:00,1261321.0,307.3521,310.63,306.82,312.49,304.97,1707195600000,28139
2024-02-07 05:00:00,890834.0,307.6703,307.66,307.28,310.18,306.24,1707282000000,18522
2024-02-08 05:00:00,899476.0,304.9752,307.06,305.46,307.71,302.11,1707368400000,24288
2024-02-09 05:00:00,770443.0,306.5141,305.62,306.32,307.5116,305.49,1707454800000,18441
2024-02-12 05:00:00,1367663.0,308.9827,306.0,310.16,311.48,303.47,1707714000000,24475
2024-02-13 05:00:00,996792.0,304.3502,306.04,304.54,308.01,301.83,1707800400000,26271
2024-02-14 05:00:00,936145.0,305.7883,306.15,305.43,307.35,303.82,1707886800000,38539
2024-02-15 05:00:00,839673.0,307.5571,306.89,307.66,309.31,305.805,1707973200000,26436
2024-02-16 05:00:00,869056.0,309.231,307.24,308.55,311.35,306.62,1708059600000,22586
2024-02-20 05:00:00,774903.0,308.5894,306.68,308.58,309.855,306.68,1708405200000,23767
2024-02-21 05:00:00,572969.0,309.965,307.5,311.62,311.83,307.5,1708491600000,16912
2024-02-22 05:00:00,1618066.0,314.3878,311.02,312.84,318.3,309.57,1708578000000,31003
2024-02-23 05:00:00,787179.0,315.7716,313.75,315.36,316.98,313.75,1708664400000,21926
2024-02-26 05:00:00,858250.0,314.0725,316.0,313.2,316.5,313.08,1708923600000,20242
2024-02-27 05:00:00,620056.0,313.1479,312.89,314.0,315.0,311.59,1709010000000,16764
2024-02-28 05:00:00,738663.0,312.2439,314.62,312.06,316.72,309.7383,1709096400000,21182
2024-02-29 05:00:00,1479178.0,311.3818,313.96,311.7,314.03,309.57,1709182800000,22510
2024-03-01 05:00:00,1211957.0,311.7638,311.59,311.98,313.99,308.47,1709269200000,27968
2024-03-04 05:00:00,750583.0,313.5215,312.55,314.08,314.7,310.72,1709528400000,19121
2024-03-05 05:00:00,987356.0,315.8079,315.0,315.54,317.86,312.54,1709614800000,25618
2024-03-06 05:00:00,1914034.0,322.3011,317.3,323.4,324.17,316.745,1709701200000,36873
2024-03-07 05:00:00,966801.0,325.5108,325.31,324.66,328.685,324.29,1709787600000,21367
2024-03-08 05:00:00,708713.0,326.5149,324.45,325.37,328.74,324.45,1709874000000,20328
2024-03-11 04:00:00,1043905.0,320.4273,323.67,321.25,325.04,317.0,1710129600000,23405
2024-03-12 04:00:00,1048725.0,323.6855,320.75,323.55,326.23,319.09,1710216000000,23653
2024-03-13 04:00:00,969742.0,322.6804,323.75,321.9,325.2,321.23,1710302400000,22569
2024-03-14 04:00:00,1058172.0,323.5691,321.74,324.78,325.05,319.25,1710388800000,23494
2024-03-15 04:00:00,1230985.0,321.8488,318.9,321.97,323.67,318.9,1710475200000,23994
2024-03-18 04:00:00,829493.0,326.5352,321.97,327.17,328.17,321.7,1710734400000,23498
2024-03-19 04:00:00,916813.0,329.4884,328.5,330.48,330.72,327.697,1710820800000,18122
2024-03-20 04:00:00,828226.0,329.6407,330.25,328.86,331.395,328.57,1710907200000,18035
2024-03-21 04:00:00,1041201.0,330.4021,329.23,328.85,334.025,328.565,1710993600000,24127
2024-03-22 04:00:00,710107.0,329.2192,328.75,329.94,330.685,327.46,1711080000000,16852
2024-03-25 04:00:00,755710.0,328.2294,330.0,327.32,331.57,327.26,1711339200000,17053
2024-03-26 04:00:00,891333.0,328.2668,326.75,327.71,330.37,326.2,1711425600000,20325
2024-03-27 04:00:00,1031976.0,331.372,331.02,331.69,332.58,329.46,1711512000000,21714
2024-03-28 04:00:00,812722.0,333.2485,332.76,333.53,334.49,330.735,1711598400000,17783
2024-04-01 04:00:00,850509.0,329.6806,332.32,330.11,332.53,327.68,1711944000000,19087
2024-04-02 04:00:00,904583.0,328.3928,329.04,329.35,329.635,325.53,1712030400000,25199
2024-04-03 04:00:00,791734.0,331.5842,329.12,332.2,332.66,328.95,1712116800000,21530
2024-04-04 04:00:00,749510.0,327.5807,334.5,325.17,335.83,324.51,1712203200000,22798
2024-04-05 04:00:00,604424.0,328.348,326.22,328.8,329.55,326.22,1712289600000,16809
2024-04-08 04:00:00,1063600.0,328.1112,326.49,328.02,329.395,325.08,1712548800000,23573
2024-04-09 04:00:00,667214.0,327.6779,329.0,328.89,329.43,325.29,1712635200000,17110
2024-04-10 04:00:00,735175.0,327.7342,326.25,327.76,329.24,324.63,1712721600000,18017
2024-04-11 04:00:00,643375.0,326.7209,329.26,327.25,329.52,324.21,1712808000000,17407
2024-04-12 04:00:00,994870.0,323.1099,326.16,322.82,329.11,320.64,1712894400000,25912
2024-04-15 04:00:00,731891.0,324.0937,327.73,322.63,329.93,321.18,1713153600000,21423
2024-04-16 04:00:00,1623133.0,314.844,323.36,313.89,323.36,311.905,1713240000000,36653
2024-04-17 04:00:00,1511041.0,311.6629,315.48,311.03,315.5514,310.15,1713326400000,36004
2024-04-18 04:00:00,2767460.0,297.4697,303.01,297.0,304.6099,292.97,1713412800000,53864
2024-04-19 04:00:00,1651998.0,304.3286,298.64,305.11,305.91,297.35,1713499200000,32799
2024-04-22 04:00:00,1131398.0,309.8049,307.26,310.31,313.1,307.01,1713758400000,29615
2024-04-23 04:00:00,1183445.0,318.6244,312.35,319.43,320.22,312.35,1713844800000,29820
2024-04-24 04:00:00,835559.0,319.2273,318.83,319.02,322.0,317.7,1713931200000,20862
2024-04-25 04:00:00,1584992.0,314.4962,321.4,314.12,322.26,312.13,1714017600000,35183
2024-04-26 04:00:00,2257051.0,303.339,297.38,306.69,307.27,295.7857,1714104000000,44692
2024-04-29 04:00:00,1162825.0,310.7123,308.85,311.42,312.84,307.59,1714363200000,30050
2024-04-30 04:00:00,955770.0,309.919,312.32,309.82,313.42,308.145,1714449600000,24853
2024-05-01 04:00:00,812452.0,310.3308,307.44,309.44,313.87,307.05,1714536000000,23451
2024-05-02 04:00:00,868730.0,308.9371,312.0,308.84,312.0,307.08,1714622400000,22252
2024-05-03 04:00:00,1044934.0,309.6282,312.0,307.76,314.57,307.3,1714708800000,24594
2024-05-06 04:00:00,751196.0,309.4866,309.27,310.06,310.99,307.83,1714968000000,18623
2024-05-07 04:00:00,1178503.0,313.0309,312.12,314.45,314.63,309.81,1715054400000,23076
2024-05-08 04:00:00,1026963.0,309.2472,314.21,309.42,314.21,307.2801,1715140800000,23773
2024-05-09 04:00:00,1147825.0,318.6647,309.65,321.89,322.15,309.63,1715227200000,28340
2024-05-10 04:00:00,1030864.0,325.6933,322.89,326.65,327.78,322.205,1715313600000,26596
2024-05-13 04:00:00,1316541.0,318.25,325.21,317.18,326.65,315.945,1715572800000,29216
2024-05-14 04:00:00,976311.0,319.8108,318.05,320.5,322.18,316.44,1715659200000,23417
2024-05-15 04:00:00,778214.0,326.124,321.83,326.96,327.27,321.83,1715745600000,30538
2024-05-16 04:00:00,694447.0,324.2865,325.29,322.71,327.95,322.67,1715832000000,20242
2024-05-17 04:00:00,739182.0,322.2921,323.6,322.86,324.18,319.99,1715918400000,19783
2024-05-20 04:00:00,725936.0,323.9714,324.02,325.05,325.31,321.485,1716177600000,18245
2024-05-21 04:00:00,838616.0,320.4886,325.06,321.12,325.07,317.98,1716264000000,21172
2024-05-22 04:00:00,678327.0,319.4509,320.05,318.41,322.51,317.57,1716350400000,20661
2024-05-23 04:00:00,900700.0,315.2992,318.8,315.32,319.6,313.14,1716436800000,22284
2024-05-24 04:00:00,814302.0,318.6718,317.59,318.7,319.535,316.59,1716523200000,20703
2024-05-28 04:00:00,852450.0,317.3665,318.13,318.66,318.78,315.68,1716868800000,21585
2024-05-29 04:00:00,1786570.0,326.7224,316.5,325.13,332.01,315.2,1716955200000,37669
2024-05-30 04:00:00,1585500.0,334.0611,327.8,335.1,336.93,326.845,1717041600000,40590
2024-05-31 04:00:00,2049269.0,337.2157,335.09,339.75,339.97,331.9,1717128000000,33378
2024-06-03 04:00:00,1109041.0,331.9738,337.26,332.7,340.0,327.545,1717387200000,28944
2024-06-04 04:00:00,728959.0,331.3034,331.47,332.0,333.69,328.12,1717473600000,23141
2024-06-05 04:00:00,647384.0,335.8151,334.73,336.91,337.62,331.66,1717560000000,19445
2024-06-06 04:00:00,927718.0,336.805,336.14,336.82,338.99,333.95,1717646400000,25425
2024-06-07 04:00:00,908281.0,336.5827,335.15,337.44,338.2,332.78,1717732800000,22753
2024-06-10 04:00:00,1176548.0,340.4359,335.35,341.26,342.28,333.67,1717992000000,27524
2024-06-11 04:00:00,783361.0,337.0286,339.9,336.31,340.39,335.071,1718078400000,24345
2024-06-12 04:00:00,794720.0,341.4365,340.59,340.81,343.53,338.74,1718164800000,26284
