date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,1440370.0,74.5349,74.26,74.71,74.87,74.1,1705986000000,20427
2024-01-24 05:00:00,1540457.0,74.1785,74.9,74.09,74.98,73.98,1706072400000,25864
2024-01-25 05:00:00,1713277.0,74.0087,74.5,74.14,74.7,73.26,1706158800000,28504
2024-01-26 05:00:00,1816157.0,74.4944,74.45,74.41,74.89,74.29,1706245200000,21765
2024-01-29 05:00:00,1571186.0,74.8668,74.21,74.98,75.155,74.21,1706504400000,23676
2024-01-30 05:00:00,1410821.0,74.9782,75.0,74.93,75.26,74.67,1706590800000,22815
2024-01-31 05:00:00,2461239.0,74.8901,75.05,74.44,75.75,74.09,1706677200000,36618
2024-02-01 05:00:00,1861260.0,74.2491,74.45,74.41,74.695,73.42,1706763600000,31996
2024-02-02 05:00:00,4242539.0,72.4007,74.4,72.44,75.12,71.67,1706850000000,58348
2024-02-05 05:00:00,2840356.0,72.0758,72.15,72.04,72.665,71.25,1707109200000,30802
2024-02-06 05:00:00,2697511.0,73.8742,72.47,74.17,74.575,72.12,1707195600000,34572
2024-02-07 05:00:00,2266938.0,73.9454,74.55,73.85,74.6,73.61,1707282000000,29959
2024-02-08 05:00:00,1886926.0,73.2101,73.6,73.43,73.635,72.672,1707368400000,25188
2024-02-09 05:00:00,1534541.0,73.4024,73.61,73.44,74.15,73.09,1707454800000,24024
2024-02-12 05:00:00,1571773.0,73.8892,73.31,74.06,74.18,73.14,1707714000000,20141
2024-02-13 05:00:00,1734958.0,73.3348,73.81,73.27,74.54,72.815,1707800400000,30204
2024-02-14 05:00:00,1766133.0,72.9999,73.27,73.15,73.35,72.5,1707886800000,28168
2024-02-15 05:00:00,2418666.0,73.6307,73.52,73.8,73.93,73.17,1707973200000,31679
2024-02-16 05:00:00,2947343.0,73.8594,73.66,73.79,74.57,73.57,1708059600000,19994
2024-02-20 05:00:00,1452544.0,74.5596,73.69,74.58,74.81,73.66,1708405200000,22114
2024-02-21 05:00:00,1970952.0,75.4561,74.67,75.82,75.85,74.61,1708491600000,26878
2024-02-22 05:00:00,1479522.0,76.0615,75.64,75.88,76.5,75.53,1708578000000,26578
2024-02-23 05:00:00,1417898.0,76.1333,76.17,76.15,76.48,75.64,1708664400000,18103
2024-02-26 05:00:00,1657158.0,74.9548,75.75,74.81,76.1875,74.56,1708923600000,22386
2024-02-27 05:00:00,1524602.0,75.2365,74.83,75.36,75.5,74.44,1709010000000,22868
2024-02-28 05:00:00,1866311.0,74.1558,75.36,74.12,75.36,73.86,1709096400000,25851
2024-02-29 05:00:00,2114742.0,73.712,74.41,73.8,74.5,73.155,1709182800000,25814
2024-03-01 05:00:00,1358025.0,73.8375,73.77,73.65,74.5,73.165,1709269200000,23747
2024-03-04 05:00:00,1533089.0,74.2954,73.27,74.6,74.84,73.05,1709528400000,28093
2024-03-05 05:00:00,1410193.0,73.9743,74.99,73.76,74.99,73.58,1709614800000,26491
2024-03-06 05:00:00,1543938.0,75.186,73.89,75.2,76.22,73.89,1709701200000,27015
2024-03-07 05:00:00,1573512.0,76.2201,75.45,76.32,76.47,75.45,1709787600000,26624
2024-03-08 05:00:00,1417269.0,76.7923,76.21,77.05,77.14,76.0308,1709874000000,26543
2024-03-11 04:00:00,1223561.0,76.3072,76.93,76.33,77.04,75.81,1710129600000,23889
2024-03-12 04:00:00,1586065.0,76.0179,75.98,75.64,76.62,75.6,1710216000000,23510
2024-03-13 04:00:00,1604545.0,76.3552,75.86,76.33,76.79,75.73,1710302400000,26980
2024-03-14 04:00:00,1877582.0,75.3794,75.62,75.34,76.32,74.755,1710388800000,25739
2024-03-15 04:00:00,5286988.0,75.7267,74.63,75.91,75.96,74.47,1710475200000,28633
2024-03-18 04:00:00,1500979.0,76.3607,76.15,76.35,76.81,75.635,1710734400000,23967
2024-03-19 04:00:00,2299394.0,76.1374,76.53,76.31,76.53,75.71,1710820800000,27543
2024-03-20 04:00:00,1264998.0,75.1624,76.22,75.04,76.46,74.77,1710907200000,22541
2024-03-21 04:00:00,1269797.0,75.4667,75.04,75.52,75.71,74.8,1710993600000,22714
2024-03-22 04:00:00,862212.0,75.167,75.72,75.26,75.99,74.725,1711080000000,16796
2024-03-25 04:00:00,1435201.0,75.5679,75.44,75.65,75.72,75.15,1711339200000,23630
2024-03-26 04:00:00,2484138.0,75.9327,75.64,76.17,76.375,75.22,1711425600000,25892
2024-03-27 04:00:00,1270206.0,77.2308,76.6,77.35,77.37,76.455,1711512000000,19837
2024-03-28 04:00:00,1990262.0,77.8299,77.47,77.96,78.16,77.09,1711598400000,21151
2024-04-01 04:00:00,1405009.0,76.3702,77.9,76.12,77.91,76.1,1711944000000,20077
2024-04-02 04:00:00,1415409.0,76.0124,76.12,76.08,76.21,75.66,1712030400000,19271
2024-04-03 04:00:00,1661420.0,77.1869,76.85,77.53,77.56,76.25,1712116800000,24799
2024-04-04 04:00:00,1835920.0,77.8724,78.49,77.28,79.22,77.21,1712203200000,27341
2024-04-05 04:00:00,1485429.0,77.7064,77.35,77.98,78.0,76.94,1712289600000,24452
2024-04-08 04:00:00,1603200.0,77.5659,78.03,77.38,78.165,77.25,1712548800000,24100
2024-04-09 04:00:00,1336395.0,78.1714,77.91,78.41,78.43,77.65,1712635200000,27027
2024-04-10 04:00:00,1670312.0,77.6413,77.8,77.61,78.345,77.27,1712721600000,30811
2024-04-11 04:00:00,1657913.0,77.8027,78.18,77.78,78.25,77.23,1712808000000,26220
2024-04-12 04:00:00,1573811.0,77.2781,77.51,77.33,77.82,76.87,1712894400000,26041
2024-04-15 04:00:00,1605404.0,77.6391,78.05,77.54,78.35,77.26,1713153600000,25553
2024-04-16 04:00:00,1764609.0,75.6444,77.82,75.11,78.04,75.1,1713240000000,32345
2024-04-17 04:00:00,1697868.0,74.9948,75.28,74.92,75.55,74.7,1713326400000,29413
2024-04-18 04:00:00,1576803.0,74.9892,74.97,75.1,75.35,74.53,1713412800000,28144
2024-04-19 04:00:00,1288503.0,75.3322,75.48,75.38,75.62,74.98,1713499200000,23008
2024-04-22 04:00:00,1516324.0,76.0961,75.29,76.22,76.68,74.89,1713758400000,26726
2024-04-23 04:00:00,1603280.0,77.2051,76.54,77.19,77.81,76.12,1713844800000,27056
2024-04-24 04:00:00,963154.0,76.8208,76.76,76.71,77.38,76.5,1713931200000,19922
2024-04-25 04:00:00,1190940.0,75.7636,76.76,75.71,76.97,75.39,1714017600000,20422
2024-04-26 04:00:00,919462.0,76.1655,75.23,75.98,76.61,75.14,1714104000000,17839
2024-04-29 04:00:00,799283.0,76.5371,76.0,76.63,76.975,75.98,1714363200000,17039
2024-04-30 04:00:00,1515878.0,75.9411,76.36,75.77,76.51,75.62,1714449600000,22027
2024-05-01 04:00:00,1423724.0,76.2793,75.77,76.28,77.25,75.38,1714536000000,26805
2024-05-02 04:00:00,1795905.0,75.9602,76.53,75.91,76.7,75.13,1714622400000,32010
2024-05-03 04:00:00,2069424.0,76.4047,79.6,76.54,79.75,75.58,1714708800000,37481
2024-05-06 04:00:00,1585120.0,76.0488,76.61,75.93,76.91,75.75,1714968000000,25164
