date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,7559833.0,29.4823,29.17,29.57,29.66,29.115,1705986000000,55800
2024-01-24 05:00:00,6920129.0,29.68,29.77,29.56,29.915,29.5419,1706072400000,55008
2024-01-25 05:00:00,8338221.0,29.7932,29.66,29.71,30.01,29.5,1706158800000,62337
2024-01-26 05:00:00,9325979.0,29.9724,29.64,30.0,30.16,29.64,1706245200000,64617
2024-01-29 05:00:00,8002644.0,29.3694,30.0,29.24,30.01,29.14,1706504400000,57504
2024-01-30 05:00:00,6618121.0,29.1881,29.2,29.15,29.35,29.09,1706590800000,48611
2024-01-31 05:00:00,10409588.0,28.8215,28.94,28.71,29.155,28.685,1706677200000,52942
2024-02-01 05:00:00,11987926.0,28.8138,28.66,28.94,28.94,28.38,1706763600000,53202
2024-02-02 05:00:00,7193061.0,28.6703,28.77,28.68,28.82,28.445,1706850000000,43543
2024-02-05 05:00:00,10526226.0,28.3656,28.57,28.33,28.59,28.165,1707109200000,47044
2024-02-06 05:00:00,7927423.0,28.3015,28.35,28.29,28.55,28.145,1707195600000,50117
2024-02-07 05:00:00,7357961.0,27.9839,28.25,27.95,28.25,27.86,1707282000000,53057
2024-02-08 05:00:00,4639233.0,28.1886,28.0,28.29,28.3,27.93,1707368400000,44562
2024-02-09 05:00:00,4852209.0,28.4015,28.28,28.42,28.52,28.19,1707454800000,39000
2024-02-12 05:00:00,4896452.0,28.6733,28.42,28.69,28.8,28.39,1707714000000,39575
2024-02-13 05:00:00,6505897.0,28.0761,28.32,28.14,28.4,27.89,1707800400000,53505
2024-02-14 05:00:00,6547433.0,28.5783,29.01,28.58,29.08,28.335,1707886800000,51618
2024-02-15 05:00:00,7071789.0,28.9123,28.58,29.03,29.09,28.58,1707973200000,52371
2024-02-16 05:00:00,5681541.0,28.703,28.99,28.58,29.095,28.525,1708059600000,42904
2024-02-20 05:00:00,5677893.0,28.5993,28.38,28.63,28.75,28.34,1708405200000,46151
2024-02-21 05:00:00,7580415.0,28.4366,28.54,28.43,28.65,28.2625,1708491600000,44363
2024-02-22 05:00:00,6276183.0,28.9156,28.49,28.95,29.1,28.49,1708578000000,48694
2024-02-23 05:00:00,5547355.0,29.2015,29.13,29.27,29.33,28.985,1708664400000,41864
2024-02-26 05:00:00,9431050.0,28.9697,29.31,28.8,29.49,28.78,1708923600000,65037
2024-02-27 05:00:00,6683652.0,28.8201,28.96,28.83,28.9799,28.66,1709010000000,46453
2024-02-28 05:00:00,10811290.0,28.8227,28.72,28.72,29.09,28.68,1709096400000,70910
2024-02-29 05:00:00,22925540.0,28.3045,27.86,28.33,29.07,27.6582,1709182800000,100267
2024-03-01 05:00:00,13170691.0,29.391,29.0,29.41,29.63,28.89,1709269200000,98824
2024-03-04 05:00:00,10322183.0,29.2605,29.35,29.06,29.595,28.99,1709528400000,72707
2024-03-05 05:00:00,10274353.0,29.138,28.98,29.13,29.45,28.87,1709614800000,59768
2024-03-06 05:00:00,14187961.0,30.1288,29.48,30.23,30.5,29.41,1709701200000,80250
2024-03-07 05:00:00,14006846.0,30.4864,30.36,30.56,30.95,30.1455,1709787600000,84044
