date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,3500579.0,30.5727,30.53,30.72,30.72,30.19,1705986000000,35118
2024-01-24 05:00:00,2109362.0,30.4961,30.73,30.4,30.85,30.4,1706072400000,23345
2024-01-25 05:00:00,3004125.0,30.3899,30.48,30.42,30.71,30.24,1706158800000,32270
2024-01-26 05:00:00,2518976.0,30.9725,30.6,30.99,31.12,30.6,1706245200000,29454
2024-01-29 05:00:00,2947637.0,30.6362,31.07,30.57,31.08,30.535,1706504400000,31417
2024-01-30 05:00:00,2419934.0,30.6538,30.57,30.68,30.77,30.35,1706590800000,22963
2024-01-31 05:00:00,5709104.0,30.4286,30.75,30.37,30.96,30.36,1706677200000,25810
2024-02-01 05:00:00,3024198.0,30.6279,30.26,30.86,30.905,29.905,1706763600000,30381
2024-02-02 05:00:00,3126122.0,30.5985,30.85,30.6,30.94,30.345,1706850000000,30172
2024-02-05 05:00:00,3510973.0,29.9888,30.48,29.8,30.48,29.76,1707109200000,37181
2024-02-06 05:00:00,2875804.0,30.0714,29.75,30.09,30.35,29.73,1707195600000,28163
2024-02-07 05:00:00,3104495.0,29.7832,30.21,29.73,30.25,29.57,1707282000000,31321
2024-02-08 05:00:00,3589200.0,29.4828,29.6,29.47,29.78,29.34,1707368400000,34159
2024-02-09 05:00:00,3792130.0,29.0593,29.4,29.06,29.4,28.97,1707454800000,33862
2024-02-12 05:00:00,2900491.0,29.4138,29.03,29.6,29.62,28.9305,1707714000000,28759
2024-02-13 05:00:00,4173650.0,28.8811,29.56,28.72,29.8,28.635,1707800400000,45470
2024-02-14 05:00:00,2690379.0,28.6884,28.76,28.8,28.8254,28.51,1707886800000,34362
2024-02-15 05:00:00,2380372.0,29.0837,28.94,29.11,29.221,28.85,1707973200000,25388
2024-02-16 05:00:00,5655091.0,28.9979,29.01,28.99,29.17,28.765,1708059600000,25385
2024-02-20 05:00:00,2673889.0,29.4863,29.09,29.44,29.71,29.0001,1708405200000,28657
2024-02-21 05:00:00,3797787.0,29.6455,29.57,29.74,29.76,29.37,1708491600000,27135
2024-02-22 05:00:00,3779972.0,30.0669,29.36,30.28,30.35,29.18,1708578000000,36569
2024-02-23 05:00:00,4050712.0,30.5229,30.22,30.51,30.75,30.13,1708664400000,33556
2024-02-26 05:00:00,2845301.0,30.4579,30.52,30.45,30.71,30.26,1708923600000,24724
2024-02-27 05:00:00,3677002.0,30.897,30.55,30.9,31.04,30.48,1709010000000,35482
2024-02-28 05:00:00,4769620.0,30.8316,31.04,30.83,31.115,30.58,1709096400000,42375
2024-02-29 05:00:00,14658857.0,34.9818,34.76,35.32,36.0,34.0,1709182800000,105273
2024-03-01 05:00:00,6864527.0,33.6041,35.32,33.37,35.35,33.2,1709269200000,64175
2024-03-04 05:00:00,3110707.0,33.6258,33.32,33.77,33.83,33.245,1709528400000,33149
2024-03-05 05:00:00,3373904.0,34.0917,33.86,34.02,34.55,33.81,1709614800000,35498
2024-03-06 05:00:00,2511997.0,34.1513,34.105,34.19,34.29,33.955,1709701200000,25450
2024-03-07 05:00:00,2566618.0,33.9653,34.27,33.97,34.27,33.77,1709787600000,26348
2024-03-08 05:00:00,2765179.0,34.0796,33.94,34.11,34.25,33.79,1709874000000,27688
2024-03-11 04:00:00,2610929.0,34.197,34.01,34.19,34.58,33.96,1710129600000,28744
2024-03-12 04:00:00,2115645.0,34.1612,34.1,34.16,34.28,33.97,1710216000000,25776
2024-03-13 04:00:00,2769654.0,34.3999,34.26,34.48,34.54,34.12,1710302400000,31162
2024-03-14 04:00:00,3273224.0,33.8418,34.29,33.72,34.46,33.58,1710388800000,35796
2024-03-15 04:00:00,5402842.0,33.9855,33.53,34.14,34.17,33.405,1710475200000,34744
2024-03-18 04:00:00,3799043.0,34.4624,34.0,34.35,34.855,33.95,1710734400000,35591
2024-03-19 04:00:00,2194967.0,34.4098,34.35,34.48,34.55,34.16,1710820800000,22520
2024-03-20 04:00:00,2233897.0,34.4875,34.61,34.5,34.7,34.29,1710907200000,24597
2024-03-21 04:00:00,2073303.0,34.3811,34.48,34.26,34.66,34.25,1710993600000,23064
2024-03-22 04:00:00,1585450.0,34.3327,34.4,34.38,34.45,34.13,1711080000000,17843
2024-03-25 04:00:00,1622980.0,34.2474,34.44,34.22,34.5,34.14,1711339200000,18921
2024-03-26 04:00:00,2733203.0,34.3949,34.37,34.35,34.62,34.275,1711425600000,21612
2024-03-27 04:00:00,3724969.0,34.7888,34.49,34.85,34.86,34.49,1711512000000,23255
2024-03-28 04:00:00,2274694.0,34.9353,34.95,34.89,35.12,34.77,1711598400000,22648
2024-04-01 04:00:00,3229193.0,34.9674,34.95,34.98,35.13,34.72,1711944000000,29208
2024-04-02 04:00:00,4290664.0,35.3159,35.065,35.24,35.51,34.94,1712030400000,36008
2024-04-03 04:00:00,3263786.0,34.7441,35.13,34.73,35.17,34.545,1712116800000,32696
2024-04-04 04:00:00,2576885.0,35.0779,34.93,35.17,35.26,34.57,1712203200000,30056
2024-04-05 04:00:00,1949416.0,34.7117,35.05,34.7,35.1284,34.52,1712289600000,23116
2024-04-08 04:00:00,2537448.0,35.0628,34.69,35.11,35.21,34.61,1712548800000,28604
2024-04-09 04:00:00,2614364.0,35.2418,35.17,35.31,35.465,35.045,1712635200000,28469
2024-04-10 04:00:00,2395154.0,34.8328,35.03,34.77,35.31,34.595,1712721600000,30602
2024-04-11 04:00:00,2286286.0,34.9265,34.99,34.95,35.1,34.62,1712808000000,27982
2024-04-12 04:00:00,3025844.0,33.9582,34.63,33.93,34.63,33.73,1712894400000,26646
2024-04-15 04:00:00,2459163.0,33.9452,34.04,33.91,34.3,33.785,1713153600000,28346
2024-04-16 04:00:00,2266306.0,33.8891,34.06,33.81,34.12,33.79,1713240000000,29255
2024-04-17 04:00:00,2193713.0,34.0224,33.95,34.04,34.23,33.76,1713326400000,24142
2024-04-18 04:00:00,2064558.0,34.282,34.25,34.38,34.4,34.025,1713412800000,23180
2024-04-19 04:00:00,2359723.0,34.6934,34.48,34.74,34.79,34.365,1713499200000,22490
2024-04-22 04:00:00,2024101.0,35.1012,34.9,35.14,35.3,34.54,1713758400000,26798
2024-04-23 04:00:00,1595906.0,35.1762,35.24,35.14,35.36,35.07,1713844800000,25236
