date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,5651395.0,19.7019,20.01,19.59,20.07,19.57,1705986000000,36417
2024-01-24 05:00:00,4965024.0,19.5425,19.88,19.46,19.88,19.41,1706072400000,34954
2024-01-25 05:00:00,6115337.0,19.5353,19.67,19.57,19.84,19.38,1706158800000,39360
2024-01-26 05:00:00,4875241.0,19.7234,19.59,19.7,19.85,19.565,1706245200000,32979
2024-01-29 05:00:00,4218397.0,19.7226,19.58,19.82,19.845,19.495,1706504400000,31280
2024-01-30 05:00:00,4776715.0,19.7245,19.81,19.68,19.85,19.67,1706590800000,31158
2024-01-31 05:00:00,11930746.0,19.2929,19.69,19.22,19.76,19.14,1706677200000,41433
2024-02-01 05:00:00,5535514.0,19.3296,19.26,19.42,19.42,19.13,1706763600000,34633
2024-02-02 05:00:00,4375062.0,19.3186,19.24,19.41,19.45,19.04,1706850000000,31382
2024-02-05 05:00:00,6506988.0,19.1781,19.12,19.21,19.31,18.955,1707109200000,29716
2024-02-06 05:00:00,4029910.0,19.4738,19.22,19.47,19.58,19.125,1707195600000,26172
2024-02-07 05:00:00,4682433.0,19.2918,19.55,19.23,19.59,19.22,1707282000000,26757
2024-02-08 05:00:00,4204594.0,19.472,19.23,19.55,19.55,19.11,1707368400000,23807
2024-02-09 05:00:00,4304341.0,19.5082,19.6,19.58,19.62,19.32,1707454800000,24814
2024-02-12 05:00:00,4513199.0,19.7101,19.61,19.71,19.82,19.605,1707714000000,33351
2024-02-13 05:00:00,9547127.0,19.102,19.23,19.17,19.28,18.88,1707800400000,53491
2024-02-14 05:00:00,5698345.0,19.3729,19.25,19.42,19.51,19.11,1707886800000,38427
2024-02-15 05:00:00,5666808.0,19.8148,19.55,19.9,19.91,19.55,1707973200000,38968
2024-02-16 05:00:00,5119137.0,19.7008,19.73,19.72,19.81,19.54,1708059600000,37471
2024-02-20 05:00:00,6141191.0,19.6506,19.5,19.66,19.73,19.37,1708405200000,39214
2024-02-21 05:00:00,13093330.0,20.1315,19.7,20.21,20.305,19.67,1708491600000,72911
2024-02-22 05:00:00,13113162.0,20.42,20.32,20.66,20.69,19.49,1708578000000,81760
2024-02-23 05:00:00,13202139.0,20.4467,20.73,20.27,20.92,20.23,1708664400000,64666
2024-02-26 05:00:00,6208773.0,20.1032,20.2,20.05,20.355,20.02,1708923600000,41637
2024-02-27 05:00:00,6067104.0,20.2784,20.17,20.23,20.47,20.15,1709010000000,39947
2024-02-28 05:00:00,5051414.0,20.5814,20.16,20.63,20.73,20.09,1709096400000,36721
2024-02-29 05:00:00,7978190.0,20.7147,20.74,20.74,20.87,20.51,1709182800000,37078
2024-03-01 05:00:00,3931176.0,20.8986,20.69,20.95,20.96,20.575,1709269200000,25673
2024-03-04 05:00:00,6429298.0,21.0098,20.99,21.07,21.14,20.87,1709528400000,36700
2024-03-05 05:00:00,7731855.0,20.9621,21.02,20.79,21.31,20.75,1709614800000,37526
2024-03-06 05:00:00,4868094.0,21.0033,21.07,20.92,21.265,20.875,1709701200000,32667
2024-03-07 05:00:00,5077640.0,20.8479,20.99,20.81,21.08,20.77,1709787600000,30927
2024-03-08 05:00:00,5233859.0,20.782,20.96,20.88,21.035,20.58,1709874000000,34862
2024-03-11 04:00:00,3174758.0,20.8252,20.87,20.88,20.94,20.595,1710129600000,25866
2024-03-12 04:00:00,3538420.0,20.983,20.93,20.95,21.15,20.845,1710216000000,28579
2024-03-13 04:00:00,4633653.0,20.9053,20.96,20.81,21.135,20.725,1710302400000,36456
2024-03-14 04:00:00,5193610.0,20.6666,20.85,20.67,20.89,20.5999,1710388800000,31723
2024-03-15 04:00:00,12139614.0,20.5104,20.6,20.51,20.84,20.255,1710475200000,46594
2024-03-18 04:00:00,8575694.0,20.6677,20.57,20.65,20.85,20.54,1710734400000,27882
2024-03-19 04:00:00,3627338.0,20.727,20.68,20.71,20.82,20.63,1710820800000,21323
2024-03-20 04:00:00,5930070.0,20.7957,20.69,20.78,21.0,20.67,1710907200000,36477
2024-03-21 04:00:00,6251208.0,21.0383,20.82,21.15,21.19,20.82,1710993600000,35231
2024-03-22 04:00:00,4170629.0,20.9173,21.22,20.85,21.27,20.845,1711080000000,24319
2024-03-25 04:00:00,4150665.0,20.684,20.89,20.56,20.98,20.55,1711339200000,23599
2024-03-26 04:00:00,5440587.0,20.3773,20.61,20.27,20.66,20.24,1711425600000,31324
2024-03-27 04:00:00,6511602.0,20.514,20.27,20.61,20.63,20.225,1711512000000,34557
2024-03-28 04:00:00,5737057.0,20.6169,20.66,20.68,20.835,20.39,1711598400000,33658
2024-04-01 04:00:00,4643718.0,20.7432,20.84,20.71,20.85,20.58,1711944000000,33850
2024-04-02 04:00:00,4591184.0,20.3031,20.51,20.32,20.53,20.205,1712030400000,37571
2024-04-03 04:00:00,3907874.0,20.2774,20.31,20.28,20.37,20.145,1712116800000,27898
2024-04-04 04:00:00,3930618.0,20.2106,20.51,20.08,20.6,20.005,1712203200000,23391
2024-04-05 04:00:00,3820806.0,20.2518,20.12,20.28,20.4,20.02,1712289600000,25806
2024-04-08 04:00:00,4473920.0,20.537,20.23,20.55,20.64,20.23,1712548800000,27970
2024-04-09 04:00:00,3293452.0,20.6043,20.6,20.72,20.73,20.31,1712635200000,26678
2024-04-10 04:00:00,4261822.0,20.2841,20.5,20.14,20.585,20.115,1712721600000,32076
2024-04-11 04:00:00,4132388.0,20.2893,20.175,20.35,20.48,20.01,1712808000000,32170
2024-04-12 04:00:00,3596607.0,20.0349,20.24,20.0,20.325,19.9,1712894400000,25999
2024-04-15 04:00:00,5498326.0,19.7229,20.14,19.57,20.22,19.495,1713153600000,35368
2024-04-16 04:00:00,6173695.0,19.1757,19.68,19.08,19.68,19.03,1713240000000,40109
2024-04-17 04:00:00,8122877.0,18.8169,19.21,18.74,19.27,18.67,1713326400000,47571
2024-04-18 04:00:00,4941682.0,18.6356,18.86,18.59,18.86,18.47,1713412800000,35587
2024-04-19 04:00:00,3946711.0,18.682,18.65,18.71,18.79,18.52,1713499200000,29959
2024-04-22 04:00:00,4631775.0,18.9261,18.77,19.0,19.035,18.73,1713758400000,31418
2024-04-23 04:00:00,6391305.0,19.267,19.0,19.29,19.43,19.0,1713844800000,39519
2024-04-24 04:00:00,4810467.0,19.3341,19.32,19.33,19.52,19.195,1713931200000,34400
2024-04-25 04:00:00,4050643.0,18.9479,19.1,18.89,19.32,18.88,1714017600000,22231
2024-04-26 04:00:00,3952161.0,18.9124,18.9,18.86,19.175,18.82,1714104000000,28425
2024-04-29 04:00:00,6363440.0,19.1552,18.94,19.19,19.87,18.91,1714363200000,40161
2024-04-30 04:00:00,7728182.0,18.9675,18.96,18.87,19.15,18.82,1714449600000,47399
2024-05-01 04:00:00,8868369.0,18.9509,18.79,18.84,19.26,18.79,1714536000000,55801
2024-05-02 04:00:00,12142023.0,18.3944,18.98,18.45,19.145,17.78,1714622400000,81459
2024-05-03 04:00:00,6342097.0,18.6216,18.6,18.65,18.84,18.43,1714708800000,46756
2024-05-06 04:00:00,4266003.0,18.7722,18.82,18.77,18.9,18.64,1714968000000,39358
2024-05-07 04:00:00,4814696.0,18.7879,19.04,18.72,19.11,18.64,1715054400000,34704
2024-05-08 04:00:00,7320115.0,18.3081,18.63,18.23,18.71,18.195,1715140800000,47451
2024-05-09 04:00:00,7730374.0,18.3074,18.23,18.42,18.49,18.09,1715227200000,50480
2024-05-10 04:00:00,7459661.0,18.331,18.45,18.34,18.5,18.2,1715313600000,37630
2024-05-13 04:00:00,6099909.0,18.4719,18.52,18.45,18.64,18.35,1715572800000,33996
2024-05-14 04:00:00,6038233.0,18.5324,18.5,18.53,18.65,18.48,1715659200000,29567
2024-05-15 04:00:00,5730375.0,18.5361,18.71,18.48,18.76,18.42,1715745600000,46861
2024-05-16 04:00:00,5558488.0,18.7002,18.54,18.75,18.805,18.42,1715832000000,34424
2024-05-17 04:00:00,5608881.0,18.4418,18.87,18.42,18.87,18.275,1715918400000,38222
2024-05-20 04:00:00,8417853.0,18.3854,18.47,18.38,18.5,18.32,1716177600000,26001
2024-05-21 04:00:00,5475716.0,18.3264,18.34,18.34,18.44,18.22,1716264000000,20131
2024-05-22 04:00:00,4439534.0,18.4429,18.36,18.41,18.57,18.31,1716350400000,28191
2024-05-23 04:00:00,5460856.0,18.2386,18.5,18.15,18.52,18.095,1716436800000,34752
2024-05-24 04:00:00,3388757.0,18.2948,18.28,18.3,18.41,18.17,1716523200000,21554
2024-05-28 04:00:00,4409288.0,18.1671,18.32,18.17,18.39,18.0,1716868800000,27353
2024-05-29 04:00:00,6964008.0,17.6991,17.99,17.79,18.015,17.54,1716955200000,48391
2024-05-30 04:00:00,6600466.0,17.8038,17.93,17.81,18.01,17.72,1717041600000,40416
2024-05-31 04:00:00,11097666.0,17.916,17.85,17.94,17.98,17.73,1717128000000,40133
2024-06-03 04:00:00,5599787.0,18.078,18.05,18.15,18.18,17.9425,1717387200000,30495
2024-06-04 04:00:00,7804886.0,18.0646,18.04,18.01,18.28,18.0,1717473600000,28493
2024-06-05 04:00:00,5052498.0,18.0294,18.07,18.1,18.16,17.865,1717560000000,36662
2024-06-06 04:00:00,5366519.0,18.0654,18.03,17.98,18.23,17.94,1717646400000,31693
2024-06-07 04:00:00,8267248.0,17.7969,17.75,17.81,17.9,17.69,1717732800000,37399
2024-06-10 04:00:00,8527707.0,18.0645,17.77,18.11,18.155,17.71,1717992000000,35881
2024-06-11 04:00:00,5974336.0,18.037,18.07,17.97,18.15,17.945,1718078400000,30716
2024-06-12 04:00:00,5021876.0,18.3518,18.35,18.33,18.535,18.23,1718164800000,32768
2024-06-13 04:00:00,4761044.0,18.2233,18.36,18.3,18.39,18.03,1718251200000,27846
2024-06-14 04:00:00,5098967.0,17.8157,18.16,17.82,18.21,17.7,1718337600000,37823
