date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,268309.0,208.4171,208.59,209.22,209.34,206.71,1705986000000,8541
2024-01-24 05:00:00,465720.0,206.2408,210.38,205.69,211.4999,205.59,1706072400000,9661
2024-01-25 05:00:00,304338.0,206.9878,207.25,207.78,207.88,204.99,1706158800000,8959
2024-01-26 05:00:00,280761.0,208.8106,207.78,209.15,209.4,207.72,1706245200000,8383
2024-01-29 05:00:00,417422.0,210.8536,208.52,212.15,212.17,207.9,1706504400000,12736
2024-01-30 05:00:00,329102.0,213.4764,211.33,213.67,214.35,211.25,1706590800000,11059
2024-01-31 05:00:00,612282.0,212.148,214.4,211.5,214.72,211.49,1706677200000,11604
2024-02-01 05:00:00,919994.0,218.7152,213.0,220.18,222.64,211.99,1706763600000,18731
2024-02-02 05:00:00,463500.0,220.5581,219.31,220.72,222.15,218.84,1706850000000,12507
2024-02-05 05:00:00,367904.0,218.45,218.83,218.22,219.895,216.81,1707109200000,10343
2024-02-06 05:00:00,459320.0,219.0161,218.4,218.89,220.07,217.085,1707195600000,11182
2024-02-07 05:00:00,1360581.0,222.6975,222.54,222.42,227.54,212.96,1707282000000,29466
2024-02-08 05:00:00,657150.0,225.1379,225.7,225.83,226.455,222.03,1707368400000,16202
2024-02-09 05:00:00,460037.0,227.3538,225.83,228.2,228.28,225.22,1707454800000,13338
2024-02-12 05:00:00,490742.0,227.8003,228.1,226.97,229.39,226.82,1707714000000,14603
2024-02-13 05:00:00,424384.0,224.0033,225.09,224.27,225.44,222.7,1707800400000,13394
2024-02-14 05:00:00,359563.0,225.7867,224.99,227.02,227.18,223.52,1707886800000,13615
2024-02-15 05:00:00,457244.0,227.2546,227.76,227.68,228.77,225.46,1707973200000,12562
2024-02-16 05:00:00,785443.0,227.7749,227.94,227.47,229.5,226.19,1708059600000,10312
2024-02-20 05:00:00,537749.0,229.306,228.27,230.35,230.45,226.3,1708405200000,12420
2024-02-21 05:00:00,525139.0,233.4886,232.54,233.43,234.585,229.77,1708491600000,13208
2024-02-22 05:00:00,346890.0,234.7659,234.3,235.13,235.77,232.97,1708578000000,10675
