date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,1097543.0,61.7808,61.73,61.87,62.19,60.93,1705986000000,18225
2024-01-24 05:00:00,1317323.0,61.1984,62.05,60.84,62.14,60.78,1706072400000,21179
2024-01-25 05:00:00,1114651.0,60.5426,60.73,60.92,61.32,59.58,1706158800000,19721
2024-01-26 05:00:00,1030055.0,60.6753,61.32,60.64,61.71,60.3,1706245200000,20554
2024-01-29 05:00:00,1253053.0,60.4659,60.36,60.47,60.84,59.77,1706504400000,18769
2024-01-30 05:00:00,1865500.0,59.4569,60.5,59.28,60.5,59.15,1706590800000,22155
2024-01-31 05:00:00,1857899.0,58.8677,59.3,58.77,59.475,58.52,1706677200000,27145
2024-02-01 05:00:00,1402269.0,58.9708,58.52,59.16,59.27,58.03,1706763600000,22413
2024-02-02 05:00:00,1148076.0,58.4573,58.63,58.35,59.27,58.05,1706850000000,20286
2024-02-05 05:00:00,1248997.0,58.0761,58.0,58.06,58.47,57.63,1707109200000,18700
2024-02-06 05:00:00,2025638.0,59.2503,58.5,59.63,59.94,57.69,1707195600000,28573
2024-02-07 05:00:00,1368656.0,57.784,59.24,57.34,59.575,57.34,1707282000000,21321
2024-02-08 05:00:00,1703754.0,57.0205,57.35,57.36,57.72,56.1,1707368400000,28450
2024-02-09 05:00:00,1761933.0,57.6521,57.37,57.66,57.96,57.09,1707454800000,25327
2024-02-12 05:00:00,2211796.0,57.8651,57.79,57.84,58.43,57.38,1707714000000,33436
2024-02-13 05:00:00,3494636.0,59.491,60.04,59.34,60.7,57.83,1707800400000,48585
2024-02-14 05:00:00,2235715.0,58.2337,58.59,57.89,60.2,57.51,1707886800000,33193
2024-02-15 05:00:00,1436639.0,58.8693,58.09,58.97,59.87,57.89,1707973200000,23723
2024-02-16 05:00:00,1132034.0,58.3538,58.88,57.96,59.105,57.92,1708059600000,20858
2024-02-20 05:00:00,2167035.0,58.7895,57.79,58.82,59.5,57.62,1708405200000,28672
2024-02-21 05:00:00,1960923.0,60.0303,59.08,60.33,60.46,59.05,1708491600000,27660
2024-02-22 05:00:00,1701518.0,60.6856,60.33,60.91,61.34,59.46,1708578000000,25700
2024-02-23 05:00:00,1373232.0,60.9034,61.8,60.59,61.865,60.31,1708664400000,22952
2024-02-26 05:00:00,1246939.0,60.5571,60.33,60.53,61.44,60.1,1708923600000,18483
2024-02-27 05:00:00,1370002.0,60.8409,60.65,61.0,61.48,59.73,1709010000000,22029
2024-02-28 05:00:00,1118697.0,60.2241,60.77,59.98,61.0,59.91,1709096400000,17420
2024-02-29 05:00:00,3086977.0,58.578,60.21,58.36,60.21,58.25,1709182800000,28985
2024-03-01 05:00:00,1574698.0,59.1338,58.7,59.05,59.66,58.37,1709269200000,23310
2024-03-04 05:00:00,1663282.0,59.2323,59.25,59.72,59.775,58.07,1709528400000,27475
2024-03-05 05:00:00,1876797.0,58.6832,59.96,58.9,60.19,58.07,1709614800000,27593
2024-03-06 05:00:00,1797523.0,59.0566,59.21,59.26,59.7,58.52,1709701200000,26808
2024-03-07 05:00:00,1581732.0,59.0131,59.49,59.03,59.72,58.33,1709787600000,21122
2024-03-08 05:00:00,1572361.0,59.9046,59.17,60.02,60.17,59.14,1709874000000,23004
2024-03-11 04:00:00,2193150.0,60.5913,60.15,60.79,61.16,59.7,1710129600000,26523
2024-03-12 04:00:00,1643796.0,59.6068,60.72,59.33,60.9,58.9,1710216000000,23227
2024-03-13 04:00:00,1335486.0,59.1237,59.35,58.92,60.22,58.6,1710302400000,26247
2024-03-14 04:00:00,1230862.0,58.4991,58.75,58.54,59.12,58.0994,1710388800000,21398
2024-03-15 04:00:00,4901969.0,58.2521,58.3,58.37,58.755,57.53,1710475200000,29911
2024-03-18 04:00:00,1811547.0,57.7519,58.75,57.34,58.78,57.3,1710734400000,27254
2024-03-19 04:00:00,2502861.0,57.9749,57.7,58.33,58.44,57.18,1710820800000,36504
2024-03-20 04:00:00,1714309.0,58.0465,58.03,58.24,58.43,57.49,1710907200000,27685
2024-03-21 04:00:00,1535769.0,57.8431,58.57,57.72,59.03,57.47,1710993600000,23737
