date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,3312669.0,33.7103,34.27,33.73,34.45,33.505,1705986000000,34391
2024-01-24 05:00:00,3356305.0,33.2257,34.03,33.12,34.18,33.05,1706072400000,29072
2024-01-25 05:00:00,3065027.0,33.2452,33.56,33.26,33.56,33.075,1706158800000,28972
2024-01-26 05:00:00,2685808.0,33.1502,33.3,33.25,33.315,32.92,1706245200000,26611
2024-01-29 05:00:00,2970759.0,33.2553,33.23,33.32,33.48,33.03,1706504400000,30635
2024-01-30 05:00:00,4005744.0,33.145,33.14,33.08,33.41,33.0,1706590800000,30270
2024-01-31 05:00:00,4556158.0,33.1519,33.33,32.93,33.66,32.865,1706677200000,37190
2024-02-01 05:00:00,4823296.0,33.0668,32.8,33.45,33.45,32.455,1706763600000,41837
2024-02-02 05:00:00,3369417.0,32.9234,33.01,33.02,33.235,32.575,1706850000000,30850
2024-02-05 05:00:00,2836036.0,32.3055,32.6,32.22,32.6,32.11,1707109200000,25336
2024-02-06 05:00:00,3093988.0,32.6313,32.25,32.72,32.74,32.16,1707195600000,26268
2024-02-07 05:00:00,2403044.0,32.5591,32.89,32.56,32.89,32.33,1707282000000,21725
2024-02-08 05:00:00,2090881.0,32.6396,32.49,32.69,32.775,32.365,1707368400000,19936
2024-02-09 05:00:00,3026632.0,32.9206,32.62,33.07,33.1,32.54,1707454800000,27584
2024-02-12 05:00:00,2836601.0,33.0039,33.16,32.9,33.3,32.84,1707714000000,26232
2024-02-13 05:00:00,4086120.0,32.2074,32.17,32.26,32.41,31.975,1707800400000,36597
2024-02-14 05:00:00,5885219.0,32.3714,32.45,32.33,32.76,32.05,1707886800000,45452
2024-02-15 05:00:00,3114538.0,32.7732,32.65,32.86,33.075,32.515,1707973200000,27387
2024-02-16 05:00:00,2607083.0,32.7301,32.58,32.7,32.905,32.38,1708059600000,25391
2024-02-20 05:00:00,2749536.0,32.7777,32.59,32.77,32.95,32.4594,1708405200000,26002
2024-02-21 05:00:00,3451364.0,33.2182,32.95,33.2,33.41,32.69,1708491600000,28562
2024-02-22 05:00:00,2753555.0,33.1381,33.36,33.12,33.39,33.03,1708578000000,20682
2024-02-23 05:00:00,4056955.0,33.2728,33.13,33.28,33.49,32.935,1708664400000,31704
2024-02-26 05:00:00,4209749.0,33.3534,33.23,33.31,33.6,33.08,1708923600000,33702
2024-02-27 05:00:00,4417770.0,33.6079,33.65,33.53,33.985,33.32,1709010000000,40751
2024-02-28 05:00:00,3374342.0,33.6438,33.39,33.65,33.875,33.3801,1709096400000,30873
2024-02-29 05:00:00,5748836.0,34.0034,33.91,34.07,34.135,33.775,1709182800000,39914
2024-03-01 05:00:00,3719331.0,34.3651,33.9,34.54,34.63,33.64,1709269200000,33396
2024-03-04 05:00:00,3576260.0,35.1417,34.6,35.41,35.44,34.37,1709528400000,30170
