date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,2153082.0,79.0153,79.52,79.21,79.52,78.36,1705986000000,24254
2024-01-24 05:00:00,4113059.0,79.0345,79.75,78.84,79.83,78.615,1706072400000,29187
2024-01-25 05:00:00,2688375.0,79.1331,79.34,79.25,79.75,78.69,1706158800000,27447
2024-01-26 05:00:00,2170181.0,79.3001,79.36,79.3,79.6339,79.03,1706245200000,22097
2024-01-29 05:00:00,2658203.0,79.9061,79.08,80.48,80.55,79.04,1706504400000,24687
2024-01-30 05:00:00,2156074.0,80.5468,80.15,80.61,80.83,80.12,1706590800000,25459
2024-01-31 05:00:00,2470904.0,80.029,80.36,79.86,80.85,79.73,1706677200000,28767
2024-02-01 05:00:00,4281309.0,81.7037,80.36,81.99,82.23,80.36,1706763600000,38847
2024-02-02 05:00:00,2395639.0,83.3021,81.87,83.74,84.01,81.59,1706850000000,31311
2024-02-05 05:00:00,2464717.0,83.0495,82.96,82.91,83.52,82.51,1707109200000,26520
2024-02-06 05:00:00,7467121.0,83.2163,82.86,83.24,83.4,82.21,1707195600000,26013
2024-02-07 05:00:00,2846301.0,84.544,83.56,84.57,84.97,83.375,1707282000000,30028
2024-02-08 05:00:00,2500908.0,85.1394,84.67,85.38,85.5,84.41,1707368400000,32111
2024-02-09 05:00:00,4011864.0,85.7823,85.65,85.9,86.51,85.27,1707454800000,32361
2024-02-12 05:00:00,1683488.0,85.6735,85.74,85.47,86.24,85.33,1707714000000,21526
2024-02-13 05:00:00,2129399.0,84.7957,84.16,85.11,85.38,83.74,1707800400000,30901
2024-02-14 05:00:00,2309788.0,86.3945,85.99,86.49,86.84,85.59,1707886800000,31059
2024-02-15 05:00:00,2854632.0,87.461,86.93,87.79,87.905,86.52,1707973200000,34402
2024-02-16 05:00:00,5024851.0,90.4094,91.72,89.47,92.32,89.36,1708059600000,53433
2024-02-20 05:00:00,3452816.0,87.054,88.27,86.74,88.49,86.595,1708405200000,42171
2024-02-21 05:00:00,3305175.0,88.2778,87.4,88.94,89.01,87.23,1708491600000,38463
2024-02-22 05:00:00,2486079.0,90.4638,90.28,90.79,90.92,89.8601,1708578000000,30203
2024-02-23 05:00:00,2064900.0,90.4266,91.04,90.53,91.11,89.68,1708664400000,21751
2024-02-26 05:00:00,2037117.0,90.7553,90.33,90.76,91.14,90.2,1708923600000,29561
2024-02-27 05:00:00,2167260.0,90.1514,90.95,90.38,91.11,89.54,1709010000000,27488
2024-02-28 05:00:00,2105378.0,90.0653,90.33,89.85,90.78,89.75,1709096400000,27854
2024-02-29 05:00:00,4062385.0,91.0037,90.06,91.33,91.45,89.77,1709182800000,30264
2024-03-01 05:00:00,2726416.0,91.8226,90.94,91.63,92.439,90.765,1709269200000,30584
2024-03-04 05:00:00,1913325.0,91.6904,91.67,91.54,92.36,91.34,1709528400000,28172
2024-03-05 05:00:00,4325473.0,90.1453,91.16,89.97,91.26,89.53,1709614800000,43402
2024-03-06 05:00:00,2578926.0,90.4809,90.68,90.24,91.17,90.08,1709701200000,30763
2024-03-07 05:00:00,2339347.0,90.9955,90.91,91.16,91.4,90.265,1709787600000,24737
2024-03-08 05:00:00,1962009.0,90.5327,91.28,90.37,91.67,89.69,1709874000000,27736
2024-03-11 04:00:00,2126928.0,89.3293,89.46,89.52,89.86,88.83,1710129600000,29884
2024-03-12 04:00:00,1810295.0,90.3528,89.35,90.86,91.02,88.71,1710216000000,25325
2024-03-13 04:00:00,2311311.0,90.5679,91.07,90.53,91.12,90.1,1710302400000,27182
2024-03-14 04:00:00,2036916.0,90.8765,90.95,91.01,91.4,90.23,1710388800000,25221
2024-03-15 04:00:00,2658063.0,90.4622,90.1,90.47,91.26,90.1,1710475200000,25140
2024-03-18 04:00:00,1472851.0,91.1984,91.06,91.21,91.76,90.46,1710734400000,22287
2024-03-19 04:00:00,1626895.0,91.4422,91.27,91.56,91.77,90.71,1710820800000,20634
2024-03-20 04:00:00,2647574.0,93.1231,91.68,93.68,93.72,91.38,1710907200000,29087
2024-03-21 04:00:00,2453065.0,94.8854,94.1,95.1,95.285,93.83,1710993600000,30403
2024-03-22 04:00:00,1574474.0,94.6932,94.95,94.74,95.09,93.99,1711080000000,19419
2024-03-25 04:00:00,2404965.0,94.772,95.25,94.48,96.17,94.36,1711339200000,27066
2024-03-26 04:00:00,1945404.0,94.6575,94.32,94.45,95.05,94.19,1711425600000,22585
2024-03-27 04:00:00,2460776.0,94.8329,94.8,95.26,95.41,93.8,1711512000000,27452
