date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2533109.0,370.713,369.88,371.93,374.18,366.7911,1705554000000,54553
2024-01-19 05:00:00,2392529.0,374.4234,374.0,374.82,376.9,370.655,1705640400000,47873
2024-01-22 05:00:00,1813143.0,376.681,377.91,375.81,379.39,375.07,1705899600000,42565
2024-01-23 05:00:00,2393791.0,373.937,377.25,371.41,377.8025,367.5,1705986000000,60078
2024-01-24 05:00:00,4949678.0,370.7909,383.93,370.07,384.0,362.14,1706072400000,98181
2024-01-25 05:00:00,1873334.0,373.9529,372.61,374.97,377.325,370.6,1706158800000,50689
2024-01-26 05:00:00,2144764.0,373.1363,371.6,374.76,375.06,368.0101,1706245200000,44584
2024-01-29 05:00:00,1602969.0,377.6313,374.41,379.16,379.34,373.06,1706504400000,39977
2024-01-30 05:00:00,1375320.0,378.5027,377.37,377.29,381.79,376.42,1706590800000,35817
2024-01-31 05:00:00,1802098.0,379.1199,378.5,378.22,383.74,375.595,1706677200000,42266
2024-02-01 05:00:00,1630137.0,381.7211,378.41,383.83,384.29,375.67,1706763600000,40075
2024-02-02 05:00:00,1773557.0,382.7267,382.33,383.77,385.43,377.9,1706850000000,41318
2024-02-05 05:00:00,1575287.0,384.5151,384.47,383.94,388.6199,380.57,1707109200000,39019
2024-02-06 05:00:00,1694266.0,387.8003,385.26,389.69,389.79,384.12,1707195600000,36807
2024-02-07 05:00:00,1458965.0,390.2958,390.38,391.375,392.0,385.72,1707282000000,34143
2024-02-08 05:00:00,998655.0,387.2653,389.51,386.94,391.6,385.36,1707368400000,29872
2024-02-09 05:00:00,1234101.0,387.545,387.46,388.22,389.92,383.05,1707454800000,30857
2024-02-12 05:00:00,1569858.0,383.025,386.09,382.13,387.36,381.0701,1707714000000,42224
2024-02-13 05:00:00,1705296.0,378.6655,375.0,378.89,383.245,371.0,1707800400000,45120
2024-02-14 05:00:00,1147614.0,380.7303,380.09,381.76,381.91,378.0,1707886800000,29492
2024-02-15 05:00:00,1053098.0,379.8222,382.03,380.17,383.0,377.54,1707973200000,35953
2024-02-16 05:00:00,1272001.0,378.5483,378.29,378.63,381.15,376.0,1708059600000,33570
2024-02-20 05:00:00,1445682.0,377.386,379.69,377.64,382.88,374.61,1708405200000,40440
2024-02-21 05:00:00,1216678.0,377.4006,376.75,380.23,380.47,373.15,1708491600000,34223
2024-02-22 05:00:00,1540785.0,387.8676,382.43,389.08,389.68,382.21,1708578000000,43195
2024-02-23 05:00:00,1000527.0,389.3902,389.08,389.77,391.25,387.28,1708664400000,29749
2024-02-26 05:00:00,1024539.0,388.236,389.4,388.27,391.81,386.15,1708923600000,30507
2024-02-27 05:00:00,1042975.0,387.0438,386.46,386.46,389.4701,385.275,1709010000000,29431
2024-02-28 05:00:00,902880.0,385.44,384.6,386.59,386.7455,383.56,1709096400000,28312
2024-02-29 05:00:00,2134795.0,386.2215,384.41,385.6,389.26,383.93,1709182800000,35026
2024-03-01 05:00:00,2194148.0,395.2925,383.48,397.9,399.67,382.3201,1709269200000,50197
2024-03-04 05:00:00,1943687.0,400.3425,398.3,400.59,403.0,396.51,1709528400000,40017
2024-03-05 05:00:00,1610642.0,390.3262,400.0,387.32,400.41,386.3,1709614800000,42905
2024-03-06 05:00:00,1203238.0,389.4085,386.76,388.16,393.136,386.76,1709701200000,34356
2024-03-07 05:00:00,1797733.0,393.6037,393.3,392.68,396.61,390.35,1709787600000,39138
2024-03-08 05:00:00,1737950.0,392.6237,392.02,391.85,395.93,390.79,1709874000000,40169
2024-03-11 04:00:00,1602471.0,380.4431,391.0,378.9,391.0,377.44,1710129600000,44558
2024-03-12 04:00:00,1446493.0,386.5135,378.9,389.4,390.255,378.52,1710216000000,36949
2024-03-13 04:00:00,1447955.0,384.705,389.67,382.99,390.69,380.985,1710302400000,33063
2024-03-14 04:00:00,1413037.0,382.2002,383.23,384.31,384.43,376.6,1710388800000,38097
2024-03-15 04:00:00,3906792.0,394.3853,398.16,396.28,398.16,382.63,1710475200000,60672
2024-03-18 04:00:00,1654503.0,394.3286,399.6,392.62,401.27,390.79,1710734400000,43893
2024-03-19 04:00:00,1610816.0,388.2243,391.99,390.53,392.58,381.77,1710820800000,37909
2024-03-20 04:00:00,930134.0,388.16,390.39,390.37,390.67,384.4,1710907200000,27328
2024-03-21 04:00:00,920837.0,393.4348,394.0,391.96,397.0,391.93,1710993600000,28364
2024-03-22 04:00:00,1562713.0,392.5218,392.45,394.07,394.51,387.17,1711080000000,29438
2024-03-25 04:00:00,1117411.0,392.7199,393.59,391.71,396.9,390.5,1711339200000,33138
2024-03-26 04:00:00,1543001.0,397.6813,394.37,397.63,399.5625,392.285,1711425600000,39660
2024-03-27 04:00:00,1374665.0,399.9826,403.02,400.1,403.759,397.5,1711512000000,40543
2024-03-28 04:00:00,1124780.0,399.1596,401.45,399.09,402.5,397.06,1711598400000,30781
2024-04-01 04:00:00,1159879.0,394.5017,399.0,394.87,399.64,392.22,1711944000000,28139
2024-04-02 04:00:00,2334124.0,382.9432,391.99,382.36,391.99,380.51,1712030400000,56979
2024-04-03 04:00:00,1634337.0,384.9111,383.77,383.42,388.29,382.22,1712116800000,40180
2024-04-04 04:00:00,1603036.0,382.4223,387.76,378.92,389.025,378.62,1712203200000,35265
2024-04-05 04:00:00,1404465.0,389.4029,381.12,388.39,393.66,379.24,1712289600000,40645
2024-04-08 04:00:00,947434.0,386.3551,388.39,386.93,389.885,383.04,1712548800000,30107
2024-04-09 04:00:00,1120631.0,388.2388,389.95,390.96,391.18,383.81,1712635200000,34357
2024-04-10 04:00:00,1198861.0,388.5035,387.16,388.46,391.46,385.51,1712721600000,34298
2024-04-11 04:00:00,1186680.0,391.2198,387.58,392.26,392.8,387.58,1712808000000,31393
2024-04-12 04:00:00,1476001.0,384.3764,387.0,384.8,388.26,380.71,1712894400000,36349
2024-04-15 04:00:00,1650717.0,380.7771,392.25,377.36,392.29,376.33,1713153600000,39281
2024-04-16 04:00:00,1602985.0,378.9147,376.63,378.55,383.85,371.54,1713240000000,40688
2024-04-17 04:00:00,1625645.0,374.5867,378.93,374.17,379.71,371.14,1713326400000,37697
2024-04-18 04:00:00,2320460.0,373.1265,372.57,372.63,375.3347,369.15,1713412800000,56263
2024-04-19 04:00:00,3975892.0,369.7,385.27,366.34,388.65,364.17,1713499200000,77567
2024-04-22 04:00:00,1603144.0,368.6399,369.54,368.93,371.83,364.31,1713758400000,41864
