date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,265771.0,465.8262,469.16,466.22,469.39,463.54,1705986000000,9928
2024-01-24 05:00:00,260626.0,465.4735,470.97,463.08,471.435,463.03,1706072400000,9264
2024-01-25 05:00:00,306906.0,461.0687,466.68,461.19,467.215,457.01,1706158800000,12631
2024-01-26 05:00:00,206169.0,460.8609,459.71,460.83,464.3,458.585,1706245200000,8590
2024-01-29 05:00:00,202623.0,462.4283,460.56,463.69,465.11,459.08,1706504400000,8648
2024-01-30 05:00:00,257802.0,466.1299,465.16,465.54,470.52,464.33,1706590800000,9756
2024-01-31 05:00:00,369610.0,459.566,462.55,457.44,464.255,456.92,1706677200000,11838
2024-02-01 05:00:00,311707.0,463.5022,457.59,467.01,467.01,456.635,1706763600000,11985
2024-02-02 05:00:00,453591.0,468.5863,467.48,469.89,471.76,462.29,1706850000000,12372
2024-02-05 05:00:00,417170.0,468.4573,469.89,469.79,471.315,464.525,1707109200000,13653
2024-02-06 05:00:00,1171606.0,457.1919,433.13,461.7,466.03,431.0,1707195600000,28671
2024-02-07 05:00:00,1064825.0,451.3926,458.97,449.95,458.97,448.365,1707282000000,22765
2024-02-08 05:00:00,474847.0,453.7044,453.3,456.18,456.48,449.22,1707368400000,15625
2024-02-09 05:00:00,342831.0,462.3309,458.8,463.52,465.02,456.59,1707454800000,11612
2024-02-12 05:00:00,477493.0,453.0528,463.0,450.97,463.0,449.27,1707714000000,16050
2024-02-13 05:00:00,401195.0,445.47,442.98,446.24,447.98,440.16,1707800400000,14293
2024-02-14 05:00:00,538648.0,449.3586,449.06,449.86,452.79,446.96,1707886800000,14881
2024-02-15 05:00:00,577760.0,453.7023,453.19,453.81,455.68,450.52,1707973200000,14270
2024-02-16 05:00:00,391520.0,451.0626,453.71,448.61,456.87,448.55,1708059600000,12732
2024-02-20 05:00:00,602208.0,445.9492,447.77,445.0,450.4,441.21,1708405200000,16814
